dotty, 3409, 2017-10-31T10:46:20Z, eee7b6b, 35191.352, Tue Oct 31 12:21:10 CET 2017, 77116.744 42232.000 38382.277 37245.970 36855.216 36970.846 36183.511 35914.215 36033.182 36886.245 35746.517 35722.089 36161.121 36778.007 35599.889 35550.691 35844.225 36258.043 35526.731 35642.776 35308.028 36168.797 35192.076 35285.661 35182.043 35866.135 34992.512 35247.772 35146.426 35963.879 , 35190.655 35189.743 35135.607 35602.575 34942.562 35192.049 35214.643 35809.621 35076.071 35242.865 35067.917 35648.221 35106.980 35158.956 35192.964 35672.161 34949.857 35247.096 35064.948 35798.059
tests/scala-library, 3409, 2017-10-31T10:46:20Z, eee7b6b, 5791.174, Tue Oct 31 12:26:51 CET 2017, 24272.556 12214.040 8321.619 7294.724 6891.842 6534.871 6473.597 6305.790 6168.837 6256.007 6051.298 6092.736 6016.476 6114.910 5956.656 5924.495 5955.271 5900.165 5910.985 5960.450 5867.450 5972.789 5916.166 5862.362 5841.708 5901.025 5845.762 5853.000 5834.823 5794.490 , 5836.674 5827.159 5789.312 5826.132 5760.628 5815.358 5797.887 5762.208 5827.604 5793.036 5815.838 5817.864 5801.340 5767.212 5785.234 5761.696 5736.105 5753.687 5757.205 5736.737
tests/implicit_cache.scala, 3409, 2017-10-31T10:46:20Z, eee7b6b, 109.173, Tue Oct 31 12:28:02 CET 2017, 2981.858 681.004 548.852 457.947 382.375 267.928 237.812 183.696 155.764 145.847 174.469 135.626 126.740 122.672 124.391 119.764 119.441 120.697 117.608 118.446 117.371 118.929 113.866 114.656 114.407 113.182 114.193 111.243 113.383 110.742 , 109.728 110.462 109.075 111.704 109.271 115.581 119.505 110.124 107.123 106.780 108.933 105.775 108.535 105.962 107.252 104.806 110.164 109.975 109.310 104.821
tests/implicit-scope-loop.scala, 3409, 2017-10-31T10:46:20Z, eee7b6b, 109.695, Tue Oct 31 12:29:14 CET 2017, 3268.656 665.163 398.741 440.089 380.371 300.191 202.673 170.756 144.702 145.299 136.331 138.589 141.482 134.827 128.914 126.028 122.910 124.320 118.814 121.104 118.337 121.978 115.682 116.977 115.916 113.893 115.716 113.399 114.555 113.378 , 112.266 113.826 109.875 113.447 134.613 166.947 127.629 113.669 109.386 107.861 109.515 108.524 108.723 105.823 132.011 105.894 106.450 115.533 105.578 107.019
tests/i1535.scala, 3409, 2017-10-31T10:46:20Z, eee7b6b, 131.024, Tue Oct 31 12:30:26 CET 2017, 3463.964 723.969 653.064 445.356 444.052 314.406 301.070 279.254 194.816 178.767 172.689 162.006 159.329 166.995 160.990 168.753 156.565 154.649 154.997 150.577 145.461 143.212 146.300 151.274 143.999 149.849 144.564 139.297 160.673 147.650 , 136.356 137.491 136.538 133.189 134.208 131.020 133.272 130.915 129.518 131.071 132.556 132.590 130.666 126.723 128.741 129.851 126.893 131.028 126.691 126.126
tests/i1687.scala, 3409, 2017-10-31T10:46:20Z, eee7b6b, 85.5945, Tue Oct 31 12:31:35 CET 2017, 2693.211 420.362 306.364 254.591 239.028 256.996 191.945 157.948 113.813 103.570 99.710 104.411 96.655 97.641 95.899 101.462 93.046 92.016 93.115 90.958 91.906 90.032 91.950 90.494 90.255 89.656 90.163 89.288 91.384 87.973 , 87.554 87.252 85.614 87.090 86.475 86.979 85.575 88.008 90.948 86.228 85.396 85.299 84.560 84.592 86.066 83.651 83.552 85.255 84.730 84.796
tests/Vector.scala, 3409, 2017-10-31T10:46:20Z, eee7b6b, 562.4805, Tue Oct 31 12:35:24 CET 2017, 7272.803 2771.022 1811.974 1658.427 1649.560 1171.147 1225.549 948.529 1138.562 784.807 1017.273 719.976 687.219 684.553 672.868 658.118 659.987 776.721 631.455 608.516 6984.634 2353.114 2200.124 1800.929 1731.494 1374.430 928.204 1136.663 1058.027 875.369 752.807 700.184 671.897 699.120 660.009 645.404 655.609 625.326 622.851 601.023 7296.467 2767.945 2194.141 2025.474 1628.514 1541.017 1266.299 1113.154 869.655 993.061 754.517 861.748 691.278 678.696 663.224 653.742 657.754 861.508 632.491 616.293 , 784.085 651.233 754.220 585.101 589.216 576.920 580.902 574.402 620.504 581.915 561.557 555.525 560.277 549.133 547.840 581.011 561.578 552.058 555.900 551.937 551.809 539.756 535.418 625.058 558.444 574.060 542.760 557.201 532.440 529.905 649.753 600.728 610.294 687.143 572.198 573.531 571.973 594.059 560.688 563.383 553.861 568.418 547.388 548.544 549.649 565.180 547.061 554.448 584.132 545.053 678.426 540.709 586.563 555.032 529.851 552.609 560.754 531.278 522.560 522.084 619.453 597.287 607.298 606.061 578.164 582.675 586.015 596.391 574.740 588.687 578.294 580.288 565.930 563.868 568.700 575.686 560.456 555.094 567.810 551.333 549.362 553.046 578.068 542.737 538.730 547.977 559.604 544.696 540.106 539.054
tests/empty-class.scala, 3409, 2017-10-31T10:46:20Z, eee7b6b, 72.9, Tue Oct 31 12:36:34 CET 2017, 2378.371 352.233 233.694 227.169 177.026 176.310 132.067 102.585 96.877 82.132 83.971 80.217 84.881 83.554 78.830 78.630 78.320 76.349 80.015 75.800 76.467 75.334 75.817 74.531 76.195 74.400 77.489 73.299 77.820 73.287 , 76.386 74.327 73.708 73.067 75.193 72.733 73.977 72.103 73.843 71.574 73.580 72.698 75.422 71.806 70.964 75.700 70.659 71.577 70.745 71.893
tests/empty-object.scala, 3409, 2017-10-31T10:46:20Z, eee7b6b, 72.8025, Tue Oct 31 12:37:44 CET 2017, 2520.227 440.016 279.635 189.438 192.160 145.045 110.115 98.921 90.956 84.333 93.992 117.710 87.792 77.456 79.177 77.940 78.707 75.755 77.574 76.366 76.582 76.367 77.417 76.162 77.431 75.081 76.250 74.341 77.063 86.853 , 74.750 73.386 74.547 74.068 75.190 72.408 74.483 72.091 73.534 73.713 72.898 73.042 72.603 72.487 71.545 72.707 71.474 72.334 72.425 72.532
tests/empty-file.scala, 3409, 2017-10-31T10:46:20Z, eee7b6b, 57.8725, Tue Oct 31 12:38:52 CET 2017, 1896.673 281.789 239.151 201.484 168.601 143.930 81.067 73.930 67.212 64.436 64.581 62.936 61.091 66.073 63.336 59.401 60.287 59.279 59.744 58.414 60.041 58.502 59.472 59.401 58.183 59.252 57.888 59.170 57.676 59.267 , 59.051 58.654 58.440 57.252 58.663 59.449 67.554 57.985 57.191 57.919 56.618 57.904 56.997 57.823 57.841 56.532 57.812 56.224 58.030 57.175
tests/patmatexhaust.scala, 3409, 2017-10-31T10:46:20Z, eee7b6b, 305.047, Tue Oct 31 12:43:02 CET 2017, 5327.772 1799.486 1612.571 1160.974 1058.314 856.490 976.267 691.390 634.380 588.221 564.843 589.513 459.041 456.398 400.758 535.826 385.946 364.663 349.481 348.996 4994.859 1552.666 1204.980 1215.421 907.448 806.994 682.511 795.827 763.866 551.404 499.596 552.833 450.639 432.488 537.441 519.588 424.278 381.499 389.714 365.755 5170.505 1972.024 1689.549 1384.290 1048.534 884.784 727.265 704.215 769.342 592.700 502.822 643.240 513.136 541.286 507.228 438.679 475.596 463.896 410.782 368.889 , 348.689 382.985 355.470 364.677 363.527 325.032 331.652 317.666 318.097 322.650 313.736 350.061 356.565 299.859 298.942 324.831 297.170 298.511 325.298 297.408 290.483 304.370 304.998 304.189 294.415 294.788 288.595 297.309 290.922 288.960 290.347 283.784 285.328 293.067 280.029 305.287 287.141 278.758 283.362 288.709 357.039 359.773 363.759 340.362 345.911 335.593 368.867 335.156 343.641 325.604 329.111 323.964 323.597 315.924 308.850 308.883 316.329 305.380 303.734 316.355 302.349 303.828 308.200 305.096 300.613 442.168 304.442 301.055 315.860 294.521 293.463 299.079 292.740 295.230 294.440 286.443 295.129 299.004 297.345 291.996 367.067 341.250 334.427 352.524 332.197 322.470 341.881 322.361 312.855 322.720 304.093 307.941 312.035 305.880 305.439 309.920 300.557 298.245 309.309 295.358 292.697 301.459 389.368 350.371 303.486 313.163 297.686 285.941 309.828 290.970 306.764 281.346 280.411 291.539 278.635 297.610 303.416 295.580 277.088 285.812
