dotty, 3357, 2017-10-23T15:52:09Z, e5b4788, 34657.161, Mon Oct 23 18:14:38 CEST 2017, 77904.415 42347.510 37551.871 36649.888 35985.279 35955.924 35206.859 35386.442 35295.952 35264.503 , 35636.358 34636.887 34845.548 34936.314 35723.508 34608.786 34728.480 34632.676 35687.421 34486.707 34396.688 34865.382 35385.218 34158.547 34338.581 34677.435 35272.003 34040.048 34163.686 34540.856
tests/scala-library, 3357, 2017-10-23T15:52:09Z, e5b4788, 5737.6465, Mon Oct 23 18:18:06 CEST 2017, 27000.272 12074.655 8697.691 6907.771 6311.113 6127.965 6053.030 5974.891 6390.139 5820.020 , 5786.148 5749.894 5745.552 5750.426 5755.120 5849.592 5797.836 5677.926 5646.182 5691.368 5729.741 5797.124 6014.506 5637.908 5618.800 5756.314 5652.263 5624.633 5630.018 5611.629
tests/implicit_cache.scala, 3357, 2017-10-23T15:52:09Z, e5b4788, 118.6025, Mon Oct 23 18:18:42 CEST 2017, 2863.347 632.751 461.404 365.716 291.406 199.650 186.021 209.674 156.330 145.395 , 133.458 129.972 126.849 127.598 121.631 119.710 122.850 120.665 119.846 119.848 117.495 114.561 114.228 116.502 115.955 114.210 113.423 114.122 112.117 110.604
tests/implicit-scope-loop.scala, 3357, 2017-10-23T15:52:09Z, e5b4788, 119.566, Mon Oct 23 18:19:18 CEST 2017, 3149.649 546.370 397.907 408.570 315.269 253.868 214.392 158.948 143.774 175.297 , 143.107 133.548 128.467 128.067 127.786 124.090 123.116 119.462 118.553 122.830 120.281 119.670 116.125 118.632 115.826 116.657 113.615 117.459 115.526 113.035
tests/i1535.scala, 3357, 2017-10-23T15:52:09Z, e5b4788, 153.575, Mon Oct 23 18:19:55 CEST 2017, 3444.777 699.260 504.684 533.960 409.574 324.346 310.790 265.815 205.214 176.836 , 205.626 164.046 162.152 163.819 156.964 154.310 155.954 151.201 147.871 159.124 146.629 143.772 156.395 151.041 152.840 146.341 140.343 139.224 170.900 151.098
tests/i1687.scala, 3357, 2017-10-23T15:52:09Z, e5b4788, 99.188, Mon Oct 23 18:20:31 CEST 2017, 2650.202 448.123 323.324 264.059 295.726 242.309 134.281 119.847 114.326 107.407 , 111.204 105.657 106.245 109.372 105.602 115.305 101.292 100.977 102.004 98.526 99.047 96.741 97.399 96.405 97.005 95.359 95.908 95.825 93.357 99.329
tests/Vector.scala, 3357, 2017-10-23T15:52:09Z, e5b4788, 585.819, Mon Oct 23 18:24:09 CEST 2017, 6540.641 2477.119 1991.359 1564.780 1319.095 1175.305 1552.070 1199.798 924.802 834.634 782.912 735.844 741.906 701.340 792.026 809.054 791.071 757.223 713.844 683.015 7546.105 2796.517 1511.748 1299.938 1186.111 1170.082 1480.281 1439.596 1370.467 1091.220 1200.786 869.344 745.235 715.880 693.651 670.952 656.589 675.381 643.978 625.031 7660.983 2764.526 2002.360 1729.833 1362.047 1586.190 1500.935 1370.528 1349.087 1297.804 1208.695 1217.402 1084.724 826.834 700.025 690.845 773.708 638.525 642.730 626.624 , 627.124 641.110 776.512 609.513 598.309 603.823 616.297 607.288 584.218 590.861 587.420 578.704 582.616 593.134 576.832 610.021 592.079 569.562 564.543 562.565 581.380 562.718 569.447 576.857 561.283 570.295 566.066 594.778 573.199 559.455 656.915 681.256 729.997 651.002 631.566 582.925 590.528 591.293 577.084 576.066 566.105 653.354 601.620 558.956 559.436 573.964 566.506 636.421 622.644 669.157 557.029 562.667 578.036 655.474 606.593 576.085 555.223 550.912 551.149 557.344 620.808 621.070 637.483 607.641 672.206 753.558 637.241 598.962 596.347 566.582 568.884 564.451 589.369 678.465 599.865 631.519 577.277 562.956 596.027 563.356 550.032 545.682 567.717 659.613 591.460 632.505 549.593 541.975 541.685 543.406
tests/empty-class.scala, 3357, 2017-10-23T15:52:09Z, e5b4788, 78.0075, Mon Oct 23 18:24:44 CEST 2017, 2420.547 311.527 309.361 185.232 166.954 168.713 152.953 103.478 93.547 85.184 , 82.711 80.968 81.897 79.620 80.877 78.121 79.084 78.846 79.187 77.681 78.748 76.856 77.735 76.407 77.894 76.075 76.340 77.308 76.085 74.535
tests/empty-object.scala, 3357, 2017-10-23T15:52:09Z, e5b4788, 81.3965, Mon Oct 23 18:25:19 CEST 2017, 2399.709 377.154 254.756 288.991 250.318 182.579 127.206 113.436 108.690 100.856 , 90.758 84.695 83.877 82.479 81.114 82.440 80.047 95.067 79.963 81.679 82.556 82.096 79.410 78.655 76.800 83.670 76.351 77.997 75.869 77.905
tests/empty-file.scala, 3357, 2017-10-23T15:52:09Z, e5b4788, 62.505, Mon Oct 23 18:25:53 CEST 2017, 2033.552 308.542 258.300 215.216 187.262 163.116 129.660 85.547 72.624 67.400 , 66.979 65.608 63.971 65.024 62.612 64.645 61.865 62.951 61.665 62.398 62.255 61.655 63.098 60.756 63.998 61.203 65.248 60.296 61.650 61.246
tests/patmatexhaust.scala, 3357, 2017-10-23T15:52:09Z, e5b4788, 316.215, Mon Oct 23 18:29:49 CEST 2017, 5419.325 1624.944 1233.822 1439.184 1034.853 1046.359 855.191 765.449 832.649 638.552 592.876 548.953 450.702 421.783 397.444 390.899 378.072 396.915 403.879 355.145 5062.981 1707.422 1304.482 1129.893 1027.276 939.892 945.325 938.011 842.009 779.211 746.847 724.865 667.722 634.878 561.048 467.163 408.462 503.379 420.114 517.283 5697.060 2081.213 1670.300 1403.246 1288.085 868.176 848.805 590.248 636.388 557.066 543.086 620.221 451.740 546.524 405.268 435.975 376.357 385.838 369.673 359.576 , 354.520 347.701 356.956 333.987 330.662 327.495 343.680 397.677 352.974 316.143 331.575 339.704 347.234 313.807 309.593 324.946 302.130 304.981 300.935 331.827 306.354 297.412 297.702 310.898 293.464 294.994 300.267 290.218 366.801 300.058 287.451 287.303 306.889 327.561 318.723 282.837 287.136 287.393 283.790 284.911 547.522 425.760 368.308 373.442 359.494 350.931 351.992 353.019 348.801 451.593 375.517 341.035 334.369 334.093 334.893 408.831 386.375 326.737 338.961 335.014 321.267 315.317 316.981 314.500 305.903 304.977 317.661 305.376 311.209 302.590 298.671 336.921 314.584 295.100 339.331 296.938 294.090 310.707 291.202 292.317 356.501 360.782 342.142 343.079 340.186 338.480 332.836 331.028 335.617 353.611 337.408 336.373 381.531 400.253 316.287 346.642 308.059 305.105 312.028 367.819 317.767 311.734 303.004 304.334 313.853 304.178 301.808 301.446 295.483 297.294 300.093 295.667 297.533 290.770 291.510 309.909 286.891 305.820 300.586 299.492
