dotty, 3354, 2017-10-20T12:21:40Z, 271aaf0, 34902.218, Fri Oct 20 14:44:14 CEST 2017, 78840.699 42568.953 37498.824 36482.689 36074.588 36082.110 35257.270 35171.769 35182.647 36056.533 , 34987.967 35014.304 35319.150 35878.421 34723.828 34943.481 35148.067 35894.424 34765.760 34802.620 34860.955 35412.209 34457.091 34663.215 34612.769 35279.754 34364.876 34778.878 34657.568 35259.928
tests/scala-library, 3354, 2017-10-20T12:21:40Z, 271aaf0, 5848.465, Fri Oct 20 14:47:45 CEST 2017, 26047.384 12272.836 8546.899 7287.938 6622.590 6316.159 6144.919 6157.942 6097.159 6018.183 , 6011.739 6073.225 5913.605 5934.254 5885.072 5870.316 5876.773 5941.967 5839.080 5857.850 5789.912 5993.516 5818.425 5760.307 5813.902 5768.134 5751.572 5723.654 5777.554 5757.110
tests/implicit_cache.scala, 3354, 2017-10-20T12:21:40Z, 271aaf0, 119.6595, Fri Oct 20 14:48:21 CEST 2017, 2708.040 502.951 443.846 449.325 393.662 312.658 216.625 155.092 158.108 148.141 , 134.539 136.763 128.053 125.966 135.463 125.892 125.304 120.882 120.280 120.306 118.773 118.402 116.123 117.670 113.872 113.079 114.801 113.211 114.542 119.039
tests/implicit-scope-loop.scala, 3354, 2017-10-20T12:21:40Z, 271aaf0, 127.3695, Fri Oct 20 14:48:58 CEST 2017, 3006.498 557.188 428.039 393.276 400.125 297.010 234.174 215.742 179.255 146.227 , 145.437 135.811 137.437 131.644 133.237 130.077 135.462 129.349 125.301 127.356 122.437 121.931 122.084 119.427 127.573 127.383 120.406 115.953 120.345 117.598
tests/i1535.scala, 3354, 2017-10-20T12:21:40Z, 271aaf0, 152.9655, Fri Oct 20 14:49:35 CEST 2017, 3264.368 802.490 457.235 503.903 411.041 354.473 234.966 212.808 195.242 227.914 , 173.704 189.202 159.156 158.500 154.290 156.791 155.137 157.691 173.470 151.641 145.917 143.879 145.692 143.755 145.174 143.136 139.562 139.920 160.513 140.017
tests/i1687.scala, 3354, 2017-10-20T12:21:40Z, 271aaf0, 99.081, Fri Oct 20 14:50:11 CEST 2017, 2762.785 439.704 340.293 270.282 243.012 203.267 137.819 120.678 126.652 120.158 , 109.328 104.106 137.378 108.637 103.749 113.220 105.893 107.060 100.282 98.405 99.757 97.590 97.909 96.808 95.977 97.091 95.186 96.296 94.186 96.713
tests/Vector.scala, 3354, 2017-10-20T12:21:40Z, 271aaf0, 577.3935, Fri Oct 20 14:53:47 CEST 2017, 6778.870 2729.115 2057.226 1735.136 1744.599 1651.381 1466.087 1342.307 1230.701 1174.783 1048.551 754.985 1033.558 783.465 777.572 647.751 716.648 678.288 618.015 636.949 7710.257 2560.391 1926.881 1969.209 1429.636 1202.525 1131.680 1252.750 1004.978 879.009 853.794 805.710 707.056 674.583 649.361 628.932 632.428 616.075 612.760 617.781 7425.617 2474.733 1710.986 1977.347 1719.424 1596.927 1443.069 1412.314 870.212 860.850 762.295 726.951 719.528 741.166 663.277 662.145 638.641 636.115 620.958 629.836 , 618.541 626.381 690.521 701.564 627.155 627.682 589.390 583.360 596.905 572.845 566.290 565.383 579.469 564.876 564.528 577.854 659.446 607.976 586.677 565.620 549.982 551.678 589.098 569.745 625.035 597.299 552.026 551.493 548.356 557.405 612.335 610.245 596.559 605.063 582.105 585.427 594.202 578.644 578.850 569.254 576.933 565.964 559.566 567.328 567.985 555.106 566.046 564.238 554.709 547.402 545.362 561.335 547.814 553.660 551.901 541.358 540.375 547.049 555.338 540.327 604.217 601.232 619.698 688.493 628.419 593.918 604.928 597.705 580.335 590.937 570.304 569.714 575.795 630.772 565.683 566.373 579.896 560.450 557.687 559.241 572.640 559.343 628.191 627.102 554.183 593.723 588.076 581.612 578.922 583.555
tests/empty-class.scala, 3354, 2017-10-20T12:21:40Z, 271aaf0, 78.8455, Fri Oct 20 14:54:21 CEST 2017, 2343.842 417.866 302.561 205.130 213.112 154.022 134.517 108.252 93.753 85.060 , 84.636 82.021 83.060 79.921 84.770 79.182 80.807 81.598 81.322 77.865 80.882 78.509 77.620 76.510 78.106 75.705 76.956 75.499 75.941 74.874
tests/empty-object.scala, 3354, 2017-10-20T12:21:40Z, 271aaf0, 82.012, Fri Oct 20 14:54:56 CEST 2017, 2386.036 342.713 255.906 209.018 253.278 219.364 191.975 164.440 126.958 106.763 , 88.480 86.792 84.534 86.729 84.189 87.091 83.568 84.237 81.689 82.161 80.190 81.863 79.913 81.030 78.421 78.726 80.300 83.778 79.368 77.820
tests/empty-file.scala, 3354, 2017-10-20T12:21:40Z, 271aaf0, 62.195, Fri Oct 20 14:55:30 CEST 2017, 1946.523 266.101 177.390 145.826 136.144 143.389 102.651 77.310 68.774 68.066 , 65.132 66.118 63.655 63.999 65.597 62.643 63.395 62.277 62.846 61.607 63.108 61.665 62.113 62.107 60.966 61.910 60.671 61.787 60.934 61.692
tests/patmatexhaust.scala, 3354, 2017-10-20T12:21:40Z, 271aaf0, 312.914, Fri Oct 20 14:59:29 CEST 2017, 4931.676 2242.409 1662.981 1368.945 1279.978 1103.099 954.585 681.751 795.607 536.329 688.565 575.846 451.970 439.031 415.248 400.505 374.436 366.395 361.207 345.013 5045.258 2169.516 1706.561 1417.549 1077.341 1023.213 860.248 909.750 787.939 522.589 510.099 476.187 517.259 561.948 501.811 407.961 381.235 445.020 402.240 436.823 5044.759 1672.061 1765.302 1243.938 1331.057 858.905 717.827 819.984 540.634 509.361 500.956 542.656 477.291 478.434 448.020 416.340 412.787 401.553 463.687 477.543 , 378.502 344.908 349.514 336.826 334.026 326.036 321.346 315.746 348.604 324.901 311.314 315.410 314.407 309.293 313.370 300.532 301.899 309.979 304.955 305.507 300.086 296.432 310.652 304.526 296.990 298.941 289.588 294.333 304.267 288.665 287.382 291.223 289.828 290.546 285.101 287.589 287.345 282.426 285.398 285.288 383.427 362.582 350.426 336.119 342.404 333.786 323.798 318.984 325.780 320.383 313.096 320.641 313.125 310.057 315.139 306.255 306.500 313.939 350.402 348.165 343.797 313.831 300.173 317.128 298.226 305.272 301.084 294.303 298.800 300.172 291.428 323.264 300.274 320.943 301.827 286.556 299.116 303.234 283.741 287.518 369.745 477.257 417.598 371.982 346.941 347.650 340.916 335.347 352.739 331.366 325.698 326.624 330.147 317.715 355.965 315.216 312.923 328.209 356.017 362.892 320.104 305.577 306.158 316.443 309.825 307.552 311.966 302.034 311.018 305.232 298.665 304.438 297.181 295.925 306.198 294.426 312.905 322.271 313.562 342.018
tests/exhaustivity-I.scala, 3354, 2017-10-20T12:21:40Z, 271aaf0, 188.545, Fri Oct 20 15:03:05 CEST 2017, 4204.216 1491.402 1096.498 825.134 585.346 635.512 530.989 551.727 408.505 352.708 286.077 364.121 258.611 244.004 245.440 229.256 232.641 206.311 209.977 212.419 4168.260 1227.315 1246.333 1038.740 722.281 545.631 672.464 550.383 379.983 469.605 401.891 290.657 263.096 250.420 242.942 229.824 223.547 219.614 214.049 214.578 4293.414 1594.028 1227.443 1027.291 709.214 644.400 508.374 436.218 374.663 372.303 313.788 294.626 310.096 294.694 360.953 319.706 229.677 223.279 217.088 213.583 , 203.455 200.936 202.156 199.081 198.629 194.917 192.764 192.679 191.909 194.085 191.268 187.835 190.853 185.754 189.205 189.120 190.729 191.381 188.528 188.562 185.698 186.152 185.184 182.784 184.781 200.904 181.867 188.356 177.405 178.213 175.570 178.611 180.688 175.901 175.444 173.429 175.639 173.191 172.983 175.148 203.213 203.149 202.877 250.828 215.798 205.473 249.175 259.449 197.242 192.006 192.196 193.679 191.032 192.352 187.679 186.876 189.936 187.050 205.674 251.614 237.115 216.758 255.765 207.720 189.364 183.062 187.090 182.506 181.017 184.813 177.112 179.692 177.391 178.826 179.343 175.765 176.457 175.950 175.813 178.456 221.304 208.198 208.358 200.834 201.831 198.741 196.930 194.670 196.955 197.208 197.551 193.553 222.860 238.812 195.548 189.732 188.099 186.764 192.660 188.857 206.428 185.859 188.471 183.269 184.854 202.341 183.209 186.188 183.756 179.869 185.058 178.700 180.171 180.839 177.289 178.947 175.633 178.458 174.747 174.713
tests/exhaustivity-S.scala, 3354, 2017-10-20T12:21:40Z, 271aaf0, 329.676, Fri Oct 20 15:06:48 CEST 2017, 4234.067 1183.571 790.003 719.030 472.176 406.155 377.284 361.937 342.363 335.317 320.329 335.355 350.359 308.461 343.561 301.381 298.916 301.330 301.927 294.877 4217.049 1184.135 756.183 779.327 868.771 546.697 614.933 662.129 453.188 410.006 394.822 569.842 446.232 410.707 369.695 372.284 370.816 367.751 372.545 386.447 4076.382 1817.873 1149.777 941.853 638.620 501.362 470.306 430.691 413.863 413.175 418.129 364.937 362.263 351.871 351.164 350.725 364.379 359.957 343.838 341.449 , 296.327 310.412 307.098 292.564 296.360 286.347 285.860 292.581 285.152 283.425 282.606 282.646 280.376 279.591 280.157 279.962 291.582 283.627 279.557 282.103 279.297 283.751 290.553 316.739 281.847 280.239 277.875 304.076 286.489 301.122 342.838 290.683 288.736 284.361 311.435 274.317 274.807 274.845 275.037 272.641 367.362 399.375 372.729 358.640 362.722 353.338 353.275 353.810 371.401 356.727 369.145 349.544 347.098 348.073 347.865 347.349 349.463 345.979 344.792 351.466 345.711 345.498 343.419 346.650 364.834 372.152 351.926 346.511 343.110 348.395 342.952 341.413 342.603 356.373 343.871 338.399 341.351 345.426 339.723 348.643 338.538 343.123 338.227 344.851 356.009 335.063 333.428 333.591 332.528 332.125 332.089 329.650 332.842 336.982 334.248 332.973 329.702 326.118 326.097 325.306 326.963 328.302 322.906 326.893 326.957 326.689 323.717 323.884 322.810 324.290 322.755 323.631 323.244 321.604 326.928 353.477 325.517 320.201 331.464 358.890
tests/exhaustivity-T.scala, 3354, 2017-10-20T12:21:40Z, 271aaf0, 1035.334, Fri Oct 20 15:10:55 CEST 2017, 5150.364 1952.233 1689.922 1373.602 1423.570 1586.476 1164.852 1145.690 1110.273 1168.762 1084.921 1100.308 1061.192 1052.154 1039.111 1030.982 1075.061 1314.278 1070.281 1091.419 4755.117 2094.350 1454.905 1378.738 1515.712 1282.673 1325.994 1194.527 1198.090 1420.104 1280.005 1223.981 1200.127 1116.731 1093.941 1179.242 1141.645 1070.945 1065.981 1064.646 4819.426 2043.129 1470.723 1589.215 1408.087 1368.779 1324.512 1299.398 1258.285 1609.498 1188.795 1147.004 1140.928 1255.867 1229.837 1124.415 1122.346 1105.512 1105.600 1105.726 , 1319.864 1032.815 1010.403 1181.306 986.454 974.883 978.380 978.532 972.122 1001.492 1008.789 971.839 964.085 967.186 966.470 967.411 961.765 957.573 959.387 954.162 957.958 976.388 945.777 952.725 1060.256 971.923 955.325 949.540 950.615 961.938 951.648 966.352 948.744 951.009 949.322 963.202 955.162 941.676 949.103 947.742 1062.010 1048.575 1050.793 1042.741 1048.893 1068.989 1047.736 1038.020 1046.921 1058.613 1317.627 1058.366 1051.739 1039.901 1027.383 1043.966 1049.150 1021.240 1020.569 1022.275 1034.132 1023.507 1032.353 1036.536 1029.706 1022.611 1028.421 1031.383 1017.747 1014.722 1017.222 1029.471 1016.586 1008.440 1008.264 1008.949 1012.559 1010.740 1009.329 1006.474 1090.808 1123.531 1083.202 1185.234 1121.379 1114.246 1066.107 1068.313 1068.216 1076.881 1064.752 1062.052 1062.317 1066.692 1064.912 1060.519 1066.558 1056.984 1062.639 1066.721 1056.873 1108.368 1056.481 1094.723 1068.054 1094.138 1052.714 1048.579 1050.757 1044.664 1046.458 1067.088 1046.766 1054.618 1046.415 1044.833 1051.666 1053.946 1046.476 1061.621
tests/exhaustivity-V.scala, 3354, 2017-10-20T12:21:40Z, 271aaf0, 1838.911, Fri Oct 20 15:16:51 CEST 2017, 5242.489 2746.924 2518.918 2330.783 2622.438 2097.152 2090.660 2178.468 2093.938 2001.779 1960.392 1963.799 1954.911 2034.542 1998.115 1880.427 1867.977 1864.143 1895.462 1853.417 5143.679 2557.983 2020.968 1869.477 2103.645 2015.218 2117.443 1808.905 1710.056 1733.436 1750.227 1764.031 1766.872 1680.133 2142.406 1785.427 1639.509 1714.207 1637.962 1645.321 5213.771 3172.991 2338.149 2380.280 2588.353 2578.802 2470.315 2275.319 2154.142 2107.405 2086.825 2112.684 2082.792 2073.043 2102.908 2064.977 2049.911 2060.000 2231.604 2093.292 , 1867.602 1850.682 1852.250 1849.380 1904.763 1868.691 1861.693 1844.590 1843.246 1845.334 1844.619 1846.370 1853.577 1846.458 1844.499 1841.565 1836.181 1829.974 1835.239 1844.442 1832.530 1830.369 1838.463 1827.541 1870.002 1836.944 1837.418 1830.371 1839.898 1829.467 1821.944 1836.858 1825.251 1829.831 1831.266 1827.511 1828.365 1839.359 1825.252 1822.613 1602.514 1624.424 1638.925 1601.521 1592.243 1582.266 1586.781 1571.569 1574.278 1575.566 1566.691 1571.922 1573.839 1604.499 1581.185 1568.300 1575.129 1602.007 1582.955 1576.371 1600.601 1591.583 1721.953 1567.179 1564.710 1583.079 1623.824 1561.346 1565.008 1560.386 1558.996 1555.826 1549.940 1548.784 1577.785 1577.902 1607.157 1702.710 1567.786 1560.427 2107.784 2047.212 2018.580 2018.000 2031.525 2036.605 2054.536 2059.225 2020.073 2032.957 2024.924 2018.137 2023.475 1999.100 2090.395 1999.001 2003.373 2001.760 2025.593 2022.797 2009.350 2001.958 2000.086 2004.827 2011.612 1995.208 2002.784 1995.710 1987.066 1987.637 1995.669 2011.267 2316.150 2001.034 2024.565 2009.709 2003.297 1991.712 2001.097 1991.712
tests/implicitNums.scala, 3354, 2017-10-20T12:21:40Z, 271aaf0, 749.612, Fri Oct 20 15:17:44 CEST 2017, 7047.615 2961.889 1825.022 1508.237 1289.174 1477.776 1179.967 931.133 1338.666 1014.093 , 1048.127 819.880 782.880 761.312 764.834 787.003 750.600 768.459 746.548 756.717 790.602 748.624 740.269 740.380 742.912 737.185 745.945 734.896 729.860 731.768
tests/scalapb, 3354, 2017-10-20T12:21:40Z, 271aaf0, 7270.0775, Fri Oct 20 15:22:17 CEST 2017, 28482.945 16170.075 11495.587 8789.503 8285.885 8026.540 7749.623 7677.507 7561.023 7484.007 , 7508.695 7402.172 7400.401 7488.611 7475.547 7308.299 7300.735 7233.230 7252.777 7326.850 7283.550 7289.122 7256.605 7223.661 7238.438 7222.860 7211.297 7190.598 7184.390 7189.292
