dotty, 3723, 2018-01-01T19:31:09Z, 9f539f8, 33708.5075, Mon Jan  1 21:04:20 CET 2018, 70307.995 41104.247 37077.890 35750.339 35255.966 35776.061 34610.245 34587.262 34447.541 34460.168 34835.443 34241.122 34121.458 34056.523 34941.389 33994.129 33883.157 33776.651 34717.351 33750.409 33586.697 33730.138 34676.197 33698.692 33582.105 33578.233 34767.633 33620.041 33557.704 33618.929 , 34590.268 33724.912 33708.406 33767.779 34755.868 33759.366 33580.979 33632.820 34636.287 33708.609 33592.220 33623.633 34620.051 33634.825 33751.978 33671.930 34738.021 33650.951 33515.282 33314.561
tests/scala-library, 3723, 2018-01-01T19:31:09Z, 9f539f8, 5475.07, Mon Jan  1 21:09:49 CET 2018, 21684.713 10230.266 8498.460 7830.727 7115.992 6608.414 6296.059 6088.720 6052.845 5920.299 6027.653 5862.104 5772.848 5772.405 5728.215 5683.023 5659.547 5641.012 5666.533 5648.547 5594.601 5643.555 5569.399 5558.128 5515.723 5573.534 5532.221 5525.799 5577.655 5556.177 , 5461.307 5518.750 5568.864 5492.980 5496.425 5480.634 5477.579 5468.313 5472.130 5507.309 5483.761 5519.303 5471.573 5493.123 5457.505 5472.561 5458.492 5453.269 5459.389 5431.319
tests/implicit_cache.scala, 3723, 2018-01-01T19:31:09Z, 9f539f8, 94.476, Mon Jan  1 21:11:01 CET 2018, 2663.160 461.653 358.411 270.767 226.551 195.346 151.589 136.604 126.641 117.713 114.812 115.038 111.560 110.577 107.779 110.944 105.975 106.303 105.121 103.366 105.706 101.935 102.660 100.173 99.442 99.972 97.967 98.676 96.546 100.040 , 96.157 98.544 95.811 97.004 94.580 96.984 93.660 94.677 95.396 93.798 94.994 94.372 95.443 93.821 93.637 92.346 92.901 91.919 91.860 91.484
tests/implicit-scope-loop.scala, 3723, 2018-01-01T19:31:09Z, 9f539f8, 99.1675, Mon Jan  1 21:12:11 CET 2018, 2757.366 506.834 396.464 345.643 291.256 242.554 218.059 176.940 148.184 138.896 126.400 122.086 120.479 116.485 115.540 115.847 112.632 114.774 112.089 114.934 109.769 108.533 108.993 106.486 108.332 106.698 106.735 105.231 103.628 103.946 , 101.019 102.872 102.360 102.912 100.495 100.658 101.300 99.373 99.872 98.411 99.213 96.738 99.122 98.604 98.657 96.360 98.097 96.838 95.022 96.110
tests/i1535.scala, 3723, 2018-01-01T19:31:09Z, 9f539f8, 113.165, Mon Jan  1 21:13:23 CET 2018, 3153.169 693.395 434.672 341.961 274.514 237.232 214.708 181.821 159.671 150.807 158.452 151.369 154.955 155.085 144.778 142.335 140.505 139.597 136.749 132.497 133.781 129.898 127.127 127.123 125.109 122.832 124.512 123.196 121.589 118.797 , 120.723 117.692 115.693 118.332 115.342 116.123 115.376 112.613 111.804 113.716 112.252 111.257 114.226 111.739 109.485 114.153 112.183 109.314 109.288 112.614
tests/i1687.scala, 3723, 2018-01-01T19:31:09Z, 9f539f8, 66.5885, Mon Jan  1 21:14:32 CET 2018, 2430.961 384.561 291.318 242.982 206.657 177.759 157.102 128.478 105.536 95.561 84.776 81.506 79.643 79.464 81.254 80.216 78.751 75.643 74.445 73.781 73.676 73.514 70.956 70.782 72.550 70.532 70.502 68.983 69.721 68.305 , 68.410 69.771 68.818 68.390 67.554 67.561 66.159 70.282 65.803 66.546 67.033 67.882 66.451 65.796 66.498 66.031 66.631 65.300 66.221 65.224
tests/Vector.scala, 3723, 2018-01-01T19:31:09Z, 9f539f8, 552.1405, Mon Jan  1 21:18:13 CET 2018, 6295.256 2167.718 1646.654 1423.654 1359.482 1246.832 1130.985 1058.715 1032.199 941.885 865.583 815.458 814.354 784.163 730.608 715.554 688.015 687.205 669.555 635.947 6317.252 2161.864 1706.199 1474.601 1352.554 1328.190 1204.561 1129.857 1063.826 970.870 953.328 882.451 821.859 766.303 707.723 697.711 679.247 656.896 650.596 639.123 6410.647 2319.618 1749.629 1502.903 1335.786 1287.031 1172.179 1096.315 1021.832 937.154 918.716 881.672 824.180 835.520 788.438 751.159 751.186 711.201 688.887 662.212 , 635.539 622.239 617.023 602.762 595.927 610.745 591.001 581.087 578.836 559.949 557.415 548.396 551.663 537.583 546.817 532.367 554.069 537.228 533.249 527.526 544.200 533.333 537.061 532.958 532.091 531.384 523.487 524.393 531.957 525.916 652.294 620.696 623.046 613.272 619.472 600.528 599.739 592.656 605.337 577.223 578.040 570.781 568.258 551.602 550.728 542.395 550.551 540.802 530.958 525.826 537.370 533.074 535.627 532.432 537.264 523.736 519.519 540.543 519.531 521.467 684.588 648.832 639.632 617.791 635.999 617.477 605.307 598.084 605.261 580.376 575.215 573.733 576.127 566.179 570.571 557.881 569.455 552.801 552.618 544.908 561.537 546.090 545.353 548.881 549.176 534.999 530.889 537.525 542.740 529.612
tests/empty-class.scala, 3723, 2018-01-01T19:31:09Z, 9f539f8, 52.6915, Mon Jan  1 21:19:25 CET 2018, 2182.761 267.055 168.859 136.775 118.642 98.339 88.898 81.000 69.632 65.025 61.979 61.436 58.373 60.089 57.593 57.246 57.300 56.765 56.939 55.966 56.373 55.015 55.222 54.608 54.972 54.292 54.695 53.608 53.983 53.756 , 53.877 52.701 54.993 53.278 52.607 53.093 52.640 53.438 52.211 53.213 52.099 52.918 51.662 51.999 51.780 52.682 53.119 52.842 51.624 51.863
tests/empty-object.scala, 3723, 2018-01-01T19:31:09Z, 9f539f8, 54.145, Mon Jan  1 21:20:32 CET 2018, 2194.526 259.806 173.828 141.591 123.840 106.864 95.989 90.090 77.085 68.898 67.147 62.274 60.685 59.245 60.598 59.255 60.693 58.682 58.713 58.314 57.973 57.396 57.631 56.544 56.899 56.492 56.517 56.080 55.124 55.840 , 54.877 55.183 54.207 55.887 53.571 55.003 53.610 54.835 55.441 54.211 54.753 54.083 54.340 53.613 53.958 52.626 53.113 52.874 53.329 52.832
tests/empty-file.scala, 3723, 2018-01-01T19:31:09Z, 9f539f8, 37.6345, Mon Jan  1 21:21:40 CET 2018, 1655.195 185.462 106.318 87.455 77.642 67.719 61.213 54.525 51.101 45.509 42.911 41.483 42.026 41.098 40.216 40.214 39.506 39.848 39.071 39.589 39.231 38.526 39.426 38.418 39.263 38.779 38.095 38.737 38.159 38.602 , 39.693 37.897 38.075 37.480 38.064 38.088 37.600 38.034 37.557 38.125 37.817 37.206 37.748 37.456 37.654 37.529 37.122 37.615 37.191 37.534
tests/patmatexhaust.scala, 3723, 2018-01-01T19:31:09Z, 9f539f8, 282.1995, Mon Jan  1 21:25:38 CET 2018, 4733.667 1526.013 1236.456 1052.677 925.619 790.350 729.830 648.939 597.361 548.029 521.084 482.907 437.366 422.220 416.462 384.072 383.602 366.503 378.758 369.261 4898.780 1543.834 1239.803 1084.876 919.561 809.014 720.534 628.552 576.118 531.352 487.798 465.868 428.480 388.092 381.813 368.985 354.600 350.537 378.951 367.815 4788.783 1496.866 1203.619 1033.618 864.098 742.772 684.095 598.343 565.777 530.474 471.278 439.376 407.729 392.455 392.996 383.596 374.191 369.818 384.098 365.657 , 359.628 357.065 362.169 354.676 342.328 335.569 339.748 335.045 319.847 316.426 314.935 303.237 306.648 310.585 300.982 295.628 295.973 293.693 288.037 284.521 289.017 283.270 284.435 282.405 277.232 273.488 276.812 271.794 270.447 267.324 271.231 271.067 268.160 271.376 262.966 264.644 267.755 263.926 267.990 266.200 363.653 362.879 381.488 355.206 345.793 341.061 338.792 327.760 321.963 323.455 304.203 306.089 302.176 305.698 298.056 292.690 294.020 284.632 278.174 283.451 278.115 277.892 279.127 272.068 274.870 271.709 277.625 267.773 263.769 271.536 265.775 270.286 274.672 263.939 262.173 269.252 263.991 272.747 262.127 262.918 352.339 342.851 353.434 339.917 335.865 329.092 330.332 315.312 309.071 310.827 299.479 300.596 294.962 296.086 288.390 282.026 283.324 276.544 275.725 279.485 279.504 280.340 277.949 275.732 282.373 266.296 278.877 270.504 263.659 267.731 262.225 266.384 268.093 264.513 264.271 265.590 261.758 260.830 261.393 262.243
