dotty, 3868, 2018-01-18T20:26:46Z, f06cf71, 34216.7245, Thu Jan 18 22:00:59 CET 2018, 83293.868 44587.810 37290.561 36606.231 35793.917 35913.142 35041.020 35355.425 35112.912 35766.122 34581.299 34742.446 34620.086 35655.912 34495.244 34592.499 34404.392 35430.223 34369.950 34349.258 34387.859 35194.815 34314.112 34371.567 34290.819 35126.277 34246.978 34296.774 34236.203 35225.186 , 34289.182 34460.278 34189.921 35245.948 34150.877 34284.062 34170.847 35203.253 34148.009 34257.058 34214.064 35144.172 34143.340 34105.684 34102.893 35018.925 34211.813 34219.385 34163.119 35238.878
tests/scala-library, 3868, 2018-01-18T20:26:46Z, f06cf71, 5820.3525, Thu Jan 18 22:06:45 CET 2018, 24754.188 11234.646 8258.137 7320.704 8024.568 6569.863 6708.829 6288.607 6362.662 6228.908 6143.995 6127.921 6057.948 6074.114 6041.786 6406.728 6008.671 5939.274 5920.003 5972.742 6066.858 6486.985 6297.781 5900.100 5873.506 5898.990 5897.477 5901.396 6042.272 6583.104 , 6023.843 5868.841 5886.209 5840.015 5829.665 5824.166 5820.239 5764.176 5795.393 5772.539 5820.466 6075.239 5769.925 5782.090 5909.670 5810.106 5758.411 5785.434 5821.310 5764.861
tests/implicit_cache.scala, 3868, 2018-01-18T20:26:46Z, f06cf71, 96.555, Thu Jan 18 22:07:56 CET 2018, 2919.278 527.529 531.194 410.703 316.255 259.919 209.146 169.561 180.715 152.093 138.604 141.934 118.300 112.221 110.830 111.582 107.901 108.635 106.067 108.570 102.870 102.566 103.407 100.722 102.040 101.192 102.045 99.898 98.645 99.241 , 97.740 101.071 104.139 100.028 100.051 97.800 96.115 95.641 95.686 97.099 96.551 93.174 94.284 98.257 94.424 93.336 115.355 96.559 93.487 91.799
tests/implicit-scope-loop.scala, 3868, 2018-01-18T20:26:46Z, f06cf71, 100.655, Thu Jan 18 22:09:07 CET 2018, 2894.747 517.679 418.785 378.553 268.358 216.536 180.584 183.176 159.051 129.574 128.404 126.516 130.845 124.301 122.092 147.093 122.684 116.703 111.697 114.574 110.799 110.153 121.455 115.998 112.673 107.278 118.237 114.468 106.700 112.649 , 104.740 104.586 104.561 103.215 132.039 100.909 105.813 100.868 101.276 101.653 99.535 100.442 97.698 100.250 98.506 99.419 96.782 100.389 97.178 98.215
tests/i1535.scala, 3868, 2018-01-18T20:26:46Z, f06cf71, 112.032, Thu Jan 18 22:10:21 CET 2018, 3197.969 859.270 600.473 438.088 282.460 244.979 283.781 239.915 197.929 186.987 166.778 197.371 189.724 154.796 146.125 133.620 130.633 131.572 129.888 130.416 125.730 132.182 125.912 137.260 121.739 121.514 118.924 120.855 119.854 146.420 , 122.715 118.152 130.511 115.136 115.098 114.577 113.670 114.566 111.075 111.042 113.807 111.290 109.906 110.562 109.154 109.387 112.774 107.403 110.606 108.727
tests/i1687.scala, 3868, 2018-01-18T20:26:46Z, f06cf71, 70.8405, Thu Jan 18 22:11:31 CET 2018, 2534.546 437.005 385.242 305.732 242.240 209.875 180.041 145.352 125.116 96.216 87.570 83.861 83.595 84.852 80.647 78.074 81.414 87.428 80.739 75.322 75.934 78.389 75.313 73.133 76.551 76.055 76.118 75.873 71.700 76.502 , 70.869 70.812 70.788 69.898 79.328 84.276 81.580 76.459 72.664 72.126 70.259 72.181 77.657 72.005 68.527 67.974 68.710 67.862 67.826 68.346
tests/Vector.scala, 3868, 2018-01-18T20:26:46Z, f06cf71, 547.8925, Thu Jan 18 22:15:20 CET 2018, 6653.826 3116.566 1897.387 1295.697 1652.366 1593.016 1343.670 1060.084 917.809 823.129 879.909 888.352 692.003 677.302 673.198 644.897 642.918 653.086 615.191 586.652 7601.244 2569.467 1862.515 1485.904 1727.056 1541.975 1215.170 1309.854 886.345 846.237 952.243 749.685 684.061 678.283 658.880 645.071 647.699 609.680 603.820 810.570 7437.923 2860.349 1839.965 1832.102 1638.425 1537.906 1431.769 1318.130 917.582 851.076 1111.245 768.798 740.060 799.365 651.272 705.664 641.970 624.683 635.211 609.594 , 598.164 580.509 659.347 581.569 576.093 603.377 596.712 561.983 561.793 554.247 545.683 548.373 556.014 541.715 541.551 540.450 547.853 541.781 530.163 529.772 544.830 536.293 542.410 536.744 522.834 636.505 582.044 561.009 527.211 522.506 814.044 590.477 725.859 599.187 616.062 658.868 612.534 574.897 560.448 549.354 547.412 582.033 547.825 540.012 539.719 550.691 558.448 539.753 535.332 541.292 535.937 533.474 552.620 526.134 522.818 524.955 569.567 528.056 526.601 520.511 609.042 585.709 579.731 581.328 637.176 585.249 562.491 579.991 559.361 544.120 547.118 542.140 575.300 607.531 675.585 575.888 541.891 532.234 532.522 537.954 530.043 529.510 533.233 584.770 521.523 528.998 523.156 547.932 526.260 520.518
tests/empty-class.scala, 3868, 2018-01-18T20:26:46Z, f06cf71, 53.7765, Thu Jan 18 22:16:30 CET 2018, 2257.373 277.649 231.691 170.244 132.951 116.596 107.575 86.049 72.117 64.686 63.400 61.317 62.365 61.071 59.635 60.244 61.027 59.650 58.971 60.337 59.615 58.569 56.562 60.075 56.661 58.925 55.210 56.433 55.004 55.666 , 57.802 54.944 53.997 54.252 55.418 54.457 53.320 54.201 54.103 53.551 54.923 53.246 53.556 52.849 54.067 52.529 53.416 52.727 52.757 52.256
tests/empty-object.scala, 3868, 2018-01-18T20:26:46Z, f06cf71, 54.221, Thu Jan 18 22:17:39 CET 2018, 2338.216 293.089 177.608 191.869 158.744 112.891 101.098 110.236 78.240 65.224 65.449 63.115 64.029 60.887 62.036 61.956 60.392 58.674 58.338 63.108 70.621 59.191 56.858 58.143 60.593 56.328 57.490 57.468 56.659 58.674 , 55.117 55.155 54.356 55.072 54.612 54.440 53.761 54.395 53.308 54.333 53.673 54.836 53.633 54.024 53.753 53.733 53.000 54.628 52.562 54.109
tests/empty-file.scala, 3868, 2018-01-18T20:26:46Z, f06cf71, 37.752, Thu Jan 18 22:18:47 CET 2018, 1761.314 267.296 154.309 116.231 98.347 69.972 52.150 48.181 50.214 42.666 42.564 40.641 40.761 40.230 40.677 40.028 38.883 39.256 38.775 39.416 38.472 40.159 38.765 37.981 38.995 37.951 38.528 38.516 37.945 38.573 , 37.756 38.663 38.817 37.601 38.745 37.622 38.989 37.637 37.528 38.141 38.139 38.021 37.977 37.340 38.217 37.473 37.748 37.288 37.338 37.617
tests/patmatexhaust.scala, 3868, 2018-01-18T20:26:46Z, f06cf71, 275.6235, Thu Jan 18 22:22:50 CET 2018, 5332.557 2136.298 1662.650 1384.037 1235.302 925.670 724.010 686.604 559.833 674.125 545.278 627.426 551.063 431.544 381.536 367.268 383.697 361.893 323.801 356.563 4974.379 1641.123 1467.412 1028.641 915.029 879.535 874.869 810.129 644.240 596.062 470.036 560.064 406.768 474.636 454.557 429.398 421.873 352.130 337.025 327.149 5503.078 2092.011 1274.709 1021.034 1087.862 938.409 689.377 827.032 735.402 566.665 574.515 429.918 474.323 502.004 393.073 399.485 366.173 348.029 323.640 363.844 , 368.110 335.581 307.619 307.190 294.575 289.550 291.963 284.965 280.786 284.671 278.853 277.621 271.942 278.566 275.428 270.117 278.276 271.302 278.480 267.216 264.247 293.207 271.246 264.307 261.979 266.862 275.129 260.363 258.258 262.951 258.457 300.545 265.800 274.630 310.714 271.476 254.378 254.939 252.314 258.891 335.210 342.311 338.885 324.003 318.373 347.006 306.773 294.102 298.318 298.411 284.323 286.845 286.117 282.325 281.056 277.951 310.001 271.410 268.075 279.028 271.933 273.062 270.795 267.873 264.012 271.197 279.411 259.892 264.976 259.498 259.650 266.376 263.730 254.921 255.508 261.086 256.312 256.494 257.305 252.591 320.711 307.493 313.178 383.448 363.647 304.606 297.800 287.257 284.802 289.249 283.583 285.154 285.107 281.053 278.444 275.200 279.319 275.819 276.045 278.461 268.734 274.415 277.149 265.955 263.082 268.435 272.520 262.330 259.580 294.770 264.767 303.052 268.452 258.487 279.329 261.587 255.502 258.248 260.383 254.027
tests/exhaustivity-I.scala, 3868, 2018-01-18T20:26:46Z, f06cf71, 153.6485, Thu Jan 18 22:26:37 CET 2018, 3971.396 1330.374 812.519 713.446 653.860 623.010 551.757 483.653 396.470 328.361 298.949 236.721 224.892 213.637 228.949 194.699 190.347 188.568 181.108 180.619 3919.721 1465.006 1208.710 896.918 581.827 591.020 607.311 558.179 428.635 312.942 304.471 275.451 264.492 247.671 234.552 222.058 205.473 206.433 194.631 188.298 4135.319 1211.529 1022.646 788.791 734.589 650.180 562.556 483.663 365.360 337.680 371.120 289.346 267.388 293.089 225.868 216.274 194.859 188.747 187.345 183.033 , 179.072 174.230 170.449 170.877 167.266 164.247 168.507 162.191 161.712 161.656 158.274 157.581 161.050 157.445 162.692 157.686 156.258 155.184 153.493 153.025 155.426 151.378 154.708 146.855 147.969 150.899 149.334 145.661 147.176 145.502 146.074 147.094 144.512 145.429 145.396 146.816 147.842 146.675 145.954 146.795 177.561 174.959 172.482 167.302 167.451 162.250 164.089 162.899 158.358 158.502 160.220 157.700 159.203 160.363 158.038 162.563 155.281 155.926 153.319 152.232 150.648 153.090 150.934 149.194 148.483 147.005 150.834 148.562 146.488 147.448 148.911 149.708 146.276 146.169 147.656 145.972 146.065 147.127 146.215 146.340 177.943 180.771 174.897 173.791 170.751 164.496 162.910 166.210 159.226 159.762 159.533 156.842 158.164 155.469 157.772 159.979 155.223 152.998 153.174 152.500 153.804 166.754 186.350 157.043 155.351 146.027 148.227 147.162 144.867 146.077 144.489 145.861 143.399 143.020 144.554 143.000 143.423 144.418 142.776 143.612
tests/exhaustivity-S.scala, 3868, 2018-01-18T20:26:46Z, f06cf71, 259.3885, Thu Jan 18 22:30:28 CET 2018, 4096.034 1322.671 1153.939 766.982 595.428 500.293 482.210 555.264 400.335 369.682 423.495 313.980 313.732 343.391 320.843 301.252 297.102 305.830 299.750 320.456 4022.266 1717.946 652.610 1021.278 717.465 430.654 380.646 349.557 333.427 331.684 343.481 304.519 288.504 281.607 279.686 275.436 271.589 269.818 268.983 266.724 3950.028 1374.041 843.119 789.484 531.168 403.263 381.596 351.058 330.091 300.460 290.742 290.168 285.179 277.492 272.178 267.605 267.709 286.284 264.547 266.222 , 292.441 320.324 298.215 294.665 303.339 285.625 281.769 278.487 306.571 276.481 274.483 275.378 275.911 274.293 275.864 271.967 272.546 276.536 273.063 272.520 273.912 359.962 299.596 271.352 272.809 269.880 268.800 272.093 272.593 270.085 283.168 272.232 298.585 292.745 267.235 266.678 267.883 268.575 270.455 265.737 267.215 265.018 265.785 264.846 262.324 273.122 270.845 265.601 269.843 258.077 257.690 256.591 258.912 254.626 252.977 254.021 257.196 253.475 256.561 252.164 254.962 257.140 253.790 254.700 259.885 251.659 251.514 250.334 250.233 254.639 249.710 252.728 251.177 250.229 248.411 248.611 250.362 248.333 249.086 249.518 259.093 259.565 259.212 267.184 258.066 255.648 253.249 255.215 250.405 250.142 267.151 260.765 295.146 255.049 256.222 262.274 247.416 247.874 247.159 260.490 246.425 246.283 250.329 257.443 263.856 268.695 244.643 244.259 243.283 246.147 245.617 243.043 244.440 244.658 244.799 242.443 241.851 277.115 240.558 241.259
tests/exhaustivity-T.scala, 3868, 2018-01-18T20:26:46Z, f06cf71, 919.784, Thu Jan 18 22:35:59 CET 2018, 4606.210 2616.368 1501.162 1287.419 1356.462 1212.475 1177.266 1189.122 1221.932 1224.512 1139.203 1066.792 1055.561 1018.926 1021.930 1079.003 979.962 979.700 983.789 1038.494 4725.208 2463.027 1404.134 1254.492 1559.921 1371.588 1407.148 1206.316 1058.925 1094.585 1039.420 988.509 974.632 967.483 953.224 949.900 1008.267 1007.331 946.154 942.253 4814.754 2296.825 1388.334 1456.646 1350.570 1150.771 1225.486 1107.181 1131.563 1152.174 1139.979 1045.326 1082.080 1152.703 1048.774 1003.985 1178.813 1050.218 1057.298 1061.657 , 958.769 948.523 955.585 960.230 945.157 939.843 936.767 930.743 923.709 928.202 925.143 925.431 910.798 918.248 906.913 910.623 921.320 915.570 900.869 905.520 908.910 914.552 906.730 922.469 903.253 911.241 914.721 908.999 898.433 896.528 915.732 907.081 897.723 896.832 896.776 924.855 896.149 897.741 894.862 894.397 948.604 947.551 911.597 916.298 909.914 959.005 958.924 940.976 899.401 894.177 896.385 893.465 893.403 894.477 897.280 886.608 890.302 890.965 894.230 886.120 886.547 890.297 898.772 887.752 900.060 890.238 884.403 883.885 885.056 898.232 888.246 904.928 894.738 892.521 883.013 883.254 887.964 879.223 877.696 880.826 1016.226 1022.246 1004.792 976.616 971.677 966.529 965.606 962.053 956.778 973.483 952.256 961.238 947.440 950.538 945.417 961.468 964.873 943.493 964.943 940.744 935.727 951.756 948.954 933.771 936.236 938.921 932.246 944.027 929.982 930.381 932.211 941.790 934.764 942.584 939.128 930.419 927.598 926.451 931.113 928.788
