dotty, 3239, 2017-10-04T08:49:46Z, ce87f2a, 36947.9935, Wed Oct  4 11:13:23 CEST 2017, 81649.298 43171.908 39472.373 38954.834 38418.332 38492.538 37491.271 37320.096 37445.968 37476.984 , 37919.506 36953.262 37248.972 37002.030 38249.454 36942.725 37059.031 37338.609 38334.305 36822.641 36696.853 36891.432 37555.456 36353.270 36400.101 36443.829 37222.207 36556.455 36509.787 36465.347
tests/scala-library, 3239, 2017-10-04T08:49:46Z, ce87f2a, 6308.5515, Wed Oct  4 11:17:05 CEST 2017, 23383.863 11757.518 9918.060 7815.461 7009.501 6697.344 7014.736 6552.383 6626.685 6465.619 , 6481.528 6396.619 6294.606 6321.251 6302.798 6314.305 6379.094 6425.335 6353.141 6648.103 6553.275 6287.016 6321.877 6235.545 6212.899 6243.769 6273.918 6213.013 6216.561 6252.846
tests/implicit_cache.scala, 3239, 2017-10-04T08:49:46Z, ce87f2a, 115.468, Wed Oct  4 11:17:42 CEST 2017, 2829.891 699.566 528.249 435.375 347.113 262.003 203.958 216.898 146.210 143.441 , 136.709 131.276 131.270 124.156 139.445 169.463 139.211 121.565 115.793 120.583 115.143 112.317 113.859 111.930 112.664 109.788 111.869 112.923 111.233 110.199
tests/implicit-scope-loop.scala, 3239, 2017-10-04T08:49:46Z, ce87f2a, 121.7175, Wed Oct  4 11:18:20 CEST 2017, 2978.997 651.668 455.696 371.376 238.399 202.015 177.688 160.785 164.809 172.949 , 141.837 136.599 137.427 128.262 129.137 128.006 126.356 127.178 120.683 122.156 121.279 119.499 117.002 123.540 116.612 116.114 115.266 115.042 117.730 113.322
tests/i1535.scala, 3239, 2017-10-04T08:49:46Z, ce87f2a, 156.077, Wed Oct  4 11:18:58 CEST 2017, 3482.885 802.826 668.668 576.688 402.280 336.470 264.096 241.367 260.648 208.827 , 266.529 223.905 180.589 171.235 168.739 163.989 167.569 161.917 158.722 155.681 156.473 155.508 152.351 151.021 152.179 151.080 147.714 149.300 147.668 147.392
tests/i1687.scala, 3239, 2017-10-04T08:49:46Z, ce87f2a, 99.565, Wed Oct  4 11:19:34 CEST 2017, 2818.878 631.144 459.829 340.895 261.934 184.020 171.801 191.334 176.730 133.494 , 119.496 108.751 107.997 104.467 109.221 101.424 101.763 111.594 121.537 101.222 97.547 96.576 97.782 95.792 97.908 95.291 97.419 95.253 96.043 94.967
tests/Vector.scala, 3239, 2017-10-04T08:49:46Z, ce87f2a, 618.0085, Wed Oct  4 11:23:24 CEST 2017, 7350.347 2389.253 1731.014 1674.897 2077.925 1909.004 1644.024 1620.732 1546.417 1435.978 1369.023 948.055 812.036 750.226 716.013 718.750 730.346 689.094 670.077 660.304 6964.142 2332.105 1898.671 2080.433 1765.306 1789.910 1540.931 1445.805 1158.168 1020.928 1233.613 910.093 737.837 726.794 686.657 675.747 683.034 650.370 655.401 641.269 7068.398 2981.219 2379.320 2079.578 1335.598 1460.596 1014.400 956.632 948.756 1287.272 1055.285 767.095 852.743 732.541 713.631 708.180 680.352 863.440 855.398 704.364 , 674.783 737.497 760.806 678.377 662.619 728.987 655.730 648.429 631.001 634.464 633.787 625.107 622.709 683.316 633.653 614.409 614.253 626.647 725.868 613.116 603.599 618.463 616.108 618.547 625.797 689.400 600.432 602.161 661.229 599.003 644.944 624.342 620.348 635.602 617.436 657.585 628.275 772.292 597.457 598.710 598.448 593.168 588.804 587.094 598.590 587.109 579.511 593.153 587.172 584.729 571.331 580.956 574.158 573.978 586.957 573.419 575.565 567.886 618.296 573.137 660.968 641.460 657.276 826.984 633.233 629.700 672.997 663.831 655.975 637.115 671.841 617.721 606.123 610.838 604.449 602.311 615.449 595.516 593.639 591.315 598.801 610.456 659.835 649.986 588.659 587.625 589.085 684.084 645.069 582.262
tests/empty-class.scala, 3239, 2017-10-04T08:49:46Z, ce87f2a, 77.7575, Wed Oct  4 11:23:59 CEST 2017, 2376.744 303.743 311.289 220.685 173.901 139.551 111.161 106.833 101.269 92.835 , 85.800 80.190 81.394 78.676 81.181 77.610 79.355 79.124 78.499 77.650 77.865 76.421 77.963 74.925 77.512 74.370 76.211 74.968 76.840 73.852
tests/empty-object.scala, 3239, 2017-10-04T08:49:46Z, ce87f2a, 78.7455, Wed Oct  4 11:24:34 CEST 2017, 2367.948 409.110 307.696 237.325 157.754 163.235 157.144 128.889 98.234 86.384 , 86.524 91.011 84.497 80.496 81.554 79.457 79.770 78.342 77.683 79.149 80.402 80.529 76.679 77.944 78.333 78.218 74.804 78.113 75.209 77.045
tests/empty-file.scala, 3239, 2017-10-04T08:49:46Z, ce87f2a, 63.0235, Wed Oct  4 11:25:08 CEST 2017, 2003.626 256.883 192.573 149.474 161.656 128.444 87.236 79.870 71.011 67.687 , 64.941 65.916 64.205 64.989 74.415 64.432 63.889 62.886 63.368 61.752 66.937 62.047 62.582 61.106 62.519 61.012 63.161 61.102 62.217 61.564
tests/patmatexhaust.scala, 3239, 2017-10-04T08:49:46Z, ce87f2a, 321.638, Wed Oct  4 11:29:08 CEST 2017, 5247.276 1662.981 1330.845 1146.644 1020.958 985.129 1140.099 841.628 691.839 598.426 565.778 678.210 704.535 615.415 484.806 530.769 409.084 388.722 405.002 469.072 5891.496 2052.891 1650.670 1476.697 942.776 838.676 1019.002 963.919 867.158 602.250 528.778 561.304 474.158 522.616 621.530 565.915 560.826 393.160 408.751 361.057 5471.107 1725.748 1721.056 1421.481 979.170 756.964 912.525 735.756 639.914 600.449 540.538 466.065 518.560 471.847 508.008 408.558 397.066 396.960 411.543 373.871 , 386.315 389.967 493.629 379.038 370.266 360.351 364.544 351.048 349.737 362.763 433.925 400.229 340.165 339.668 330.646 334.616 333.686 322.506 322.081 347.282 342.094 312.874 322.113 307.022 311.029 315.119 314.494 304.179 313.592 304.395 309.096 315.194 304.968 309.614 302.351 299.835 312.652 296.286 296.116 300.892 359.300 364.217 363.451 343.984 350.644 341.416 340.000 334.380 335.126 339.836 330.799 376.444 393.868 382.382 428.762 337.595 327.794 315.054 314.697 317.617 314.707 316.059 315.548 347.982 317.409 324.470 310.984 315.686 309.282 304.602 320.370 301.831 301.731 307.508 298.728 318.136 301.038 296.643 303.279 306.566 515.069 372.800 355.921 352.823 350.967 349.362 348.361 351.089 338.561 429.246 428.869 365.841 327.481 325.251 323.703 334.024 322.488 321.195 323.666 315.021 321.133 314.033 311.766 316.019 314.795 308.044 311.611 303.378 303.137 383.868 306.528 300.345 302.244 294.391 296.674 300.065 292.879 302.560 297.847 300.054
