dotty, 4292, 2018-04-11T16:22:18Z, 4062073, Wed Apr 11 18:57:32 CEST 2018, 79114.133 43588.229 38581.283 36638.431 37407.413 36178.462 35489.173 35501.024 36317.804 34977.025 35134.214 35012.940 35963.568 34939.683 35373.371 35237.838 35737.073 34722.023 34946.664 34671.743 35341.621 34549.320 34434.407 34591.801 35059.158 34506.757 34470.590 34556.894 35093.514 34434.228 , 34480.960 34472.683 35158.200 34405.345 34387.081 34601.021 35167.994 34497.647 34481.846 34592.704 34996.303 34362.386 34598.938 34455.765 35167.781 34454.708 34283.158 34574.026 35104.273 34547.704
scala-library, 4292, 2018-04-11T16:22:18Z, 4062073, Wed Apr 11 19:03:48 CEST 2018, 27549.570 13869.604 9810.241 8011.304 7566.893 7470.765 6963.396 6857.558 6874.161 6672.182 6644.206 6645.355 6588.529 6596.228 6561.162 6565.281 6511.293 6503.326 6570.768 6539.918 6515.271 6536.450 6466.532 6419.127 6753.945 6448.287 6424.838 6469.988 6502.038 6464.464 , 6729.327 6438.050 6457.378 6360.706 6346.860 6359.732 6368.982 6330.346 6382.913 6312.464 6393.473 6398.950 6395.996 6362.355 6411.408 6348.673 6342.979 6333.290 6368.505 6292.961
re2s, 4292, 2018-04-11T16:22:18Z, 4062073, Wed Apr 11 19:06:45 CEST 2018, 15380.313 8096.592 4783.814 4525.172 3858.197 3207.703 3103.821 2967.373 2943.184 3317.046 2930.394 2850.991 2971.621 2927.937 2786.336 2743.787 2723.351 2713.281 2731.100 2778.469 2718.918 2932.579 2784.887 2694.491 2690.050 2712.491 2691.333 2689.411 2677.805 2670.195 , 2661.257 2639.773 2666.990 2646.138 2640.023 2650.588 2679.540 2648.416 2658.734 2614.245 2658.644 2661.071 2625.473 2636.541 2610.623 2647.467 2646.108 2635.871 2692.733 2608.670
implicit-cache, 4292, 2018-04-11T16:22:18Z, 4062073, Wed Apr 11 19:07:57 CEST 2018, 2887.324 461.703 379.260 338.479 248.420 212.553 198.891 152.472 142.957 140.161 120.089 118.009 112.375 114.036 112.597 107.968 108.065 105.594 107.750 104.377 104.017 101.717 101.162 102.257 101.105 109.761 99.599 100.792 98.071 99.951 , 100.395 97.230 100.233 100.353 100.894 96.725 97.253 94.131 96.804 98.411 93.345 94.326 93.801 94.604 94.991 93.016 91.963 93.411 92.113 93.467
implicit-scope-loop, 4292, 2018-04-11T16:22:18Z, 4062073, Wed Apr 11 19:09:08 CEST 2018, 3003.995 512.367 458.084 405.650 313.460 282.531 185.263 156.935 180.351 137.597 128.566 122.063 130.352 118.772 117.329 113.438 111.326 112.420 109.877 112.028 108.782 108.806 105.905 109.238 105.636 104.603 106.786 102.199 105.320 103.301 , 121.723 103.528 101.453 103.647 99.197 101.528 99.044 100.759 97.605 99.378 99.429 96.729 99.383 98.830 98.638 96.654 98.037 94.609 95.490 93.832
i1535, 4292, 2018-04-11T16:22:18Z, 4062073, Wed Apr 11 19:10:21 CEST 2018, 3252.924 807.410 637.730 471.580 367.955 300.046 288.622 234.692 224.481 200.301 182.082 171.778 149.043 142.430 163.982 136.899 152.327 139.749 132.044 131.004 128.140 128.872 131.251 124.457 126.585 120.924 120.907 128.815 119.805 119.041 , 118.564 117.063 115.904 116.070 114.913 113.963 117.083 121.213 112.778 114.198 111.645 112.208 114.243 111.491 112.395 112.371 113.475 110.077 112.695 110.213
i1687, 4292, 2018-04-11T16:22:18Z, 4062073, Wed Apr 11 19:11:30 CEST 2018, 2591.800 411.604 282.730 257.447 240.479 201.579 118.931 101.208 91.564 89.701 85.880 81.859 78.389 79.768 77.130 76.849 76.477 74.568 74.627 73.328 77.180 74.689 74.259 74.946 74.869 73.507 74.456 75.567 73.722 70.880 , 70.536 68.219 68.572 68.116 67.806 67.915 66.224 67.847 66.427 68.218 67.123 68.748 66.233 71.252 69.681 65.653 67.970 67.809 69.414 65.888
vector, 4292, 2018-04-11T16:22:18Z, 4062073, Wed Apr 11 19:15:17 CEST 2018, 7194.897 2430.678 1583.467 1944.308 1786.164 1595.697 1038.571 1210.304 891.464 824.962 766.445 716.511 686.042 682.662 651.174 630.096 627.603 762.415 618.367 592.049 7317.629 2740.566 2110.372 1985.030 1818.988 1628.888 1615.043 1061.564 911.689 884.497 775.589 720.834 689.890 682.519 643.303 659.534 687.389 728.206 587.946 577.867 6800.232 2497.366 2077.183 1710.283 1460.720 1279.034 1430.954 1256.750 883.309 803.063 822.360 877.009 672.150 680.828 648.377 637.040 629.561 609.769 597.584 600.037 , 596.460 780.935 572.562 559.330 564.945 567.524 550.931 555.302 708.261 588.099 533.541 534.676 561.685 527.663 530.698 531.779 538.429 539.177 568.645 529.728 523.565 520.157 538.609 537.873 534.156 524.556 512.559 514.960 517.561 515.448 675.038 586.870 575.116 565.801 589.557 565.331 540.262 532.435 565.055 525.206 521.715 524.440 550.511 516.749 518.372 510.411 526.764 508.203 502.796 499.167 514.311 502.241 496.846 501.662 500.373 558.380 530.445 492.547 514.361 503.714 634.346 574.126 570.499 553.637 561.306 548.804 543.073 537.304 548.253 522.075 520.948 520.106 532.971 518.984 515.766 520.514 529.726 517.147 504.076 501.199 512.969 504.712 504.564 526.383 522.302 520.197 516.927 502.946 503.538 492.600
vector-opt, 4292, 2018-04-11T16:22:18Z, 4062073, Wed Apr 11 19:23:07 CEST 2018, 6809.684 2677.762 2293.847 1532.599 1368.673 1419.632 1563.705 1145.358 1300.011 1168.852 1093.729 881.955 846.336 679.427 703.440 648.004 789.830 672.849 738.965 688.718 6682.468 2332.690 1565.432 1344.474 1259.408 1390.390 1237.829 1222.422 1306.681 978.046 941.916 779.950 759.071 814.734 672.820 655.912 634.058 641.560 623.981 595.903 6900.561 2650.282 1742.009 1282.590 1277.724 1703.970 1540.994 1442.681 1379.194 871.674 1240.393 821.107 727.780 697.431 752.240 635.480 631.285 733.928 675.470 601.680 , 597.663 598.564 654.030 617.881 575.167 562.650 572.805 554.615 541.701 543.581 544.726 536.743 536.145 529.656 547.693 529.245 533.004 531.849 552.414 522.510 515.439 520.343 526.647 518.353 514.389 509.494 522.072 511.829 513.860 510.749 628.218 585.238 591.670 575.008 584.575 562.987 551.860 609.156 623.928 590.657 565.557 534.278 528.845 528.569 522.880 518.273 544.878 639.586 522.635 523.630 518.281 513.299 522.380 584.170 517.141 512.697 547.357 514.088 554.633 512.100 601.188 656.071 650.301 756.174 572.657 568.996 559.804 546.337 538.634 546.566 531.714 526.119 522.946 538.546 523.332 524.455 519.864 580.133 548.872 519.851 506.805 528.257 518.362 515.838 514.168 515.767 510.884 510.717 530.641 603.513
empty-class, 4292, 2018-04-11T16:22:18Z, 4062073, Wed Apr 11 19:24:16 CEST 2018, 2383.419 282.573 184.149 148.679 164.290 106.912 83.949 78.518 103.033 93.591 64.779 70.580 64.144 62.334 61.220 59.355 58.901 59.258 58.020 58.141 57.446 58.672 60.040 59.104 55.950 57.035 56.050 58.835 55.149 54.910 , 54.171 54.780 53.512 54.151 55.752 60.878 53.708 54.327 53.422 58.140 54.147 54.623 53.376 54.132 53.158 53.912 53.260 52.760 53.990 53.024
