dotty, 3370, 2017-10-24T08:20:49Z, 5c36cb8, 34186.223, Tue Oct 24 10:43:07 CEST 2017, 80207.624 40449.124 36968.817 35858.530 35840.111 35334.266 34624.254 34538.039 34696.631 34650.230 , 34929.359 34176.942 34324.151 34431.921 35222.072 34156.130 34122.928 34320.313 35141.301 33856.528 33954.534 34198.937 34862.469 33688.641 33710.481 34132.949 34898.104 33563.611 33758.738 34195.504
tests/scala-library, 3370, 2017-10-24T08:20:49Z, 5c36cb8, 5920.3725, Tue Oct 24 10:46:37 CEST 2017, 24513.369 10716.057 9674.856 7299.649 6652.176 6987.270 6582.842 6082.435 6072.605 6054.368 , 6022.869 6003.899 5965.297 5920.824 5930.979 5923.790 5942.025 5896.605 5902.035 5867.985 5881.291 5944.212 5866.978 5831.889 5885.142 5888.813 5939.922 5835.216 5919.921 5998.442
tests/implicit_cache.scala, 3370, 2017-10-24T08:20:49Z, 5c36cb8, 119.3765, Tue Oct 24 10:47:14 CEST 2017, 3078.613 587.128 381.882 311.034 268.391 300.411 190.123 152.432 145.928 153.418 , 132.099 127.916 126.184 137.232 123.018 122.641 120.137 121.925 121.287 118.616 116.209 113.577 113.476 132.749 115.137 117.485 112.237 113.489 116.936 110.602
tests/implicit-scope-loop.scala, 3370, 2017-10-24T08:20:49Z, 5c36cb8, 123.8475, Tue Oct 24 10:47:51 CEST 2017, 2993.962 617.353 458.689 381.381 310.406 230.856 226.923 160.491 178.747 145.322 , 135.482 140.572 143.214 142.521 132.573 127.995 128.892 121.668 123.926 124.113 123.769 119.900 117.129 120.568 116.565 119.407 115.052 115.124 117.457 126.606
tests/i1535.scala, 3370, 2017-10-24T08:20:49Z, 5c36cb8, 149.103, Tue Oct 24 10:48:29 CEST 2017, 3461.239 769.676 696.176 465.709 371.439 314.759 296.709 227.960 193.597 179.340 , 187.099 164.107 211.856 184.862 178.068 153.496 159.324 150.982 148.088 156.517 149.626 145.661 148.580 147.437 144.152 145.681 140.999 140.079 141.022 137.565
tests/i1687.scala, 3370, 2017-10-24T08:20:49Z, 5c36cb8, 102.5355, Tue Oct 24 10:49:04 CEST 2017, 2725.546 611.874 501.651 373.190 261.596 294.212 209.507 148.522 138.709 156.479 , 114.229 113.964 114.772 106.020 106.697 111.203 103.367 107.263 101.704 101.652 100.694 112.146 101.597 97.588 98.687 104.326 101.028 98.541 97.440 97.616
tests/Vector.scala, 3370, 2017-10-24T08:20:49Z, 5c36cb8, 578.8045, Tue Oct 24 10:52:43 CEST 2017, 7434.941 2846.217 2336.083 1977.320 1348.383 1315.502 1398.560 1023.518 970.545 1045.780 791.821 753.596 722.155 712.604 684.758 666.115 687.147 829.421 640.772 647.812 7592.083 2284.383 2091.258 1952.447 1251.852 1407.707 1519.372 1428.774 1330.909 1174.143 828.897 776.308 702.135 764.728 657.291 644.942 655.657 633.457 636.350 628.985 7854.266 2824.075 2027.426 2033.696 1867.225 1332.705 1070.193 1075.115 1365.472 1229.725 1021.684 823.155 1053.711 725.555 686.235 767.763 654.716 676.486 644.557 712.784 , 630.661 619.591 607.841 628.745 590.429 591.852 601.417 596.539 650.352 578.391 598.823 599.827 569.662 612.924 717.203 568.354 571.868 582.740 558.667 558.301 573.761 559.073 561.817 562.374 565.350 553.543 552.064 568.094 553.902 552.087 688.554 643.621 600.877 618.521 592.463 581.686 587.088 600.885 587.918 583.567 580.854 578.071 572.454 571.587 593.005 631.407 565.464 579.218 561.605 553.031 551.385 564.059 553.513 618.071 660.904 549.844 566.932 569.986 565.857 544.412 762.373 625.389 643.263 622.069 782.212 600.085 591.955 604.613 642.438 594.465 586.946 583.083 591.991 577.745 580.808 642.026 576.618 570.614 577.225 572.347 564.657 563.895 573.182 564.422 570.954 566.323 568.623 563.194 568.097 571.227
tests/empty-class.scala, 3370, 2017-10-24T08:20:49Z, 5c36cb8, 80.245, Tue Oct 24 10:53:17 CEST 2017, 2424.443 348.210 231.715 182.274 155.108 137.715 169.349 127.840 112.493 91.500 , 85.913 83.988 84.041 81.082 82.357 80.024 80.813 80.316 83.786 78.969 80.174 80.481 77.651 80.581 77.461 80.090 78.346 77.472 75.633 77.059
tests/empty-object.scala, 3370, 2017-10-24T08:20:49Z, 5c36cb8, 79.89, Tue Oct 24 10:53:52 CEST 2017, 2466.936 503.447 368.187 279.917 217.306 180.704 150.992 101.761 104.806 86.448 , 89.249 88.816 84.400 82.188 80.844 84.814 84.439 80.284 78.527 78.354 88.915 81.946 79.496 79.201 75.848 78.855 76.234 76.364 75.405 76.602
tests/empty-file.scala, 3370, 2017-10-24T08:20:49Z, 5c36cb8, 62.8, Tue Oct 24 10:54:26 CEST 2017, 2032.628 270.170 181.133 158.494 169.837 150.187 90.967 84.624 69.745 69.192 , 66.468 67.530 67.257 64.501 63.345 64.833 63.899 63.058 63.242 61.422 62.575 61.089 63.025 60.867 62.185 62.058 60.599 61.649 60.872 61.471
tests/patmatexhaust.scala, 3370, 2017-10-24T08:20:49Z, 5c36cb8, 309.612, Tue Oct 24 10:58:23 CEST 2017, 5302.207 1910.262 1720.466 1409.109 1333.973 1169.048 1059.090 845.883 782.978 572.357 713.280 592.409 638.344 522.834 458.767 514.026 598.782 457.782 516.637 389.733 5129.773 2177.516 1650.383 1404.442 1228.650 1119.786 979.460 876.607 620.430 494.737 481.507 457.073 414.467 402.923 427.207 380.202 365.632 380.360 363.132 397.735 5178.774 1792.116 1472.337 1520.083 944.885 844.186 706.782 575.753 553.935 596.512 515.366 464.840 441.770 418.977 551.665 398.983 518.634 382.153 370.494 372.726 , 496.589 370.326 361.536 357.633 357.779 359.108 350.238 341.421 342.262 334.683 330.060 339.092 318.463 316.449 325.776 312.349 320.108 317.472 312.656 318.527 318.252 312.915 312.360 323.134 335.080 403.695 308.601 303.286 309.147 295.907 298.463 302.445 299.938 290.684 296.907 294.750 290.731 296.402 293.015 294.272 362.877 392.913 343.769 338.765 382.595 347.659 346.919 382.147 339.000 317.443 314.750 317.558 306.016 306.567 308.567 301.001 304.340 367.326 308.366 302.582 302.374 294.794 299.859 318.966 296.747 298.022 290.195 291.675 303.260 308.794 285.880 294.015 286.667 287.255 289.648 288.903 295.943 282.139 281.015 287.261 534.729 395.527 369.529 347.989 352.324 350.292 342.839 344.383 346.366 342.659 336.020 326.601 320.448 319.771 319.193 325.154 315.171 308.792 317.938 306.991 310.077 301.521 302.905 314.669 308.089 297.537 306.674 298.507 296.758 307.516 293.404 295.346 298.961 292.085 302.003 295.241 291.961 290.615 289.407 295.489
