dotty, 3262, 2017-10-05T07:06:03Z, 1e90e31, 37342.171, Thu Oct  5 09:29:53 CEST 2017, 81122.409 44018.002 40321.238 38973.763 38926.770 38644.164 37664.021 37889.529 37848.189 37693.295 , 37957.848 37306.174 37613.019 37937.045 38282.654 37071.636 37389.010 37378.168 38985.591 36808.919 37100.871 37522.186 38010.096 36744.144 37109.193 37184.405 38282.233 36714.328 37259.036 37241.901
tests/scala-library, 3262, 2017-10-05T07:06:03Z, 1e90e31, 6139.1945, Thu Oct  5 09:33:31 CEST 2017, 25922.233 11203.458 8230.982 7466.430 7338.800 6635.469 6665.869 6800.090 6404.190 6376.320 , 6346.648 6278.946 6217.726 6202.871 6215.058 6179.006 6141.680 6136.006 6315.250 6136.709 6115.817 6165.732 6065.611 6074.392 6073.293 6087.597 6072.897 6142.105 6063.545 6100.267
tests/implicit_cache.scala, 3262, 2017-10-05T07:06:03Z, 1e90e31, 121.1675, Thu Oct  5 09:34:07 CEST 2017, 2882.999 523.006 567.568 511.392 437.496 382.828 253.985 205.855 200.279 175.350 , 182.159 166.859 139.718 134.311 129.866 125.265 125.926 121.188 124.052 119.581 117.806 121.147 115.871 120.770 139.530 117.296 113.957 115.812 116.013 114.082
tests/implicit-scope-loop.scala, 3262, 2017-10-05T07:06:03Z, 1e90e31, 128.7715, Thu Oct  5 09:34:43 CEST 2017, 2936.371 609.079 460.854 360.423 394.578 375.541 299.399 253.633 203.794 176.744 , 148.677 138.463 133.740 134.360 131.635 136.417 144.185 129.018 128.294 127.825 143.750 136.812 128.525 122.546 120.773 122.502 119.146 118.660 119.443 120.288
tests/i1535.scala, 3262, 2017-10-05T07:06:03Z, 1e90e31, 155.3045, Thu Oct  5 09:35:22 CEST 2017, 3843.197 800.394 685.175 530.348 362.204 316.258 300.470 242.171 288.479 210.380 , 180.568 178.772 162.838 162.288 159.816 163.625 158.484 154.254 152.409 156.355 151.238 148.363 147.867 158.454 180.242 145.180 147.100 144.568 140.979 145.503
tests/i1687.scala, 3262, 2017-10-05T07:06:03Z, 1e90e31, 99.605, Thu Oct  5 09:35:58 CEST 2017, 2896.934 612.348 465.932 385.280 344.104 225.673 158.923 158.717 132.924 114.919 , 109.606 107.872 103.705 103.275 103.289 100.712 101.059 98.498 96.689 102.085 105.867 97.069 94.534 95.875 96.317 96.675 101.564 93.984 94.029 93.535
tests/Vector.scala, 3262, 2017-10-05T07:06:03Z, 1e90e31, 604.922, Thu Oct  5 09:39:42 CEST 2017, 7646.505 2659.436 2381.593 1948.640 1350.191 1293.194 1484.658 1411.590 1313.774 868.333 774.425 761.097 823.724 703.667 679.791 759.266 671.541 667.454 644.916 644.887 7231.825 2627.963 1914.846 1542.423 1835.408 1657.648 1547.429 1020.023 1368.860 1185.819 981.776 766.745 729.167 779.582 737.555 689.457 701.220 695.146 794.275 657.186 6656.103 2032.770 2330.613 1528.901 1459.929 1746.161 1582.928 1595.871 1245.779 1064.485 1083.945 915.840 799.405 777.212 747.240 711.417 871.225 698.499 686.766 673.742 , 631.480 632.005 647.881 625.294 619.013 616.688 646.521 620.414 589.889 599.700 587.812 586.358 718.057 605.900 587.971 621.570 651.148 575.805 575.014 574.690 590.998 586.724 593.621 587.630 585.312 587.761 570.897 589.364 578.513 571.180 674.575 672.276 629.309 645.897 637.308 609.555 725.925 675.032 639.034 607.000 595.422 610.640 609.562 623.711 731.279 730.404 597.127 606.953 588.546 575.780 574.784 600.447 580.112 596.140 573.525 584.552 578.787 580.158 590.366 570.905 676.694 650.991 770.567 1004.991 724.218 630.952 620.998 639.652 672.577 616.279 610.263 659.732 612.190 605.910 625.766 601.693 603.944 599.899 662.139 600.881 592.085 601.919 591.967 591.438 601.726 606.931 581.281 582.842 597.255 584.216
tests/empty-class.scala, 3262, 2017-10-05T07:06:03Z, 1e90e31, 77.8685, Thu Oct  5 09:40:17 CEST 2017, 2494.965 433.587 322.636 262.118 212.256 168.558 134.711 143.598 112.453 87.291 , 88.956 89.408 78.757 80.763 82.506 79.857 76.850 78.614 76.959 77.444 80.367 77.274 76.555 78.903 75.391 75.403 73.195 75.033 73.382 78.293
tests/empty-object.scala, 3262, 2017-10-05T07:06:03Z, 1e90e31, 79.4135, Thu Oct  5 09:40:52 CEST 2017, 2528.508 367.358 364.934 277.906 219.396 187.669 158.111 144.613 106.547 97.130 , 91.192 85.456 86.202 84.354 81.946 84.035 79.548 80.926 78.159 79.226 79.643 80.088 76.070 77.129 76.795 79.279 75.305 76.954 76.176 76.157
tests/empty-file.scala, 3262, 2017-10-05T07:06:03Z, 1e90e31, 63.0805, Thu Oct  5 09:41:26 CEST 2017, 2107.638 261.805 173.022 157.402 181.142 162.349 133.899 96.574 89.020 75.862 , 68.610 65.137 65.894 66.838 70.228 64.882 63.140 63.787 62.566 63.096 62.298 63.781 61.957 63.065 61.540 62.873 62.554 61.349 62.817 61.423
tests/patmatexhaust.scala, 3262, 2017-10-05T07:06:03Z, 1e90e31, 327.144, Thu Oct  5 09:45:26 CEST 2017, 5084.151 1819.088 1456.031 1231.658 1159.537 1224.903 911.702 1010.443 959.143 858.756 637.107 561.033 501.070 456.254 557.585 577.813 462.172 393.688 386.929 390.773 5614.333 1933.902 1830.929 1143.510 1050.322 929.150 968.665 1047.937 921.224 854.453 615.174 546.478 479.608 456.909 571.306 619.550 600.799 440.695 429.041 379.427 5892.893 2246.032 1746.347 1450.871 1280.007 940.312 816.806 685.294 576.683 766.945 555.972 504.469 466.429 445.324 493.335 406.335 403.731 392.920 371.242 370.448 , 374.022 376.752 376.022 361.067 358.162 356.930 394.948 354.754 386.171 342.620 410.634 340.124 340.885 357.210 334.635 334.834 327.241 382.422 327.192 322.704 323.657 348.949 326.050 320.130 314.152 318.120 316.694 308.838 313.963 313.117 305.345 319.661 313.555 304.307 310.853 303.632 308.768 302.825 299.630 302.423 374.967 378.723 374.346 374.079 361.320 357.267 356.550 355.596 349.784 346.109 342.012 342.595 337.982 339.327 331.560 341.422 344.386 328.709 326.573 330.141 327.096 324.756 327.324 317.947 318.378 330.772 321.165 320.576 321.151 311.665 319.791 319.489 306.294 314.896 308.156 305.380 314.452 303.816 306.850 306.986 364.766 369.803 359.570 347.769 353.533 358.713 343.605 339.278 341.643 335.578 335.183 347.380 375.417 402.192 337.596 327.739 342.414 321.101 324.773 314.328 311.507 324.639 306.412 309.245 318.401 311.186 303.748 320.560 308.041 310.888 311.731 302.532 373.226 393.365 298.130 308.440 295.489 295.336 300.012 294.843
tests/exhaustivity-I.scala, 3262, 2017-10-05T07:06:03Z, 1e90e31, 191.418, Thu Oct  5 09:49:05 CEST 2017, 4673.150 1616.580 1241.582 1047.581 879.159 735.640 621.778 632.168 384.927 326.780 349.644 418.143 313.579 302.131 339.952 273.092 257.943 250.627 219.910 218.500 4197.979 1579.968 1198.230 1015.564 857.145 611.413 533.602 445.531 356.502 326.628 326.803 311.835 261.168 348.481 360.311 327.149 292.053 230.254 217.235 241.863 3922.585 1321.795 1055.012 882.960 745.005 587.680 506.380 517.188 437.711 412.136 307.301 272.844 258.451 257.728 250.684 242.110 236.758 224.197 222.413 252.700 , 222.094 215.670 214.924 219.578 208.933 206.520 210.459 202.421 198.882 207.683 201.215 203.027 195.179 220.833 205.616 194.039 190.949 192.972 189.365 192.480 190.441 189.213 192.113 185.810 189.266 187.951 188.266 185.937 184.209 211.728 181.151 183.208 181.529 180.920 181.590 182.444 182.115 186.725 176.781 178.371 220.688 205.190 205.523 226.004 242.844 202.893 207.269 196.392 201.169 193.698 192.126 195.415 200.299 190.481 192.253 187.454 191.278 190.215 211.843 197.063 190.254 189.620 187.448 188.317 183.475 183.562 185.514 183.014 184.329 179.474 188.358 186.065 179.069 178.221 179.381 176.098 179.658 176.096 179.780 175.762 220.237 210.924 212.133 204.834 201.732 203.890 202.364 200.566 209.034 209.913 231.091 221.159 210.779 192.933 194.224 190.092 193.278 192.425 191.960 196.754 193.696 195.163 190.368 190.063 191.558 186.100 190.071 187.287 187.878 183.102 182.118 195.656 210.677 182.448 184.601 179.476 183.929 178.695 180.124 179.238
