dotty, 3270, 2017-10-05T22:00:59Z, f095f84, 241270.8485, Fri Oct  6 02:11:24 CEST 2017, 292231.826 247486.730 244047.881 244049.798 242817.797 241205.870 241807.271 242103.589 241389.493 240496.083 , 240747.906 241663.960 241212.817 240881.193 241859.610 241193.282 241328.880 241188.786 240135.518 240896.234 241052.352 239912.078 241088.485 244229.738 244057.970 243498.244 243395.966 244194.568 243467.795 244500.329
tests/scala-library, 3270, 2017-10-05T22:00:59Z, f095f84, 11931.5575, Fri Oct  6 02:17:54 CEST 2017, 29691.313 16649.881 14975.905 13412.665 12800.010 12470.611 12339.539 12174.699 12092.988 12080.997 , 12057.856 12018.214 12012.882 12291.926 11947.407 11925.085 11910.585 11985.245 11902.348 11851.025 11849.299 11856.785 11799.168 11772.743 11811.164 11806.477 12458.452 11938.030 11991.130 12296.392
tests/implicit_cache.scala, 3270, 2017-10-05T22:00:59Z, f095f84, 126.1655, Fri Oct  6 02:18:30 CEST 2017, 2892.975 594.682 410.611 514.403 370.518 300.061 275.376 274.684 186.796 167.392 , 174.224 147.141 132.071 133.202 127.275 134.952 130.099 150.560 144.388 134.609 123.025 125.056 124.397 123.065 124.319 120.097 120.365 116.687 117.976 115.873
tests/implicit-scope-loop.scala, 3270, 2017-10-05T22:00:59Z, f095f84, 127.5145, Fri Oct  6 02:19:07 CEST 2017, 2923.645 569.633 439.956 370.522 325.337 289.819 283.974 275.816 236.511 196.633 , 160.626 141.191 144.242 143.576 133.280 134.170 144.261 127.891 131.286 127.138 128.855 124.510 122.770 124.487 122.051 125.825 121.605 122.275 118.260 118.880
tests/i1535.scala, 3270, 2017-10-05T22:00:59Z, f095f84, 167.787, Fri Oct  6 02:19:45 CEST 2017, 3598.917 1047.468 613.702 700.634 395.958 423.838 419.143 371.264 235.917 240.241 , 192.459 263.512 229.084 169.468 190.339 168.065 167.509 171.595 167.061 164.338 180.143 164.977 159.645 203.340 160.353 156.264 157.900 202.651 161.812 162.144
tests/i1687.scala, 3270, 2017-10-05T22:00:59Z, f095f84, 101.9785, Fri Oct  6 02:20:21 CEST 2017, 2915.230 638.842 514.510 405.283 304.568 314.535 263.510 179.505 172.273 154.373 , 122.784 108.981 107.205 104.239 112.232 110.311 106.478 112.432 99.718 115.075 109.946 97.570 97.194 97.894 96.293 95.571 96.042 94.547 97.686 93.044
tests/Vector.scala, 3270, 2017-10-05T22:00:59Z, f095f84, 785.9645, Fri Oct  6 02:24:55 CEST 2017, 8255.785 2436.672 1980.374 2581.781 2381.979 2171.181 2140.787 1186.214 1102.043 1118.434 1127.793 1041.316 1122.571 952.231 1065.052 955.124 894.422 894.357 865.785 860.972 9037.605 3645.014 2716.266 2443.149 2245.818 2039.804 1287.549 1767.957 1424.117 1154.645 981.715 957.111 913.867 900.619 871.349 874.287 917.401 850.623 840.839 851.487 9471.277 3479.603 1839.034 2140.558 1615.009 1611.610 1463.925 1190.851 1244.778 1560.919 1243.430 1010.269 970.644 917.778 908.164 873.646 932.096 856.351 851.548 871.196 , 839.217 830.308 823.436 828.993 818.407 818.761 795.068 799.625 787.712 803.353 780.094 796.218 790.238 803.141 770.726 858.855 774.286 840.856 766.885 847.951 762.941 760.375 754.872 756.252 757.237 773.139 757.981 755.050 755.034 761.193 823.760 822.809 806.894 1073.096 820.623 802.897 837.447 793.616 812.795 799.729 799.134 780.716 783.615 771.359 785.148 771.708 800.156 785.698 864.822 764.458 763.109 757.968 763.229 760.310 893.220 757.893 757.969 760.206 762.021 757.315 823.470 836.721 854.653 866.893 828.989 808.600 794.946 815.156 851.348 844.596 838.961 794.085 788.472 787.857 779.903 786.231 780.400 782.517 781.153 776.806 771.921 770.751 769.999 774.178 777.968 770.982 759.416 765.911 766.576 767.716
tests/empty-class.scala, 3270, 2017-10-05T22:00:59Z, f095f84, 77.986, Fri Oct  6 02:25:30 CEST 2017, 2329.797 308.702 280.652 262.345 225.073 170.774 184.055 118.585 107.982 87.522 , 84.326 81.110 82.305 81.066 79.782 77.749 77.867 78.942 78.105 78.731 76.301 77.229 75.658 76.119 92.979 75.847 74.240 75.638 74.163 84.342
tests/empty-object.scala, 3270, 2017-10-05T22:00:59Z, f095f84, 78.725, Fri Oct  6 02:26:05 CEST 2017, 2478.577 438.524 233.139 185.084 167.387 154.062 156.539 125.868 137.982 91.791 , 92.339 81.178 82.112 79.406 80.356 80.851 78.618 78.666 77.129 80.209 81.289 78.982 75.864 76.121 76.645 75.844 78.784 78.180 76.174 77.109
tests/empty-file.scala, 3270, 2017-10-05T22:00:59Z, f095f84, 62.5795, Fri Oct  6 02:26:39 CEST 2017, 1948.452 282.864 240.048 206.440 175.194 115.759 86.757 78.727 79.731 82.026 , 69.726 68.580 67.857 66.368 63.621 72.695 62.570 63.577 61.483 62.589 61.128 62.866 60.954 62.179 61.865 60.295 61.606 60.552 61.753 65.133
tests/patmatexhaust.scala, 3270, 2017-10-05T22:00:59Z, f095f84, 461.1575, Fri Oct  6 02:30:57 CEST 2017, 6688.376 2728.897 1652.607 1357.214 1290.973 1248.468 1062.870 931.045 896.526 782.391 925.203 855.113 609.414 561.472 560.213 545.428 527.599 517.440 521.390 504.240 6029.215 2392.954 1794.802 1398.525 1289.308 1142.082 1370.045 1290.679 1203.164 815.305 838.528 650.103 665.701 615.913 630.690 700.911 685.900 585.532 569.618 589.494 6087.466 2532.235 1487.512 1467.043 1058.939 910.689 765.072 739.212 1036.162 781.177 628.181 721.560 626.274 573.430 578.709 549.945 550.091 540.745 518.203 691.695 , 497.762 508.394 483.038 493.306 472.604 469.539 475.344 462.321 474.511 456.025 457.409 453.042 448.502 459.230 446.432 449.016 441.452 443.912 482.062 464.317 539.125 665.822 525.873 512.639 445.442 429.784 447.516 424.862 523.858 434.056 436.889 433.287 420.337 428.583 422.423 418.013 424.101 416.325 415.433 423.684 568.208 591.044 542.176 536.323 546.593 585.388 544.057 606.238 506.940 507.921 504.627 498.390 502.135 490.025 489.365 485.363 481.757 557.995 538.259 485.671 469.357 470.951 472.712 465.719 462.062 484.401 486.762 507.105 477.096 624.789 481.126 454.562 452.284 455.776 450.594 458.094 576.272 466.180 445.498 469.989 586.504 625.766 478.222 475.138 477.110 512.778 536.129 469.704 458.867 458.186 453.051 450.422 438.429 446.448 437.162 430.619 435.711 461.529 460.786 444.882 432.877 429.452 429.546 433.893 440.305 455.759 555.477 422.399 418.122 415.251 417.511 418.238 421.889 431.976 436.113 431.996 410.657 407.561 416.121 414.545
