dotty, 3634, 2017-12-08T14:16:13Z, 504b35b, 32408.2265, Fri Dec  8 15:48:45 CET 2017, 73182.426 40336.045 35053.193 34803.700 34216.848 34022.764 33382.582 33249.225 33186.102 33333.128 33622.603 32951.313 32954.232 33009.360 33014.298 33999.342 32902.716 32851.605 32802.493 33478.672 33414.456 32885.070 32459.110 32672.645 33375.598 32443.597 32400.834 32638.999 33400.363 32314.759 , 32512.994 32540.846 33305.831 32395.009 32380.733 32277.493 33236.243 32383.812 32280.167 32490.538 33178.380 32420.124 32339.222 32337.858 33219.137 32396.329 32350.690 32437.880 33265.321 32365.521
tests/scala-library, 3634, 2017-12-08T14:16:13Z, 504b35b, 5445.967, Fri Dec  8 15:54:09 CET 2017, 24654.606 10246.749 9017.218 7537.203 6567.084 6471.027 6188.576 5899.338 5824.779 5769.681 5900.467 5714.507 5666.617 5688.038 5664.316 5610.469 5582.090 5582.047 5678.906 5568.717 5566.106 5620.606 5539.785 5553.728 5511.465 5518.625 5473.126 5455.805 5484.449 5485.386 , 5499.917 5483.259 5522.682 5472.428 5409.904 5461.883 5459.019 5452.012 5441.142 5447.587 5442.110 5416.208 5456.221 5506.835 5444.347 5435.592 5407.304 5407.760 5409.915 5436.703
tests/implicit_cache.scala, 3634, 2017-12-08T14:16:13Z, 504b35b, 92.9955, Fri Dec  8 15:55:21 CET 2017, 2806.705 673.439 473.151 367.273 297.149 181.025 153.690 138.172 126.366 126.658 119.226 121.034 118.746 111.831 108.948 105.147 105.648 102.502 104.605 101.880 107.221 100.186 99.777 100.442 98.898 98.848 96.947 97.342 94.269 100.313 , 109.763 94.104 95.120 93.448 94.775 92.543 93.817 91.314 91.374 97.559 91.731 92.151 91.242 97.419 94.523 91.407 89.361 90.958 91.511 96.512
tests/implicit-scope-loop.scala, 3634, 2017-12-08T14:16:13Z, 504b35b, 98.297, Fri Dec  8 15:56:32 CET 2017, 2898.204 530.651 382.487 425.489 354.795 292.907 203.913 171.199 174.238 142.666 126.187 143.718 121.807 116.955 114.871 126.614 111.867 116.021 111.932 107.683 108.396 105.755 108.251 103.863 105.543 104.782 104.342 108.186 111.573 107.342 , 101.424 99.783 102.347 98.421 102.932 98.173 106.760 97.904 100.411 104.334 95.834 96.683 95.274 101.992 101.240 96.199 94.577 96.149 95.223 94.318
tests/i1535.scala, 3634, 2017-12-08T14:16:13Z, 504b35b, 113.0925, Fri Dec  8 15:57:44 CET 2017, 3218.059 1045.839 695.749 447.777 409.429 356.885 210.170 191.361 197.299 186.436 151.513 150.542 145.751 141.167 140.135 143.495 133.876 132.710 130.091 154.859 127.584 128.636 132.514 123.093 130.004 122.057 122.427 117.969 118.288 115.495 , 117.384 116.582 113.214 113.932 116.730 112.971 115.195 113.324 112.686 111.209 110.589 113.248 111.221 112.345 112.029 108.964 112.332 118.039 117.050 108.551
tests/i1687.scala, 3634, 2017-12-08T14:16:13Z, 504b35b, 67.3675, Fri Dec  8 15:58:53 CET 2017, 2512.851 524.018 300.433 212.390 167.240 149.784 117.849 97.873 91.417 84.811 79.848 79.896 75.945 86.255 79.035 75.042 75.854 71.548 72.090 72.031 73.031 73.143 70.744 73.133 69.959 68.708 69.666 68.409 69.115 67.322 , 68.107 67.136 67.599 68.126 70.852 69.141 68.384 69.795 66.328 69.165 68.019 65.220 66.119 65.860 68.284 64.725 66.127 65.058 65.870 64.526
tests/Vector.scala, 3634, 2017-12-08T14:16:13Z, 504b35b, 524.566, Fri Dec  8 16:02:42 CET 2017, 7893.086 2521.001 2048.000 1683.998 1934.496 1673.532 1073.068 949.169 833.588 978.354 862.624 952.640 848.108 694.888 635.009 646.910 622.974 594.691 575.653 582.232 6651.485 2779.853 2150.849 1648.949 1437.731 1410.379 966.678 1059.566 899.002 721.153 677.039 645.239 702.909 617.261 603.233 602.968 570.509 558.865 559.988 566.529 8064.022 2929.016 2182.796 1493.398 1306.870 1546.969 1463.920 1270.513 800.785 1011.648 1093.643 722.751 668.274 873.622 640.859 684.823 630.709 599.061 584.866 681.550 , 594.489 564.969 645.181 558.455 563.528 542.859 543.907 552.303 538.357 534.880 527.843 528.137 617.435 588.230 547.348 524.705 529.197 513.323 502.594 500.717 513.305 531.359 507.577 499.747 494.784 500.337 513.501 512.739 505.476 507.641 546.107 552.031 537.571 542.553 527.783 568.549 519.730 529.030 518.835 517.164 506.781 527.983 596.980 547.978 513.972 533.872 500.469 497.619 505.775 496.417 504.873 498.426 496.613 524.231 500.391 486.114 486.506 491.273 481.497 488.667 603.654 576.824 560.536 564.875 561.632 562.473 538.949 535.252 531.705 535.935 524.803 524.427 522.598 540.636 530.155 526.619 541.221 546.771 521.421 512.293 509.853 521.729 512.345 514.274 509.622 510.888 506.977 507.908 504.742 513.017
tests/empty-class.scala, 3634, 2017-12-08T14:16:13Z, 504b35b, 52.746, Fri Dec  8 16:03:52 CET 2017, 2315.906 268.483 208.651 187.587 154.928 131.467 93.476 79.744 85.827 64.878 67.914 64.492 60.548 61.546 60.562 57.621 58.034 57.587 56.129 56.572 56.138 58.099 55.129 57.446 56.308 54.665 55.270 55.836 54.505 54.919 , 55.247 53.928 52.591 54.396 52.735 53.402 52.316 53.129 52.230 63.201 52.321 53.257 51.891 52.757 51.542 52.808 51.650 52.654 53.116 52.082
tests/empty-object.scala, 3634, 2017-12-08T14:16:13Z, 504b35b, 55.041, Fri Dec  8 16:05:00 CET 2017, 2311.712 279.917 184.724 200.996 149.899 134.357 96.688 76.984 77.891 67.075 65.381 62.919 63.676 61.179 62.146 61.214 59.464 60.177 58.037 59.952 57.810 58.051 59.356 58.258 58.509 56.185 59.155 55.999 55.831 55.909 , 56.194 55.264 56.886 58.408 56.187 53.988 54.447 53.585 53.816 53.509 56.058 55.976 54.024 56.008 71.966 54.930 53.898 52.787 55.152 53.055
tests/empty-file.scala, 3634, 2017-12-08T14:16:13Z, 504b35b, 37.229, Fri Dec  8 16:06:07 CET 2017, 1677.146 258.164 118.565 111.940 67.626 53.806 47.860 44.011 42.568 40.966 40.899 40.707 39.508 40.019 39.145 39.529 40.018 38.317 38.726 38.245 38.667 38.493 37.633 38.525 37.416 37.927 38.012 37.291 37.797 37.057 , 37.807 37.975 37.301 39.095 37.157 37.707 37.641 36.839 38.936 36.996 37.384 37.361 37.042 37.379 36.719 37.070 37.017 36.549 36.931 36.505
tests/patmatexhaust.scala, 3634, 2017-12-08T14:16:13Z, 504b35b, 271.467, Fri Dec  8 16:10:10 CET 2017, 5411.840 2042.127 1248.767 1070.482 1128.223 1033.150 917.048 942.474 843.509 623.591 459.166 582.827 583.578 441.408 488.449 415.293 401.478 356.504 385.844 335.411 5700.925 1556.684 1256.913 1280.888 937.186 843.026 913.623 693.311 543.563 453.782 417.251 409.224 385.690 445.651 393.755 336.714 326.002 344.874 382.771 304.266 5222.231 1947.107 1285.721 1203.393 1078.819 900.601 904.840 621.181 606.111 478.151 539.936 499.049 584.637 434.783 497.135 430.595 353.763 334.018 328.732 423.339 , 327.567 310.111 309.077 313.894 301.180 294.691 305.521 288.624 285.810 285.347 278.212 280.354 286.002 290.711 270.530 278.227 275.876 271.917 270.010 275.592 266.881 342.970 271.377 310.619 356.036 267.963 288.357 261.778 258.073 268.103 262.721 302.816 263.131 258.329 256.787 273.227 264.958 301.078 265.808 288.523 302.126 304.436 293.998 353.747 313.131 310.605 287.294 279.585 287.518 281.221 277.332 280.275 271.557 269.732 275.978 268.124 271.933 273.803 262.988 269.364 263.758 266.178 260.232 256.950 268.308 258.404 258.752 260.574 256.972 255.433 257.361 251.338 252.217 251.918 255.473 255.785 246.645 258.772 245.763 251.399 336.685 313.376 315.516 301.388 300.020 298.014 302.708 296.111 289.418 293.673 286.135 292.328 292.641 274.702 273.019 280.849 274.134 269.824 265.138 270.116 267.239 267.113 281.000 262.192 261.638 269.674 258.993 258.883 261.688 254.171 256.357 255.355 257.171 259.848 254.701 256.190 251.227 253.143 256.157 250.219
tests/exhaustivity-I.scala, 3634, 2017-12-08T14:16:13Z, 504b35b, 147.6005, Fri Dec  8 16:13:56 CET 2017, 3831.133 1130.628 821.705 685.830 680.257 472.385 467.776 347.768 284.760 276.783 315.532 227.372 235.191 216.561 239.279 205.960 195.433 184.468 189.125 176.047 3760.103 1103.454 1205.034 880.852 720.984 646.362 535.958 485.431 424.825 346.240 308.023 252.121 221.468 210.822 229.180 231.716 181.691 176.760 176.856 171.065 3842.031 1166.692 1019.519 880.637 540.370 466.705 562.288 443.759 427.009 375.857 341.393 272.724 271.786 211.730 193.815 186.030 178.548 250.120 188.782 169.482 , 174.956 168.709 178.712 188.772 162.224 162.478 162.724 158.232 159.887 155.810 152.926 155.982 152.922 154.983 157.040 152.864 148.488 150.033 146.060 149.736 143.614 178.710 147.425 143.799 142.828 146.771 143.913 146.524 139.952 140.470 141.019 140.563 146.967 139.677 139.171 139.820 139.778 139.697 138.343 138.107 168.581 168.760 162.549 158.673 160.707 156.085 158.761 154.074 155.069 156.923 153.026 152.508 154.960 153.736 174.129 156.061 151.833 155.424 149.088 147.059 149.366 145.404 144.599 143.410 142.536 144.072 154.030 140.477 142.447 139.702 142.615 141.026 139.725 140.484 139.681 140.407 140.036 140.474 139.019 139.107 168.084 169.076 164.393 161.076 159.715 156.422 158.755 155.483 160.256 156.498 151.069 148.894 153.719 149.674 152.309 162.602 153.477 148.410 145.833 147.138 147.482 145.024 142.952 142.205 140.074 145.029 145.502 141.863 147.719 136.757 139.753 138.410 137.224 137.365 136.720 137.677 139.950 137.646 135.335 135.626
tests/exhaustivity-S.scala, 3634, 2017-12-08T14:16:13Z, 504b35b, 237.4375, Fri Dec  8 16:17:47 CET 2017, 3703.047 1233.048 821.923 532.862 444.995 444.703 538.563 345.552 310.188 298.304 320.647 276.491 273.250 270.789 305.985 269.979 261.783 259.799 263.479 264.458 3791.276 1004.935 655.410 597.555 440.919 462.359 332.173 305.713 285.083 273.865 358.120 303.589 274.572 265.240 249.532 243.561 258.203 247.710 265.855 237.520 3877.030 1094.847 670.615 654.281 553.220 452.994 420.705 393.953 399.283 316.219 278.648 297.496 270.283 266.187 283.983 281.575 262.870 256.954 256.474 256.255 , 266.967 254.267 266.692 250.950 250.534 271.761 253.814 253.673 247.319 247.103 261.433 244.688 250.930 243.590 277.004 241.561 243.204 242.213 241.022 240.843 241.970 241.936 240.199 239.564 240.725 238.821 238.792 238.813 238.505 238.315 260.272 237.564 271.673 245.361 236.695 236.983 236.361 235.436 239.804 236.622 256.674 225.514 244.766 222.349 222.109 221.087 220.233 218.790 228.734 217.138 215.891 217.478 214.514 215.281 214.343 218.028 219.815 212.965 212.658 214.783 212.942 216.056 227.150 213.294 220.164 214.761 211.571 221.082 214.976 211.535 222.600 210.467 235.243 209.342 208.489 207.729 207.311 208.778 208.020 235.366 256.855 253.034 250.138 251.873 281.340 270.934 260.809 253.300 253.615 241.728 240.524 240.482 238.805 238.831 267.388 242.105 248.597 237.311 235.156 242.154 236.625 243.461 237.781 234.968 233.565 233.673 235.390 235.123 234.302 234.287 235.110 231.946 238.744 233.290 271.847 248.492 230.786 229.967 229.171 230.432
tests/exhaustivity-T.scala, 3634, 2017-12-08T14:16:13Z, 504b35b, 808.2705, Fri Dec  8 16:23:02 CET 2017, 4774.346 2210.781 1200.314 1087.379 1057.010 1068.602 1079.246 1019.431 935.296 968.722 906.194 885.446 1160.381 1078.333 928.900 846.908 883.743 835.431 819.860 816.949 4641.340 2709.754 1306.255 1183.686 1078.695 1053.944 1007.450 1223.823 1009.372 999.146 895.341 917.905 934.699 857.429 845.321 897.893 834.894 855.170 822.661 839.814 4890.955 3118.048 1515.444 1153.758 1152.807 1098.127 1081.946 1027.927 1237.221 985.470 956.438 959.715 918.433 944.015 891.367 895.928 883.015 873.676 1071.496 900.303 , 815.642 801.678 876.915 797.555 795.117 789.055 814.845 839.248 852.717 788.365 1078.260 808.756 807.785 788.287 784.554 801.084 781.495 785.226 776.281 775.906 798.344 815.797 771.974 794.721 904.541 779.250 787.033 766.037 776.520 776.158 767.735 764.989 771.110 767.915 768.136 766.133 773.610 766.050 768.098 766.610 821.661 818.697 817.447 868.732 1041.202 820.295 1057.501 802.981 796.854 798.806 791.498 790.320 807.359 815.402 793.419 797.162 793.563 789.998 784.516 787.218 785.935 790.003 783.304 829.247 1101.700 794.129 795.474 803.659 780.161 786.487 789.154 800.355 784.146 781.651 783.822 795.295 848.382 788.132 777.300 779.958 898.728 896.276 878.003 869.129 853.218 852.462 1077.053 851.583 870.637 839.802 839.614 838.608 841.413 839.727 852.782 840.636 839.649 842.098 836.477 837.559 834.621 833.946 836.216 836.168 830.476 828.977 837.254 833.887 830.568 827.771 828.744 830.146 831.665 829.572 829.918 827.149 830.880 830.152 843.259 826.570
