dotty, 3628, 2017-12-04T08:03:42Z, 09af5e2, 32446.2305, Mon Dec  4 09:36:11 CET 2017, 76193.302 40314.323 35532.976 34861.702 34035.760 34436.060 33741.096 33155.171 33176.035 33175.670 33599.225 33090.980 33075.485 33006.212 32978.699 33577.186 32994.368 32633.365 32640.456 33688.267 32561.029 32623.771 32628.628 33717.448 32505.498 32518.699 32521.686 33437.468 32527.104 32559.849 , 32387.358 33399.063 32456.026 32562.293 32476.790 33251.462 32394.718 32495.306 32422.352 33379.110 32444.454 32394.314 32420.342 33414.937 32383.142 32448.007 32391.218 33470.760 32350.187 32385.611
tests/scala-library, 3628, 2017-12-04T08:03:42Z, 09af5e2, 5429.7125, Mon Dec  4 09:41:34 CET 2017, 24587.431 11061.184 8123.187 6737.483 6332.575 6305.614 5992.685 5878.170 6156.703 5772.073 5799.647 6018.441 5589.409 5564.159 5643.955 5605.304 5534.202 5560.484 5532.912 5535.429 5502.830 5539.998 5508.207 5500.879 5427.570 5465.321 5504.836 5470.931 5707.137 5646.455 , 5464.705 5510.644 5482.412 5448.211 5409.687 5448.869 5430.719 5419.926 5410.708 5457.409 5428.706 5448.685 5729.659 5456.941 5393.092 5399.419 5419.659 5371.733 5377.406 5374.921
tests/implicit_cache.scala, 3628, 2017-12-04T08:03:42Z, 09af5e2, 95.781, Mon Dec  4 09:42:45 CET 2017, 2850.809 503.232 384.102 399.840 277.769 263.469 226.480 167.436 150.422 125.687 149.020 123.300 117.377 120.765 114.905 109.026 110.093 109.388 106.968 112.136 116.694 106.272 107.332 101.860 103.880 104.401 104.110 99.745 98.394 98.494 , 97.361 101.558 96.995 97.191 95.991 102.249 95.347 97.291 94.094 95.571 94.320 101.539 95.479 96.666 98.839 94.027 94.847 91.701 91.661 94.055
tests/implicit-scope-loop.scala, 3628, 2017-12-04T08:03:42Z, 09af5e2, 99.355, Mon Dec  4 09:43:56 CET 2017, 2944.528 636.805 465.206 337.734 262.402 206.239 199.740 162.057 135.988 130.303 153.143 128.622 120.921 117.363 117.889 113.629 112.673 115.701 109.584 112.343 107.437 107.242 109.734 105.575 108.334 107.628 107.039 104.519 106.330 104.175 , 102.671 103.220 102.428 103.729 100.110 100.039 100.867 99.373 100.742 97.343 99.018 96.907 98.848 97.312 99.337 125.791 96.080 97.540 94.482 95.955
tests/i1535.scala, 3628, 2017-12-04T08:03:42Z, 09af5e2, 117.1835, Mon Dec  4 09:45:08 CET 2017, 3313.170 751.533 576.664 482.500 430.208 276.630 259.038 245.399 255.961 176.862 167.312 156.925 145.634 144.437 139.444 136.763 137.696 133.721 134.519 133.389 130.203 129.731 130.295 128.097 130.330 131.162 124.455 125.474 122.644 121.157 , 122.156 121.592 120.074 119.001 121.819 119.162 120.517 126.499 117.108 117.259 116.665 116.293 117.037 115.899 113.607 118.368 114.276 116.763 116.827 115.979
tests/i1687.scala, 3628, 2017-12-04T08:03:42Z, 09af5e2, 77.0675, Mon Dec  4 09:46:17 CET 2017, 2701.087 507.467 397.630 267.604 225.622 159.240 145.418 109.154 100.637 94.160 92.403 90.250 88.557 89.504 84.832 86.276 83.396 83.511 84.798 84.368 86.604 84.044 80.646 81.689 80.612 81.400 80.856 84.508 79.463 79.806 , 80.340 88.118 78.777 76.946 77.788 77.276 80.580 76.741 79.814 76.515 77.394 76.948 75.539 76.552 75.204 77.969 74.914 76.379 76.125 77.187
tests/Vector.scala, 3628, 2017-12-04T08:03:42Z, 09af5e2, 534.126, Mon Dec  4 09:50:02 CET 2017, 6928.490 2165.290 1533.092 1436.420 1361.884 1149.626 1083.212 1038.375 1329.359 1357.083 1330.650 913.292 854.060 860.622 718.454 648.660 637.371 630.836 711.870 673.912 7663.902 2935.643 1584.487 1884.367 1706.943 1484.493 1495.009 1429.651 1386.199 1355.886 1154.413 807.998 718.078 687.289 768.354 757.748 657.925 612.174 724.544 710.350 7625.924 2630.439 2073.532 1802.034 1283.470 1553.649 1226.603 1171.490 1142.106 822.241 818.175 762.465 681.835 728.705 637.798 700.913 687.579 644.561 602.782 584.454 , 632.940 586.130 604.965 744.406 681.185 616.684 577.206 569.219 533.002 525.118 537.745 554.392 527.951 520.450 541.946 514.925 588.929 516.959 573.412 580.919 514.888 504.024 519.908 509.388 511.571 502.452 494.443 502.035 504.281 492.992 652.799 732.804 585.283 576.748 575.441 549.551 570.819 585.710 570.388 547.590 539.985 533.201 529.415 592.113 564.617 550.902 521.102 526.518 531.982 518.038 534.223 515.785 528.535 514.465 520.235 526.527 506.782 506.532 514.027 527.719 576.414 738.907 770.356 579.646 551.263 593.263 548.374 541.012 534.029 540.878 536.416 555.551 559.285 547.243 520.050 555.517 536.375 514.063 513.749 511.393 521.299 521.279 513.548 517.953 513.680 507.685 506.406 508.199 512.062 583.344
tests/empty-class.scala, 3628, 2017-12-04T08:03:42Z, 09af5e2, 60.7465, Mon Dec  4 09:51:12 CET 2017, 2590.639 288.070 258.960 177.729 150.182 134.881 98.050 84.120 76.635 72.003 69.249 70.135 68.291 68.043 65.515 80.929 65.334 64.676 65.208 65.031 65.480 64.733 63.463 66.128 63.904 63.107 61.677 63.685 62.156 63.178 , 61.847 61.892 60.633 61.807 60.805 62.268 62.119 59.973 60.688 59.949 63.843 60.268 61.234 60.100 62.968 59.814 60.529 59.958 63.623 59.492
tests/empty-object.scala, 3628, 2017-12-04T08:03:42Z, 09af5e2, 63.0935, Mon Dec  4 09:52:21 CET 2017, 2331.238 421.890 275.796 215.163 181.991 141.046 109.502 86.848 78.973 74.922 73.314 72.763 71.068 70.199 71.169 69.114 68.071 66.221 67.789 65.758 66.946 66.805 66.999 64.786 65.896 64.664 65.425 64.540 67.205 64.057 , 64.658 65.022 65.226 64.050 66.193 63.126 65.437 63.021 67.017 62.536 65.199 63.061 61.896 62.398 61.773 62.946 61.481 61.584 60.915 63.497
tests/empty-file.scala, 3628, 2017-12-04T08:03:42Z, 09af5e2, 48.057, Mon Dec  4 09:53:28 CET 2017, 1760.036 224.029 161.737 121.695 101.693 78.309 68.886 60.690 56.133 52.052 52.922 51.499 51.608 50.246 51.130 50.725 49.622 50.754 48.970 49.651 49.943 49.708 50.318 48.659 49.754 48.484 49.606 50.491 48.209 49.448 , 49.609 49.047 50.298 48.992 48.202 60.584 48.013 47.437 48.366 47.507 48.229 48.502 46.744 48.056 46.956 47.894 47.731 47.739 48.058 46.522
tests/patmatexhaust.scala, 3628, 2017-12-04T08:03:42Z, 09af5e2, 278.709, Mon Dec  4 09:57:32 CET 2017, 5549.159 1976.594 1476.538 1055.434 1098.648 877.227 922.953 839.880 685.389 511.724 683.141 509.325 446.771 421.666 529.803 527.883 395.396 344.325 343.494 337.478 4920.612 2132.871 1660.305 1262.919 1127.267 861.073 704.172 697.506 559.121 502.298 658.562 529.910 609.834 549.248 504.929 445.488 456.235 322.427 314.351 350.566 5431.185 2094.674 1517.729 1284.155 1210.250 1116.621 781.432 665.000 795.861 714.360 469.949 579.240 605.414 436.749 535.300 391.159 368.916 353.846 344.178 337.788 , 320.785 309.700 308.663 348.617 310.624 301.080 299.710 295.440 284.381 286.786 281.614 280.805 295.647 280.367 278.489 278.624 297.463 281.541 278.794 302.516 279.851 307.317 284.758 273.146 272.076 277.545 272.575 260.024 260.008 273.040 277.070 261.574 260.934 259.565 261.757 264.595 256.640 256.398 258.654 251.971 311.634 334.266 343.138 303.052 291.913 290.309 297.124 290.725 294.108 287.849 283.844 281.200 273.806 343.992 375.691 382.090 296.269 287.126 284.396 267.862 271.486 267.278 272.933 266.781 263.386 258.540 266.059 286.753 258.940 257.572 263.491 257.629 277.923 257.198 253.848 274.781 259.550 252.345 253.799 255.751 341.218 325.578 317.907 336.023 329.308 327.836 334.174 304.380 301.394 290.602 303.237 302.886 302.491 285.251 279.830 281.444 285.868 290.724 277.550 279.965 290.919 274.185 272.220 275.072 269.633 267.007 272.869 264.304 262.226 267.545 260.142 262.842 258.556 261.298 261.752 258.774 263.857 264.410 258.573 265.526
