dotty, 3566, 2017-11-30T16:25:02Z, 18c55d3, 33296.7565, Thu Nov 30 17:58:44 CET 2017, 80980.885 40652.529 37518.544 35314.115 36726.726 34277.592 34236.293 34128.115 34085.808 34716.525 33748.134 33956.262 33882.270 34785.628 33803.444 34027.042 33636.704 34252.194 33314.445 33411.409 33553.488 34427.850 33340.701 33363.275 33395.148 34251.072 33214.094 33445.842 33333.340 34195.433 , 33300.945 33271.991 33225.015 33937.015 33317.883 33259.573 33241.726 34045.783 33327.774 33370.595 33292.568 33852.716 33087.728 33169.094 33238.121 33909.542 33174.165 33312.020 33238.043 33921.033
tests/scala-library, 3566, 2017-11-30T16:25:02Z, 18c55d3, 5617.3715, Thu Nov 30 18:04:17 CET 2017, 23758.445 11455.358 7972.846 7224.517 6687.487 6535.740 6145.747 6018.086 6007.799 5928.532 6049.318 6002.035 5978.767 5823.871 5798.825 5794.130 5776.586 5783.086 5740.004 5753.286 5718.754 5786.527 5705.128 5933.213 5719.725 5728.234 5689.486 5681.041 5631.634 5798.830 , 5674.501 5685.016 5662.517 5616.134 5602.703 5588.186 6013.891 5618.609 5623.369 5624.089 5622.194 5584.005 5620.180 5625.218 5600.593 5593.208 5589.791 5580.835 5589.382 5566.922
tests/implicit_cache.scala, 3566, 2017-11-30T16:25:02Z, 18c55d3, 105.8205, Thu Nov 30 18:05:27 CET 2017, 2855.068 721.130 502.518 368.771 252.303 276.768 211.038 192.932 157.914 134.794 132.693 127.858 147.663 130.899 127.346 117.589 114.612 116.587 112.170 113.353 111.774 113.050 109.418 110.020 111.636 108.462 111.557 107.553 109.673 107.232 , 108.771 106.203 108.861 106.975 105.192 105.835 103.951 107.443 105.027 106.429 103.530 107.584 103.412 104.661 106.584 104.188 108.104 101.887 103.605 105.806
tests/implicit-scope-loop.scala, 3566, 2017-11-30T16:25:02Z, 18c55d3, 108.235, Thu Nov 30 18:06:39 CET 2017, 2876.008 738.816 557.491 386.732 275.727 231.263 222.873 155.123 144.505 145.199 134.084 132.146 128.834 123.726 125.218 120.520 120.927 117.903 117.558 120.653 126.345 116.578 117.726 117.292 140.585 116.624 117.086 114.936 121.448 110.874 , 113.823 110.683 110.111 111.864 109.547 110.062 109.219 109.576 107.673 110.031 107.791 107.821 106.084 106.913 105.644 108.649 106.226 105.309 107.685 105.151
tests/i1535.scala, 3566, 2017-11-30T16:25:02Z, 18c55d3, 131.9125, Thu Nov 30 18:07:51 CET 2017, 3401.504 800.396 526.501 530.111 412.898 382.452 307.568 255.740 191.966 211.113 177.959 214.246 161.713 156.668 159.747 156.261 164.004 152.535 152.917 152.598 158.160 150.162 141.283 150.161 147.862 146.738 150.837 145.116 139.865 145.730 , 140.982 134.921 137.191 132.681 131.144 134.391 130.255 135.008 130.498 129.552 135.403 129.853 128.201 129.781 127.076 130.119 130.296 138.403 136.220 133.743
tests/i1687.scala, 3566, 2017-11-30T16:25:02Z, 18c55d3, 86.6125, Thu Nov 30 18:09:02 CET 2017, 2606.460 444.485 406.129 329.824 299.541 206.493 144.955 117.284 110.203 102.425 100.525 101.268 99.646 99.767 98.412 96.711 99.549 95.936 95.016 92.965 94.149 93.208 92.730 89.923 91.894 90.226 89.196 91.767 89.870 90.383 , 88.245 89.468 87.284 89.317 86.412 91.236 86.131 87.596 86.557 86.668 87.355 86.470 87.235 85.272 87.371 85.323 85.856 85.941 86.003 86.171
tests/Vector.scala, 3566, 2017-11-30T16:25:02Z, 18c55d3, 551.501, Thu Nov 30 18:12:43 CET 2017, 7403.873 3020.030 2139.802 1521.955 1362.175 1398.152 1017.535 1317.427 1187.836 1107.241 1019.251 863.732 704.291 760.743 669.372 639.058 662.807 627.455 607.317 614.984 7485.263 2973.393 1783.282 1508.577 1316.520 1187.348 1155.682 1335.556 1274.079 1158.200 1170.131 865.683 675.821 651.797 642.059 656.341 723.028 661.361 596.956 581.274 7554.237 2357.514 1804.213 1803.500 1612.695 1209.930 1471.586 1432.301 1282.169 858.796 774.216 721.899 703.258 695.419 663.292 634.596 622.263 634.368 616.277 598.503 , 596.684 676.721 619.317 600.965 577.702 642.555 569.015 563.515 569.552 566.540 548.519 552.242 561.391 550.106 557.174 546.672 550.760 545.777 546.209 544.138 555.812 532.869 536.941 532.804 543.443 523.783 529.411 539.761 531.947 527.669 593.390 587.803 568.761 572.927 572.727 573.499 559.829 558.440 556.592 563.075 539.101 570.361 601.151 528.741 533.242 531.808 545.722 533.188 575.791 558.487 572.801 518.202 522.832 564.219 533.488 513.373 515.220 526.922 518.580 511.472 608.041 588.778 580.832 573.339 580.589 561.747 560.639 559.248 559.160 567.481 543.981 542.466 582.570 552.874 547.486 538.675 604.193 543.717 545.210 540.358 529.685 538.567 541.015 546.727 527.636 528.719 565.974 539.965 522.357 605.404
tests/empty-class.scala, 3566, 2017-11-30T16:25:02Z, 18c55d3, 72.1035, Thu Nov 30 18:13:53 CET 2017, 2479.167 313.423 231.874 201.157 181.641 149.307 117.707 117.033 86.850 79.923 80.744 79.479 82.497 78.208 80.893 78.024 78.366 76.279 76.181 74.302 75.043 73.235 74.278 73.838 74.792 72.423 74.087 72.345 73.100 74.387 , 71.729 74.281 73.225 77.383 71.847 73.297 71.224 73.027 71.343 72.485 71.502 73.576 70.982 72.031 71.400 72.176 71.317 72.278 72.563 71.400
tests/empty-object.scala, 3566, 2017-11-30T16:25:02Z, 18c55d3, 75.1085, Thu Nov 30 18:15:02 CET 2017, 2556.915 457.685 335.021 283.311 207.196 170.504 143.313 122.067 118.459 91.658 83.798 83.750 81.172 85.075 81.329 85.969 87.723 79.973 77.409 78.546 77.394 77.935 79.781 78.703 75.233 78.237 76.636 76.498 74.639 76.052 , 75.537 76.059 73.959 75.020 77.942 75.197 73.511 75.911 75.419 75.877 75.770 75.246 83.793 73.666 73.944 73.415 72.103 73.589 72.155 73.063
tests/empty-file.scala, 3566, 2017-11-30T16:25:02Z, 18c55d3, 58.163, Thu Nov 30 18:16:10 CET 2017, 1947.070 351.363 209.962 164.742 136.679 141.834 118.998 93.521 67.399 64.306 62.939 62.954 61.264 61.607 60.764 61.665 59.821 60.935 60.604 59.041 60.632 59.076 60.030 58.911 59.985 59.756 58.375 59.447 57.822 59.079 , 57.858 61.655 57.361 58.847 59.085 57.856 59.033 57.566 58.654 57.624 58.854 58.402 59.215 57.960 57.385 58.314 57.278 58.200 58.126 57.290
tests/patmatexhaust.scala, 3566, 2017-11-30T16:25:02Z, 18c55d3, 299.5875, Thu Nov 30 18:20:16 CET 2017, 4971.240 1621.468 1363.351 1299.482 1107.321 1092.835 960.089 775.640 719.298 631.300 575.615 600.047 588.071 559.108 454.730 398.704 393.052 383.887 358.948 349.826 5281.266 1660.715 1318.813 1442.312 1298.832 1184.008 986.043 695.391 654.479 712.458 584.248 460.383 625.743 544.081 412.430 414.548 408.955 381.746 366.311 361.212 5576.773 1553.830 1211.726 1413.884 1301.030 1006.912 783.218 648.744 595.782 483.532 639.980 632.135 450.054 531.228 473.925 418.973 371.128 360.510 359.688 355.838 , 363.734 344.039 338.044 337.235 378.539 328.096 418.110 390.721 336.949 312.922 305.788 322.106 295.062 291.945 351.595 355.320 289.481 295.089 304.149 296.169 295.894 280.919 283.341 293.399 289.149 283.634 292.014 281.106 278.032 286.359 275.849 275.557 275.394 292.703 300.611 272.380 275.394 273.733 270.961 275.689 353.528 352.022 344.558 370.706 337.956 333.785 362.207 339.416 319.401 321.070 396.992 336.703 315.588 318.255 307.838 323.890 304.084 336.215 296.465 295.923 299.448 288.997 290.144 295.292 303.067 287.287 296.749 297.618 283.490 312.593 281.402 279.873 294.171 299.727 360.825 291.636 281.246 287.218 272.067 278.516 355.940 347.018 355.111 341.339 389.937 320.873 325.207 319.776 318.298 376.117 322.537 303.176 314.163 300.542 297.539 315.120 305.828 310.051 302.632 294.261 335.962 302.947 295.596 285.390 295.069 285.469 282.987 303.822 282.534 281.912 288.242 291.852 292.158 281.929 277.284 280.158 308.617 280.664 276.187 274.340
