dotty, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 37186.3665, Thu Oct  5 03:30:10 CEST 2017, 84594.398 43278.088 39763.627 38718.728 38773.279 38658.378 37540.630 37616.947 37810.664 37533.041 , 37999.745 37276.563 37465.505 37637.814 37974.303 36953.992 37329.933 37272.833 37923.915 36831.717 36832.552 37099.900 37847.798 36589.146 36958.624 36937.401 37618.806 36391.304 37041.101 37040.081
tests/scala-library, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 6131.5575, Thu Oct  5 03:33:46 CEST 2017, 23965.157 11098.065 8538.963 7407.597 7644.889 6665.388 6543.782 6537.924 6432.645 6631.124 , 6300.351 6234.350 6178.928 6168.193 6166.080 6149.888 6177.146 6097.447 6141.070 6187.273 6066.350 6410.350 6114.915 6084.983 6113.904 6122.045 6043.443 6025.244 6098.297 6106.417
tests/implicit_cache.scala, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 123.957, Thu Oct  5 03:34:22 CEST 2017, 2932.909 592.872 434.066 347.706 417.281 372.589 259.307 251.435 223.184 155.634 , 144.347 136.682 130.907 140.944 128.453 128.920 124.377 122.254 139.437 130.355 129.139 121.000 118.147 120.069 118.608 117.751 123.537 122.236 115.405 118.169
tests/implicit-scope-loop.scala, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 127.6005, Thu Oct  5 03:34:59 CEST 2017, 2917.343 562.732 591.755 478.767 306.254 265.660 219.578 195.884 178.406 151.126 , 143.149 136.371 133.890 131.820 130.360 126.573 127.911 126.332 123.340 127.290 130.132 170.506 133.176 129.516 123.081 120.838 116.185 117.947 116.030 119.379
tests/i1535.scala, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 154.408, Thu Oct  5 03:35:36 CEST 2017, 3320.385 1088.771 764.836 589.352 461.848 384.215 306.443 241.621 210.494 195.510 , 187.033 222.694 173.271 168.427 161.017 157.110 151.984 154.911 151.177 151.001 175.380 151.795 153.905 146.676 144.285 141.700 141.261 140.673 154.949 175.001
tests/i1687.scala, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 100.8845, Thu Oct  5 03:36:12 CEST 2017, 2710.540 634.973 467.208 372.664 338.781 203.718 230.073 173.923 147.186 131.445 , 131.279 108.975 108.136 106.703 108.366 106.834 101.715 103.059 100.625 101.575 101.144 100.472 98.532 96.178 97.939 95.669 98.082 95.631 94.190 95.604
tests/Vector.scala, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 601.0365, Thu Oct  5 03:39:56 CEST 2017, 7778.548 2942.530 2317.848 1518.895 1825.202 1530.359 1251.195 1017.981 1058.293 1057.890 910.274 754.841 716.736 709.898 802.930 693.289 681.652 660.903 664.850 648.422 8364.428 2996.533 2339.854 2053.186 1768.778 1132.588 1423.972 1101.912 1540.881 1062.943 1061.627 862.531 755.878 742.582 708.703 710.531 705.973 700.880 687.527 666.960 7667.807 2170.245 1729.427 1503.115 1488.407 1304.444 1197.027 1119.802 1145.841 1037.164 1277.286 1258.849 1229.411 901.042 1015.759 777.560 710.961 708.094 707.490 678.494 , 647.739 635.825 627.457 639.743 618.705 613.370 618.749 637.187 617.279 610.342 604.381 609.282 598.520 598.162 607.805 596.103 593.224 592.680 589.941 582.243 580.610 600.685 616.374 629.008 577.163 609.351 575.887 584.185 595.473 581.343 644.789 643.210 637.413 737.220 751.849 618.174 631.311 611.911 602.178 594.709 602.366 601.316 588.595 600.757 584.232 590.251 583.038 599.066 577.832 578.878 583.783 577.231 576.800 590.143 589.645 573.183 568.319 587.357 589.006 573.934 672.467 694.598 656.267 649.249 651.137 638.329 631.857 629.436 739.751 628.596 624.323 619.219 612.304 619.147 596.968 614.960 605.580 595.850 614.968 591.711 592.880 589.717 597.354 591.648 599.728 602.714 581.280 581.452 596.511 592.664
tests/empty-class.scala, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 79.1905, Thu Oct  5 03:40:31 CEST 2017, 2361.158 430.816 306.307 264.732 200.827 188.819 177.101 114.942 100.940 89.850 , 89.924 85.301 80.531 84.375 79.946 84.987 79.471 79.863 77.442 84.405 76.572 78.007 75.664 78.421 75.181 77.306 77.662 78.910 82.163 76.454
tests/empty-object.scala, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 80.2875, Thu Oct  5 03:41:06 CEST 2017, 2459.717 343.661 257.921 208.283 180.012 169.828 145.314 127.211 114.721 91.442 , 86.382 83.417 80.386 81.707 79.172 80.889 79.002 81.173 78.219 81.990 79.191 83.392 78.095 79.320 80.189 79.612 86.912 79.197 80.407 78.827
tests/empty-file.scala, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 61.686, Thu Oct  5 03:41:40 CEST 2017, 2000.917 303.998 204.452 158.325 133.142 125.236 133.794 118.311 80.764 67.685 , 67.370 64.808 63.296 63.813 62.373 63.894 61.324 62.779 61.635 62.235 62.379 60.705 61.737 60.437 61.517 60.101 61.315 60.064 61.441 61.163
tests/patmatexhaust.scala, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 323.255, Thu Oct  5 03:45:41 CEST 2017, 5421.384 2089.540 1682.490 1403.906 1240.275 1146.319 1088.726 1005.441 949.991 743.745 625.423 672.868 719.658 663.596 442.926 426.002 527.083 470.484 410.590 386.718 5545.342 1744.296 1767.802 1484.767 1412.248 851.421 833.311 766.099 850.364 684.180 595.500 707.422 579.835 449.079 443.199 566.938 564.812 431.455 395.942 369.561 5535.263 1769.093 1778.588 1441.118 1120.602 1034.511 894.938 931.143 748.854 546.274 525.319 508.752 475.506 451.314 456.499 449.260 410.754 459.187 384.537 366.613 , 356.498 362.021 358.783 363.889 350.251 345.601 337.049 343.115 344.413 328.786 335.919 328.241 324.902 325.113 323.741 320.397 322.740 316.564 322.228 310.083 313.612 315.097 300.538 302.190 311.078 311.138 301.322 305.599 297.733 308.314 303.601 301.051 305.469 300.061 294.892 301.297 294.755 301.007 299.276 295.074 368.723 366.842 375.816 351.547 354.786 345.406 364.249 345.664 336.971 340.228 337.138 330.066 345.867 353.971 337.146 347.020 328.195 326.351 325.063 332.251 320.577 331.527 328.797 329.248 321.824 320.092 312.192 316.626 310.359 307.387 322.769 318.059 314.389 305.889 302.732 315.129 298.918 297.741 303.514 298.181 370.043 374.794 359.146 363.360 357.972 355.137 348.214 345.106 347.658 336.714 340.371 331.093 336.635 329.261 329.406 334.664 327.594 321.094 334.423 321.274 320.134 326.351 310.276 316.858 322.448 314.328 314.268 307.604 304.153 360.545 362.354 351.034 321.422 303.257 300.802 310.270 298.965 298.803 318.892 298.627
tests/exhaustivity-I.scala, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 192.2195, Thu Oct  5 03:49:18 CEST 2017, 4299.558 1245.666 1198.954 854.685 592.961 642.854 619.008 570.822 451.049 337.490 321.150 412.935 279.850 288.772 311.090 228.403 221.772 223.396 213.018 221.319 4099.229 1653.160 1268.284 1033.110 843.626 546.004 518.014 526.434 562.261 405.538 450.992 310.982 402.207 261.649 313.581 350.982 340.082 238.637 223.841 214.029 4200.346 1570.010 1174.751 864.812 773.684 685.624 569.844 524.971 411.420 321.859 296.658 271.767 257.782 252.998 239.528 236.309 228.231 216.918 215.025 301.434 , 206.729 207.042 237.587 262.943 205.640 201.023 195.950 193.136 195.686 197.995 200.140 196.710 208.790 193.267 187.427 186.748 194.121 189.465 191.991 189.652 201.104 188.623 188.493 184.550 182.833 183.730 186.340 179.039 183.413 177.150 179.130 179.126 213.562 179.179 177.828 178.827 177.125 178.378 180.843 175.942 211.182 212.234 210.571 205.778 208.291 200.687 200.136 203.442 198.028 197.562 194.187 196.783 196.516 193.500 194.205 191.028 224.953 191.206 187.687 193.684 190.761 223.068 192.091 200.928 193.443 182.188 206.820 187.294 184.464 186.264 202.830 202.972 195.886 177.348 180.416 182.952 178.735 180.050 179.548 178.077 296.190 239.101 215.172 202.742 201.398 202.235 200.023 195.363 213.992 195.016 198.835 192.701 233.631 198.710 187.852 191.735 189.164 189.416 198.051 191.337 192.348 202.288 233.325 193.085 183.914 188.832 183.279 179.737 183.765 180.658 181.293 178.602 180.939 180.866 180.367 180.264 179.728 177.935 183.111 177.488
tests/exhaustivity-S.scala, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 308.853, Thu Oct  5 03:53:02 CEST 2017, 4228.520 1270.966 740.506 621.079 541.561 505.248 461.001 435.371 595.470 403.915 360.580 351.804 349.651 358.960 343.381 341.636 334.960 341.536 332.117 338.671 4247.798 1372.798 894.613 724.108 601.493 573.500 550.264 461.166 417.692 403.359 393.836 380.655 379.307 375.847 370.418 368.544 361.235 373.252 363.309 359.281 4394.224 1271.690 927.276 841.245 561.911 630.032 624.692 439.471 464.334 367.198 384.457 386.970 335.083 343.358 328.291 326.550 345.304 334.904 324.182 315.178 , 325.129 318.318 318.947 315.842 314.386 314.203 315.306 407.272 324.720 334.577 311.134 309.519 306.241 305.778 319.598 305.783 303.358 302.436 304.911 306.804 300.521 300.440 300.437 301.824 299.511 299.775 298.407 299.381 297.907 300.238 298.111 295.775 295.722 295.357 297.752 314.751 296.512 355.681 304.864 299.223 356.790 359.434 356.348 352.449 353.624 349.298 349.203 430.351 369.216 354.434 350.536 356.471 345.335 347.904 343.428 343.856 344.143 342.052 339.728 340.899 351.708 366.095 340.837 339.291 340.087 345.845 339.092 335.948 338.627 338.119 338.378 339.166 339.348 338.668 339.725 337.960 335.870 336.422 337.855 341.145 312.774 322.390 307.663 308.708 308.998 306.428 308.355 306.079 306.416 305.652 301.838 301.231 300.582 299.836 299.093 301.455 297.374 303.026 299.681 303.228 309.050 295.664 297.888 296.304 298.873 298.353 294.863 294.489 294.423 294.857 294.689 293.769 292.957 298.093 294.218 294.194 291.380 292.124 292.423 314.467
tests/exhaustivity-T.scala, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 963.1215, Thu Oct  5 03:58:08 CEST 2017, 4856.732 2168.065 1765.550 1421.217 1298.849 1193.631 1385.209 1221.476 1177.737 1138.672 1133.245 1087.486 1163.871 1116.249 1051.037 1027.109 1019.908 1015.271 1013.395 1030.976 4872.751 1941.468 1453.428 1272.067 1911.705 1488.069 1705.227 1340.112 1261.918 1145.243 1141.175 1112.099 1051.355 1054.449 1076.823 1038.057 1036.924 1032.627 1016.057 1013.149 5211.499 2167.545 1480.288 1696.270 1638.090 1540.345 1155.947 1168.475 1144.359 1105.921 1096.432 1183.235 1163.151 1036.360 1018.841 1016.841 1010.216 998.341 1013.364 977.586 , 1081.963 993.797 981.699 980.962 976.170 976.067 972.509 967.712 969.401 967.573 1041.857 964.279 962.584 959.201 956.187 958.285 955.080 955.702 953.260 950.058 948.897 945.729 948.336 957.902 964.429 953.178 957.480 1020.129 956.800 943.373 945.359 963.881 1050.140 944.013 944.402 941.902 944.335 935.250 939.738 952.435 1040.417 1009.806 1011.374 1003.965 999.012 995.675 1001.315 1006.618 1007.197 1022.684 995.958 1034.356 1029.187 981.739 1030.791 1010.233 981.591 984.375 991.323 971.351 978.543 973.321 979.886 976.550 965.516 966.135 968.680 963.691 969.835 963.659 962.308 989.235 960.306 965.986 965.337 962.342 1169.930 964.236 968.076 962.432 971.116 973.293 966.491 952.511 1013.951 1027.856 954.958 951.932 944.304 942.919 944.051 941.250 936.915 939.004 929.567 933.381 933.552 940.002 963.963 946.552 942.744 970.620 929.787 1059.849 954.149 934.575 934.857 934.055 934.195 923.140 929.793 927.554 924.627 937.931 930.819 929.261 926.744 942.241 929.279 925.061
tests/exhaustivity-V.scala, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 2267.334, Thu Oct  5 04:05:26 CEST 2017, 6576.581 3332.872 2671.503 2694.234 2669.813 2405.483 2408.819 2356.967 2350.438 2449.818 2397.333 2293.831 2238.263 2239.672 2697.798 2291.031 2546.954 2222.003 2209.168 2203.939 6572.400 3878.608 2870.943 2672.372 2941.215 2599.620 2520.047 2509.290 2549.086 2618.120 2559.492 2424.784 2399.006 2428.298 2493.197 2433.491 2482.343 2894.268 2344.214 2382.601 6480.025 3071.128 2700.441 2569.447 2871.825 2626.171 2529.853 2569.488 2574.356 2495.076 2438.349 2359.847 2432.292 2317.819 2303.465 2309.610 2302.818 2479.421 2301.449 2320.293 , 2197.403 2204.734 2201.571 2180.039 2180.791 2191.112 2176.212 2171.554 2179.304 2174.382 2169.771 2186.997 2170.129 2176.628 2185.863 2174.804 2176.184 2175.462 2181.635 2174.218 2163.360 2160.434 2197.873 2179.902 2169.592 2168.638 2159.938 2176.256 2171.935 2160.633 2159.596 2186.607 2180.570 2185.208 2185.627 2187.007 2184.081 2166.589 2154.180 2154.722 2415.584 2410.357 2416.899 2378.098 2412.827 2344.327 2325.190 2320.939 2325.451 2318.038 2317.675 2310.544 2304.201 2328.891 2338.494 2351.526 2325.346 2322.590 2325.298 2313.045 2434.705 2338.088 2341.584 2322.007 2317.493 2306.738 2320.222 2308.302 2303.995 2304.096 2299.310 2310.193 2296.324 2296.193 2327.648 2293.799 2305.340 2297.908 2294.219 2302.126 2360.723 2310.689 2280.200 2278.217 2275.689 2271.497 2275.454 2274.467 2285.717 2292.929 2261.200 2298.566 2273.324 2255.630 2266.043 2266.784 2272.373 2260.327 2278.877 2260.017 2262.292 2249.300 2257.414 2272.288 2252.043 2268.184 2269.242 2248.090 2255.385 2275.444 2264.862 2267.884 2248.920 2244.571 2322.119 2261.544 2261.022 2253.300 2243.233 2257.213
tests/implicitNums.scala, 3261, 2017-10-05T01:06:19Z, f9b6ea3, 799.34, Thu Oct  5 04:06:25 CEST 2017, 6769.648 3225.168 2135.616 1744.696 2056.535 1788.188 1050.477 965.185 909.358 876.830 , 860.187 840.397 873.281 878.599 792.232 806.448 816.134 874.359 791.961 840.864 780.510 782.535 777.544 778.110 823.191 779.078 777.078 784.050 781.840 846.678
