dotty, 3710, 2017-12-29T19:01:37Z, f653095, 33404.687, Fri Dec 29 20:34:39 CET 2017, 72249.789 42345.986 37463.987 35752.217 35173.378 35671.754 34361.233 34312.430 34240.480 34197.289 34964.197 33878.075 33822.822 33939.575 35029.193 33684.888 33709.471 33730.745 34471.156 33440.416 33493.440 33627.277 34328.655 33462.636 33362.080 33457.026 34369.516 33386.895 33403.887 33391.906 , 34349.865 33443.148 33394.646 33390.943 34242.769 33511.153 33385.043 33470.441 34440.442 33391.754 33414.344 33383.611 34545.876 33381.641 33315.721 33428.349 34376.446 33384.649 33369.274 33395.030
tests/scala-library, 3710, 2017-12-29T19:01:37Z, f653095, 5629.7785, Fri Dec 29 20:40:11 CET 2017, 21398.251 10323.273 8518.479 7936.422 7108.617 6593.012 6401.601 6156.291 6053.693 5972.857 5975.744 5882.724 5895.229 5882.197 5856.961 5826.684 5761.229 5751.740 5827.867 5744.554 5730.986 5769.132 5714.330 5693.343 5685.264 5725.046 5676.456 5700.583 5718.803 5720.559 , 5656.091 5655.938 5774.854 5634.632 5636.635 5608.481 5629.292 5617.535 5628.499 5665.624 5640.064 5666.726 5621.333 5659.611 5601.406 5578.393 5630.265 5596.884 5603.477 5603.583
tests/implicit_cache.scala, 3710, 2017-12-29T19:01:37Z, f653095, 97.367, Fri Dec 29 20:41:21 CET 2017, 2668.623 466.300 371.720 321.604 260.296 247.129 205.714 179.373 150.696 136.345 123.175 122.348 118.378 118.764 121.457 115.290 117.529 113.682 110.461 112.532 108.444 108.086 105.422 105.226 106.237 103.453 105.935 102.030 101.863 102.300 , 99.770 102.790 98.593 101.292 98.368 100.416 97.589 97.326 98.320 96.798 97.408 96.679 98.359 96.922 97.276 96.520 96.963 95.264 95.043 97.216
tests/implicit-scope-loop.scala, 3710, 2017-12-29T19:01:37Z, f653095, 98.505, Fri Dec 29 20:42:31 CET 2017, 2761.026 515.869 386.692 311.792 256.228 216.893 181.183 149.997 135.838 128.375 121.503 120.919 115.640 117.094 115.124 117.790 117.061 112.425 109.690 110.550 107.086 108.509 105.432 108.841 105.445 106.452 105.788 104.141 105.600 101.556 , 104.869 102.492 101.062 102.303 99.992 102.199 100.500 100.696 98.599 100.713 97.334 98.411 98.263 97.197 97.745 97.515 97.491 96.099 98.225 95.771
tests/i1535.scala, 3710, 2017-12-29T19:01:37Z, f653095, 112.571, Fri Dec 29 20:43:42 CET 2017, 3082.129 654.515 424.781 344.976 290.654 240.435 222.191 194.980 169.219 155.157 154.213 149.758 146.753 152.241 144.582 138.703 140.636 143.333 135.025 131.096 132.660 129.364 126.841 124.423 124.654 122.612 122.821 122.977 121.187 118.544 , 119.686 117.984 115.412 117.275 115.655 117.159 116.667 112.261 111.396 114.154 111.773 110.891 112.881 109.798 108.786 113.623 111.936 108.238 109.221 108.562
tests/i1687.scala, 3710, 2017-12-29T19:01:37Z, f653095, 67.279, Fri Dec 29 20:44:51 CET 2017, 2458.733 398.099 272.189 226.706 183.256 156.003 133.466 109.415 97.556 87.270 82.435 82.169 80.386 82.539 80.069 78.827 78.737 75.740 75.137 74.067 72.706 73.184 71.608 72.161 71.082 71.133 70.595 69.025 70.343 68.523 , 69.042 67.648 69.229 67.289 67.379 68.008 67.269 69.804 66.630 67.334 67.231 67.766 66.318 66.387 67.160 66.361 67.300 65.723 66.856 65.989
tests/Vector.scala, 3710, 2017-12-29T19:01:37Z, f653095, 552.0565, Fri Dec 29 20:48:31 CET 2017, 6264.499 2096.347 1643.530 1407.582 1268.204 1221.152 1099.188 1077.891 922.737 877.402 810.097 804.173 789.165 762.136 723.909 703.676 683.670 657.018 662.804 631.971 6406.207 2249.596 1671.942 1458.408 1407.683 1280.804 1143.539 1073.779 1011.297 925.415 856.439 807.642 831.472 813.766 766.452 719.392 712.140 674.400 654.721 641.834 6350.263 2262.643 1778.743 1490.556 1308.888 1239.216 1131.315 1084.573 1012.054 940.226 922.368 830.991 765.536 782.460 767.645 758.356 717.197 713.644 681.528 656.842 , 639.142 612.347 602.659 596.468 600.706 591.371 579.163 572.054 578.137 560.736 558.009 545.711 568.847 538.304 534.568 537.936 555.925 534.929 538.585 541.931 536.762 523.615 531.258 541.787 514.850 517.247 517.929 537.973 520.178 517.567 649.347 624.340 608.260 605.944 600.799 593.173 579.983 571.827 581.877 560.371 556.459 551.856 570.179 556.947 551.507 540.135 556.365 539.319 534.605 526.494 534.183 534.805 536.920 530.852 528.542 523.031 517.470 529.087 534.552 526.573 666.592 641.490 628.661 626.173 627.962 611.504 599.585 584.655 597.580 575.311 573.124 565.546 571.716 559.806 558.437 552.257 571.777 545.822 547.512 540.013 552.807 547.797 543.565 534.343 539.995 528.188 527.994 533.840 537.779 528.430
tests/empty-class.scala, 3710, 2017-12-29T19:01:37Z, f653095, 53.157, Fri Dec 29 20:49:39 CET 2017, 2172.006 273.022 175.957 143.768 120.994 107.027 91.575 81.890 73.609 65.311 64.605 62.244 63.144 60.657 61.332 60.923 60.046 58.257 58.989 57.106 57.185 56.260 56.232 55.210 55.227 54.931 55.145 53.991 55.045 53.449 , 54.411 53.599 54.042 54.956 53.839 53.277 53.533 52.935 53.410 52.368 53.289 52.309 53.532 52.620 52.834 52.262 53.037 51.979 52.653 52.245
tests/empty-object.scala, 3710, 2017-12-29T19:01:37Z, f653095, 53.7385, Fri Dec 29 20:50:46 CET 2017, 2183.393 268.499 177.877 144.206 128.065 111.425 94.346 83.565 75.660 67.808 66.451 61.219 61.709 60.255 61.231 59.896 60.858 58.870 59.026 58.609 58.036 56.635 56.312 56.895 56.322 56.961 56.206 56.404 54.925 55.596 , 54.678 54.653 54.465 55.094 53.211 54.409 54.083 55.103 53.545 53.659 53.716 54.166 53.141 53.761 53.088 52.571 53.091 52.703 53.107 54.107
tests/empty-file.scala, 3710, 2017-12-29T19:01:37Z, f653095, 37.948, Fri Dec 29 20:51:53 CET 2017, 1643.935 183.467 108.639 91.678 81.341 70.264 64.348 60.811 53.034 48.977 46.341 43.104 41.536 40.201 40.780 40.507 40.378 40.437 39.469 39.904 39.238 39.596 38.751 39.153 39.120 38.991 39.027 38.331 38.599 38.778 , 38.213 38.499 38.044 38.155 38.541 37.802 38.184 37.745 37.989 38.210 37.755 37.963 37.369 39.214 37.780 37.424 37.894 37.428 37.933 37.769
tests/patmatexhaust.scala, 3710, 2017-12-29T19:01:37Z, f653095, 283.031, Fri Dec 29 20:55:50 CET 2017, 4794.894 1548.150 1250.778 1061.166 911.227 767.862 717.621 651.503 592.453 554.748 515.636 501.069 458.110 408.525 399.387 368.615 363.813 360.496 377.744 370.874 4877.933 1508.989 1231.386 1113.755 1011.802 879.938 794.173 725.970 661.133 609.626 560.624 506.489 471.256 416.882 389.105 378.765 367.147 346.846 344.450 368.271 4702.164 1452.708 1190.295 1061.087 904.865 799.197 736.111 677.722 644.634 613.538 574.901 554.492 502.886 463.179 441.988 411.251 387.126 369.973 363.611 381.412 , 367.509 362.505 362.742 350.578 346.673 344.194 338.774 336.410 329.018 318.093 316.626 305.490 301.739 302.971 296.300 291.590 291.510 286.602 283.893 281.051 287.784 279.658 282.808 280.075 278.554 271.471 273.534 271.557 266.892 270.521 262.898 261.025 268.985 264.313 259.176 259.783 263.750 259.004 264.256 264.334 353.684 358.981 358.507 358.019 341.976 332.714 327.386 333.859 320.267 311.678 314.023 303.504 307.767 298.453 299.117 290.259 289.901 287.440 279.160 274.866 280.965 275.532 279.285 276.716 274.016 272.480 269.701 279.645 264.525 263.859 268.606 261.611 262.193 267.695 257.438 259.474 263.706 256.723 266.105 253.420 384.539 375.816 376.801 378.590 362.388 355.734 349.227 355.076 334.227 330.435 323.608 328.494 313.632 311.106 309.138 299.176 293.507 296.416 289.764 285.869 288.059 283.254 281.232 280.066 282.062 276.720 278.703 277.548 275.573 268.848 279.826 269.381 267.231 275.472 264.171 263.138 271.579 274.241 270.352 268.548
