dotty, 3365, 2017-10-23T21:32:10Z, 508d65f, 34703.104, Mon Oct 23 23:54:47 CEST 2017, 76077.257 41682.295 38633.869 36082.367 36282.404 35908.188 35209.603 35043.071 35276.196 36064.884 , 34680.984 34707.500 35255.225 34873.047 35319.913 34647.010 35002.540 34968.902 35468.356 34399.322 34315.146 34680.938 35482.888 34168.467 34165.321 34698.708 35448.427 34128.493 34251.680 34738.275
tests/scala-library, 3365, 2017-10-23T21:32:10Z, 508d65f, 5849.873, Mon Oct 23 23:58:15 CEST 2017, 23089.106 10488.597 8265.935 7214.443 6996.792 6438.020 6786.889 6298.953 6132.066 6100.878 , 6040.614 6538.367 5980.679 5934.351 5995.783 5990.401 5858.381 5892.894 5826.293 5874.081 5807.410 6088.064 5837.252 5803.707 5776.134 5781.027 5792.827 5761.150 5736.788 5841.365
tests/implicit_cache.scala, 3365, 2017-10-23T21:32:10Z, 508d65f, 124.004, Mon Oct 23 23:58:50 CEST 2017, 2788.017 502.037 446.795 339.878 304.131 264.034 252.894 174.001 158.068 168.561 , 150.185 129.354 128.800 128.088 126.846 135.488 140.296 131.640 121.992 122.640 121.018 117.335 125.368 129.824 117.448 115.457 115.947 113.610 114.124 115.764
tests/implicit-scope-loop.scala, 3365, 2017-10-23T21:32:10Z, 508d65f, 124.932, Mon Oct 23 23:59:27 CEST 2017, 2944.111 586.824 582.063 334.399 321.718 306.596 252.635 186.391 162.286 146.395 , 140.162 136.985 132.510 129.550 128.974 125.365 130.953 125.798 126.945 124.499 123.543 122.631 119.006 117.437 119.930 118.894 118.291 119.542 127.819 116.704
tests/i1535.scala, 3365, 2017-10-23T21:32:10Z, 508d65f, 153.1845, Tue Oct 24 00:00:04 CEST 2017, 3273.866 735.012 556.202 407.056 461.986 337.865 304.914 243.248 260.459 265.744 , 199.140 163.624 162.513 196.883 178.221 155.480 155.238 149.573 151.131 164.780 157.167 147.219 143.241 146.539 145.833 143.640 144.002 140.815 144.623 171.089
tests/i1687.scala, 3365, 2017-10-23T21:32:10Z, 508d65f, 104.5945, Tue Oct 24 00:00:40 CEST 2017, 2728.486 508.033 513.161 427.040 367.464 305.314 186.636 214.601 150.285 119.752 , 118.005 110.506 111.726 107.718 108.630 104.826 104.481 104.708 102.467 103.127 111.742 115.092 105.402 98.609 101.886 98.204 99.700 97.725 97.129 100.761
tests/Vector.scala, 3365, 2017-10-23T21:32:10Z, 508d65f, 567.9135, Tue Oct 24 00:04:17 CEST 2017, 7071.360 2768.126 2178.951 1666.868 1312.188 1112.604 1490.824 1266.986 886.102 845.769 1101.534 821.336 858.507 698.814 658.066 661.878 686.743 636.928 631.335 662.076 7320.497 2685.290 1651.687 1640.670 1895.185 1693.388 1499.932 1387.644 1323.974 1195.974 928.843 825.535 715.083 699.860 737.490 721.278 657.911 650.061 642.514 613.263 7585.673 2869.789 2179.919 1807.142 1772.370 1299.393 1435.113 1403.949 905.955 1053.334 906.662 1073.551 711.269 694.254 665.631 666.139 671.684 661.081 630.771 699.515 , 603.003 592.144 594.488 604.905 627.882 579.716 590.212 599.953 581.474 560.821 593.759 556.867 556.164 571.940 557.822 552.137 558.424 566.422 573.694 550.959 586.613 556.585 563.361 556.473 556.489 539.466 538.387 552.890 536.588 536.113 624.463 601.774 662.410 640.180 628.445 604.561 579.472 640.674 671.243 592.373 568.163 589.083 563.232 567.664 584.020 563.744 562.402 582.142 562.557 549.863 548.712 559.232 549.583 558.535 550.003 553.819 547.016 584.275 620.670 541.616 631.864 736.248 606.726 777.128 721.382 594.192 629.576 598.881 575.371 571.606 573.981 575.666 562.772 564.128 573.624 581.097 565.099 566.175 568.587 558.553 565.898 564.220 550.231 558.584 553.482 558.428 548.601 552.473 571.096 547.161
tests/empty-class.scala, 3365, 2017-10-23T21:32:10Z, 508d65f, 78.5355, Tue Oct 24 00:04:52 CEST 2017, 2357.783 306.043 219.833 177.316 162.087 159.034 160.894 119.631 88.524 84.598 , 82.283 81.641 81.156 86.466 79.854 78.491 80.427 77.842 78.685 77.546 78.580 76.620 78.946 76.762 80.249 77.926 75.748 78.076 74.819 75.665
tests/empty-object.scala, 3365, 2017-10-23T21:32:10Z, 508d65f, 77.9445, Tue Oct 24 00:05:27 CEST 2017, 2416.819 406.441 271.399 212.310 184.316 173.215 115.577 105.257 92.464 86.155 , 85.266 83.176 84.182 80.220 100.954 81.035 82.015 76.981 77.507 75.897 77.717 78.690 77.528 78.172 92.458 75.511 76.261 75.031 75.603 73.802
tests/empty-file.scala, 3365, 2017-10-23T21:32:10Z, 508d65f, 61.7555, Tue Oct 24 00:06:01 CEST 2017, 1908.270 351.002 218.399 204.552 171.305 151.579 106.852 79.030 71.732 68.827 , 67.750 72.999 71.875 64.375 62.116 64.488 61.364 63.004 60.991 61.731 64.471 61.067 61.264 60.410 61.398 60.164 63.037 61.684 60.361 61.780
tests/patmatexhaust.scala, 3365, 2017-10-23T21:32:10Z, 508d65f, 315.2855, Tue Oct 24 00:09:57 CEST 2017, 4951.664 1650.015 1499.636 1421.253 1291.120 1043.831 1007.650 901.779 577.506 599.067 759.761 599.065 617.355 477.192 460.040 506.217 505.485 399.420 380.467 381.063 5029.916 2215.572 1527.813 1492.904 1088.723 878.877 833.036 863.969 663.789 503.552 563.915 542.739 450.763 421.180 415.329 393.167 384.641 375.707 373.250 363.250 5508.205 1729.506 1564.395 1254.391 1342.862 1211.022 1079.955 1046.146 946.910 715.321 671.273 523.190 500.544 645.972 612.429 522.743 483.994 430.240 395.649 368.931 , 360.520 363.269 349.879 367.511 345.821 372.654 341.878 353.455 335.077 332.922 338.273 327.248 318.705 324.041 314.431 335.021 357.236 335.340 325.660 313.395 320.136 315.658 311.084 298.674 299.264 330.099 298.290 299.244 301.225 300.591 327.402 343.277 320.550 295.617 299.107 287.660 295.106 289.961 293.302 291.691 372.516 365.308 345.597 342.182 417.052 343.554 371.186 351.107 333.304 320.803 317.647 320.694 318.167 310.942 318.844 314.965 305.140 313.949 301.603 305.692 304.518 303.487 308.398 305.013 301.519 304.544 297.353 297.671 310.177 294.119 292.681 298.786 289.272 290.453 292.121 286.555 302.963 296.204 288.178 293.074 348.183 438.760 379.502 370.840 393.369 333.496 338.993 336.802 334.305 330.202 331.209 323.508 319.237 324.113 318.992 313.554 316.096 311.016 312.894 308.347 306.589 310.358 304.694 315.606 401.194 300.798 337.256 307.228 294.408 297.190 341.371 294.052 292.499 337.105 291.028 325.326 292.940 285.851 294.334 297.257
tests/exhaustivity-I.scala, 3365, 2017-10-23T21:32:10Z, 508d65f, 187.7465, Tue Oct 24 00:13:32 CEST 2017, 3860.800 1160.848 872.119 724.183 703.125 631.729 550.119 395.614 345.118 298.961 279.228 274.398 330.307 266.588 252.402 246.286 254.317 253.797 288.969 230.133 3873.505 1333.604 1026.813 879.307 660.740 474.741 398.616 349.777 356.004 328.130 400.481 380.054 361.302 337.763 251.711 228.611 237.415 212.226 209.460 209.295 4285.889 1443.488 1150.395 844.728 671.988 589.621 519.663 448.426 346.788 323.298 304.375 272.459 260.232 282.923 264.129 225.690 217.133 213.722 209.956 248.910 , 209.096 216.235 220.929 206.847 200.302 200.863 195.907 203.290 193.155 196.884 193.179 194.415 192.495 187.875 187.618 201.115 189.351 215.385 219.381 219.325 190.410 184.696 183.521 182.671 181.337 182.674 204.065 185.896 200.843 179.036 180.026 178.251 178.638 181.062 180.331 177.682 175.864 175.330 174.825 173.944 201.591 199.403 201.672 217.145 196.073 197.597 190.989 190.783 189.442 189.643 185.654 188.146 193.813 190.267 195.126 181.987 183.564 189.027 206.346 185.940 181.327 179.966 186.505 228.050 212.949 200.444 217.624 178.024 173.990 172.230 174.015 174.182 173.607 173.674 171.422 172.993 172.500 175.481 172.723 174.640 212.802 199.356 202.227 209.761 196.549 195.148 192.728 196.148 189.829 192.322 190.330 188.221 190.157 186.992 188.977 186.299 186.808 193.772 189.299 190.450 183.996 185.382 182.391 183.909 184.432 210.286 187.269 177.366 176.057 178.387 177.347 179.548 177.410 175.774 176.998 175.654 178.637 174.841 174.827 176.734
tests/exhaustivity-S.scala, 3365, 2017-10-23T21:32:10Z, 508d65f, 339.167, Tue Oct 24 00:17:17 CEST 2017, 3951.461 1085.875 840.411 761.607 562.958 515.054 487.198 505.423 456.887 422.397 390.642 432.670 370.712 390.735 355.584 354.003 348.293 350.405 346.317 347.983 3915.724 1264.316 925.263 906.283 733.250 512.814 460.208 454.816 517.864 429.826 395.771 379.947 422.626 393.406 371.902 366.073 378.134 367.028 444.640 364.825 3899.491 1178.076 1184.860 1003.086 914.549 713.031 636.456 509.601 421.704 405.441 423.825 513.864 399.372 403.755 362.030 368.493 378.714 358.586 361.227 355.146 , 341.233 348.930 417.058 337.939 347.421 339.760 340.644 345.901 355.545 354.067 335.385 336.163 337.682 335.019 330.860 330.728 330.198 330.126 329.137 330.189 328.226 330.336 332.136 329.017 327.880 335.560 341.933 328.200 326.226 325.834 325.755 324.875 327.990 328.240 322.961 327.932 324.439 324.766 324.765 326.360 363.568 367.613 357.465 362.846 357.835 442.622 354.548 372.328 373.771 353.813 355.681 351.666 361.681 351.008 364.643 372.366 350.979 347.975 357.738 356.497 357.892 379.994 345.528 345.993 345.404 350.143 344.278 344.908 344.054 342.827 343.640 344.370 341.574 342.889 344.824 348.468 344.158 345.813 447.746 350.222 361.988 343.327 359.369 348.681 339.306 344.036 339.028 335.745 334.228 346.153 338.225 332.169 330.973 334.002 333.246 332.265 329.826 326.943 327.570 326.944 326.729 341.545 329.929 334.052 328.639 352.248 324.099 324.347 324.521 331.082 322.964 326.197 323.714 335.280 323.866 320.185 321.511 320.873 472.655 325.624
