dotty, 3494, 2017-11-27T12:58:03Z, 914d6a3, 32525.2475, Mon Nov 27 14:31:02 CET 2017, 79419.187 39678.654 35728.578 34528.086 34066.598 34325.914 33522.886 33287.109 33264.265 33194.363 33677.331 33148.343 33081.754 33052.252 32850.433 33812.328 32807.136 32586.797 32867.181 33651.644 32597.172 32716.788 32664.127 33506.090 32513.758 32678.896 32528.862 33381.848 32408.703 32597.318 , 32404.589 33261.769 32499.969 32414.566 32532.651 33448.376 32399.381 32579.902 32476.028 33279.240 32504.378 32531.372 32285.615 33282.326 32519.123 32519.053 32553.411 33372.498 32566.672 32443.510
tests/scala-library, 3494, 2017-11-27T12:58:03Z, 914d6a3, 5390.0635, Mon Nov 27 14:36:24 CET 2017, 23167.254 11805.694 8756.140 6768.316 6597.657 6522.164 5860.180 5766.801 5805.674 5720.389 5715.222 5607.357 5566.006 5637.133 5618.086 5590.781 5603.638 5539.829 5618.702 5524.836 5449.336 5762.612 5439.262 5469.313 5501.444 5472.688 5440.843 5407.276 5456.597 5406.220 , 5450.252 5489.082 5456.945 5408.994 5379.289 5384.776 5409.566 5360.002 5364.803 5350.379 5418.285 5400.975 5413.079 5364.654 5414.206 5351.772 5395.351 5338.800 5367.443 5363.722
tests/implicit_cache.scala, 3494, 2017-11-27T12:58:03Z, 914d6a3, 95.365, Mon Nov 27 14:37:34 CET 2017, 2824.041 465.258 343.953 281.587 341.432 260.550 157.724 166.590 138.139 128.806 117.432 117.009 113.188 119.234 130.215 117.765 111.534 107.779 106.192 105.549 103.173 103.961 101.712 102.219 102.536 100.964 101.769 99.549 99.348 104.238 , 97.899 101.604 97.036 97.262 94.901 97.213 94.886 98.806 106.191 96.701 94.322 98.423 93.875 93.864 95.829 92.231 93.204 91.154 92.899 91.279
tests/implicit-scope-loop.scala, 3494, 2017-11-27T12:58:03Z, 914d6a3, 101.237, Mon Nov 27 14:38:45 CET 2017, 2881.579 575.407 452.924 305.640 317.570 241.076 175.423 166.029 160.776 134.284 127.898 128.561 122.161 117.500 118.111 114.016 118.739 111.822 110.496 114.051 108.084 109.888 107.119 108.694 108.746 105.954 107.625 128.921 126.476 111.574 , 102.175 103.780 102.472 104.966 101.646 103.755 100.828 100.604 109.015 100.132 100.744 98.304 102.574 105.243 97.292 99.466 96.784 97.679 96.743 104.678
tests/i1535.scala, 3494, 2017-11-27T12:58:03Z, 914d6a3, 119.6655, Mon Nov 27 14:39:57 CET 2017, 3405.415 1044.885 703.924 527.171 444.290 409.574 367.362 234.955 197.067 274.048 256.545 166.794 203.520 155.081 146.528 146.096 143.083 139.938 139.434 138.214 135.003 135.273 131.506 131.205 130.949 139.603 127.756 128.110 122.855 125.361 , 124.065 121.458 119.678 123.244 123.181 118.330 119.653 123.108 135.906 121.924 117.873 116.893 116.277 121.236 118.277 121.196 116.210 116.757 115.235 114.179
tests/i1687.scala, 3494, 2017-11-27T12:58:03Z, 914d6a3, 76.5145, Mon Nov 27 14:41:07 CET 2017, 2786.388 464.023 337.662 317.902 274.574 230.679 148.585 128.668 113.564 94.088 96.112 104.519 88.719 86.303 90.191 85.094 88.820 82.007 83.102 82.010 81.827 80.826 80.326 83.348 79.144 79.645 79.611 79.653 77.809 82.789 , 83.374 81.138 78.505 76.308 80.403 77.922 84.600 75.894 77.590 76.242 79.374 76.287 75.376 76.721 75.254 82.198 74.173 75.209 74.451 75.313
tests/Vector.scala, 3494, 2017-11-27T12:58:03Z, 914d6a3, 526.6855, Mon Nov 27 14:44:50 CET 2017, 7454.614 2240.462 1649.215 1545.635 1357.847 1587.065 1405.555 1160.162 1022.109 1102.389 958.871 790.287 670.180 660.134 651.274 693.742 648.715 692.386 650.153 592.558 6886.907 2744.319 2067.882 1774.963 1650.854 1226.535 1420.105 1122.837 896.548 900.211 746.942 685.930 672.191 862.832 775.829 669.726 630.299 620.109 759.885 768.249 6436.220 2670.013 1878.255 1388.654 1216.002 1263.728 1025.266 1037.129 787.806 753.865 843.565 744.419 736.160 611.223 593.086 603.757 584.783 636.211 569.123 579.627 , 611.371 588.902 566.032 698.836 557.113 613.561 570.584 570.644 535.928 538.394 528.100 525.381 528.141 611.882 544.117 536.882 520.705 531.058 588.027 520.217 514.145 532.460 522.385 521.109 508.699 510.364 504.380 506.359 519.383 515.548 664.690 569.611 569.568 543.116 547.839 539.699 533.640 534.664 536.698 528.852 556.719 521.064 552.181 520.566 518.029 515.989 530.305 591.454 570.254 526.915 520.782 513.249 517.137 518.515 511.752 504.576 511.646 501.707 509.919 502.096 547.540 540.419 531.172 664.159 529.158 526.283 522.322 529.886 512.894 514.453 534.423 528.716 526.456 579.736 523.036 536.142 507.953 500.387 521.854 507.014 503.712 501.799 502.700 495.789 496.941 502.189 558.431 494.584 514.292 483.687
tests/empty-class.scala, 3494, 2017-11-27T12:58:03Z, 914d6a3, 61.46, Mon Nov 27 14:45:59 CET 2017, 2270.565 339.429 267.707 180.075 188.713 143.037 97.452 86.191 78.568 72.760 71.538 73.462 69.595 67.068 67.972 65.608 66.108 64.811 66.022 63.990 66.274 63.959 66.154 63.141 63.313 62.747 63.450 62.963 62.186 62.912 , 62.770 64.113 63.907 63.250 61.571 62.733 61.458 63.555 60.830 61.337 60.188 61.057 60.714 61.462 62.220 60.461 61.104 60.067 62.854 59.767
tests/empty-object.scala, 3494, 2017-11-27T12:58:03Z, 914d6a3, 64.4455, Mon Nov 27 14:47:08 CET 2017, 2396.581 438.761 256.388 187.206 150.936 143.956 133.742 105.027 81.358 76.138 75.175 73.461 74.682 72.460 71.493 70.174 70.494 68.145 68.852 67.677 71.898 70.749 69.501 67.038 68.016 65.969 67.567 65.724 66.079 65.572 , 67.630 65.064 66.301 65.170 65.364 63.465 64.750 64.128 69.534 71.923 65.774 62.546 64.873 63.453 64.141 62.350 63.846 62.712 63.671 62.873
tests/empty-file.scala, 3494, 2017-11-27T12:58:03Z, 914d6a3, 47.355, Mon Nov 27 14:48:16 CET 2017, 2057.170 208.802 145.026 112.549 102.967 114.282 106.150 97.076 57.530 53.729 53.718 55.158 51.398 50.231 50.735 49.354 50.046 49.270 50.133 50.010 49.854 49.508 51.803 48.700 47.857 50.160 54.958 50.301 48.279 47.031 , 49.456 49.054 47.973 47.428 46.837 47.302 47.585 47.654 47.927 46.862 47.530 47.408 46.698 47.127 46.570 47.060 47.209 46.525 47.495 46.327
tests/patmatexhaust.scala, 3494, 2017-11-27T12:58:03Z, 914d6a3, 282.1365, Mon Nov 27 14:52:22 CET 2017, 5363.466 1816.682 1613.462 1251.264 1266.089 1157.109 1042.991 929.171 744.067 569.773 633.756 651.076 522.333 447.729 427.123 405.037 365.695 413.015 426.596 340.133 5211.962 1817.638 1405.324 1226.670 1348.137 1142.883 1057.223 818.387 637.293 661.096 672.739 484.606 511.980 425.470 420.786 379.640 409.365 488.324 377.157 335.525 5318.689 1855.864 1643.703 955.419 812.342 798.558 807.489 606.199 772.638 729.534 679.809 538.330 413.254 394.072 489.587 391.570 367.350 352.931 357.717 423.717 , 375.779 328.481 338.218 313.507 338.173 308.783 308.118 303.384 289.648 292.147 285.825 296.736 284.871 282.125 285.791 282.148 278.877 284.512 278.398 275.162 279.477 269.835 282.303 273.235 277.967 273.999 267.616 277.057 266.398 279.101 278.498 268.992 268.324 264.849 259.775 265.864 260.348 266.357 261.424 259.515 340.086 324.555 322.616 323.579 309.109 306.123 307.842 297.685 304.447 291.957 297.827 289.116 285.501 317.572 292.872 310.611 282.768 307.692 277.638 294.457 274.751 279.850 272.015 281.605 274.223 268.105 279.905 266.389 268.181 270.856 263.760 265.528 265.839 260.034 271.304 257.857 265.488 264.079 257.228 263.266 354.427 329.592 327.473 346.816 305.312 318.225 317.256 309.505 297.485 295.671 290.944 290.555 290.237 285.772 279.772 285.497 282.339 287.403 320.713 279.393 279.126 282.038 287.073 303.750 300.427 289.917 283.140 271.879 289.357 271.148 269.759 276.583 264.249 264.579 266.000 270.262 268.724 274.727 267.042 261.464
tests/exhaustivity-I.scala, 3494, 2017-11-27T12:58:03Z, 914d6a3, 170.1725, Mon Nov 27 14:56:10 CET 2017, 4006.547 1549.583 1162.421 834.472 774.229 703.635 650.391 513.129 497.528 429.040 355.837 271.933 327.713 356.744 240.583 228.374 207.741 215.363 208.695 227.543 3786.351 1235.938 1145.221 903.603 823.789 740.711 655.925 636.197 571.662 507.396 434.352 342.475 296.538 337.944 266.525 221.804 220.208 203.854 201.058 204.276 3788.135 1196.152 1244.738 1008.559 823.059 723.173 567.056 610.050 410.766 348.108 425.117 285.795 298.660 246.255 236.402 282.303 229.440 210.481 210.788 200.304 , 188.142 190.776 186.857 182.036 181.992 178.984 177.278 181.106 177.885 176.614 175.748 175.007 175.849 170.343 168.825 171.613 167.799 177.224 169.647 168.738 166.011 165.923 162.538 164.687 163.504 176.424 171.852 173.144 169.857 161.309 169.478 177.255 164.004 166.863 171.216 168.098 154.843 153.615 154.264 155.952 195.834 221.274 221.961 191.510 189.023 186.837 181.511 180.749 203.873 176.455 176.604 175.736 177.462 176.220 177.376 166.912 169.043 168.231 166.889 169.081 166.739 165.341 165.123 162.943 166.949 163.541 163.684 190.209 173.945 159.460 160.632 159.243 159.987 157.195 158.029 154.072 155.379 158.109 159.688 187.733 207.834 201.655 215.827 189.248 186.555 179.824 180.066 182.460 177.307 176.234 177.582 177.146 174.682 179.071 169.640 174.741 170.356 174.647 181.535 169.180 167.706 169.570 166.927 167.124 168.225 165.958 183.443 164.749 175.154 192.627 163.197 170.002 165.615 162.443 163.822 158.573 161.301 160.180 157.707 161.049
tests/exhaustivity-S.scala, 3494, 2017-11-27T12:58:03Z, 914d6a3, 245.267, Mon Nov 27 15:00:04 CET 2017, 3897.150 1059.202 1044.465 610.533 516.426 613.604 537.755 460.803 465.300 354.298 306.792 284.349 280.506 271.422 282.336 271.687 282.060 339.980 282.051 268.764 3899.619 1351.517 782.258 553.683 463.779 508.929 528.699 374.512 346.062 346.002 372.198 401.984 322.665 380.044 305.635 313.605 309.067 293.596 306.146 286.964 4607.677 1479.290 865.273 762.140 552.723 393.320 393.981 421.941 347.683 289.261 276.858 268.543 269.407 263.983 252.674 289.434 247.816 251.832 240.600 244.217 , 257.855 262.544 252.699 254.092 251.236 249.349 254.856 248.164 256.582 260.212 246.170 244.223 246.623 254.922 246.698 289.632 243.052 243.221 242.002 242.822 242.819 240.900 240.267 239.317 239.592 240.160 271.844 263.423 289.740 245.072 238.330 238.243 237.324 242.654 236.194 237.313 237.006 240.014 237.763 235.636 288.364 285.613 287.781 302.735 293.068 320.786 278.796 277.223 289.953 290.037 276.587 275.030 272.501 271.210 272.243 274.067 286.437 281.209 277.270 271.422 278.503 270.609 269.379 268.040 268.380 269.159 273.197 268.172 267.446 268.509 267.249 266.378 271.075 273.022 268.829 268.556 268.089 265.558 270.591 266.676 245.462 241.930 240.708 239.390 238.718 236.874 233.865 235.701 236.406 232.387 233.463 244.067 235.193 234.395 234.547 289.146 228.736 227.712 228.735 227.651 228.686 226.105 226.953 227.735 228.423 239.528 228.609 229.125 225.935 224.998 225.041 226.040 224.502 224.305 230.798 232.222 225.796 226.175 241.948 224.822
tests/exhaustivity-T.scala, 3494, 2017-11-27T12:58:03Z, 914d6a3, 720.6915, Mon Nov 27 15:04:49 CET 2017, 4676.862 1919.144 1170.749 1253.729 1170.979 1145.299 1042.625 1002.134 1270.126 1039.649 918.893 965.616 915.317 820.870 908.365 1171.213 847.282 800.697 823.933 815.715 4751.794 2036.865 1029.576 963.012 1049.614 849.773 852.435 736.506 716.302 699.836 687.428 726.043 671.944 656.904 718.965 683.330 647.595 637.290 638.063 632.063 4545.148 2050.278 1167.594 1045.947 1239.958 1045.466 1011.145 926.587 856.747 881.442 846.629 794.358 789.962 825.383 766.568 761.829 757.837 760.540 743.160 743.857 , 802.456 780.371 783.413 776.977 786.025 772.202 772.928 773.990 783.439 787.960 777.149 813.341 777.156 782.359 782.291 764.094 755.702 767.017 758.579 756.738 753.754 758.129 759.894 760.484 758.678 781.872 752.692 760.222 754.442 749.401 765.208 753.165 802.177 754.947 750.836 753.481 754.976 773.345 750.241 748.636 635.640 653.005 631.188 766.909 632.642 620.881 628.242 616.338 623.379 637.395 643.132 614.120 618.881 623.936 613.506 611.312 614.443 609.201 619.037 616.593 621.446 609.984 613.531 605.315 620.590 609.307 625.317 603.178 602.899 666.080 605.837 610.131 606.577 605.284 604.466 616.283 605.572 602.215 603.491 602.823 755.122 745.035 731.519 731.429 731.107 726.721 724.871 740.424 722.569 724.348 719.747 746.128 720.609 718.265 713.818 720.774 744.405 717.433 718.383 721.491 717.286 716.862 713.222 714.708 810.069 711.943 714.361 711.021 710.863 713.588 710.942 725.460 720.471 751.970 733.762 799.994 709.879 708.155 712.391 705.298
tests/exhaustivity-V.scala, 3494, 2017-11-27T12:58:03Z, 914d6a3, 1603.514, Mon Nov 27 15:09:57 CET 2017, 4683.853 2105.634 1650.662 1489.934 1482.005 1392.834 1835.083 1520.888 1362.652 1304.388 1290.804 1336.956 1260.631 1259.953 1264.860 1283.571 1431.243 1222.460 1233.740 1267.695 5013.713 2675.866 1945.791 2002.629 1946.873 1811.251 1737.581 1868.053 1856.436 1818.210 2004.243 1764.164 1827.351 1730.730 1716.757 1671.200 1635.850 1669.153 1659.645 1650.374 4938.008 2218.344 2094.157 1902.831 2091.984 1853.548 1873.691 1955.830 1850.984 1771.972 1735.514 1749.592 1771.831 1819.362 1719.223 1901.180 1723.480 1680.185 1717.092 1699.704 , 1613.802 1244.825 1285.111 1264.931 1207.285 1228.645 1187.491 1171.999 1269.527 1288.800 1171.258 1259.111 1304.477 1169.231 1155.493 1182.804 1165.830 1151.702 1159.966 1173.391 1166.871 1214.087 1196.552 1176.078 1207.669 1200.051 1168.191 1172.744 1163.118 1191.120 1163.459 1145.148 1168.240 1198.836 1175.946 1162.455 1185.206 1162.130 1259.858 1173.905 1627.245 1606.571 1614.952 1613.999 1593.690 1611.205 1613.086 1653.213 1622.289 1624.831 1599.630 1670.967 1596.941 1620.116 1589.820 1591.208 1604.282 1609.502 1615.788 1596.278 1592.024 1590.675 1592.558 1591.673 1575.439 1593.175 1605.149 1596.743 1584.192 1648.605 1577.117 1580.664 1600.505 1595.630 1586.806 1593.303 1630.044 1613.412 1623.905 1602.746 1670.661 1668.900 1674.347 1653.071 1658.854 1666.859 1648.007 1654.911 1668.197 1684.044 1642.982 1660.338 1640.652 1643.518 1653.245 1646.125 1675.756 1657.524 1666.998 1642.587 1649.636 1656.731 1669.003 1652.538 1645.540 1630.786 1641.531 1648.872 1632.654 1635.029 1655.758 1626.561 1627.904 1653.435 1625.387 1629.342 1643.024 1632.290 1631.119 1641.936
tests/implicitNums.scala, 3494, 2017-11-27T12:58:03Z, 914d6a3, 711.7875, Mon Nov 27 15:11:32 CET 2017, 7240.692 2636.954 1828.675 1304.104 1248.823 1101.989 1103.553 1060.698 892.662 856.927 776.598 795.106 743.772 734.310 785.695 725.809 757.761 728.294 719.132 747.592 718.370 720.098 717.590 718.498 738.543 719.559 722.890 725.545 717.077 721.520 , 729.031 727.854 721.395 711.359 713.721 719.618 716.112 707.617 709.629 712.216 712.365 712.765 717.183 708.332 707.316 706.897 708.290 700.996 708.618 705.372
tests/scalapb, 3494, 2017-11-27T12:58:03Z, 914d6a3, 6777.326, Mon Nov 27 15:18:19 CET 2017, 28767.053 13515.751 12994.704 8737.950 7780.933 7494.320 7301.039 7147.391 7135.973 7067.021 7054.963 7103.642 7004.949 7006.920 6919.120 6903.010 7006.872 6912.921 6828.243 6778.170 6796.198 6804.837 6784.186 6765.119 6879.895 6872.778 6824.456 6799.412 6807.356 6777.529 , 6789.180 6789.782 6812.399 6776.376 6746.827 6785.156 6741.081 6793.179 6744.335 6760.399 6769.903 6744.616 6812.761 6710.577 6808.180 6773.671 6758.253 6833.387 6787.051 6778.276
