dotty, 3223, 2017-10-01T17:36:00Z, 93f0ff3, 37101.1535, Sun Oct  1 19:59:41 CEST 2017, 77682.563 43227.317 41575.878 39024.661 37706.301 37768.883 37535.737 37454.404 37378.413 37324.839 , 37154.498 37179.319 37233.359 37541.979 37137.733 37238.507 37196.672 36993.003 37125.927 37076.380 36744.929 36970.001 37128.551 36759.887 36889.245 36943.298 37151.624 36776.804 36944.306 36843.461
tests/scala-library, 3223, 2017-10-01T17:36:00Z, 93f0ff3, 6545.0905, Sun Oct  1 20:03:32 CEST 2017, 25930.669 11910.417 9147.302 8043.720 7551.738 7478.446 7120.208 7014.103 6840.475 6831.338 , 6729.718 6733.169 6648.378 6611.285 6547.595 6613.614 6594.077 6542.586 6519.383 6504.303 6537.114 6604.602 6529.706 6518.629 6499.661 6494.780 6494.531 6497.553 6605.007 6569.471
tests/implicit_cache.scala, 3223, 2017-10-01T17:36:00Z, 93f0ff3, 139.145, Sun Oct  1 20:04:09 CEST 2017, 3149.501 679.502 567.932 452.697 311.161 293.312 200.547 250.048 193.531 180.086 , 161.429 181.189 148.697 179.884 153.511 144.821 196.321 153.438 137.571 136.702 134.752 138.477 135.088 132.522 132.465 134.141 158.970 139.813 131.405 130.231
tests/implicit-scope-loop.scala, 3223, 2017-10-01T17:36:00Z, 93f0ff3, 145.989, Sun Oct  1 20:04:46 CEST 2017, 3142.933 578.142 657.951 545.851 388.961 337.603 239.915 251.845 234.137 185.589 , 206.122 165.109 157.701 151.664 153.074 147.875 146.218 169.597 145.017 145.379 143.445 144.564 145.988 149.573 138.624 139.543 145.990 137.562 137.077 136.718
tests/i1535.scala, 3223, 2017-10-01T17:36:00Z, 93f0ff3, 183.0145, Sun Oct  1 20:05:24 CEST 2017, 3534.815 854.501 634.165 490.901 421.179 408.600 292.266 356.296 307.775 225.792 , 216.391 210.428 201.718 205.717 256.578 180.569 182.723 181.363 183.573 179.951 178.765 173.002 189.538 183.549 181.612 184.981 165.467 174.660 165.353 183.306
tests/i1687.scala, 3223, 2017-10-01T17:36:00Z, 93f0ff3, 119.205, Sun Oct  1 20:06:01 CEST 2017, 2842.613 461.164 371.623 367.466 328.451 240.525 185.280 229.166 178.186 179.518 , 131.626 125.183 147.970 126.379 137.688 124.058 122.627 121.372 119.710 118.700 119.811 118.007 116.971 118.009 117.716 117.677 114.438 115.027 113.737 114.163
tests/Vector.scala, 3223, 2017-10-01T17:36:00Z, 93f0ff3, 644.3685, Sun Oct  1 20:09:55 CEST 2017, 7523.455 2286.478 1938.195 2009.289 2037.125 1894.402 1585.112 1122.250 1037.782 1039.672 968.438 1023.305 898.688 1019.621 785.262 756.276 756.742 885.194 718.448 714.614 7717.751 2541.607 2031.906 2049.432 1876.854 1674.150 1536.166 1126.892 1017.139 915.552 872.896 830.348 772.964 754.370 866.036 836.576 726.023 702.020 701.578 677.425 7922.755 2361.058 1950.338 1782.720 1432.332 1456.353 1480.841 1095.872 988.504 1070.373 1179.299 848.266 953.847 745.460 744.341 721.968 719.338 695.149 685.671 671.249 , 708.162 687.140 700.249 697.259 698.698 683.269 793.203 696.038 702.794 703.437 666.417 683.767 652.401 653.623 650.374 646.433 647.878 663.664 665.518 634.010 636.564 632.073 632.668 632.116 646.978 650.264 628.513 681.011 683.295 632.198 720.776 720.547 759.725 678.403 650.707 652.050 652.840 649.815 644.090 642.348 658.823 630.937 636.054 632.363 668.727 649.308 633.330 619.378 628.889 619.946 619.948 622.839 625.279 625.250 616.304 617.808 618.129 660.752 616.657 620.735 668.579 676.812 658.673 663.382 705.286 705.286 686.023 642.186 644.647 635.943 635.676 629.346 626.065 637.003 630.069 627.631 674.238 637.287 627.965 620.094 616.679 625.160 639.734 720.688 630.154 612.170 608.640 619.178 618.456 607.543
tests/empty-class.scala, 3223, 2017-10-01T17:36:00Z, 93f0ff3, 95.961, Sun Oct  1 20:10:31 CEST 2017, 2603.482 356.782 269.550 238.299 208.760 231.090 172.723 126.548 120.673 107.173 , 100.917 99.271 98.542 102.930 101.150 96.854 98.443 95.776 96.146 95.708 94.873 111.210 94.394 93.482 96.881 94.837 95.518 93.905 93.695 94.912
tests/empty-object.scala, 3223, 2017-10-01T17:36:00Z, 93f0ff3, 99.428, Sun Oct  1 20:11:06 CEST 2017, 2560.003 386.401 371.272 305.028 191.604 175.483 189.847 134.512 130.074 111.434 , 116.476 102.120 100.588 102.014 107.996 102.954 104.531 112.389 97.735 96.930 97.515 97.125 96.518 105.516 95.741 102.283 96.212 96.102 95.390 98.268
tests/empty-file.scala, 3223, 2017-10-01T17:36:00Z, 93f0ff3, 79.1715, Sun Oct  1 20:11:41 CEST 2017, 2236.617 277.257 258.354 177.871 172.583 144.189 123.735 100.571 91.831 89.402 , 83.705 85.311 81.068 80.703 80.475 79.211 79.132 81.854 78.114 80.497 80.548 78.076 78.380 79.790 78.937 77.258 78.042 77.077 77.245 77.265
tests/patmatexhaust.scala, 3223, 2017-10-01T17:36:00Z, 93f0ff3, 344.8955, Sun Oct  1 20:15:38 CEST 2017, 5585.824 1721.487 1460.125 1363.908 1238.674 924.245 816.120 685.153 610.581 782.980 662.184 521.083 488.274 472.962 443.464 425.245 447.164 501.203 449.050 454.923 5673.652 1932.785 1426.659 1417.786 1398.692 1268.252 834.332 831.999 720.362 596.408 719.788 530.030 508.099 474.505 462.915 562.090 487.491 447.770 402.901 402.640 6065.126 2248.520 1739.858 1486.741 1337.531 1235.903 1088.669 1067.356 916.316 651.784 773.766 599.340 541.328 725.351 629.985 626.993 461.520 444.461 480.152 422.994 , 440.921 385.343 387.991 424.372 388.508 381.891 365.846 413.491 380.532 355.458 365.418 397.108 353.276 353.634 386.702 347.022 354.181 340.725 343.075 344.708 341.381 346.097 339.025 343.067 336.375 336.272 330.877 336.595 336.875 330.695 343.032 328.883 328.728 327.324 330.646 337.871 323.998 320.859 325.350 322.493 394.602 389.604 381.193 379.791 372.858 428.794 380.421 368.870 365.868 358.215 363.903 373.225 359.992 350.803 446.573 416.560 376.396 361.447 394.603 337.773 337.612 340.636 345.754 341.081 338.913 331.123 333.414 334.881 341.942 332.837 332.240 324.879 328.180 331.083 324.760 323.152 324.568 317.700 318.443 317.546 390.042 381.418 382.314 372.893 413.064 406.338 376.646 363.923 355.849 365.454 439.926 399.545 363.461 353.136 347.582 348.429 349.124 373.182 361.032 338.031 338.465 338.124 340.005 344.168 343.873 390.587 334.674 360.980 334.493 336.281 345.083 335.519 329.459 335.386 327.074 327.618 328.823 326.663 324.923 326.714
tests/exhaustivity-I.scala, 3223, 2017-10-01T17:36:00Z, 93f0ff3, 215.996, Sun Oct  1 20:19:13 CEST 2017, 4652.513 1170.183 1039.938 898.483 736.576 542.288 503.510 415.031 409.057 396.197 316.088 301.608 386.456 346.058 364.780 319.481 265.118 248.768 238.712 304.661 4157.416 1654.491 1043.489 1028.231 756.329 580.500 682.124 524.439 547.125 388.767 464.091 382.287 307.370 285.483 271.047 361.420 253.276 244.615 242.504 236.856 4349.839 1392.700 1182.936 731.688 666.420 602.100 501.504 518.981 519.459 376.433 422.154 387.654 301.761 271.926 265.467 342.391 263.312 287.389 239.397 237.657 , 235.061 227.156 229.661 224.939 227.921 234.881 228.333 224.517 217.588 216.117 215.431 228.279 228.200 217.087 216.129 215.329 213.138 210.291 214.379 215.396 222.645 216.462 224.286 224.273 216.258 227.604 207.014 217.464 212.205 208.813 206.841 210.311 205.229 203.134 202.455 203.745 201.931 227.019 201.013 200.596 240.420 234.659 294.260 236.388 223.426 224.996 224.158 220.881 218.963 217.393 220.753 217.349 214.836 215.338 216.906 213.131 227.543 216.226 212.921 211.494 218.815 216.899 215.029 215.677 215.726 213.646 209.403 208.139 209.067 231.678 209.006 207.516 202.187 201.659 201.765 202.258 203.111 202.333 204.610 203.410 280.011 232.455 223.575 229.611 226.078 228.669 219.746 259.762 257.974 224.267 218.138 213.905 212.230 220.029 217.334 233.350 214.323 218.224 212.616 216.766 222.765 214.217 215.875 235.680 215.722 219.941 209.275 210.853 208.059 213.006 211.445 209.239 208.477 208.858 202.986 205.978 208.928 203.363 207.748 218.878
