dotty, 3685, 2018-01-08T17:03:18Z, ce61163, 34434.367, Mon Jan  8 18:37:06 CET 2018, 73178.799 42776.130 37766.698 36511.978 35972.005 36495.410 35230.668 35203.883 35191.177 35194.220 35571.398 34938.665 34886.521 34829.909 35628.446 34678.739 34571.908 34640.596 35460.316 34391.372 34514.939 34455.544 35390.572 34428.812 34283.762 34487.337 35504.674 34375.906 34421.563 34436.904 , 35421.009 34418.861 34252.296 34443.594 35363.417 34380.693 34390.995 34455.887 35446.964 34425.140 34286.363 34410.319 35381.159 34475.645 34289.373 34476.692 35549.628 34348.767 34327.075 34529.700
tests/scala-library, 3685, 2018-01-08T17:03:18Z, ce61163, 5562.097, Mon Jan  8 18:42:35 CET 2018, 22059.248 10543.191 8837.120 7967.265 7308.971 6761.667 6475.370 6169.063 6039.773 6034.224 5947.311 5888.837 5865.926 5822.493 5825.309 5758.223 5723.376 5707.231 5703.040 5734.274 5778.544 5673.810 5668.720 5646.222 5612.862 5679.627 5626.772 5643.635 5688.746 5626.879 , 5562.408 5591.429 5572.507 5578.511 5577.015 5569.991 5577.566 5544.878 5548.328 5555.670 5575.910 5620.165 5608.399 5557.357 5535.523 5521.160 5494.006 5521.087 5561.786 5538.080
tests/implicit_cache.scala, 3685, 2018-01-08T17:03:18Z, ce61163, 93.9025, Mon Jan  8 18:43:44 CET 2018, 2713.745 464.411 358.311 295.247 254.342 221.015 192.617 147.556 130.550 126.374 116.900 113.143 110.376 112.225 109.326 112.508 110.575 106.507 110.175 104.409 103.884 104.886 101.451 103.296 100.452 100.975 99.084 100.062 96.963 96.388 , 99.350 95.317 96.773 95.198 96.369 94.265 96.092 93.394 95.607 93.253 94.460 92.701 93.540 95.196 92.085 93.171 91.249 92.637 92.640 92.537
tests/implicit-scope-loop.scala, 3685, 2018-01-08T17:03:18Z, ce61163, 99.2965, Mon Jan  8 18:44:54 CET 2018, 2756.486 465.222 356.290 291.591 242.949 211.009 168.114 147.299 138.349 127.619 123.795 120.939 114.074 114.779 112.564 113.131 114.687 110.563 114.503 109.827 108.576 109.322 106.779 108.289 107.554 107.617 104.681 105.819 106.284 101.675 , 103.368 101.783 102.642 100.810 99.874 102.929 99.766 102.264 98.942 100.162 97.311 99.159 97.871 99.434 96.479 98.328 98.245 98.817 96.680 95.714
tests/i1535.scala, 3685, 2018-01-08T17:03:18Z, ce61163, 112.5425, Mon Jan  8 18:46:06 CET 2018, 3138.048 688.387 452.516 369.737 303.402 243.098 218.760 190.016 161.571 151.002 153.835 154.373 152.156 153.245 145.290 142.507 141.048 136.629 134.252 128.724 131.092 127.763 124.689 126.602 122.379 122.693 124.091 119.350 120.861 119.161 , 120.060 117.370 115.460 116.473 114.663 114.730 118.306 112.578 110.814 113.821 112.507 111.747 113.914 109.796 109.408 110.746 109.892 108.723 109.455 108.786
tests/i1687.scala, 3685, 2018-01-08T17:03:18Z, ce61163, 67.2725, Mon Jan  8 18:47:14 CET 2018, 2469.470 390.886 276.182 221.244 178.138 152.382 134.183 108.643 95.869 87.592 80.983 82.971 79.312 80.074 79.270 78.556 78.233 77.194 77.660 74.861 74.245 74.288 72.835 72.517 72.695 70.743 71.203 71.721 70.733 68.791 , 69.294 68.186 68.090 68.720 67.749 68.274 67.253 68.397 66.756 67.213 67.292 68.165 67.378 66.376 66.764 65.835 65.896 66.702 65.675 66.644
tests/Vector.scala, 3685, 2018-01-08T17:03:18Z, ce61163, 538.429, Mon Jan  8 18:50:52 CET 2018, 6434.321 2221.976 1749.831 1511.950 1346.357 1238.522 1133.438 1052.729 1001.914 932.385 870.785 817.096 835.262 788.164 754.947 723.402 688.167 687.751 658.261 632.273 6019.838 1980.941 1473.314 1278.604 1167.021 1148.632 1065.360 976.132 888.703 879.459 847.404 858.982 818.421 748.143 705.682 693.778 655.163 637.243 619.492 622.921 6363.626 2296.511 1758.988 1450.932 1304.925 1211.822 1097.354 1077.542 1002.941 934.480 898.811 783.188 791.511 797.152 744.631 718.917 688.592 692.763 657.746 645.191 , 623.293 623.924 594.900 598.396 582.484 596.403 563.842 566.185 582.185 549.490 554.596 545.432 547.517 562.191 532.616 526.179 547.425 528.738 520.320 524.926 535.782 522.892 522.582 527.339 524.743 510.775 512.290 514.546 519.230 505.078 599.115 603.821 592.080 594.689 580.316 565.169 563.959 565.873 549.716 543.740 534.716 546.994 535.810 541.048 529.041 544.343 531.185 524.630 519.495 529.906 521.148 519.670 517.791 526.609 510.854 513.117 519.565 521.617 513.922 509.732 665.163 624.227 604.834 601.005 609.514 600.051 588.906 575.511 580.102 552.254 556.650 556.847 566.453 550.044 547.079 541.325 557.041 529.953 530.441 528.084 534.308 525.699 530.489 528.485 527.886 518.171 514.801 524.485 530.559 527.169
tests/empty-class.scala, 3685, 2018-01-08T17:03:18Z, ce61163, 53.3875, Mon Jan  8 18:52:01 CET 2018, 2142.157 267.657 174.998 137.108 116.827 100.943 87.429 77.006 68.236 64.889 63.677 63.548 62.502 61.934 63.244 60.689 60.302 58.013 57.947 56.650 57.256 55.948 55.987 55.390 55.498 54.822 55.699 55.214 55.307 54.581 , 55.225 54.212 54.437 54.810 53.858 53.095 54.169 53.730 53.185 52.756 53.590 52.266 53.707 52.497 52.495 51.923 53.128 52.352 52.375 53.777
tests/empty-object.scala, 3685, 2018-01-08T17:03:18Z, ce61163, 54.7225, Mon Jan  8 18:53:09 CET 2018, 2208.376 273.551 178.254 146.144 126.820 115.246 97.668 88.862 81.586 69.357 67.141 66.232 66.444 63.572 64.565 62.066 61.569 59.469 58.812 59.472 58.798 58.283 57.526 58.329 57.523 57.694 55.909 57.371 55.284 56.030 , 55.536 55.294 54.927 54.960 55.209 54.917 54.406 54.822 54.364 54.936 54.485 57.072 53.621 54.720 53.675 54.725 53.365 54.336 53.066 53.854
tests/empty-file.scala, 3685, 2018-01-08T17:03:18Z, ce61163, 37.547, Mon Jan  8 18:54:16 CET 2018, 1626.544 183.535 105.010 84.760 72.724 65.333 57.226 49.725 46.563 43.168 43.013 41.531 40.059 40.553 39.552 39.774 39.087 39.496 39.220 38.726 38.990 38.309 38.484 38.416 38.302 38.378 37.674 38.267 38.272 37.435 , 38.018 37.489 37.838 37.778 38.679 37.662 37.074 37.721 38.036 37.265 37.569 37.127 37.525 37.902 36.852 37.323 37.026 37.597 37.516 37.208
tests/patmatexhaust.scala, 3685, 2018-01-08T17:03:18Z, ce61163, 281.257, Mon Jan  8 18:58:14 CET 2018, 4816.818 1559.115 1240.016 1098.186 942.387 802.739 758.326 681.051 622.481 584.594 543.982 531.150 476.790 444.543 417.463 409.036 382.305 373.415 377.856 365.159 4749.377 1511.768 1211.496 934.873 779.244 683.183 635.019 568.856 506.119 457.764 453.864 436.298 397.559 393.581 392.878 372.080 361.609 368.557 355.351 344.573 4871.880 1501.004 1208.304 1074.969 901.167 774.675 698.117 634.767 576.543 528.255 502.100 464.240 419.008 395.979 398.406 380.736 379.636 369.997 386.926 380.670 , 373.763 356.192 352.744 356.010 345.952 343.922 333.378 332.807 324.757 319.540 327.279 315.813 317.361 309.697 301.894 296.769 294.598 289.746 284.175 283.728 294.884 285.248 284.000 288.465 277.421 278.936 282.312 279.151 272.981 279.457 272.666 270.967 280.453 269.448 267.562 269.865 273.897 267.523 271.166 269.922 339.700 341.390 334.232 323.181 318.604 316.844 305.351 298.026 304.873 293.282 295.696 292.125 284.352 280.699 277.504 280.936 272.413 269.297 274.175 270.633 272.710 269.991 265.232 264.015 263.961 260.914 256.655 264.065 256.992 253.984 258.736 262.526 252.691 254.359 259.378 252.851 255.157 256.552 248.938 251.110 363.888 357.554 358.153 343.767 338.867 331.569 327.847 324.635 322.487 318.540 305.383 304.213 296.301 300.171 293.306 285.848 296.189 285.542 278.708 284.008 281.578 276.154 284.707 273.661 274.733 274.509 272.348 268.568 266.079 285.664 264.933 267.577 268.629 265.061 265.585 267.250 261.869 270.510 268.205 257.503
