dotty, 4089, 2018-03-09T14:49:40Z, 2fcaae2, 35621.8125, Fri Mar  9 16:25:47 CET 2018, 85541.370 45831.665 38826.094 38099.257 38192.319 36666.699 36576.508 36637.947 37054.837 36168.505 35994.020 36441.635 36915.402 36025.122 36052.161 36579.311 36679.239 35781.305 35803.321 35841.611 36376.138 35732.273 35528.058 35642.339 36162.209 35718.804 35639.460 35758.099 36015.786 35618.386 , 35459.220 35635.873 36117.592 35658.399 35548.525 35667.843 36151.566 35451.792 35655.450 35579.726 36088.650 35450.138 35546.022 35673.129 36111.684 35571.286 35603.379 35607.752 36103.323 35480.984
tests/scala-library, 4089, 2018-03-09T14:49:40Z, 2fcaae2, 5431.628, Fri Mar  9 16:31:14 CET 2018, 24420.936 11278.420 8511.120 6978.439 6568.834 6340.501 5968.747 5860.945 5886.704 5932.312 5814.472 5975.464 5891.784 5680.172 5645.640 5623.601 5568.859 5619.976 5609.147 5684.169 5576.897 5829.390 5573.979 5549.820 5528.853 5527.039 5988.327 5602.459 5501.819 5537.780 , 5492.771 5586.408 5676.955 5559.791 5458.220 5540.376 5488.910 5427.702 5393.711 5431.531 5420.365 5409.069 5396.306 5455.318 5431.725 5408.997 5405.106 5416.250 5397.308 5438.892
opts/scala-library, 4089, 2018-03-09T14:49:40Z, 2fcaae2, 5517.352, Fri Mar  9 16:41:14 CET 2018, 25858.583 13202.843 9118.076 8964.601 7364.468 6345.220 6081.132 5952.585 5914.160 5843.441 5928.905 6036.006 5788.649 5737.493 5760.320 5694.959 5678.988 5646.690 5641.732 5669.716 5615.141 5627.473 5615.320 5585.409 5593.095 5657.081 5561.085 5551.169 5557.031 5662.611 , 5558.676 5693.534 5675.779 5623.746 5525.732 5514.863 5550.453 5530.452 5513.864 5509.203 5465.215 5468.491 5633.106 5707.686 5516.006 5518.698 5447.830 5512.444 5493.586 5482.794
tests/re2s, 4089, 2018-03-09T14:49:40Z, 2fcaae2, 2651.867, Fri Mar  9 16:44:12 CET 2018, 16420.928 8227.944 5719.786 4024.204 3373.795 3395.968 3059.044 3019.812 3061.520 3008.587 2838.842 2810.188 2810.384 2756.612 2744.957 2733.856 2760.073 2838.869 2696.778 2712.098 2677.773 2704.620 2679.973 2671.975 2718.751 2697.605 2724.028 2672.540 2629.727 2658.730 , 2665.320 2657.202 2656.877 2650.899 2764.420 2659.831 2618.308 2667.127 2642.331 2612.535 2625.626 2602.861 2650.060 2618.526 2612.730 2674.852 2652.835 2710.729 2685.824 2617.110
opts/re2s, 4089, 2018-03-09T14:49:40Z, 2fcaae2, 2699.486, Fri Mar  9 16:47:13 CET 2018, 15066.065 8340.318 6246.495 3892.588 4479.531 3855.790 3142.166 3028.039 2999.993 2958.910 3351.209 2968.372 2833.778 2823.596 2803.917 2809.869 3115.278 3041.017 2751.108 2755.644 2738.009 2771.443 2726.059 2718.485 2754.352 2707.164 2744.959 2707.307 2686.720 2733.160 , 2733.811 2729.839 2701.540 2699.262 2727.803 2711.523 2673.604 2699.710 2719.890 2668.929 2827.095 2657.455 2774.658 2664.156 2654.758 2663.160 2639.242 2806.038 2661.582 2686.029
tests/implicit_cache.scala, 4089, 2018-03-09T14:49:40Z, 2fcaae2, 100.0765, Fri Mar  9 16:48:25 CET 2018, 2832.331 692.102 528.158 328.468 341.594 256.766 206.812 162.811 151.035 155.891 130.590 142.310 134.207 119.403 122.498 120.535 118.218 113.071 109.771 110.675 117.919 117.037 105.451 104.181 105.608 103.466 106.319 103.374 103.621 101.269 , 103.233 101.530 103.025 103.676 100.306 102.004 104.240 101.102 99.367 99.847 102.114 99.552 98.347 99.411 96.056 97.534 104.508 95.663 96.484 94.905
opts/implicit_cache.scala, 4089, 2018-03-09T14:49:40Z, 2fcaae2, 99.8935, Fri Mar  9 16:49:36 CET 2018, 2942.534 580.529 383.537 423.352 368.583 319.551 278.463 176.018 176.866 181.744 151.943 143.128 121.374 116.357 117.111 117.030 113.344 116.172 110.280 112.023 108.656 119.961 114.109 110.575 109.031 109.341 107.265 105.068 105.088 106.584 , 105.899 104.807 102.412 108.770 103.583 103.448 99.660 99.386 100.651 98.873 100.318 98.941 99.310 97.195 97.958 100.127 101.336 96.627 97.739 96.139
tests/implicit-scope-loop.scala, 4089, 2018-03-09T14:49:40Z, 2fcaae2, 102.122, Fri Mar  9 16:50:48 CET 2018, 3156.193 753.126 555.633 473.128 373.106 334.044 270.543 240.918 203.541 138.302 135.195 129.354 126.344 122.372 125.542 119.842 116.790 116.439 112.055 112.032 115.040 110.505 110.848 109.125 109.061 107.723 107.877 107.267 105.832 110.388 , 112.714 110.896 117.754 109.185 102.446 101.798 103.986 104.338 104.513 101.622 103.485 101.323 100.749 99.620 100.523 99.586 100.378 106.300 98.235 98.232
tests/i1535.scala, 4089, 2018-03-09T14:49:40Z, 2fcaae2, 127.5495, Fri Mar  9 16:52:01 CET 2018, 3324.233 753.270 506.922 545.481 375.753 299.306 347.617 289.570 207.960 177.171 166.279 191.049 158.410 155.071 153.945 147.445 149.611 163.474 168.079 145.300 142.259 137.240 137.141 153.267 138.976 133.966 132.737 155.216 130.919 138.772 , 133.151 136.958 129.393 145.479 128.532 125.578 127.405 124.514 124.810 136.107 123.216 122.158 124.522 129.382 132.030 126.744 135.858 127.694 122.443 124.011
tests/i1687.scala, 4089, 2018-03-09T14:49:40Z, 2fcaae2, 72.277, Fri Mar  9 16:53:12 CET 2018, 2700.452 469.479 350.254 309.413 236.113 195.695 147.214 117.874 114.807 95.398 121.783 96.259 96.960 85.283 89.681 81.784 82.068 78.734 78.912 80.058 77.571 77.830 76.437 77.107 81.733 76.270 76.238 81.011 89.058 77.623 , 74.485 80.892 73.099 75.408 72.453 74.338 72.616 72.101 72.822 71.371 72.743 71.010 72.034 70.725 72.987 70.480 71.600 70.455 70.751 71.008
tests/Vector.scala, 4089, 2018-03-09T14:49:40Z, 2fcaae2, 555.1815, Fri Mar  9 16:57:00 CET 2018, 6890.264 2662.871 2353.858 1640.960 1268.246 1205.418 1593.048 953.706 1060.312 1018.063 978.148 794.373 785.097 800.923 690.826 749.097 781.840 634.620 649.347 629.968 8284.751 2272.057 1750.450 1581.124 1989.442 1485.778 1070.924 1025.975 1097.320 1009.465 819.035 769.230 861.827 701.468 824.697 657.599 659.359 634.937 629.115 628.571 7338.618 2586.935 2015.568 1898.990 1888.758 1134.326 1149.954 1147.983 1149.713 1220.107 1012.807 857.391 735.073 703.944 677.662 678.730 673.280 646.216 623.100 622.907 , 613.073 602.507 605.869 734.454 577.717 602.283 574.673 594.353 563.431 556.321 570.351 554.766 554.197 571.957 567.723 549.596 549.689 582.346 553.364 539.632 541.041 550.102 538.726 546.571 535.680 542.334 533.597 536.159 542.595 527.742 659.433 602.999 602.573 592.156 611.017 586.097 578.183 592.408 590.717 571.689 562.339 571.823 557.495 559.036 582.906 562.414 555.011 550.523 556.107 546.530 543.125 544.575 549.010 544.377 534.971 542.847 551.557 544.334 635.649 546.487 634.386 597.996 594.730 660.495 598.664 586.956 590.071 569.483 583.652 621.519 553.756 559.653 547.696 550.079 559.681 551.345 544.346 546.306 555.352 537.968 533.244 539.408 541.572 540.697 542.312 536.129 525.764 532.562 532.361 531.017
