dotty, 3639, 2017-12-08T12:54:34Z, bb7a6e6, 32603.0645, Fri Dec  8 14:27:19 CET 2017, 79528.025 39682.067 35765.164 34608.105 34005.281 35087.214 33756.124 33435.305 33299.126 33271.951 34255.259 33021.058 33258.192 33231.725 33031.016 33567.525 32778.930 32773.143 32868.873 33767.558 32721.020 32606.257 32665.560 33463.817 32601.325 32708.661 32669.574 33795.104 32619.227 32565.511 , 32604.333 33304.920 32377.602 32624.036 32430.958 33403.669 32543.814 32585.701 32635.065 33512.632 32528.398 32666.982 32601.796 33494.030 32441.248 32566.520 32557.153 33428.849 32504.642 32644.150
tests/scala-library, 3639, 2017-12-08T12:54:34Z, bb7a6e6, 5556.7655, Fri Dec  8 14:32:56 CET 2017, 25438.374 13609.615 10076.060 7416.064 6668.441 6290.847 6129.816 5963.024 5976.519 5924.880 5885.455 5887.080 5798.608 5813.407 5760.350 5752.951 6151.115 5690.332 5771.976 5693.679 5704.618 5728.516 5645.097 5643.777 5597.053 5614.104 5618.817 5625.974 5714.114 5622.691 , 5758.237 5706.907 5637.810 5575.564 5561.645 5551.886 5600.581 5565.210 5564.074 5532.267 5540.508 5598.200 5609.817 5542.623 5528.751 5517.991 5518.033 5530.694 5535.449 5508.081
tests/implicit_cache.scala, 3639, 2017-12-08T12:54:34Z, bb7a6e6, 93.7205, Fri Dec  8 14:34:07 CET 2017, 2879.743 658.953 435.630 310.038 238.421 232.064 228.983 156.078 141.222 120.645 125.111 116.721 109.194 108.649 111.861 108.473 105.471 102.635 106.617 101.729 100.111 101.155 98.095 99.658 98.300 98.302 98.926 98.184 96.316 95.463 , 105.540 96.894 95.752 94.563 99.057 93.731 94.153 92.007 94.418 92.642 90.993 92.936 93.710 91.670 89.902 90.956 88.835 91.021 96.573 95.738
tests/implicit-scope-loop.scala, 3639, 2017-12-08T12:54:34Z, bb7a6e6, 102.105, Fri Dec  8 14:35:19 CET 2017, 2964.596 537.218 513.392 439.745 395.100 348.505 305.878 223.929 162.302 143.010 147.342 134.394 117.248 118.614 113.775 116.513 125.841 144.699 128.047 108.243 108.877 108.703 105.557 108.351 105.511 108.720 103.877 104.509 111.332 129.608 , 104.922 102.805 101.405 103.452 112.199 124.395 99.293 143.701 127.884 125.628 107.408 105.383 96.526 99.287 97.523 98.494 100.891 98.911 97.187 99.377
tests/i1535.scala, 3639, 2017-12-08T12:54:34Z, bb7a6e6, 109.9415, Fri Dec  8 14:36:31 CET 2017, 3216.530 668.037 473.367 529.806 371.178 252.719 220.599 245.715 245.914 180.207 188.858 143.395 150.283 144.511 143.153 140.940 135.404 131.349 135.362 126.812 124.499 127.235 124.445 121.331 123.204 118.884 118.362 116.002 117.911 116.112 , 115.146 115.927 113.344 113.445 116.348 115.844 113.373 114.670 109.667 110.166 112.066 109.426 108.482 109.717 106.663 108.248 108.476 106.323 105.823 107.952
tests/i1687.scala, 3639, 2017-12-08T12:54:34Z, bb7a6e6, 69.1825, Fri Dec  8 14:37:40 CET 2017, 2564.820 411.782 390.600 256.760 189.708 130.842 109.058 113.887 103.575 92.117 85.507 86.351 86.015 101.964 84.006 79.764 77.393 76.714 74.470 75.406 74.816 74.145 75.983 72.120 74.763 74.473 71.226 72.497 70.133 71.355 , 70.072 74.441 69.998 71.097 72.637 69.445 70.080 68.869 70.385 69.573 68.920 69.643 68.180 68.812 68.304 68.029 68.780 68.090 68.464 67.918
tests/Vector.scala, 3639, 2017-12-08T12:54:34Z, bb7a6e6, 530.3865, Fri Dec  8 14:41:18 CET 2017, 7338.274 2863.107 1785.504 1425.667 1283.163 1083.137 1227.967 1263.958 1337.156 1032.434 776.304 837.016 885.924 684.816 733.238 709.507 612.945 637.040 604.690 681.353 6802.206 2324.532 1832.495 1908.169 1186.308 1562.128 1036.813 1065.652 1076.554 1001.832 783.708 759.045 755.821 695.893 695.421 632.597 630.001 789.125 597.921 619.611 6776.607 2547.234 2210.817 1850.524 1571.307 1327.828 1322.206 1134.606 879.655 990.566 758.236 688.864 703.543 741.297 654.017 641.486 627.662 609.393 595.230 581.101 , 592.372 603.426 569.202 560.753 560.981 561.297 553.451 604.641 538.019 546.459 533.495 525.913 533.689 541.519 522.531 529.975 522.945 530.962 522.768 512.379 520.295 519.522 510.539 516.826 524.796 523.151 541.631 530.279 502.220 511.207 650.617 586.260 557.704 561.408 550.167 550.762 544.304 537.512 525.125 529.075 521.086 519.310 518.203 530.494 518.736 554.749 517.440 537.285 513.420 508.387 508.181 535.294 510.060 519.001 509.559 527.812 513.587 502.474 501.570 506.939 583.259 562.334 560.825 558.558 644.979 619.474 630.848 582.999 547.097 537.544 532.478 529.170 543.961 531.038 536.135 537.190 533.097 519.749 517.061 513.392 552.378 537.561 526.930 512.242 526.941 510.897 511.170 520.823 523.732 507.830
tests/empty-class.scala, 3639, 2017-12-08T12:54:34Z, bb7a6e6, 52.2285, Fri Dec  8 14:42:27 CET 2017, 2412.368 384.364 212.316 194.340 130.919 133.704 93.612 71.698 67.954 63.858 63.491 60.932 60.880 58.514 58.673 59.109 58.735 56.288 56.426 55.984 56.704 65.005 57.577 56.141 53.829 54.364 54.191 54.579 53.765 53.575 , 55.339 54.075 53.020 54.089 51.885 52.561 52.587 51.952 52.408 54.049 52.922 51.481 52.049 51.328 52.538 50.943 51.982 51.021 51.660 51.399
tests/empty-object.scala, 3639, 2017-12-08T12:54:34Z, bb7a6e6, 53.3395, Fri Dec  8 14:43:35 CET 2017, 2269.425 274.050 177.580 143.457 175.421 151.446 126.444 111.263 92.104 65.924 63.025 63.829 61.923 65.209 61.215 61.879 58.025 58.855 58.607 58.976 57.877 57.982 56.008 56.846 56.420 55.908 55.992 56.212 55.761 55.027 , 55.715 56.318 55.007 54.396 55.907 53.385 54.575 53.192 53.804 53.059 53.443 53.294 53.242 53.017 53.418 52.531 53.045 52.406 53.143 52.183
tests/empty-file.scala, 3639, 2017-12-08T12:54:34Z, bb7a6e6, 37.779, Fri Dec  8 14:44:42 CET 2017, 1640.551 207.030 119.709 83.923 77.665 60.958 54.522 48.420 44.298 41.295 40.629 40.658 39.432 40.318 39.423 39.357 39.499 39.243 38.938 38.915 38.853 37.951 38.742 38.503 39.314 38.584 37.659 38.163 38.079 37.518 , 38.431 37.732 38.030 38.106 37.812 38.891 37.875 38.304 37.751 38.031 37.937 36.975 37.576 37.687 36.933 37.807 36.983 37.688 37.380 36.725
tests/patmatexhaust.scala, 3639, 2017-12-08T12:54:34Z, bb7a6e6, 272.4705, Fri Dec  8 14:48:42 CET 2017, 5081.322 1787.808 1298.195 1389.653 1241.548 1147.022 1016.483 801.313 629.897 554.973 530.660 589.717 554.513 495.083 452.593 377.956 357.593 357.405 337.682 327.348 5250.881 2149.207 1592.371 1147.912 1021.145 807.339 659.306 607.863 508.376 522.923 614.322 554.454 421.805 420.545 428.259 369.013 384.671 375.621 336.994 317.788 5529.458 1731.760 1235.340 1045.169 1004.183 949.793 726.222 687.898 544.615 509.234 652.216 611.280 451.979 372.546 362.723 354.518 459.557 368.055 332.872 363.541 , 344.924 328.141 321.491 323.173 308.688 309.026 300.181 307.953 295.694 288.706 293.497 286.886 285.968 287.465 277.620 276.282 278.618 277.071 270.726 269.704 279.359 272.524 270.789 275.076 269.194 260.582 270.707 268.479 261.410 265.574 258.285 259.580 261.451 262.640 258.105 255.927 255.954 263.473 253.669 257.714 312.967 320.277 378.695 303.408 336.294 303.466 285.098 280.529 284.553 289.908 281.975 278.147 348.025 284.706 273.439 281.254 272.417 267.348 287.305 266.059 270.363 270.002 265.607 260.731 261.168 273.359 257.450 257.157 261.920 256.135 261.734 258.340 254.996 256.325 258.809 251.493 254.655 251.539 262.242 263.057 325.099 384.233 311.521 338.100 317.619 303.478 302.961 296.287 293.820 289.213 285.238 284.679 279.118 300.376 275.140 278.120 281.450 279.333 268.494 272.166 265.174 363.630 271.066 274.691 262.769 261.148 270.472 261.313 258.485 263.364 258.205 262.742 266.364 253.800 255.901 253.446 257.551 253.264 298.171 257.568
