dotty, 3391, 2017-10-30T10:04:06Z, dbf1fe8, 33220.241, Mon Oct 30 11:37:18 CET 2017, 80333.681 39685.638 35957.278 35071.846 34831.684 34958.964 34030.218 34122.986 33983.519 34001.863 34322.613 33731.192 34122.086 33698.795 34592.408 33615.620 33821.334 33850.336 34438.450 33435.506 33281.039 34730.346 33957.179 33296.775 33338.191 33769.939 33911.525 33863.370 33029.280 33229.513 , 34047.159 33286.093 32912.852 33207.583 33924.441 33191.676 33147.714 33283.381 34032.740 33195.504 33137.862 33232.899 34059.525 33248.230 33148.574 33101.014 33995.652 33132.620 32939.726 33411.855
tests/scala-library, 3391, 2017-10-30T10:04:06Z, dbf1fe8, 5429.6435, Mon Oct 30 11:42:43 CET 2017, 23022.066 11377.050 8237.808 8837.592 6941.239 6242.251 6020.020 5877.291 5895.680 5787.880 5806.054 5715.733 5758.443 5648.318 5607.104 5633.296 5584.876 5589.930 5590.479 5556.330 5542.448 5564.453 5829.191 5487.652 5493.614 5710.713 5509.152 5539.024 5506.913 5535.510 , 5497.337 5509.073 5485.988 5406.191 5444.606 5449.344 5426.618 5431.338 5421.317 5426.005 5430.302 5428.985 5423.004 5403.731 5549.952 5459.239 5448.327 5388.710 5411.344 5395.534
tests/implicit_cache.scala, 3391, 2017-10-30T10:04:06Z, dbf1fe8, 104.43, Mon Oct 30 11:43:54 CET 2017, 2817.873 680.933 444.749 409.378 307.736 198.809 160.018 173.616 142.607 129.348 133.619 131.660 121.163 121.518 117.406 118.125 115.232 113.029 114.836 114.818 114.502 114.561 110.733 108.526 113.370 111.329 108.979 126.873 117.686 108.383 , 106.485 107.293 106.727 107.135 104.650 103.099 105.947 104.746 105.352 102.446 105.086 101.505 103.245 103.924 104.210 103.406 103.836 100.766 101.397 107.714
tests/implicit-scope-loop.scala, 3391, 2017-10-30T10:04:06Z, dbf1fe8, 110.0035, Mon Oct 30 11:45:05 CET 2017, 3202.774 537.669 414.716 353.133 387.024 267.022 238.857 167.231 144.500 145.136 141.063 130.326 131.036 124.153 126.422 131.191 124.393 121.160 119.396 122.294 123.734 118.449 115.079 118.669 116.161 115.353 117.185 119.103 117.487 116.185 , 115.023 110.498 113.999 110.020 110.588 115.127 109.917 115.644 108.099 112.012 111.288 109.987 106.001 110.731 107.092 107.010 109.126 106.872 108.719 105.171
tests/i1535.scala, 3391, 2017-10-30T10:04:06Z, dbf1fe8, 134.61, Mon Oct 30 11:46:18 CET 2017, 3339.499 750.963 513.690 415.282 508.781 337.801 279.586 254.909 195.698 212.452 197.515 183.855 156.912 158.822 157.882 151.682 161.446 160.210 152.273 175.987 149.682 143.958 143.338 145.837 147.357 140.820 142.886 139.622 142.029 146.481 , 154.588 136.905 150.787 148.755 175.554 135.035 130.742 134.266 135.658 133.516 140.785 132.358 130.261 130.637 132.402 134.954 149.509 128.782 128.123 132.247
tests/i1687.scala, 3391, 2017-10-30T10:04:06Z, dbf1fe8, 87.2995, Mon Oct 30 11:47:28 CET 2017, 2773.468 435.798 361.045 293.989 277.318 160.230 179.305 118.012 108.535 106.358 102.719 97.593 118.430 96.294 95.688 101.938 92.805 93.268 91.247 91.327 92.007 89.667 91.191 88.955 91.463 91.701 90.264 87.562 90.599 87.803 , 87.623 89.315 94.820 91.121 87.273 103.568 85.308 89.251 84.980 92.944 87.326 87.417 86.785 88.268 87.258 85.792 85.109 83.609 85.495 85.750
tests/Vector.scala, 3391, 2017-10-30T10:04:06Z, dbf1fe8, 565.197, Mon Oct 30 11:51:19 CET 2017, 7531.784 2381.244 1545.313 1519.425 1217.522 1587.920 1392.907 896.042 812.168 1192.524 899.938 752.769 713.514 674.561 648.136 649.727 638.630 616.708 617.093 667.084 7906.168 2879.305 2239.756 1390.923 1260.054 1288.818 1398.892 1445.619 1331.527 1219.356 824.174 739.523 1008.761 896.682 774.130 743.280 625.211 662.864 662.459 627.000 7733.013 2756.808 1610.813 1462.026 1385.143 1406.515 1770.478 1597.584 1137.693 883.374 845.651 775.260 926.045 889.960 786.131 736.858 615.379 601.748 616.026 592.876 , 617.361 598.079 741.851 665.587 649.656 606.804 686.438 674.086 561.388 562.181 561.675 597.956 557.385 553.872 559.437 578.491 578.837 566.236 560.715 545.946 580.097 616.843 580.385 574.421 557.094 582.793 606.513 536.833 533.184 535.723 583.782 586.612 586.924 573.888 575.876 586.543 633.641 609.891 564.176 566.293 551.201 549.113 547.723 564.890 542.077 544.873 540.262 565.673 544.518 536.476 537.480 572.249 565.358 529.682 542.426 535.880 597.299 531.104 551.068 527.969 604.236 636.716 595.235 611.261 675.772 622.962 603.937 591.890 628.602 562.996 564.760 602.866 571.193 633.328 672.340 557.812 560.359 550.997 554.173 565.036 542.980 546.055 546.927 563.309 532.556 535.890 567.867 538.167 533.322 533.321
tests/empty-class.scala, 3391, 2017-10-30T10:04:06Z, dbf1fe8, 72.1475, Mon Oct 30 11:52:29 CET 2017, 2565.021 340.289 304.365 210.977 212.119 159.055 105.040 88.958 86.055 84.532 87.921 78.912 79.675 76.234 78.735 77.247 77.749 74.884 75.465 76.614 75.807 73.122 74.071 74.359 73.096 74.252 72.775 73.419 72.464 73.475 , 71.780 75.400 75.174 73.281 72.094 74.166 76.436 74.110 71.487 72.562 71.661 74.074 71.231 72.976 70.445 72.201 70.376 71.468 70.448 71.496
tests/empty-object.scala, 3391, 2017-10-30T10:04:06Z, dbf1fe8, 73.0305, Mon Oct 30 11:53:39 CET 2017, 2581.516 506.102 301.458 204.649 185.768 146.815 114.350 108.165 101.665 83.053 82.368 80.538 81.053 78.397 79.889 77.742 79.488 76.784 77.040 76.109 78.569 79.761 77.154 76.473 77.085 74.977 77.913 73.131 74.943 74.010 , 79.631 72.982 73.770 73.679 77.252 74.359 88.283 73.064 76.093 72.997 73.926 71.997 74.187 71.914 70.920 72.003 70.312 71.554 71.635 72.242
tests/empty-file.scala, 3391, 2017-10-30T10:04:06Z, dbf1fe8, 57.3475, Mon Oct 30 11:54:47 CET 2017, 1935.465 351.684 172.246 163.989 162.915 131.349 97.366 70.035 64.436 64.212 61.297 62.069 61.581 59.662 60.895 58.931 60.864 64.772 59.669 58.768 59.732 59.766 57.671 59.107 64.150 59.041 57.450 58.838 58.521 57.519 , 58.250 60.028 57.992 56.851 58.213 57.587 56.730 57.733 56.615 57.528 57.366 56.695 57.329 56.307 57.836 56.450 57.554 57.220 56.335 57.041
tests/patmatexhaust.scala, 3391, 2017-10-30T10:04:06Z, dbf1fe8, 300.866, Mon Oct 30 11:58:55 CET 2017, 5144.195 1760.391 1725.202 1429.627 1261.157 913.888 795.265 837.690 552.391 605.142 592.163 516.360 642.080 620.434 607.851 413.094 453.572 458.490 358.016 349.407 5415.490 1963.864 1552.127 1410.045 1291.839 1146.742 1060.556 1009.541 885.178 722.687 628.139 567.631 649.430 632.250 422.147 396.229 384.218 386.662 351.515 415.323 4983.241 1594.554 1422.130 1311.690 1079.216 859.813 1043.684 934.448 678.567 681.413 645.025 500.930 507.053 463.692 392.601 378.121 374.590 363.612 353.507 350.572 , 357.031 379.108 329.459 369.871 401.824 319.816 324.152 315.589 313.670 316.173 303.169 303.109 306.705 300.758 303.043 304.717 299.246 296.428 307.914 292.863 313.587 345.258 292.195 295.280 302.580 400.213 293.127 289.600 294.224 285.191 289.113 283.176 280.233 296.904 287.251 275.933 285.300 276.377 276.732 282.660 348.435 338.183 335.165 328.853 344.255 317.758 389.395 335.092 312.933 313.670 314.401 303.733 302.507 306.609 299.444 305.236 313.691 292.761 291.694 386.475 300.259 294.760 292.510 287.266 299.828 298.061 323.742 291.979 335.540 359.182 291.762 298.013 299.624 286.296 295.169 281.405 274.476 278.179 285.939 276.731 348.297 344.232 340.570 378.369 418.900 477.519 345.808 325.910 311.055 311.010 323.774 315.422 333.532 338.362 341.979 335.665 308.581 300.974 292.250 290.540 292.420 284.849 285.967 291.518 341.029 292.298 292.192 280.957 281.228 307.684 279.800 280.461 286.151 280.212 281.791 280.035 274.617 287.886 281.554 272.720
tests/exhaustivity-I.scala, 3391, 2017-10-30T10:04:06Z, dbf1fe8, 176.942, Mon Oct 30 12:02:42 CET 2017, 4199.241 1212.573 1226.460 905.675 703.515 564.735 515.614 518.182 441.601 346.070 299.468 373.610 305.612 291.255 289.407 222.617 212.635 210.414 205.346 200.355 4022.261 1297.784 1133.395 833.853 647.919 644.263 548.793 416.156 412.498 377.168 350.997 370.902 269.505 294.720 311.809 219.908 204.864 201.628 218.294 222.825 4238.473 1539.095 893.146 660.107 552.543 502.273 544.949 448.906 479.192 432.077 372.034 291.541 256.432 237.829 236.043 226.253 212.974 202.890 198.507 201.820 , 201.989 193.901 191.141 201.795 187.023 191.169 183.194 183.718 186.387 180.460 183.875 180.858 180.604 184.202 179.477 182.945 181.950 182.486 184.419 179.779 177.789 176.562 171.742 177.408 172.714 176.567 175.047 173.293 172.856 168.856 170.984 172.745 170.803 171.270 173.689 167.695 169.209 167.623 167.293 169.715 195.090 211.944 184.914 193.364 188.148 187.677 177.957 178.032 179.385 177.281 179.890 174.743 175.021 177.076 173.235 173.968 179.058 176.808 183.004 174.913 172.100 170.130 167.516 172.961 166.583 172.577 181.107 166.954 169.337 164.039 180.527 167.025 162.515 162.985 160.787 162.462 161.725 161.403 163.515 161.851 193.722 197.838 217.923 201.962 184.472 187.541 183.418 186.110 182.574 179.891 184.301 180.367 188.840 181.624 178.614 191.379 178.616 181.209 179.261 176.595 176.433 172.275 185.232 172.228 172.069 185.656 210.580 174.274 172.140 169.522 172.348 169.411 173.573 167.212 166.408 166.535 165.072 167.000 164.772 164.743
tests/exhaustivity-S.scala, 3391, 2017-10-30T10:04:06Z, dbf1fe8, 287.5325, Mon Oct 30 12:06:33 CET 2017, 4297.822 1184.832 774.895 693.881 575.766 511.214 487.197 441.930 603.188 439.425 532.376 438.478 385.953 380.763 376.728 393.128 369.232 368.065 366.167 362.714 4100.132 1311.001 863.199 767.584 539.908 513.668 568.187 417.897 345.911 325.108 313.321 302.344 294.678 294.455 292.458 286.955 284.170 318.664 343.746 370.405 4446.282 1200.883 839.587 810.359 735.368 636.439 413.264 373.444 361.827 343.745 335.781 324.471 320.084 314.128 311.839 338.078 309.330 306.128 317.334 316.968 , 366.053 364.042 364.817 401.876 364.042 356.215 357.574 364.467 385.817 370.363 369.136 358.603 353.173 386.444 354.850 359.997 350.354 352.597 350.868 355.279 350.122 348.985 345.617 347.026 351.367 367.147 351.965 347.766 349.688 346.628 352.184 347.127 344.432 345.562 345.537 348.257 347.925 343.927 344.913 345.245 292.879 275.844 273.821 273.874 272.056 271.611 278.025 272.623 293.031 269.616 269.013 268.648 267.990 267.040 264.609 265.612 272.469 263.965 262.707 263.192 263.872 263.008 262.700 263.126 262.320 263.393 261.981 263.130 261.125 260.684 266.700 260.087 273.834 266.566 259.931 259.053 263.986 267.193 264.108 259.172 304.032 297.739 297.305 294.896 292.842 293.419 297.450 337.098 290.261 299.852 296.295 291.867 287.193 286.772 286.631 286.679 287.741 294.430 288.522 288.252 285.530 284.867 287.850 283.226 293.170 283.788 282.683 286.926 281.648 281.891 282.914 282.746 283.215 283.614 280.759 282.844 287.324 281.320 280.393 279.668
tests/exhaustivity-T.scala, 3391, 2017-10-30T10:04:06Z, dbf1fe8, 822.7005, Mon Oct 30 12:11:19 CET 2017, 5009.548 1748.280 1386.112 1343.078 1261.995 1028.335 1005.839 970.453 938.610 909.169 1093.896 950.716 1095.356 894.953 868.414 860.422 899.344 860.519 833.383 889.364 4949.141 1786.998 1285.934 1309.056 1513.522 1086.511 1046.940 1051.352 1010.692 1111.016 936.650 950.401 908.657 897.545 862.312 882.826 839.624 831.757 849.501 1097.683 5069.588 2140.391 1446.465 1522.743 1500.457 1264.645 1331.413 1273.665 1213.303 1178.331 1124.430 1114.499 1103.160 1187.153 1235.414 1110.078 1121.648 1143.135 1142.894 1054.177 , 834.386 829.334 834.328 831.376 822.403 819.923 822.998 820.401 819.462 820.018 811.849 820.631 821.579 825.883 817.556 811.761 809.688 809.428 820.946 825.037 820.755 868.619 802.136 802.387 807.159 798.165 809.825 827.641 801.296 803.135 803.272 805.954 820.373 799.867 797.481 800.055 804.288 802.957 797.534 802.315 843.753 824.285 862.851 943.913 821.659 920.055 821.029 813.214 830.610 839.481 807.330 829.213 808.977 810.290 808.100 803.678 812.286 811.406 797.429 858.193 808.082 796.278 809.915 809.198 800.519 799.113 868.493 794.898 804.334 794.152 794.951 797.238 795.172 805.664 801.060 852.839 811.273 794.178 791.055 793.655 1042.432 1055.910 1043.132 1074.899 1036.868 1042.847 1030.896 1025.793 1023.570 1026.444 1029.954 1049.252 1050.545 1017.967 1019.796 1016.795 1059.995 1032.583 1035.151 1035.782 1013.356 1013.455 1026.723 1046.899 1016.872 1017.584 1018.632 1002.703 1005.741 1004.285 1084.854 1000.883 1015.214 1006.539 1140.083 1006.542 1057.276 1006.973 1035.399 1038.051
