dotty, 3254, 2017-10-04T18:55:07Z, 539c203, 36371.99, Wed Oct  4 21:18:28 CEST 2017, 82871.622 41380.812 39426.640 37861.963 37570.571 37782.618 36517.799 36733.651 36872.214 36967.053 , 37084.324 36431.386 36421.351 36561.273 37287.268 36169.250 36375.419 36503.656 37058.487 35865.229 35781.711 36223.434 37084.366 35763.883 35763.968 36183.445 36998.682 35718.455 35924.312 36368.561
tests/scala-library, 3254, 2017-10-04T18:55:07Z, 539c203, 6191.114, Wed Oct  4 21:22:06 CEST 2017, 22461.137 12827.170 8644.735 7362.297 7276.409 6676.241 6596.085 6454.721 6440.881 6350.227 , 6311.948 6267.971 6274.530 6244.893 6201.130 6206.056 6238.173 6154.361 6181.642 6155.323 6082.059 6107.938 6084.085 6316.953 6039.679 6137.123 6136.471 6200.586 6265.373 6092.965
tests/implicit_cache.scala, 3254, 2017-10-04T18:55:07Z, 539c203, 124.5685, Wed Oct  4 21:22:42 CEST 2017, 2927.981 520.977 515.300 350.389 296.657 283.275 201.128 243.561 178.695 213.113 , 153.005 133.946 132.122 126.030 125.431 126.271 123.078 133.289 123.706 121.743 121.632 139.039 126.972 121.475 118.677 117.268 128.661 121.104 117.961 115.785
tests/implicit-scope-loop.scala, 3254, 2017-10-04T18:55:07Z, 539c203, 125.973, Wed Oct  4 21:23:20 CEST 2017, 2887.769 631.897 566.065 364.384 312.374 284.634 265.893 173.882 155.259 152.070 , 141.463 141.047 133.819 128.053 149.970 126.048 135.408 125.898 123.657 126.344 127.546 121.066 123.495 121.671 123.202 135.927 116.282 118.282 117.103 117.644
tests/i1535.scala, 3254, 2017-10-04T18:55:07Z, 539c203, 157.336, Wed Oct  4 21:23:57 CEST 2017, 3313.079 781.822 509.516 579.852 423.488 374.178 335.607 250.512 307.762 282.288 , 202.153 213.542 192.040 184.855 169.183 182.130 169.517 160.126 154.546 171.104 149.637 152.341 146.716 145.212 168.514 151.167 143.304 143.360 139.909 137.652
tests/i1687.scala, 3254, 2017-10-04T18:55:07Z, 539c203, 102.7665, Wed Oct  4 21:24:33 CEST 2017, 2698.619 450.408 341.868 299.499 257.849 230.835 177.756 140.754 121.082 150.692 , 111.636 107.572 104.025 108.807 105.303 109.022 103.789 102.585 99.941 103.348 103.402 99.471 97.198 97.726 95.794 97.329 102.948 93.699 95.135 97.343
tests/Vector.scala, 3254, 2017-10-04T18:55:07Z, 539c203, 608.2565, Wed Oct  4 21:28:21 CEST 2017, 7774.869 3050.746 2350.773 2002.901 1732.670 1217.396 1562.278 1239.880 1181.703 1321.637 1251.899 866.497 798.812 738.703 701.401 742.975 689.802 668.816 661.144 664.939 7379.958 2922.245 2206.067 1933.794 1246.393 1161.703 1517.992 1402.839 1144.224 861.702 849.320 785.435 1035.180 938.557 732.474 725.936 717.084 827.894 681.505 689.604 7290.698 2640.712 1675.011 1394.603 1273.569 1173.705 1504.770 1626.047 1310.146 930.218 898.454 863.923 756.706 729.010 719.358 844.374 733.208 687.857 659.632 669.221 , 644.744 635.738 648.403 643.491 632.417 628.952 617.172 611.266 614.917 611.346 594.135 607.760 627.102 607.999 590.356 608.101 593.910 608.104 598.672 584.985 591.718 580.325 594.174 595.727 591.437 605.963 599.420 602.054 590.292 595.553 656.241 648.718 641.908 852.435 676.773 619.413 640.132 624.005 638.342 610.422 629.045 608.654 600.904 614.347 648.726 608.511 599.482 608.409 596.634 590.614 602.232 629.986 590.832 603.073 607.107 586.899 585.534 597.999 589.257 596.934 650.908 656.688 681.833 657.602 636.119 641.570 654.127 620.902 619.395 627.589 616.715 607.359 605.895 619.653 608.709 600.701 649.641 602.132 597.948 593.077 624.189 609.011 601.488 745.287 587.578 587.637 607.261 600.541 600.103 596.206
tests/empty-class.scala, 3254, 2017-10-04T18:55:07Z, 539c203, 77.7035, Wed Oct  4 21:28:56 CEST 2017, 2368.898 345.183 313.221 195.322 175.506 136.045 108.382 98.491 86.704 83.756 , 82.797 82.040 83.413 91.806 83.452 79.031 79.137 77.546 77.861 75.952 77.279 78.500 76.061 75.756 76.074 75.577 76.018 73.386 78.050 75.773
tests/empty-object.scala, 3254, 2017-10-04T18:55:07Z, 539c203, 78.13, Wed Oct  4 21:29:31 CEST 2017, 2379.710 334.005 324.759 271.706 226.577 152.748 125.607 116.981 93.284 85.144 , 84.539 87.811 105.730 82.267 91.227 81.053 78.646 82.477 77.834 78.883 78.263 77.997 76.072 77.673 76.157 77.801 75.015 76.081 77.236 76.552
tests/empty-file.scala, 3254, 2017-10-04T18:55:07Z, 539c203, 61.975, Wed Oct  4 21:30:05 CEST 2017, 2084.570 260.671 216.736 179.419 126.991 105.581 84.180 77.545 87.809 66.733 , 64.052 67.736 65.182 63.657 62.555 70.079 63.553 61.589 61.903 60.781 62.220 60.693 62.047 60.304 61.397 61.406 59.832 61.836 60.597 65.044
tests/patmatexhaust.scala, 3254, 2017-10-04T18:55:07Z, 539c203, 326.764, Wed Oct  4 21:34:05 CEST 2017, 5324.643 1942.539 1439.579 1169.953 1310.002 1039.846 967.835 715.925 775.433 783.316 637.155 481.245 659.196 506.300 537.928 617.218 426.909 381.004 367.988 369.043 5548.946 1687.137 1738.597 1227.961 917.734 799.461 731.829 601.173 584.579 546.770 530.894 484.028 463.783 490.772 524.217 460.774 401.822 402.873 414.286 409.392 5258.858 1707.950 1554.460 1214.406 1173.738 1115.693 864.376 707.485 620.778 718.999 696.243 483.933 523.426 473.136 442.206 503.020 530.959 396.340 409.050 383.733 , 362.216 382.561 358.194 347.736 346.824 350.892 349.771 339.165 350.758 336.120 349.450 343.704 328.732 338.045 328.654 327.772 337.337 323.722 325.511 327.318 406.109 368.208 339.434 309.164 308.743 318.741 315.040 311.490 390.841 306.457 303.257 313.827 304.426 306.910 305.614 298.189 307.743 295.961 295.427 305.659 376.552 364.101 361.518 360.062 354.383 346.859 355.538 348.220 342.769 339.494 334.905 337.933 327.739 336.711 331.116 325.263 320.965 326.397 319.964 318.636 320.911 312.590 315.655 317.443 369.707 316.196 311.737 341.078 311.025 315.553 302.270 310.996 305.912 301.955 311.433 307.521 307.083 319.089 298.583 301.133 373.817 409.259 383.137 359.744 357.504 357.590 348.465 352.301 351.736 346.095 340.883 392.279 339.730 330.136 334.097 339.505 327.131 328.617 327.260 318.313 342.029 437.403 319.826 311.627 318.681 319.927 312.585 313.030 308.149 308.717 311.479 303.707 311.687 305.887 308.358 309.402 300.889 304.009 300.438 300.759
