dotty, 3395, 2017-11-02T09:46:52Z, a914812, 35357.0225, Thu Nov  2 11:22:01 CET 2017, 80380.620 42010.115 38352.042 37505.796 36999.623 37287.022 36242.071 36127.525 36131.710 37185.774 35921.990 35908.915 35856.115 35857.036 36600.725 35680.861 35886.584 35611.664 36445.179 36322.522 35533.918 35535.246 36056.428 35626.968 35415.532 35423.441 35962.639 35306.398 35285.747 35339.155 , 35823.261 35241.329 35307.439 35158.581 35686.536 35253.620 35313.441 35310.944 36530.392 36543.209 35242.156 36322.635 35892.424 37489.449 35337.995 35283.625 35701.029 35376.050 35039.405 35729.749
tests/scala-library, 3395, 2017-11-02T09:46:52Z, a914812, 5733.0765, Thu Nov  2 11:28:40 CET 2017, 25010.171 12490.428 8271.724 7076.063 6753.308 6433.507 6214.313 6237.043 6122.814 6078.738 6076.029 5990.044 6062.790 5978.404 5955.044 5891.346 5902.516 5912.832 5886.763 5829.348 5876.875 5875.962 5862.011 5804.975 5990.508 5988.968 6168.749 5768.117 5792.184 5795.721 , 5756.070 5977.710 5846.945 5769.690 5801.550 5830.428 5921.192 5702.793 5706.298 5673.639 5705.663 5702.821 5775.827 5701.947 5766.781 5721.868 5720.632 5691.842 5744.285 5706.314
tests/implicit_cache.scala, 3395, 2017-11-02T09:46:52Z, a914812, 110.076, Thu Nov  2 11:29:56 CET 2017, 2895.437 723.447 416.155 381.092 378.419 321.074 192.233 173.003 152.467 142.085 141.066 134.858 150.553 139.783 127.856 119.849 121.480 119.478 119.224 122.615 128.802 117.199 115.834 119.385 118.077 111.625 113.257 111.438 125.804 120.840 , 115.137 113.236 114.623 118.638 111.328 111.484 107.806 109.913 110.357 110.239 106.442 106.165 108.030 114.717 107.667 105.045 106.600 116.144 109.128 105.505
tests/implicit-scope-loop.scala, 3395, 2017-11-02T09:46:52Z, a914812, 112.574, Thu Nov  2 11:31:10 CET 2017, 3033.854 764.293 558.330 445.007 396.969 323.196 196.373 164.902 148.377 157.517 153.369 148.041 139.339 131.728 131.834 129.665 127.711 125.690 128.375 156.934 135.576 120.888 122.093 125.241 136.292 119.383 120.456 119.473 118.082 118.953 , 118.609 122.333 114.224 125.786 122.913 113.281 115.800 112.146 112.642 111.461 112.506 109.857 112.162 121.302 111.467 111.722 111.175 114.333 111.517 109.779
tests/i1535.scala, 3395, 2017-11-02T09:46:52Z, a914812, 139.987, Thu Nov  2 11:32:27 CET 2017, 3546.073 1056.327 560.023 626.239 541.554 470.034 406.528 375.878 313.089 262.240 215.034 191.770 170.374 166.848 163.275 168.724 156.127 157.545 160.423 151.822 150.242 151.789 146.294 151.173 164.627 154.449 144.728 152.653 142.303 141.521 , 144.291 146.808 139.333 140.641 138.756 141.845 135.259 136.072 136.910 148.443 138.829 152.444 162.606 146.877 186.965 130.552 131.333 133.024 129.790 159.028
tests/i1687.scala, 3395, 2017-11-02T09:46:52Z, a914812, 86.9575, Thu Nov  2 11:33:38 CET 2017, 2660.258 438.849 377.161 260.285 206.059 169.106 177.091 116.140 109.153 102.592 122.293 102.936 97.432 96.992 94.903 96.836 95.164 94.783 91.998 93.716 90.722 90.427 91.647 90.370 92.276 88.740 91.972 91.089 90.658 87.921 , 89.309 86.638 87.806 86.955 102.612 86.116 85.570 87.200 86.596 87.271 85.184 89.108 85.844 87.080 85.203 86.963 84.430 86.960 86.976 86.930
tests/Vector.scala, 3395, 2017-11-02T09:46:52Z, a914812, 573.933, Thu Nov  2 11:37:29 CET 2017, 7414.018 2709.351 1856.379 1555.198 1507.880 1290.715 1172.945 1067.404 1027.968 871.910 1009.621 1147.823 1092.857 960.102 731.600 677.707 672.552 653.504 634.162 750.618 6954.671 2109.735 1688.910 1450.724 1604.469 1323.861 1235.843 1229.326 1153.597 872.438 935.437 738.255 705.537 711.924 708.663 679.544 720.877 633.975 622.374 624.772 7694.572 2395.344 2240.895 1920.873 1620.795 1241.565 1247.896 1250.629 1200.165 1094.287 828.799 741.788 703.279 693.276 723.639 693.209 675.504 664.084 616.001 871.454 , 681.396 733.213 603.099 694.866 623.152 594.226 643.149 593.225 638.470 618.460 689.805 604.225 587.834 573.006 573.878 584.652 614.798 567.685 600.639 752.558 555.458 552.819 556.185 567.617 565.397 548.926 549.303 561.071 550.426 546.524 630.268 606.441 604.367 600.730 598.585 591.481 583.828 623.994 637.763 606.267 606.351 599.148 570.075 574.212 569.896 577.199 568.235 630.416 605.285 554.321 554.689 592.856 559.768 553.689 546.851 546.743 555.990 551.454 547.356 546.786 609.373 618.811 691.957 592.631 591.555 574.940 580.499 573.732 578.900 564.565 563.660 560.712 568.466 551.946 552.149 561.274 575.189 551.559 552.644 553.179 543.035 573.988 539.456 567.550 604.744 546.167 536.221 568.884 538.898 538.943
tests/empty-class.scala, 3395, 2017-11-02T09:46:52Z, a914812, 75.0305, Thu Nov  2 11:38:38 CET 2017, 2458.531 441.508 275.621 205.906 178.945 167.496 148.242 112.582 90.715 86.428 86.649 82.193 82.107 80.537 83.384 79.446 80.623 78.507 79.298 77.687 78.750 76.817 77.211 76.992 78.995 76.936 84.437 77.774 78.368 77.360 , 76.074 74.369 76.241 73.365 86.924 75.394 75.718 74.053 77.842 74.079 76.369 75.487 81.007 74.667 77.824 73.709 73.470 71.951 73.104 72.526
tests/empty-object.scala, 3395, 2017-11-02T09:46:52Z, a914812, 75.207, Thu Nov  2 11:39:47 CET 2017, 2487.014 371.816 297.761 269.871 236.252 201.192 143.667 117.750 102.218 102.175 91.704 83.445 83.042 81.854 81.839 91.439 79.733 84.780 78.462 79.667 78.547 79.122 77.630 79.184 78.210 79.264 76.585 81.177 75.612 79.471 , 76.235 77.029 75.093 77.824 75.321 76.529 74.512 76.050 74.375 76.685 77.292 74.267 75.895 74.288 75.884 73.115 74.238 73.035 74.375 73.064
tests/empty-file.scala, 3395, 2017-11-02T09:46:52Z, a914812, 58.278, Thu Nov  2 11:40:55 CET 2017, 1976.933 272.416 174.709 146.054 148.960 136.130 92.881 81.614 64.648 63.935 61.951 65.426 62.428 60.834 61.723 59.468 60.738 59.273 60.144 61.155 59.467 62.124 58.981 61.554 58.615 60.730 59.318 58.151 59.113 58.155 , 59.109 57.775 58.854 58.993 59.668 57.970 57.025 57.889 57.220 57.890 58.241 58.315 59.271 57.690 71.380 84.881 64.786 60.511 57.761 57.079
tests/patmatexhaust.scala, 3395, 2017-11-02T09:46:52Z, a914812, 303.8625, Thu Nov  2 11:45:05 CET 2017, 5757.584 2200.088 1601.730 1251.309 1106.661 902.135 909.623 615.978 559.962 521.299 505.731 482.234 453.265 426.491 436.430 448.260 526.144 370.227 377.470 393.118 5517.491 1898.234 1419.895 1216.171 1054.901 1186.773 891.658 757.721 589.378 542.917 512.624 519.529 466.305 431.135 412.398 408.783 373.168 421.617 353.916 384.535 5426.455 1907.706 1636.018 1142.200 1011.476 1163.476 1098.675 1011.886 926.725 790.389 657.722 474.284 526.939 452.643 502.833 425.730 504.130 391.293 422.452 395.521 , 355.515 346.386 403.627 342.534 407.673 338.411 342.218 334.732 317.958 323.793 334.891 311.515 315.549 334.673 308.928 311.662 303.791 304.802 316.629 307.254 301.887 303.758 297.276 302.937 303.934 295.529 289.694 297.875 301.431 291.114 295.969 289.844 287.671 293.499 285.396 285.010 297.841 284.757 291.604 306.476 393.308 333.455 348.818 335.618 323.299 335.299 319.705 328.530 314.476 345.846 305.837 310.444 301.962 300.693 319.064 303.021 298.449 307.977 295.688 292.818 297.290 292.697 309.867 299.197 291.135 285.172 296.409 287.766 287.756 316.131 284.355 289.375 286.506 280.490 287.184 288.989 281.383 283.804 282.128 280.072 371.257 347.193 343.282 348.559 343.347 336.604 326.384 342.481 336.521 320.264 323.262 313.044 309.722 312.089 310.417 302.672 320.616 306.128 305.713 311.339 300.516 302.759 324.165 341.742 347.142 315.518 292.444 294.152 296.975 292.693 291.895 295.799 287.156 286.189 294.226 284.567 283.087 294.450 283.243 284.860
