dotty, 3232, 2017-10-02T14:15:51Z, d7a135e, 37614.1155, Mon Oct  2 16:39:45 CEST 2017, 81550.401 44851.512 40253.661 39738.657 39826.705 38108.173 38077.019 38198.457 38492.845 38484.055 , 37636.630 37750.868 38043.214 38659.157 37484.363 37436.317 38336.489 38202.727 37363.843 37332.103 37645.238 39078.663 36992.027 37263.250 37552.048 37879.243 37062.996 37165.436 37591.601 37730.973
tests/scala-library, 3232, 2017-10-02T14:15:51Z, d7a135e, 6529.9, Mon Oct  2 16:43:35 CEST 2017, 26264.149 12000.909 9062.241 7835.980 7443.176 7169.922 6944.033 7090.464 6998.239 6741.765 , 6703.425 6932.397 6630.635 6627.557 6575.820 6578.969 6579.612 6575.962 6634.494 6535.520 6505.222 6524.280 6494.144 6471.613 6456.418 6486.371 6474.261 6432.332 6452.325 6509.027
tests/implicit_cache.scala, 3232, 2017-10-02T14:15:51Z, d7a135e, 137.9915, Mon Oct  2 16:44:12 CEST 2017, 3004.562 557.333 491.005 482.100 322.588 304.052 196.549 181.603 168.030 166.778 , 161.556 149.479 146.595 147.428 145.767 145.287 141.158 137.118 137.753 136.665 137.093 135.812 143.119 138.230 139.710 130.675 131.428 135.168 132.855 131.647
tests/implicit-scope-loop.scala, 3232, 2017-10-02T14:15:51Z, d7a135e, 148.844, Mon Oct  2 16:44:49 CEST 2017, 3093.579 630.054 611.074 516.075 353.795 240.635 212.401 193.858 200.710 187.826 , 185.468 178.319 188.720 151.382 153.600 159.680 159.265 148.657 143.682 144.775 149.031 167.742 148.189 141.207 159.784 135.990 141.502 136.918 139.448 133.938
tests/i1535.scala, 3232, 2017-10-02T14:15:51Z, d7a135e, 176.1695, Mon Oct  2 16:45:27 CEST 2017, 3559.877 788.324 566.853 583.811 402.395 289.636 264.738 257.783 308.962 295.075 , 228.802 197.761 207.649 187.188 182.746 178.647 182.683 173.692 179.252 171.215 172.872 172.174 168.672 182.433 166.677 168.460 167.559 194.288 170.465 170.223
tests/i1687.scala, 3232, 2017-10-02T14:15:51Z, d7a135e, 119.9305, Mon Oct  2 16:46:03 CEST 2017, 2811.902 464.235 366.142 303.482 238.153 191.809 164.057 203.335 174.474 147.921 , 136.110 126.909 125.685 128.351 129.587 124.326 120.816 120.479 119.462 120.399 117.480 116.437 118.208 116.124 116.745 116.236 114.498 113.401 113.540 131.576
tests/Vector.scala, 3232, 2017-10-02T14:15:51Z, d7a135e, 638.9215, Mon Oct  2 16:49:57 CEST 2017, 6957.965 2145.811 1716.749 1504.426 1881.488 1809.472 1686.019 1548.281 1479.325 1404.546 930.302 868.152 816.950 789.651 751.851 748.295 719.793 710.321 709.952 682.712 7580.385 2461.815 2464.165 2023.456 1265.986 1201.886 1631.323 1533.634 922.541 861.349 844.387 867.460 806.167 736.300 776.383 717.284 702.182 701.665 689.677 693.114 7050.475 2513.798 1732.605 1484.016 1352.190 1272.192 1202.927 1175.205 1611.177 1651.400 1515.450 1502.267 1408.367 1420.927 1040.456 897.794 875.023 762.640 757.554 731.272 , 706.734 665.661 661.286 698.625 655.161 667.213 645.941 640.631 648.738 633.924 628.845 638.666 626.158 636.694 624.316 624.312 633.358 639.055 638.286 616.152 609.547 622.424 615.061 642.911 623.675 606.345 617.123 608.781 615.569 603.792 687.785 778.732 1074.873 812.568 708.269 656.953 706.618 652.305 638.788 620.238 633.215 618.739 617.723 629.493 697.650 645.694 623.219 616.669 667.999 607.445 609.960 606.365 658.984 747.074 636.503 619.061 599.693 605.451 603.561 596.864 738.847 719.350 784.719 815.733 795.529 711.966 673.742 652.028 656.032 711.693 849.719 658.619 641.407 683.255 658.498 685.208 644.299 632.981 636.756 631.450 625.948 652.633 623.187 629.356 622.681 617.690 652.651 814.917 680.582 632.812
tests/empty-class.scala, 3232, 2017-10-02T14:15:51Z, d7a135e, 96.508, Mon Oct  2 16:50:32 CEST 2017, 2419.513 343.987 314.939 289.748 204.054 183.604 169.541 149.958 127.040 111.292 , 108.468 106.101 102.728 106.404 101.040 98.756 96.834 97.731 96.219 95.319 95.719 96.797 94.897 94.784 95.644 94.211 94.811 97.188 95.071 92.444
tests/empty-object.scala, 3232, 2017-10-02T14:15:51Z, d7a135e, 96.4455, Mon Oct  2 16:51:07 CEST 2017, 2425.420 344.806 341.205 234.047 182.788 182.927 150.894 130.447 125.933 125.232 , 103.290 103.776 103.226 100.281 100.232 98.575 97.814 97.722 96.061 96.372 95.778 97.566 96.519 92.868 94.646 93.551 92.675 93.612 93.545 92.279
tests/empty-file.scala, 3232, 2017-10-02T14:15:51Z, d7a135e, 79.103, Mon Oct  2 16:51:41 CEST 2017, 2022.562 353.098 201.476 207.656 202.871 183.433 158.802 100.985 89.928 87.132 , 83.865 83.409 82.220 87.378 87.363 82.216 80.701 80.504 79.049 78.388 78.425 78.215 78.578 79.850 79.157 77.497 77.399 77.777 77.685 77.988
tests/patmatexhaust.scala, 3232, 2017-10-02T14:15:51Z, d7a135e, 351.306, Mon Oct  2 16:55:37 CEST 2017, 5570.816 2126.540 1630.420 1341.595 1329.908 1238.852 1100.079 1056.036 969.070 745.533 579.482 702.310 633.527 704.732 646.264 602.904 459.074 417.691 444.967 401.848 5266.794 1777.071 1787.777 1576.310 1321.641 1201.669 1089.265 1047.362 933.883 890.469 730.800 705.422 526.604 486.053 584.280 599.974 469.245 475.716 467.446 472.950 5765.359 1920.141 1573.276 1371.343 1378.743 1273.397 905.233 1006.918 753.660 616.976 800.863 554.766 524.039 509.746 548.919 528.652 576.817 541.313 457.639 419.568 , 426.488 376.933 392.630 377.629 378.921 382.388 452.401 403.562 359.769 364.709 351.366 367.733 352.108 341.783 354.290 346.823 351.246 333.305 342.632 342.894 355.636 359.505 399.775 381.365 334.347 331.259 329.220 333.437 329.254 335.866 325.488 324.051 321.375 321.392 332.859 316.927 319.832 316.652 316.749 320.103 449.433 459.282 404.431 387.148 456.175 384.349 378.935 368.721 363.645 367.825 428.950 425.838 406.971 388.951 365.041 440.346 363.108 343.557 350.099 340.799 351.519 335.994 339.102 343.601 336.120 342.662 331.719 333.938 331.168 339.748 339.908 331.451 328.121 328.882 370.339 366.277 326.973 324.958 322.944 324.041 529.506 518.157 402.559 410.561 382.027 444.578 520.622 381.044 379.790 361.145 380.655 359.433 353.386 362.530 352.222 361.816 351.859 361.303 346.243 351.659 359.249 342.825 349.066 338.335 353.905 349.751 348.464 343.101 335.060 350.390 333.459 342.415 329.846 335.542 329.402 327.177 390.906 346.339 327.784 329.752
