dotty, 3231, 2017-10-02T13:08:11Z, 749bf07, 36056.238, Mon Oct  2 15:31:17 CEST 2017, 77326.903 43289.650 38418.562 38280.332 37427.522 37564.238 36813.463 36686.119 36748.493 36614.718 , 36938.178 36045.334 35996.985 36828.429 36479.743 36514.505 36067.142 35871.807 36160.910 37213.489 35724.454 35621.603 36026.139 36913.856 35475.845 35685.119 36084.918 36886.426 35579.333 35963.845
tests/scala-library, 3231, 2017-10-02T13:08:11Z, 749bf07, 5487.113, Mon Oct  2 15:34:34 CEST 2017, 24480.525 10653.974 7469.919 6494.009 6232.034 5989.758 5865.242 5784.654 5718.553 5671.993 , 5634.483 5633.127 5554.882 5551.841 5555.848 5635.500 5826.228 5498.308 5512.184 5475.918 5466.591 5562.592 5469.866 5433.789 5445.944 5440.185 5409.681 5381.280 5415.934 5443.027
tests/implicit_cache.scala, 3231, 2017-10-02T13:08:11Z, 749bf07, 134.4475, Mon Oct  2 15:35:10 CEST 2017, 2888.004 545.516 433.904 320.827 243.442 205.424 179.182 167.550 175.702 185.734 , 180.091 142.682 139.500 144.244 139.427 134.643 135.868 134.252 133.809 130.924 136.138 130.511 131.499 129.666 132.702 129.472 140.690 124.920 127.866 139.592
tests/implicit-scope-loop.scala, 3231, 2017-10-02T13:08:11Z, 749bf07, 139.4075, Mon Oct  2 15:35:47 CEST 2017, 2919.228 734.744 580.129 503.495 459.812 379.844 281.851 216.517 219.246 173.191 , 164.817 159.309 149.676 147.431 145.363 141.519 151.312 144.547 139.952 148.107 138.807 138.863 135.670 134.735 134.013 133.680 134.083 133.688 136.814 130.812
tests/i1535.scala, 3231, 2017-10-02T13:08:11Z, 749bf07, 176.4885, Mon Oct  2 15:36:24 CEST 2017, 3489.065 717.727 694.131 583.608 519.429 372.969 275.190 266.481 281.774 254.345 , 240.261 269.951 203.105 186.334 192.341 180.117 176.329 176.648 186.631 170.392 170.646 168.119 168.559 166.180 181.602 175.670 168.185 167.157 177.129 176.223
tests/i1687.scala, 3231, 2017-10-02T13:08:11Z, 749bf07, 118.918, Mon Oct  2 15:37:01 CEST 2017, 2906.448 459.326 347.501 412.787 296.297 292.449 182.442 162.144 145.786 159.537 , 138.130 123.192 121.638 120.637 121.111 119.882 118.874 120.386 118.962 117.689 116.659 114.426 120.056 112.807 113.962 111.347 111.745 120.988 111.805 111.452
tests/Vector.scala, 3231, 2017-10-02T13:08:11Z, 749bf07, 522.489, Mon Oct  2 15:40:26 CEST 2017, 6932.351 2320.234 2095.421 1323.520 1176.246 1062.867 1327.824 1295.403 1235.779 1120.761 787.151 897.373 672.713 653.075 654.185 715.115 623.779 593.965 702.457 648.698 7670.585 2118.764 2193.859 1949.412 1728.745 1482.429 1443.862 1318.114 873.436 945.237 868.433 656.267 633.946 615.547 597.571 578.854 589.223 582.986 591.907 574.652 6858.240 2548.562 1904.712 1521.075 1349.438 1176.077 1453.162 1184.759 874.226 770.555 709.586 913.725 630.547 620.162 587.370 586.434 665.112 580.247 589.545 567.124 , 557.310 605.001 566.413 557.463 547.242 562.978 537.692 533.019 542.801 522.996 524.280 529.171 517.582 533.384 515.310 520.121 525.975 526.126 518.079 516.762 502.172 521.857 532.509 635.971 556.719 514.532 501.254 518.790 501.521 499.306 565.835 632.062 573.817 567.298 582.320 602.760 558.024 564.016 527.520 533.958 525.626 515.922 518.857 534.802 511.445 515.997 530.876 508.736 520.781 504.409 504.706 517.529 515.635 508.629 506.390 509.514 518.519 527.107 510.386 502.931 567.542 578.182 664.517 652.372 564.753 548.400 580.799 562.283 535.256 532.223 539.338 522.253 522.532 522.369 517.011 516.534 524.351 508.865 517.827 503.741 502.731 517.993 522.446 509.828 509.042 499.566 507.014 508.576 506.571 501.932
tests/empty-class.scala, 3231, 2017-10-02T13:08:11Z, 749bf07, 93.9605, Mon Oct  2 15:41:00 CEST 2017, 2371.492 345.470 263.445 217.116 193.551 159.235 164.968 169.506 153.120 102.754 , 101.959 103.497 94.289 95.041 95.443 94.040 94.819 93.652 93.881 93.253 93.489 93.809 95.702 94.728 92.405 91.273 91.036 90.275 94.133 90.206
tests/empty-object.scala, 3231, 2017-10-02T13:08:11Z, 749bf07, 97.4295, Mon Oct  2 15:41:36 CEST 2017, 2520.950 420.533 369.279 299.707 220.699 214.222 205.572 182.384 123.082 106.824 , 108.667 102.264 100.305 99.339 100.244 100.433 97.451 98.437 97.636 96.854 97.408 97.309 96.927 96.039 94.909 108.870 97.222 94.063 94.999 96.896
tests/empty-file.scala, 3231, 2017-10-02T13:08:11Z, 749bf07, 79.2135, Mon Oct  2 15:42:10 CEST 2017, 2241.106 296.880 205.934 228.918 195.149 175.678 136.061 99.408 94.658 87.510 , 84.062 83.000 81.625 82.152 80.980 79.167 79.398 87.413 78.429 78.284 79.276 77.933 78.248 79.260 79.312 78.153 77.483 77.654 77.603 78.218
tests/patmatexhaust.scala, 3231, 2017-10-02T13:08:11Z, 749bf07, 337.374, Mon Oct  2 15:46:09 CEST 2017, 5296.800 2192.189 1507.000 1068.126 1096.974 1251.161 1020.969 825.452 736.767 637.407 548.746 679.464 708.223 468.805 541.546 471.387 425.201 390.096 396.580 382.935 5216.120 1609.576 1555.810 1429.005 1012.612 1236.031 751.271 653.854 914.162 842.185 776.709 652.330 598.366 526.891 560.609 434.869 424.581 410.646 417.053 402.265 5289.171 2215.146 1398.383 1247.578 1257.964 928.038 735.334 623.200 669.642 564.745 530.355 723.799 598.880 485.519 431.702 426.999 474.455 416.523 412.947 393.746 , 372.318 384.392 362.700 371.168 365.914 370.842 389.634 351.027 366.128 342.396 346.355 353.097 340.844 342.775 335.716 348.742 341.240 335.941 340.282 333.890 337.900 336.848 335.231 342.765 328.626 329.329 322.094 323.416 323.001 320.168 320.247 318.748 341.869 309.407 317.883 316.781 311.679 311.655 311.940 310.290 401.964 500.119 460.618 371.678 369.091 359.765 360.775 346.370 351.831 403.554 368.096 352.631 339.701 335.921 348.430 335.811 354.730 331.087 330.657 325.132 369.542 409.790 449.278 323.821 316.684 311.278 325.030 317.322 312.097 309.421 312.537 321.573 307.808 308.552 308.031 313.234 306.513 307.252 303.122 304.188 389.706 387.362 383.216 403.301 365.899 359.782 351.849 351.040 369.183 339.746 350.863 372.850 340.814 379.317 333.413 335.481 328.424 330.206 324.550 329.594 375.226 338.884 320.421 324.544 317.039 324.620 318.875 361.611 342.251 326.294 346.571 424.184 325.151 312.631 309.805 326.083 353.471 323.022 310.863 348.836
