dotty, 3263, 2017-10-05T15:51:15Z, d0c377b, 35444.7095, Thu Oct  5 18:14:08 CEST 2017, 79724.957 41756.074 38068.894 36829.450 36621.094 36989.172 35838.523 36379.122 35936.684 36405.302 , 36384.790 35539.563 35601.503 35657.375 36451.207 35392.770 35464.064 35508.740 36451.707 35425.355 35195.382 35385.975 36263.818 34985.310 35099.560 35268.880 35995.645 34820.509 34980.922 35351.048
tests/scala-library, 3263, 2017-10-05T15:51:15Z, d0c377b, 5982.724, Thu Oct  5 18:17:42 CEST 2017, 25691.967 10907.397 9008.598 7635.453 6945.333 6648.168 6416.960 6359.061 6310.711 6262.952 , 6155.127 6185.807 6068.964 6074.999 6067.682 6023.064 6178.356 6087.113 5991.446 5971.629 5928.037 5974.002 5961.793 5919.857 5901.812 6023.163 5928.085 5901.812 5964.138 5912.186
tests/implicit_cache.scala, 3263, 2017-10-05T15:51:15Z, d0c377b, 117.012, Thu Oct  5 18:18:19 CEST 2017, 3026.320 709.449 566.003 395.605 336.293 306.117 263.372 187.319 143.996 143.476 , 139.200 146.759 143.350 124.100 125.230 123.832 137.476 124.026 116.210 117.796 116.228 113.236 114.633 111.842 113.071 110.272 111.605 134.718 111.937 111.633
tests/implicit-scope-loop.scala, 3263, 2017-10-05T15:51:15Z, d0c377b, 127.3515, Thu Oct  5 18:18:55 CEST 2017, 2900.725 556.304 510.538 374.287 308.154 268.983 257.357 224.747 162.942 154.377 , 139.541 140.324 133.585 131.470 133.385 135.072 132.526 133.230 128.804 125.979 123.805 126.178 121.905 120.992 128.525 118.123 116.023 116.948 121.815 117.196
tests/i1535.scala, 3263, 2017-10-05T15:51:15Z, d0c377b, 151.588, Thu Oct  5 18:19:33 CEST 2017, 3605.534 1082.129 616.190 622.103 555.881 377.104 316.220 334.990 320.853 225.774 , 207.700 185.910 165.049 161.715 157.634 152.538 148.409 150.680 148.412 148.483 152.496 159.583 155.387 144.904 141.514 141.301 141.184 137.261 136.989 158.543
tests/i1687.scala, 3263, 2017-10-05T15:51:15Z, d0c377b, 96.763, Thu Oct  5 18:20:09 CEST 2017, 2802.940 454.778 398.588 361.189 302.076 240.964 179.267 136.236 117.376 136.307 , 107.543 107.784 104.395 106.765 101.861 100.787 102.001 100.847 99.323 96.130 95.970 95.710 93.354 97.396 93.426 95.003 93.393 93.396 93.864 92.718
tests/Vector.scala, 3263, 2017-10-05T15:51:15Z, d0c377b, 587.7355, Thu Oct  5 18:23:52 CEST 2017, 7013.764 2277.865 1921.122 1852.757 1758.729 1543.743 1078.099 1349.414 1083.194 900.909 816.151 789.382 750.007 716.862 693.094 944.056 887.706 655.348 629.580 636.210 7059.057 2135.426 1720.376 2075.237 1873.644 1741.463 1568.994 1027.499 982.180 918.557 923.184 869.407 746.452 736.545 698.659 828.192 682.771 687.514 670.170 644.313 8033.665 2848.101 2517.536 2089.143 1880.136 1695.389 1517.540 1362.690 1125.047 1230.250 1130.785 784.144 726.666 695.068 701.691 676.815 669.474 673.710 654.085 631.174 , 642.868 607.981 625.843 607.014 618.011 607.167 679.847 581.921 577.775 607.430 572.369 567.406 571.002 589.049 568.166 563.663 578.916 567.613 559.589 558.237 563.670 556.827 565.728 570.881 547.473 563.660 548.138 561.127 548.972 546.775 654.924 640.603 657.382 616.229 611.154 624.084 602.757 594.221 585.244 605.335 588.186 582.562 594.434 584.144 667.524 579.780 593.636 574.988 571.712 577.479 571.117 570.099 578.293 611.009 564.472 581.971 591.119 635.683 569.466 565.402 636.910 626.483 678.896 853.872 634.924 629.861 649.522 618.816 600.432 604.716 585.012 601.610 588.748 576.198 593.636 662.610 608.432 584.207 597.245 574.805 573.531 596.312 594.166 666.231 587.285 573.601 562.988 561.000 644.219 570.200
tests/empty-class.scala, 3263, 2017-10-05T15:51:15Z, d0c377b, 77.497, Thu Oct  5 18:24:27 CEST 2017, 2532.540 310.252 307.821 204.933 230.943 156.076 125.883 108.301 113.689 86.171 , 82.397 80.541 83.158 79.428 81.296 79.851 79.729 77.837 79.491 76.948 77.926 76.008 77.054 75.200 77.157 75.097 76.132 74.413 76.616 74.231
tests/empty-object.scala, 3263, 2017-10-05T15:51:15Z, d0c377b, 79.153, Thu Oct  5 18:25:02 CEST 2017, 2466.725 349.447 325.404 281.989 179.612 176.198 187.079 125.982 114.264 96.306 , 87.012 81.914 81.902 83.346 79.918 81.354 79.677 80.254 78.018 79.668 78.638 79.846 77.925 77.599 77.410 78.116 75.886 76.615 75.026 77.541
tests/empty-file.scala, 3263, 2017-10-05T15:51:15Z, d0c377b, 61.9935, Thu Oct  5 18:25:36 CEST 2017, 2060.284 299.460 195.902 202.347 177.142 161.741 136.898 111.288 81.165 74.218 , 69.919 64.450 65.309 62.562 63.054 63.293 61.370 62.713 61.750 61.850 60.395 62.372 60.000 61.345 62.137 59.571 60.661 59.271 62.843 59.597
tests/patmatexhaust.scala, 3263, 2017-10-05T15:51:15Z, d0c377b, 324.744, Thu Oct  5 18:29:36 CEST 2017, 5980.823 1880.318 1417.996 1316.162 1060.127 911.052 835.247 783.924 704.539 648.787 588.496 552.075 502.300 501.931 487.234 461.490 461.746 381.565 373.506 358.493 5189.847 2275.510 1748.084 1487.434 1141.226 1028.485 1041.944 779.484 719.937 668.989 630.820 504.244 490.598 451.255 439.640 412.158 423.380 388.107 366.615 366.523 5924.339 2049.227 1446.857 1294.036 1187.685 1100.938 900.620 763.791 695.600 655.711 774.506 638.107 517.187 516.309 506.690 572.965 398.038 393.901 396.979 378.725 , 358.238 363.021 351.114 347.185 342.598 349.176 424.859 381.766 348.164 356.485 341.477 328.176 329.152 325.730 327.146 330.034 362.377 331.476 360.250 371.113 316.333 317.477 307.213 309.661 322.181 326.218 314.970 310.020 305.442 313.316 313.743 302.750 343.673 341.051 299.518 311.535 297.842 313.970 299.057 294.860 368.908 364.369 351.395 354.018 353.738 350.549 340.958 354.751 342.594 331.010 335.525 328.755 322.900 323.758 342.122 328.658 323.202 321.308 318.860 321.775 318.911 310.286 313.733 321.638 317.463 316.889 307.224 304.235 311.795 308.058 303.727 307.432 301.482 307.903 303.572 296.092 299.537 296.417 295.566 302.962 374.203 376.942 379.135 366.870 361.767 355.321 360.086 353.722 351.376 359.017 343.387 339.850 343.209 343.154 332.906 334.631 338.862 375.270 405.603 418.259 385.026 322.191 328.647 326.057 315.917 319.797 319.304 316.930 315.205 310.732 306.537 323.103 306.434 302.670 314.379 302.873 310.787 306.432 300.860 305.975
