dotty, 3867, 2018-01-18T19:01:34Z, e6664ed, 34121.62, Thu Jan 18 20:35:36 CET 2018, 77873.105 42943.366 38057.253 36585.909 36232.219 36039.867 35281.627 35049.283 34888.119 35656.277 34632.087 34601.880 34592.385 35426.851 34356.455 34492.281 34200.197 35113.058 34034.660 34371.051 34299.566 34978.688 34196.932 34133.728 34108.890 34980.273 34102.638 34171.834 34213.951 34849.790 , 34050.062 34104.332 34184.681 35003.020 34126.677 34018.293 34123.161 34979.499 34120.079 34052.814 34128.228 34911.380 33875.125 33977.902 34143.798 34889.938 34104.701 34034.002 34114.706 35009.832
tests/scala-library, 3867, 2018-01-18T19:01:34Z, e6664ed, 5524.4245, Thu Jan 18 20:41:08 CET 2018, 25812.770 12008.769 7783.205 7350.504 6571.376 6221.954 6071.332 5945.171 5919.223 5970.270 5840.715 5830.882 5751.118 5760.831 5704.889 5654.001 5681.855 5659.275 5657.438 5666.046 5628.047 5734.339 5635.286 5661.836 5567.905 5569.819 5682.128 5596.642 5600.977 5566.366 , 5546.565 5595.942 5593.332 5544.274 5502.155 5493.091 5541.241 5505.958 5512.698 5523.181 5523.671 5551.138 5546.831 5575.465 5537.357 5501.099 5525.178 5522.678 5507.491 5500.420
tests/implicit_cache.scala, 3867, 2018-01-18T19:01:34Z, e6664ed, 97.358, Thu Jan 18 20:42:19 CET 2018, 2963.435 528.407 541.989 393.753 349.405 319.312 258.896 179.982 200.082 171.401 129.832 127.176 115.203 114.797 111.421 113.572 108.408 110.013 109.411 111.966 107.981 104.980 104.832 102.850 101.603 102.482 102.475 102.087 99.783 101.581 , 103.205 114.476 123.052 102.135 104.050 97.587 98.407 96.368 98.605 95.348 99.008 94.572 94.905 96.057 96.450 97.129 96.412 99.294 94.420 93.903
tests/implicit-scope-loop.scala, 3867, 2018-01-18T19:01:34Z, e6664ed, 102.003, Thu Jan 18 20:43:31 CET 2018, 2818.884 715.402 413.117 309.939 298.363 227.613 179.644 149.922 138.771 144.407 132.151 127.295 130.795 130.685 144.052 114.988 115.420 115.349 111.718 118.429 116.269 114.410 112.154 111.196 111.845 107.464 110.186 137.675 103.950 106.075 , 102.499 103.492 105.475 104.608 104.957 101.008 102.687 102.600 101.997 104.066 100.514 101.744 98.684 102.009 99.196 105.550 98.009 97.298 99.557 98.162
tests/i1535.scala, 3867, 2018-01-18T19:01:34Z, e6664ed, 111.0115, Thu Jan 18 20:44:44 CET 2018, 3335.826 866.013 531.366 416.712 303.181 322.288 272.109 186.854 171.445 203.606 163.474 145.868 135.705 137.177 137.527 129.857 131.048 131.052 125.583 122.395 125.058 123.314 129.739 122.949 121.027 115.587 117.766 117.429 114.133 125.255 , 116.472 112.372 111.657 112.550 110.148 112.150 113.822 108.631 107.719 110.369 108.155 107.318 111.489 106.981 119.821 121.906 110.534 116.307 107.698 106.764
tests/i1687.scala, 3867, 2018-01-18T19:01:34Z, e6664ed, 67.7675, Thu Jan 18 20:45:54 CET 2018, 2593.175 415.677 273.026 250.813 235.574 154.410 154.404 108.211 106.161 85.313 82.672 82.210 80.024 89.965 79.517 81.780 80.639 76.267 73.783 75.222 73.664 80.128 73.010 71.595 72.967 70.397 71.693 70.218 70.102 69.024 , 68.666 69.397 68.301 70.462 71.326 73.058 67.662 68.704 68.578 67.872 67.695 67.840 67.494 66.558 67.428 66.459 66.001 67.217 66.121 67.217
tests/Vector.scala, 3867, 2018-01-18T19:01:34Z, e6664ed, 559.774, Thu Jan 18 20:49:42 CET 2018, 6622.087 2396.882 2402.357 2001.384 1478.309 1188.971 1582.553 1353.386 1009.009 1040.587 929.665 875.446 797.950 823.707 733.753 698.374 733.726 894.205 756.449 687.589 7571.420 2115.881 1700.821 1532.342 1899.383 1546.172 1128.266 1111.696 1388.544 910.251 781.152 699.885 756.957 673.965 673.635 656.398 635.282 612.525 679.852 609.375 6693.961 2378.635 1912.535 1743.901 1903.086 1248.463 1642.297 1119.355 1008.105 973.782 1060.070 882.970 926.964 675.979 679.976 660.074 640.723 655.530 621.286 613.554 , 641.626 651.390 642.558 613.887 620.131 611.970 624.318 628.300 589.831 568.348 569.897 563.696 580.874 570.319 569.763 566.566 573.066 556.087 559.338 556.098 564.154 550.650 551.412 549.721 561.092 554.651 597.680 553.442 560.210 545.386 638.990 591.290 592.331 649.430 603.740 595.993 571.848 560.469 565.602 554.879 548.235 557.299 572.772 545.880 546.481 550.790 541.548 536.322 540.570 534.226 527.658 534.406 531.589 667.671 530.880 533.582 525.605 574.969 523.247 520.821 599.017 618.043 598.970 598.091 587.182 579.146 584.451 558.500 561.016 551.821 579.650 545.919 568.582 583.329 577.666 540.342 555.864 541.183 542.346 536.015 545.792 534.234 537.414 536.156 556.006 521.643 523.725 527.504 550.447 526.013
tests/empty-class.scala, 3867, 2018-01-18T19:01:34Z, e6664ed, 54.936, Thu Jan 18 20:50:50 CET 2018, 2364.409 265.669 221.252 168.303 135.876 119.027 134.970 94.887 76.120 77.592 70.977 69.352 65.895 65.530 60.607 64.887 66.817 61.741 59.396 59.722 58.040 57.654 56.972 57.349 56.070 57.038 56.220 56.592 56.201 56.554 , 55.425 56.398 54.484 55.152 55.306 55.378 54.094 54.680 53.967 59.308 54.194 57.656 53.465 55.114 55.014 55.438 53.477 54.858 53.240 53.586
tests/empty-object.scala, 3867, 2018-01-18T19:01:34Z, e6664ed, 54.612, Thu Jan 18 20:51:59 CET 2018, 2276.717 278.719 205.429 147.584 121.979 137.588 127.653 86.831 73.074 69.315 72.837 69.296 66.308 60.890 62.228 59.522 59.285 61.741 58.393 59.336 57.855 60.751 58.328 56.831 57.073 57.519 55.723 57.843 55.469 56.424 , 59.696 57.512 54.777 55.805 55.597 55.168 54.259 54.722 55.110 54.559 54.032 54.855 53.796 54.665 53.846 54.106 53.688 53.886 53.557 54.185
tests/empty-file.scala, 3867, 2018-01-18T19:01:34Z, e6664ed, 38.7045, Thu Jan 18 20:53:07 CET 2018, 1643.155 185.985 155.484 122.146 105.686 77.366 59.764 55.237 56.277 51.425 45.820 47.661 43.519 41.437 41.597 40.447 40.729 39.747 40.515 39.640 40.820 39.802 44.931 40.063 39.025 40.121 38.979 39.530 38.947 40.153 , 40.479 38.432 39.349 38.914 39.317 38.703 38.983 38.866 38.444 38.869 39.599 38.630 38.972 38.265 38.706 38.435 38.632 38.149 38.172 38.623
tests/patmatexhaust.scala, 3867, 2018-01-18T19:01:34Z, e6664ed, 277.2495, Thu Jan 18 20:57:09 CET 2018, 5561.111 1975.624 1480.849 1040.462 1077.987 1043.576 820.282 767.525 712.444 686.099 656.620 608.662 527.244 419.582 388.683 373.304 372.583 348.454 343.792 329.897 5045.986 1990.298 1624.281 1374.658 1029.303 863.556 868.496 735.503 659.856 522.557 560.905 511.064 422.541 389.012 369.214 427.594 371.220 338.129 328.741 339.067 5374.625 1808.332 1625.066 1025.655 1014.784 802.725 698.562 635.171 587.325 504.446 541.878 578.366 589.707 461.465 422.661 365.349 362.459 350.921 336.773 340.367 , 364.001 319.968 315.089 312.813 307.564 301.002 301.058 313.378 294.355 292.484 290.979 284.377 283.683 286.434 281.344 278.384 283.929 298.880 281.943 289.071 273.362 280.271 272.996 277.212 268.868 266.997 276.946 265.823 263.336 268.087 259.281 268.037 265.395 258.704 264.297 258.662 264.630 260.976 256.469 262.070 343.817 402.949 402.793 433.506 351.480 308.711 297.901 297.357 288.622 378.053 297.209 297.866 301.159 283.680 279.436 272.415 282.019 273.343 270.467 267.728 284.658 268.275 267.836 270.279 264.248 263.113 270.484 273.721 261.736 265.302 258.012 258.711 260.236 259.767 259.214 254.397 260.066 256.047 254.103 260.811 385.553 322.223 319.248 315.554 310.257 314.620 370.778 304.168 298.307 287.444 297.151 364.912 338.416 300.117 305.239 288.155 288.015 306.781 309.793 277.287 305.210 274.235 277.389 276.406 275.167 269.218 276.749 275.948 267.459 265.324 270.530 266.272 268.342 266.404 261.912 262.789 266.208 265.204 261.374 262.463
