dotty, 3287, 2017-10-08T18:16:07Z, 0baf589, 34750.18, Sun Oct  8 20:38:46 CEST 2017, 78152.285 41616.411 37582.451 36820.806 36840.935 36324.671 35511.581 35230.447 35442.706 36378.153 , 34969.573 35066.505 35116.462 35994.585 34779.405 34684.915 35093.880 35855.709 34692.513 34562.671 34720.955 35784.101 34484.704 34373.968 34520.877 35411.220 34327.167 34479.460 34567.268 35508.238
tests/scala-library, 3287, 2017-10-08T18:16:07Z, 0baf589, 5890.0915, Sun Oct  8 20:42:16 CEST 2017, 24703.562 10386.002 9300.446 7256.398 7050.141 6313.186 6149.130 6134.001 6092.855 6028.795 , 6396.277 5921.072 5865.811 5925.686 5968.834 6033.925 5914.372 6011.461 6074.092 6265.678 5856.062 5974.360 5836.189 5810.160 5740.244 5795.660 5792.615 5760.111 5797.190 5809.656
tests/implicit_cache.scala, 3287, 2017-10-08T18:16:07Z, 0baf589, 117.02, Sun Oct  8 20:42:52 CEST 2017, 2789.496 689.428 468.863 386.846 269.621 183.479 209.056 155.391 144.370 136.889 , 133.606 131.657 132.072 125.307 120.446 118.724 120.349 122.131 143.207 117.931 113.688 115.989 112.958 114.384 110.650 113.059 112.041 109.454 116.109 112.071
tests/implicit-scope-loop.scala, 3287, 2017-10-08T18:16:07Z, 0baf589, 120.458, Sun Oct  8 20:43:28 CEST 2017, 2857.568 589.495 537.267 401.181 290.244 279.155 253.564 209.321 156.986 159.144 , 144.388 133.841 134.746 128.185 127.160 123.147 122.449 122.842 119.537 121.211 119.705 119.407 118.475 116.151 129.364 115.214 115.848 113.792 113.403 117.113
tests/i1535.scala, 3287, 2017-10-08T18:16:07Z, 0baf589, 148.0955, Sun Oct  8 20:44:06 CEST 2017, 3614.744 788.836 542.847 425.448 388.721 315.691 336.110 282.856 269.592 192.934 , 169.952 181.247 160.126 159.370 170.172 150.562 148.863 150.616 146.781 147.328 152.259 142.207 141.105 151.743 139.498 138.809 142.309 135.896 138.332 145.791
tests/i1687.scala, 3287, 2017-10-08T18:16:07Z, 0baf589, 99.682, Sun Oct  8 20:44:41 CEST 2017, 2762.271 563.137 500.231 404.357 315.793 252.519 217.523 153.586 135.354 114.381 , 108.551 107.338 107.948 105.487 103.986 102.359 101.884 113.237 101.650 100.883 97.826 96.311 94.384 93.709 95.563 97.770 98.481 95.842 93.432 91.918
tests/Vector.scala, 3287, 2017-10-08T18:16:07Z, 0baf589, 569.5795, Sun Oct  8 20:48:17 CEST 2017, 7268.724 2045.792 1880.210 1528.213 1585.229 1715.191 1190.920 945.376 1193.047 1027.909 832.422 803.664 804.128 715.741 686.502 695.963 670.121 655.491 639.946 746.698 7348.885 2893.754 2293.073 1434.701 1743.709 1560.349 1449.245 1004.000 857.967 755.522 927.584 714.092 678.003 697.901 798.867 636.942 701.257 640.374 632.117 607.483 7569.172 2451.016 2214.413 1286.992 1171.006 1428.902 1501.527 1380.851 1319.307 1032.454 790.313 1054.867 699.302 664.828 663.672 637.805 672.467 718.713 626.675 613.344 , 634.219 623.984 635.816 615.199 692.084 629.842 613.734 587.441 583.880 586.406 580.586 578.444 577.168 587.327 577.574 572.410 588.577 574.249 570.779 563.787 572.147 566.209 570.551 589.173 559.037 561.479 561.384 572.618 557.880 559.711 601.883 611.099 590.056 578.302 597.720 583.025 627.978 633.751 561.702 563.493 573.965 576.320 560.307 558.290 564.341 557.552 551.927 555.192 543.873 543.180 574.947 559.645 558.984 543.181 556.497 545.453 544.936 548.993 692.231 596.533 620.895 590.721 594.828 590.065 606.754 572.417 568.131 575.799 557.832 568.608 559.086 597.929 547.012 548.673 586.146 551.919 551.034 551.795 559.550 540.279 538.427 549.030 539.344 539.629 549.886 544.845 533.554 534.027 547.067 535.412
tests/empty-class.scala, 3287, 2017-10-08T18:16:07Z, 0baf589, 76.0175, Sun Oct  8 20:48:52 CEST 2017, 2298.538 314.293 214.740 181.974 157.767 150.919 115.065 107.135 94.984 82.846 , 82.061 79.457 78.136 77.298 78.890 75.842 77.718 75.867 77.897 76.945 76.079 74.261 75.310 74.703 75.814 75.956 72.965 76.396 73.026 75.027
tests/empty-object.scala, 3287, 2017-10-08T18:16:07Z, 0baf589, 78.5585, Sun Oct  8 20:49:27 CEST 2017, 2377.186 441.016 233.705 208.370 177.231 145.463 126.236 100.978 92.506 83.167 , 86.406 82.285 81.450 78.578 80.300 77.225 78.539 76.648 76.990 78.383 86.019 79.505 78.763 76.273 80.335 78.369 94.884 74.517 75.186 74.428
tests/empty-file.scala, 3287, 2017-10-08T18:16:07Z, 0baf589, 60.3845, Sun Oct  8 20:50:01 CEST 2017, 2019.648 265.496 260.558 212.254 179.968 136.229 97.019 72.969 76.177 65.945 , 64.128 64.233 62.464 63.125 61.199 62.909 61.927 60.463 61.205 59.840 61.051 59.682 60.269 59.177 60.225 60.306 58.773 60.124 58.528 60.002
tests/patmatexhaust.scala, 3287, 2017-10-08T18:16:07Z, 0baf589, 310.997, Sun Oct  8 20:54:00 CEST 2017, 5421.838 1996.172 1651.875 1251.885 1267.106 1076.688 866.756 830.836 755.547 521.118 570.335 648.673 621.915 463.738 401.397 396.817 375.738 367.303 370.388 349.172 5103.462 2209.131 1597.627 1497.732 1254.629 1140.724 816.440 698.776 628.521 669.410 569.866 666.872 453.812 434.652 415.016 419.683 388.328 368.790 414.570 388.320 5388.278 2015.144 1391.326 1023.187 1074.427 1082.047 756.463 646.086 818.493 538.876 700.585 621.714 442.392 424.616 452.101 389.998 394.825 427.067 394.737 359.464 , 350.552 340.224 345.058 385.070 335.616 331.679 327.251 375.986 325.167 317.569 313.792 324.213 316.789 310.635 313.893 314.156 309.313 308.951 314.489 324.906 299.950 301.476 307.348 300.194 358.424 341.683 310.851 297.048 306.721 289.708 289.465 292.667 286.991 293.771 285.914 285.315 290.641 286.156 284.023 293.007 357.654 360.673 345.666 338.202 409.845 363.683 348.975 322.024 325.091 322.971 311.753 318.840 317.189 350.968 434.645 322.485 345.801 330.982 318.764 308.655 311.448 310.835 307.666 311.061 302.123 303.608 294.658 295.528 306.870 296.060 293.124 302.531 289.053 300.419 286.403 285.045 337.042 285.718 284.329 293.682 354.881 358.670 344.079 342.567 479.659 403.086 382.564 343.981 416.789 328.419 316.571 346.559 315.931 307.528 310.933 305.573 302.681 314.151 382.810 348.713 355.831 303.110 324.012 361.769 303.892 301.955 304.399 295.252 292.567 301.885 292.586 297.299 291.513 289.551 301.600 287.542 283.845 290.994 308.148 289.686
tests/exhaustivity-I.scala, 3287, 2017-10-08T18:16:07Z, 0baf589, 187.924, Sun Oct  8 20:57:37 CEST 2017, 4033.780 1592.883 1260.896 890.233 832.482 617.588 622.467 401.210 341.553 298.242 375.120 264.835 253.332 285.243 300.659 230.057 232.389 215.609 213.044 212.112 4037.208 1500.531 846.183 754.168 642.973 463.257 398.608 341.013 343.831 338.466 384.905 356.429 254.486 265.080 230.214 225.070 220.460 214.524 213.846 244.215 3996.013 1603.620 1204.323 926.102 672.863 668.228 598.721 529.542 429.610 391.495 353.611 320.777 337.325 367.465 292.768 242.326 275.097 257.031 211.343 209.699 , 205.599 204.309 207.387 199.638 199.895 197.982 193.958 196.090 193.963 191.662 189.552 191.669 220.608 190.399 190.417 187.770 188.078 192.942 190.851 189.631 184.877 183.914 184.651 183.655 186.060 181.112 180.968 183.769 176.154 179.114 178.179 178.313 182.940 176.677 177.345 176.029 175.998 177.549 175.379 177.132 204.386 207.140 199.421 200.108 198.979 192.640 191.836 196.007 204.146 195.872 188.822 187.046 190.647 186.039 189.458 186.564 190.924 191.415 206.077 214.632 191.028 180.884 181.969 182.164 181.215 179.027 178.892 181.293 176.332 178.226 176.182 175.818 181.608 176.140 175.663 172.374 172.709 174.388 172.455 177.540 215.923 203.280 201.816 201.888 198.915 195.977 225.026 197.002 201.552 204.143 196.687 192.617 188.167 192.540 194.602 186.360 192.414 189.972 244.888 250.536 196.989 199.325 184.001 182.687 181.890 186.169 186.727 179.403 177.852 179.893 177.210 177.789 173.964 194.432 194.337 177.978 178.243 173.535 173.239 175.723
