dotty, 3233, 2017-10-03T11:58:06Z, 94ed64b, 36958.9765, Tue Oct  3 14:21:42 CEST 2017, 78697.113 44340.558 39208.446 38971.550 38425.157 38567.449 37326.793 37405.056 37740.296 38334.307 , 37666.188 36930.611 37200.773 38054.112 36748.922 36890.052 37180.581 37844.204 36451.001 36593.102 36987.342 37497.414 36473.318 36385.433 36873.934 37283.757 36385.370 36461.873 37038.898 37417.056
tests/scala-library, 3233, 2017-10-03T11:58:06Z, 94ed64b, 6355.39, Tue Oct  3 14:25:24 CEST 2017, 24464.548 11073.173 8666.657 7342.012 7069.323 6866.675 6810.509 6691.461 6640.448 6521.055 , 6535.886 6719.247 6432.424 6374.717 6433.098 6403.699 6378.183 6559.983 6296.234 6325.586 6372.147 6737.282 6338.633 6263.153 6275.674 6269.058 6277.717 6289.038 6255.908 6295.984
tests/implicit_cache.scala, 3233, 2017-10-03T11:58:06Z, 94ed64b, 145.6285, Tue Oct  3 14:26:00 CEST 2017, 2943.173 527.010 439.940 356.591 310.573 274.649 297.148 220.524 219.444 177.429 , 177.966 175.622 146.212 152.949 147.109 141.120 142.204 161.468 145.258 147.050 141.221 141.927 167.463 145.999 142.217 133.076 158.141 131.807 133.060 128.750
tests/implicit-scope-loop.scala, 3233, 2017-10-03T11:58:06Z, 94ed64b, 141.224, Tue Oct  3 14:26:37 CEST 2017, 2929.676 562.084 544.750 412.518 344.961 303.863 285.999 185.864 184.986 165.955 , 168.412 159.650 169.495 152.353 145.111 145.723 143.708 144.262 141.392 138.878 140.537 140.805 140.661 141.056 144.803 140.380 134.856 133.310 135.405 132.679
tests/i1535.scala, 3233, 2017-10-03T11:58:06Z, 94ed64b, 176.731, Tue Oct  3 14:27:15 CEST 2017, 3310.781 708.736 718.595 571.462 452.602 438.502 381.101 369.131 341.122 308.839 , 274.937 196.090 190.354 263.701 188.746 191.015 177.669 179.830 175.080 182.473 172.992 174.728 174.952 177.071 170.628 167.479 168.800 168.831 171.033 176.391
tests/i1687.scala, 3233, 2017-10-03T11:58:06Z, 94ed64b, 120.0335, Tue Oct  3 14:27:51 CEST 2017, 2818.979 554.354 371.466 298.240 259.166 318.507 237.752 223.702 209.365 201.023 , 170.607 128.330 125.009 123.910 122.552 131.726 147.186 128.675 118.247 116.764 116.747 120.197 124.076 118.701 119.708 112.770 114.157 115.337 119.870 114.226
tests/Vector.scala, 3233, 2017-10-03T11:58:06Z, 94ed64b, 638.4265, Tue Oct  3 14:31:44 CEST 2017, 7454.987 2931.469 1913.176 1565.897 1868.559 1856.021 1715.195 1345.883 1068.738 965.673 1110.590 999.224 791.947 840.782 728.439 737.639 738.968 697.121 696.580 678.570 7416.556 2260.140 1824.451 1720.412 1430.804 1312.036 1236.947 1184.073 1102.368 1020.022 1471.137 1252.587 944.710 857.299 781.885 752.144 748.693 748.310 727.391 777.646 8048.963 2513.797 1745.915 1583.017 1417.179 1311.189 1812.062 1718.785 1592.710 1469.535 1214.341 1044.981 833.015 747.518 712.564 810.417 708.709 656.233 653.447 660.331 , 673.291 679.218 825.470 703.281 707.144 643.673 694.814 641.056 668.417 645.342 634.230 646.571 627.213 633.238 629.797 636.447 633.120 738.858 622.173 633.300 612.860 611.524 640.406 689.533 623.166 610.268 659.999 629.374 618.292 643.158 723.068 706.714 818.943 682.625 768.967 669.528 669.668 696.072 681.448 668.782 651.418 1005.794 751.171 657.572 678.695 668.349 649.274 631.343 653.959 689.898 631.351 620.968 608.976 617.477 627.459 624.278 621.923 617.960 616.745 621.635 649.423 658.634 664.914 648.688 881.060 644.147 652.026 634.346 634.268 640.565 619.018 618.916 657.601 611.835 624.714 646.638 625.337 619.774 604.426 616.250 594.711 597.901 613.060 609.893 623.586 596.646 594.797 596.954 602.189 596.126
tests/empty-class.scala, 3233, 2017-10-03T11:58:06Z, 94ed64b, 94.99, Tue Oct  3 14:32:18 CEST 2017, 2392.650 376.972 358.398 295.587 250.422 162.422 134.506 120.087 108.617 104.354 , 101.436 105.050 98.398 97.016 97.127 96.085 95.579 94.401 93.513 93.716 93.718 93.145 93.399 105.751 92.274 91.779 104.902 104.862 92.617 92.817
tests/empty-object.scala, 3233, 2017-10-03T11:58:06Z, 94ed64b, 97.475, Tue Oct  3 14:32:54 CEST 2017, 2461.343 457.460 279.402 235.236 201.106 216.571 184.390 126.620 131.406 106.064 , 103.344 101.795 100.171 100.613 100.437 98.197 98.344 98.195 106.198 97.380 96.391 94.613 96.239 96.412 95.624 97.570 95.860 96.229 95.274 94.282
tests/empty-file.scala, 3233, 2017-10-03T11:58:06Z, 94ed64b, 76.987, Tue Oct  3 14:33:29 CEST 2017, 2035.753 286.220 274.075 228.723 191.364 164.289 146.449 115.277 91.135 86.460 , 82.219 83.019 79.624 79.552 94.470 78.567 78.028 77.735 77.140 76.464 76.700 76.025 76.332 75.934 76.834 76.196 80.857 75.589 75.586 75.090
tests/patmatexhaust.scala, 3233, 2017-10-03T11:58:06Z, 94ed64b, 342.205, Tue Oct  3 14:37:24 CEST 2017, 5359.457 2280.331 1752.347 1493.212 1326.668 1003.911 776.316 975.948 891.684 785.717 624.425 558.002 481.665 549.199 656.700 539.926 516.633 424.858 402.262 408.855 5788.360 1616.611 1270.941 1219.405 1394.134 1215.115 1123.854 1054.495 952.171 898.268 833.064 721.509 507.508 472.968 646.604 465.060 424.070 419.733 402.500 405.716 5326.924 2047.456 1749.109 1121.930 1306.860 1236.971 1068.229 958.429 723.458 681.334 618.824 641.316 521.922 573.451 601.323 496.323 472.117 490.656 442.905 441.016 , 398.505 379.539 385.747 394.951 378.421 365.970 360.554 360.532 357.228 354.594 350.219 346.158 364.402 340.167 345.767 342.238 341.973 339.363 334.479 336.647 332.299 334.179 333.433 342.501 324.049 323.831 319.518 330.174 322.587 319.880 319.992 314.185 321.850 317.522 317.730 315.868 315.913 313.898 314.522 311.004 414.464 384.265 386.729 374.304 374.437 362.926 360.581 353.293 353.287 354.303 370.060 360.710 344.205 339.693 340.434 338.423 348.317 337.471 337.306 340.301 336.217 337.152 335.129 358.675 403.156 353.702 357.393 359.587 335.277 371.550 340.138 352.565 334.929 340.908 319.966 390.788 348.667 321.448 354.987 321.753 379.354 385.511 383.121 376.321 380.967 368.612 365.833 359.143 356.817 356.669 349.002 358.559 401.635 340.862 379.330 444.830 381.449 359.820 359.060 342.944 342.172 341.543 338.796 347.096 330.084 326.233 326.531 327.295 326.082 324.179 321.198 328.040 324.508 326.182 319.702 320.403 321.964 317.472 320.127 314.897
tests/exhaustivity-I.scala, 3233, 2017-10-03T11:58:06Z, 94ed64b, 209.461, Tue Oct  3 14:41:01 CEST 2017, 4007.671 1593.104 1260.471 929.494 717.272 693.511 508.365 557.580 532.202 426.882 315.752 290.734 283.468 267.680 266.445 253.113 286.265 289.236 257.789 234.016 4163.585 1608.782 1198.038 781.353 783.670 614.439 621.678 585.948 536.752 404.594 365.397 319.322 285.318 266.680 295.725 253.975 254.205 234.727 236.099 232.063 4606.148 1205.455 875.104 779.798 620.593 507.340 458.323 582.882 546.060 444.344 431.501 302.967 392.043 334.371 339.286 244.653 242.684 229.422 231.630 227.966 , 280.493 226.992 221.978 216.217 217.815 215.037 214.991 218.048 207.737 210.203 208.873 223.419 211.339 204.143 205.831 205.290 204.024 203.142 203.995 203.746 204.264 209.433 258.208 284.329 233.493 209.627 195.988 198.428 203.636 195.403 198.655 201.104 192.332 192.094 191.406 194.303 191.610 192.584 192.073 190.535 232.668 222.335 241.489 221.414 223.787 250.700 231.313 221.835 209.715 212.989 210.870 210.159 218.618 210.125 217.198 204.394 207.228 206.280 203.890 204.875 205.716 259.085 240.084 206.832 205.297 205.283 246.104 215.311 204.586 198.619 198.379 226.318 212.181 197.052 197.342 199.564 209.489 211.133 203.249 195.863 222.318 223.482 220.249 226.032 217.900 218.827 241.862 227.891 229.806 219.831 223.986 214.929 214.244 215.480 210.876 209.755 207.158 209.829 207.894 207.682 208.727 211.974 211.398 206.130 205.718 204.178 204.271 207.184 202.376 203.953 204.684 202.598 202.728 203.816 212.208 201.753 200.489 215.919 220.143 197.855
tests/exhaustivity-S.scala, 3233, 2017-10-03T11:58:06Z, 94ed64b, 308.2565, Tue Oct  3 14:44:48 CEST 2017, 4157.917 1161.660 841.949 955.084 755.004 567.508 467.440 454.055 457.295 435.281 460.207 395.879 470.072 402.086 411.425 408.910 395.884 373.926 385.289 388.804 4132.703 1194.191 736.837 605.141 526.488 496.016 495.092 581.374 455.961 367.638 474.179 351.166 339.250 338.472 331.200 328.075 341.382 345.681 355.345 322.977 4205.302 1428.221 670.800 729.241 585.575 590.203 516.882 580.539 376.232 445.391 365.678 340.756 346.296 396.704 378.008 326.228 340.048 313.429 312.452 312.774 , 379.143 380.204 372.056 370.220 364.678 360.677 358.560 360.208 357.037 355.771 404.140 357.581 353.710 535.393 369.064 356.475 352.363 354.889 352.960 352.163 351.030 351.576 359.395 349.043 391.621 367.281 349.755 348.849 349.450 353.534 452.114 351.815 354.009 355.366 381.510 360.266 349.183 351.990 345.171 361.525 317.522 316.963 315.660 314.978 313.963 312.655 314.911 311.836 307.814 316.495 308.558 307.955 306.518 306.869 305.541 304.984 304.490 307.941 315.890 304.363 302.314 337.866 304.773 312.562 302.199 301.222 301.900 300.120 301.467 300.068 301.818 321.661 305.214 302.835 300.875 299.960 298.931 299.250 299.508 298.492 321.118 304.067 306.626 302.083 301.011 303.585 302.065 362.352 301.902 319.314 298.647 301.919 294.809 296.802 297.200 302.118 302.784 307.365 296.602 292.345 291.666 290.200 290.454 292.377 303.716 343.053 306.271 291.999 294.758 290.074 288.382 288.867 287.925 352.086 358.174 290.006 299.355 293.121 287.397 288.095
tests/exhaustivity-T.scala, 3233, 2017-10-03T11:58:06Z, 94ed64b, 878.11, Tue Oct  3 14:49:35 CEST 2017, 4888.561 1865.067 1418.921 1200.983 1452.030 1646.046 1231.266 994.240 968.154 948.455 1137.684 943.290 905.059 896.972 882.995 956.654 880.724 864.672 862.887 854.273 4955.282 1772.581 1325.738 1252.252 1517.523 1114.028 1236.448 1232.315 1161.842 1430.138 1111.705 1023.479 973.445 950.820 946.505 935.347 923.910 925.034 1102.013 906.799 4906.554 2249.769 1777.320 1802.754 1819.010 1402.266 1346.167 1318.021 1283.492 1250.732 1201.152 1193.574 1184.642 1176.984 1178.119 1165.593 1152.504 1161.697 1312.223 1168.846 , 855.807 855.105 879.546 878.197 848.055 849.959 838.943 845.374 838.244 839.815 837.326 833.568 837.887 835.511 832.374 836.301 841.780 832.690 830.539 834.770 832.859 831.694 833.309 835.569 826.399 830.208 833.613 829.377 835.142 833.331 825.081 825.009 834.138 832.607 822.826 826.913 832.406 835.686 822.277 828.499 933.603 1104.897 926.331 901.206 891.267 903.465 889.718 886.031 902.833 891.803 909.417 898.711 882.212 888.001 886.900 897.421 902.670 877.458 878.023 877.341 877.808 870.329 874.809 870.346 872.378 873.952 870.072 867.903 868.722 873.853 867.279 866.042 871.033 865.908 920.265 869.076 864.230 866.841 868.514 875.089 1146.896 1139.132 1130.340 1137.688 1127.300 1140.471 1119.958 1122.463 1130.353 1128.939 1111.962 1112.274 1105.516 1106.772 1107.236 1110.499 1224.391 1391.566 1131.626 1113.115 1110.429 1092.749 1114.155 1395.506 1125.239 1114.513 1129.948 1088.341 1086.327 1085.982 1086.317 1090.692 1094.524 1096.522 1116.245 1112.474 1088.588 1084.745 1088.808 1087.275
tests/exhaustivity-V.scala, 3233, 2017-10-03T11:58:06Z, 94ed64b, 1939.5885, Tue Oct  3 14:56:41 CEST 2017, 6632.694 3006.802 2298.097 2179.353 2468.886 2583.328 2156.782 2133.902 2123.486 2092.697 2208.021 1987.208 2003.923 1977.515 1987.151 1964.845 1974.334 1976.975 2014.357 1975.021 6504.617 3494.505 3216.817 3441.775 3323.647 3055.250 3047.843 2898.610 3019.456 2835.979 2821.118 2812.905 2795.973 2835.797 2801.350 2780.481 2788.134 2775.654 2769.345 2803.831 6185.365 2879.685 2290.789 2243.414 2431.313 2185.856 2185.923 2098.239 2048.951 2128.369 2195.658 2111.002 1984.296 1974.209 1967.094 1953.437 1947.816 1956.720 1943.076 1942.279 , 1944.244 1947.141 1944.140 1936.322 1929.813 1981.743 1963.126 1978.671 1936.590 1955.784 1927.181 1919.033 1932.773 1915.144 1917.841 1923.590 1916.820 1924.844 1917.995 1911.020 1929.402 1938.855 1915.655 1906.697 1907.555 1922.733 1922.959 1911.288 1908.334 1962.169 1916.930 1902.576 1906.632 1906.636 1969.135 1942.733 1911.219 2098.369 1920.102 1904.961 2753.729 2781.233 2753.520 2750.167 2753.039 3072.124 2793.528 2742.369 2900.553 2750.459 2740.160 2738.418 2733.184 2738.401 2747.295 2729.267 2733.771 2735.514 2739.563 2743.061 2756.421 2731.560 2748.672 2729.259 2734.007 2736.223 2739.487 2724.886 2731.634 2771.949 2728.586 2739.860 2737.128 2782.214 2777.129 2757.001 2896.849 2757.950 2742.123 2737.743 1940.322 1933.059 1934.706 1928.478 1921.440 1943.872 1930.893 1938.591 1948.975 2169.209 1952.884 1932.280 1916.722 1907.562 1929.867 1953.145 1909.457 1916.230 1910.009 1912.801 1911.079 1898.659 1904.352 1907.373 1891.496 1913.954 2141.170 1909.564 1909.049 1922.612 1910.032 1912.046 1902.683 1978.651 1923.738 1941.432 1901.921 1911.103 1898.625 1893.100
tests/implicitNums.scala, 3233, 2017-10-03T11:58:06Z, 94ed64b, 880.984, Tue Oct  3 14:57:41 CEST 2017, 7841.051 2927.221 2057.433 1379.619 1312.198 1131.502 1196.990 1215.521 966.609 948.691 , 1162.672 923.551 955.015 902.964 926.758 887.127 884.907 880.951 881.017 887.179 878.567 886.747 872.355 875.463 863.783 868.683 868.570 874.184 877.173 869.275
