dotty, 2535, 2018-03-21T10:31:20Z, 2f78dac, 34126.6945, Wed Mar 21 12:06:11 CET 2018, 83786.987 41920.978 38292.199 36611.285 35679.661 35965.213 34923.719 34912.641 34969.476 35784.095 34755.755 34737.742 34628.181 35455.073 34373.398 34927.958 34423.807 35261.927 34437.808 34224.891 34106.005 35176.699 34026.660 34192.322 34150.880 35003.629 33927.452 34184.815 34073.266 34925.447 , 34044.696 34045.956 34154.619 34847.716 33953.516 34143.701 34048.813 34920.358 34166.353 34141.437 33980.346 34806.408 33976.289 34259.446 34111.952 34895.126 33973.595 34055.258 34063.003 34913.113
tests/scala-library, 2535, 2018-03-21T10:31:20Z, 2f78dac, 6647.3245, Wed Mar 21 12:12:38 CET 2018, 25564.788 13191.740 9344.565 9448.527 8398.165 7241.220 7109.586 7009.972 6948.537 7180.632 6829.482 7304.796 7065.653 6957.335 6863.647 6869.693 6965.761 6895.500 6738.590 6763.758 6755.306 6946.013 6704.270 6689.906 6677.469 6672.355 6683.633 6796.175 6773.613 6695.837 , 6679.307 6884.312 6729.461 6617.753 6676.753 6753.023 6650.504 6615.512 6615.091 6627.319 6601.538 6714.832 6722.631 6662.100 6688.623 6605.838 6605.939 6620.424 6583.340 6644.145
opts/scala-library, 2535, 2018-03-21T10:31:20Z, 2f78dac, 6552.96, Wed Mar 21 12:23:20 CET 2018, 27152.886 13195.757 9981.228 8385.017 7854.852 7276.750 7049.065 7033.319 7099.514 6909.140 6867.687 6858.865 6781.910 7206.302 7209.907 6737.760 6777.804 6657.241 6782.956 6701.689 6727.608 6767.627 6799.720 6622.952 6646.532 6658.520 6834.289 6622.683 6579.565 6597.668 , 6605.474 6770.484 6584.765 6551.964 6561.820 6750.711 6563.786 6559.545 6534.840 6506.574 6482.922 6531.237 6553.956 6791.900 6504.534 6501.296 6499.603 6449.117 6626.248 6526.356
tests/re2s, 2535, 2018-03-21T10:31:20Z, 2f78dac, 2778.6725, Wed Mar 21 12:26:22 CET 2018, 16304.583 6338.345 6055.596 4968.447 3423.217 3217.624 3155.393 3089.069 3055.942 3091.075 2987.114 2925.169 2918.313 3130.718 2915.287 2905.136 2903.172 2851.378 2840.507 3042.741 2815.703 2850.168 2855.837 2805.994 2810.336 2827.760 2799.268 2798.813 2826.300 2783.430 , 2784.718 2828.712 2791.003 2786.761 2792.850 2778.909 2761.052 2782.198 2770.924 2772.368 2826.958 2847.275 2804.116 2766.734 2734.694 2778.436 2761.322 2741.706 2763.262 2747.058
opts/re2s, 2535, 2018-03-21T10:31:20Z, 2f78dac, 2734.6735, Wed Mar 21 12:29:25 CET 2018, 14851.514 7156.206 6836.629 4622.741 3639.304 3351.991 3212.864 3107.164 3081.724 3510.568 2981.352 2910.318 2902.803 2968.903 2891.780 2931.389 3031.652 3160.166 2891.162 2998.080 2981.449 2925.470 2788.689 2799.246 2774.349 2774.461 2769.762 2793.049 2742.580 2782.811 , 2762.558 2782.141 2765.183 2767.028 2753.921 2736.455 2702.016 2732.892 2742.465 2742.177 2747.691 2711.032 2719.341 2748.001 2730.687 2729.433 2696.792 2724.428 2722.298 2725.644
tests/implicit_cache.scala, 2535, 2018-03-21T10:31:20Z, 2f78dac, 99.421, Wed Mar 21 12:30:36 CET 2018, 2922.399 516.453 527.940 425.452 361.819 284.018 207.152 172.694 153.472 139.454 127.674 123.284 121.521 116.434 115.118 111.892 111.136 115.177 109.000 111.174 107.553 108.267 104.942 103.900 108.580 104.485 106.490 105.553 106.546 108.504 , 106.690 103.738 101.678 103.487 99.933 103.169 99.431 100.335 101.885 99.411 99.684 96.840 98.174 96.089 99.320 96.202 97.620 98.023 95.964 94.343
opts/implicit_cache.scala, 2535, 2018-03-21T10:31:20Z, 2f78dac, 98.448, Wed Mar 21 12:31:47 CET 2018, 3056.077 557.739 474.155 404.212 348.976 263.375 217.831 211.155 161.047 138.175 156.128 138.121 119.444 115.729 136.997 114.728 121.812 117.728 117.224 111.540 114.042 104.861 106.299 103.177 115.400 102.268 102.449 103.550 101.186 102.946 , 100.877 100.636 100.454 102.641 101.196 98.235 103.754 98.661 101.090 96.209 98.717 96.441 97.603 95.537 95.791 96.881 94.982 111.677 95.738 96.673
tests/implicit-scope-loop.scala, 2535, 2018-03-21T10:31:20Z, 2f78dac, 101.9955, Wed Mar 21 12:32:58 CET 2018, 3051.031 629.053 387.453 306.695 341.064 252.034 211.793 173.814 143.925 138.288 128.973 125.504 122.941 118.956 120.192 119.083 116.840 111.416 109.606 120.265 113.137 110.467 108.188 108.322 107.007 104.763 111.399 105.538 107.091 104.122 , 105.247 101.821 103.586 104.259 103.559 103.461 109.718 102.170 104.171 106.927 98.923 101.597 143.744 99.399 100.041 97.949 97.953 97.178 98.061 95.549
tests/i1535.scala, 2535, 2018-03-21T10:31:20Z, 2f78dac, 121.9585, Wed Mar 21 12:34:10 CET 2018, 3390.816 1045.257 667.727 468.292 452.432 290.060 243.346 240.005 190.041 173.940 166.310 222.595 209.030 148.149 157.602 206.396 156.912 137.835 138.011 139.829 133.948 135.087 130.678 130.419 140.759 148.083 133.688 126.144 128.729 138.171 , 121.505 125.124 122.412 121.391 123.799 119.802 117.987 120.451 126.078 138.122 129.121 117.196 115.642 126.545 145.920 125.308 115.335 125.362 114.921 115.607
tests/i1687.scala, 2535, 2018-03-21T10:31:20Z, 2f78dac, 72.722, Wed Mar 21 12:35:21 CET 2018, 2708.610 514.958 309.763 258.011 233.058 210.803 190.042 149.715 125.381 129.803 92.767 92.924 86.237 84.693 84.541 85.009 84.474 87.460 80.584 82.965 80.731 78.793 78.353 77.959 76.722 77.800 78.136 76.687 74.676 74.539 , 75.045 78.722 74.285 72.774 73.713 72.715 72.506 73.711 71.444 72.729 79.394 80.012 71.820 70.575 73.620 70.162 71.181 70.542 70.568 69.804
tests/Vector.scala, 2535, 2018-03-21T10:31:20Z, 2f78dac, 542.655, Wed Mar 21 12:39:06 CET 2018, 7536.749 2875.090 2221.409 1944.239 1308.715 1187.202 1237.998 1085.863 888.676 1094.123 872.850 770.001 831.781 831.836 646.417 655.293 649.688 635.356 614.764 636.650 7570.450 2266.797 2101.732 1985.023 1389.133 1240.856 1308.262 1007.584 1145.391 868.626 980.376 1032.892 764.833 681.765 670.906 651.374 631.105 637.818 607.815 593.887 7024.474 2126.816 1773.483 1524.110 1422.902 1559.783 1891.697 1641.127 1613.799 1453.042 1140.918 860.646 1169.816 763.883 736.299 748.107 784.051 639.898 631.557 615.128 , 636.178 577.384 757.091 603.541 571.960 631.951 581.195 553.309 566.343 548.403 554.172 586.065 615.602 530.561 529.362 529.676 538.623 545.940 521.006 530.122 521.804 525.966 525.028 536.881 515.294 518.139 517.449 529.642 515.718 512.685 584.438 589.732 563.616 570.413 572.429 570.752 670.634 546.136 549.110 632.054 528.237 525.516 533.628 568.630 541.678 664.863 576.262 575.177 582.131 566.899 526.015 625.128 568.238 560.824 517.567 504.795 502.931 515.291 528.338 500.968 603.603 606.737 609.111 587.874 626.659 607.193 569.619 578.023 556.372 557.385 542.912 543.238 537.896 542.398 535.559 525.604 524.924 535.625 528.515 527.451 513.870 528.288 515.320 513.618 518.127 526.799 516.541 528.216 510.097 524.484
