dotty, 3768, 2018-01-05T17:47:47Z, 26282c7, 33489.3965, Fri Jan  5 19:20:48 CET 2018, 70116.726 42178.484 36736.522 35795.469 35402.814 35466.576 34533.736 34340.250 34324.056 34313.119 34787.744 34168.556 34042.329 33914.253 35098.325 33791.504 33864.721 33719.482 34590.473 33652.873 33576.188 33553.237 34534.708 33514.812 33462.376 33509.515 34466.935 33405.820 33521.203 33526.303 , 34566.952 33465.858 33485.767 33469.783 34473.305 33396.726 33465.938 33541.891 34542.103 33411.133 33464.404 33444.981 34454.729 33509.340 33493.026 33541.096 34402.047 33526.577 33373.415 33396.105
tests/scala-library, 3768, 2018-01-05T17:47:47Z, 26282c7, 5740.8825, Fri Jan  5 19:26:24 CET 2018, 22202.517 10542.602 8414.906 7780.277 7214.629 6735.471 6513.706 6340.337 6211.462 6089.703 6099.638 6015.759 5938.755 5937.227 5898.928 5909.762 5884.258 5822.455 5815.941 5831.527 5810.723 5860.393 5813.100 5804.549 5792.918 5793.931 5748.382 5742.248 5787.411 5771.350 , 5748.436 5802.591 5851.427 5765.922 5724.479 5729.354 5741.752 5742.633 5733.833 5704.410 5751.418 5752.285 5750.206 5774.863 5721.121 5690.417 5697.510 5666.767 5686.598 5740.013
tests/implicit_cache.scala, 3768, 2018-01-05T17:47:47Z, 26282c7, 94.554, Fri Jan  5 19:27:33 CET 2018, 2671.270 459.344 349.390 290.159 231.476 194.021 155.196 139.375 129.908 119.136 116.479 110.348 110.877 115.935 108.838 110.567 106.126 108.355 107.397 104.119 104.119 101.647 102.928 102.600 100.715 103.545 99.784 98.622 96.320 98.195 , 95.994 99.034 95.716 96.504 94.797 94.597 96.019 93.757 95.165 93.503 94.511 93.769 95.052 92.429 93.110 91.914 91.423 95.050 91.795 93.037
tests/implicit-scope-loop.scala, 3768, 2018-01-05T17:47:47Z, 26282c7, 97.644, Fri Jan  5 19:28:43 CET 2018, 2781.700 525.688 393.198 312.663 264.062 228.015 194.052 155.839 140.267 128.728 121.172 121.583 117.807 120.039 119.353 118.837 118.425 112.167 113.138 113.212 110.539 110.814 107.914 108.305 106.168 106.087 108.153 105.270 105.230 102.093 , 103.057 101.715 99.846 101.547 99.196 100.627 98.239 100.382 97.971 99.601 97.084 97.069 97.317 97.290 96.835 95.730 97.225 95.547 96.022 95.382
tests/i1535.scala, 3768, 2018-01-05T17:47:47Z, 26282c7, 110.748, Fri Jan  5 19:29:55 CET 2018, 3106.657 655.095 433.203 364.322 312.056 271.100 234.233 196.626 171.080 155.060 153.650 153.155 151.739 156.791 147.618 143.682 141.012 141.178 134.059 131.815 131.469 127.568 124.199 122.500 123.240 121.584 120.991 121.220 120.629 117.173 , 118.828 115.713 114.121 115.976 114.030 113.542 113.728 110.558 110.767 113.771 110.720 109.329 110.729 108.829 109.456 112.790 107.099 106.785 109.592 106.944
tests/i1687.scala, 3768, 2018-01-05T17:47:47Z, 26282c7, 68.6085, Fri Jan  5 19:31:04 CET 2018, 2454.200 395.376 279.278 213.394 178.424 160.409 132.959 106.662 94.929 88.898 84.407 86.194 82.715 82.418 80.413 78.672 79.222 76.834 77.448 75.391 74.779 74.893 72.976 73.116 73.254 72.121 72.096 70.851 70.950 69.490 , 69.464 69.808 69.102 70.089 68.796 69.735 68.492 72.271 68.839 68.161 68.716 69.057 68.501 67.395 67.507 67.793 66.635 67.966 66.503 67.772
tests/Vector.scala, 3768, 2018-01-05T17:47:47Z, 26282c7, 540.853, Fri Jan  5 19:34:42 CET 2018, 6130.732 2004.895 1609.319 1355.944 1181.483 1113.247 1007.097 892.993 857.048 890.346 825.627 787.462 764.540 724.961 693.440 664.287 678.341 641.097 619.723 639.840 6306.726 2055.885 1649.186 1416.735 1297.935 1235.806 1108.235 1074.081 951.060 925.633 863.006 872.886 809.919 801.145 751.759 714.118 712.375 686.662 666.729 645.227 6327.404 2147.546 1641.995 1348.457 1195.495 1140.492 1076.926 1028.976 920.294 849.767 801.478 801.186 793.588 783.042 741.382 711.226 689.459 646.827 635.644 632.544 , 606.750 589.955 583.049 580.006 578.680 559.724 553.233 563.456 545.428 540.685 535.847 552.167 532.695 525.150 521.246 540.710 522.811 518.960 510.348 517.601 512.518 527.277 510.881 514.716 505.645 502.106 508.439 513.475 503.497 499.330 666.131 641.219 625.443 615.843 606.920 600.147 585.685 576.192 582.837 571.682 562.390 560.249 578.574 560.726 559.051 550.448 574.338 544.115 534.937 542.344 529.775 535.052 536.055 545.408 524.669 529.132 529.071 540.541 528.544 520.851 640.811 605.599 596.639 589.513 587.884 585.637 575.683 568.444 571.266 548.348 542.213 540.996 561.219 542.148 532.875 532.413 548.741 522.456 519.947 528.657 513.841 518.448 527.603 535.200 516.717 514.834 518.307 530.906 514.118 509.374
tests/empty-class.scala, 3768, 2018-01-05T17:47:47Z, 26282c7, 53.1745, Fri Jan  5 19:35:50 CET 2018, 2161.901 266.885 162.522 132.020 115.894 99.201 87.050 78.568 72.789 67.426 63.588 62.633 59.923 58.849 58.807 58.339 59.515 58.857 58.539 58.177 58.843 57.021 57.686 55.137 56.007 54.984 55.096 54.329 54.809 54.210 , 54.237 53.453 53.748 54.817 53.570 53.164 54.364 53.534 53.144 52.489 52.940 52.237 53.061 52.391 53.256 53.185 53.406 52.687 53.014 52.480
tests/empty-object.scala, 3768, 2018-01-05T17:47:47Z, 26282c7, 54.1045, Fri Jan  5 19:36:58 CET 2018, 2202.283 272.226 182.021 156.563 133.689 120.509 100.433 91.489 79.524 69.635 65.191 63.771 63.891 63.023 63.813 61.767 60.825 60.896 58.932 58.878 58.397 58.466 57.492 57.471 56.579 57.079 55.979 57.571 55.056 55.442 , 54.898 54.811 54.748 54.474 54.697 54.638 54.046 54.523 54.080 54.161 53.622 54.219 52.802 54.039 52.736 53.216 52.080 53.382 52.052 54.129
tests/empty-file.scala, 3768, 2018-01-05T17:47:47Z, 26282c7, 37.5775, Fri Jan  5 19:38:04 CET 2018, 1634.803 183.082 113.949 89.072 75.793 66.940 61.494 53.333 47.931 44.067 42.820 41.646 42.186 41.879 40.987 40.800 40.032 40.178 38.854 39.400 38.792 38.076 38.847 37.948 38.947 37.963 38.525 38.484 37.530 38.426 , 37.427 38.342 37.750 37.586 38.139 37.588 37.800 37.899 37.472 38.011 37.045 37.904 38.892 37.241 37.569 36.936 37.384 37.409 36.891 37.266
tests/patmatexhaust.scala, 3768, 2018-01-05T17:47:47Z, 26282c7, 281.256, Fri Jan  5 19:42:02 CET 2018, 4758.240 1534.228 1207.715 1063.239 899.027 753.197 698.792 627.364 572.467 531.994 504.878 485.631 438.856 412.970 408.403 394.862 384.700 381.991 379.733 369.649 4771.726 1486.805 1173.241 1025.962 894.334 766.517 705.602 650.048 584.771 527.594 482.675 478.772 428.460 411.007 398.223 388.715 368.834 356.298 386.382 371.814 4743.246 1490.351 1173.668 940.883 776.821 685.144 620.724 543.258 504.335 490.488 456.688 421.330 414.694 410.228 408.185 392.365 384.450 393.066 375.844 361.407 , 360.457 355.906 362.815 345.669 341.064 334.686 334.082 321.319 324.994 316.307 306.247 308.685 303.898 303.786 297.821 297.520 296.788 288.824 286.528 288.860 283.377 283.783 290.498 278.520 281.391 284.527 277.207 275.037 273.321 275.866 269.845 274.934 280.820 265.242 267.506 273.160 267.726 269.275 275.377 262.336 363.429 359.642 358.980 349.257 343.546 340.634 345.607 325.097 318.392 309.423 308.889 300.511 300.465 302.648 294.326 289.741 291.616 280.665 279.884 285.251 279.488 273.339 274.469 279.344 276.478 270.563 276.959 274.238 266.714 275.473 261.469 263.094 268.298 262.721 258.805 259.839 262.235 258.556 258.748 259.456 346.728 354.631 342.822 336.744 326.772 326.903 318.831 311.991 308.988 300.294 298.485 295.381 302.536 288.312 282.536 291.656 278.955 277.822 285.133 280.751 281.121 279.897 273.711 274.672 272.611 278.788 269.014 268.641 273.073 267.081 266.331 272.409 264.726 266.483 274.313 265.397 276.708 265.447 269.913 259.026
