dotty, 9846, 2020-10-07T10:10:04+0200, 674d375, 2020-10-07T10:49:43+0200, 83888.829 47822.399 41639.436 40857.064 39026.432 38571.530 39180.685 38221.966 37905.835 38617.042 37868.751 37929.975 38606.671 37581.760 37684.321 38519.717 37647.533 37670.129 38428.145 37647.949 37710.223 38062.526 37663.493 37757.085 37881.808 37605.430 37576.940 38072.199 37430.320 37587.842 , 37911.231 37479.873 37394.981 38053.146 37466.097 37562.822 37959.821 37459.458 37530.891 38076.565 37561.824 37562.213 38049.766 37422.000 37514.820 37886.451 37457.063 37594.138 38111.299 37570.990
re2s, 9846, 2020-10-07T10:10:04+0200, 674d375, 2020-10-07T10:52:10+0200, 13802.961 5335.047 4135.139 3515.500 3090.569 2995.715 2734.498 2545.622 2425.196 2440.477 2362.887 2341.998 2329.555 2289.977 2277.629 2188.517 2191.335 2159.904 2147.612 2105.889 2104.544 2081.188 2118.880 2080.186 2072.675 2061.794 2051.674 2093.795 2055.296 2023.581 , 2021.195 2015.831 2011.110 2001.281 2008.648 2017.927 2007.790 1995.429 1979.140 1975.106 1974.041 2010.810 1982.265 1998.745 1977.648 1973.562 1954.059 1969.465 1967.693 2010.931
scalap, 9846, 2020-10-07T10:10:04+0200, 674d375, 2020-10-07T10:54:41+0200, 14709.516 5448.988 4290.090 3764.575 3438.047 3198.955 3334.974 2863.786 2605.452 2479.796 2487.720 2371.784 2316.001 2232.761 2212.956 2201.449 2156.290 2174.614 2149.691 2113.053 2094.112 2072.185 1993.574 2030.194 2016.792 1961.662 1980.663 1949.604 1983.779 1948.129 , 1933.349 1930.720 1902.941 1913.024 1923.996 1949.734 1886.378 1863.453 1900.876 1873.933 1849.158 1842.375 1846.687 1842.174 1895.040 1814.464 1820.163 1814.243 1814.380 1846.780
stdlib213, 9846, 2020-10-07T10:10:04+0200, 674d375, 2020-10-07T11:15:57+0200, 52593.950 27985.820 22039.024 20332.752 19770.256 20686.101 18912.217 18714.312 19883.575 18635.276 18495.386 18425.222 19651.090 18339.357 18293.634 18307.751 19530.349 18236.397 18233.456 18349.177 19652.392 18259.871 18209.525 18231.653 19579.851 18298.794 18232.459 18202.668 19595.508 18183.711 , 18189.189 18150.396 19497.966 18093.708 18155.280 18250.073 19492.883 18133.798 18158.145 18162.641 19457.628 18132.340 18127.540 18225.451 19461.319 18235.762 18173.146 18123.110 19473.136 18208.130
power-macro-power-inlined-1, 9846, 2020-10-07T10:10:04+0200, 674d375, 2020-10-07T11:17:37+0200, 3215.155 296.848 201.008 148.129 129.171 106.197 96.301 91.885 86.819 85.801 83.475 85.647 96.580 80.827 81.329 77.277 74.979 73.039 71.247 70.893 69.257 69.584 68.198 66.861 66.260 65.084 65.222 63.533 64.011 63.297 , 65.130 62.782 62.963 62.512 62.939 61.809 63.355 60.632 63.924 60.524 61.397 60.208 61.110 60.602 60.847 59.614 61.127 59.536 60.887 59.805
power-macro-power-inlined-1k, 9846, 2020-10-07T10:10:04+0200, 674d375, 2020-10-07T11:19:24+0200, 4943.203 1115.146 782.329 625.656 549.680 462.446 380.712 333.236 283.420 267.917 265.768 250.838 299.548 244.474 235.208 228.331 215.276 209.779 203.869 199.138 198.008 196.316 190.486 193.732 189.488 191.943 186.950 189.660 187.088 188.363 , 189.104 192.040 187.249 185.783 183.791 186.151 182.066 185.179 181.187 184.327 181.128 183.945 180.352 183.235 178.872 180.569 178.920 179.895 180.974 177.828
quote-string-interpolation-matching, 9846, 2020-10-07T10:10:04+0200, 674d375, 2020-10-07T11:21:13+0200, 5095.636 1495.433 1066.172 799.991 651.120 623.711 614.147 602.243 603.177 590.744 586.248 585.826 575.570 584.602 575.864 570.732 582.811 575.945 582.124 578.836 572.670 576.695 572.574 576.539 571.894 573.805 564.285 560.409 568.547 557.797 , 568.768 554.763 559.760 563.101 557.837 564.752 557.702 554.291 570.696 550.913 556.796 548.675 549.120 558.006 553.771 552.530 546.641 552.372 555.951 556.889
i1535, 9846, 2020-10-07T10:10:04+0200, 674d375, 2020-10-07T11:22:32+0200, 4024.823 694.587 452.930 367.522 317.913 272.410 232.427 205.710 188.062 178.422 165.297 160.044 159.390 148.390 143.942 144.356 139.064 141.282 133.260 130.918 132.766 149.371 128.551 127.637 129.974 126.014 123.406 126.919 121.841 124.250 , 122.477 119.924 118.938 117.956 120.467 115.241 116.916 116.335 114.473 114.904 112.876 113.866 111.603 110.693 111.822 109.990 110.435 109.940 110.413 109.919
i1687, 9846, 2020-10-07T10:10:04+0200, 674d375, 2020-10-07T11:23:48+0200, 3298.075 416.886 288.355 226.517 191.496 170.319 138.692 119.321 115.711 106.836 102.712 96.197 97.829 93.199 89.354 91.266 88.903 89.571 86.250 87.033 87.881 86.206 86.888 83.845 85.577 82.926 84.956 83.475 82.119 82.653 , 82.059 83.970 79.545 83.608 79.112 80.552 78.963 77.515 78.685 76.996 78.850 76.800 77.379 76.495 76.566 75.818 78.216 75.749 76.321 75.026
empty-class, 9846, 2020-10-07T10:10:04+0200, 674d375, 2020-10-07T11:25:02+0200, 2521.580 114.481 72.394 55.271 48.234 42.411 39.675 36.824 35.011 32.961 32.636 31.840 32.587 30.748 31.637 29.230 28.434 27.815 27.586 27.724 26.303 26.482 26.503 26.461 26.235 25.909 25.983 25.350 25.479 25.286 , 25.342 24.651 25.118 24.858 24.898 24.783 24.448 24.524 24.689 24.680 24.429 24.223 24.035 24.035 24.241 23.846 23.999 23.992 23.883 24.085
empty-object, 9846, 2020-10-07T10:10:04+0200, 674d375, 2020-10-07T11:26:16+0200, 2813.362 216.610 137.757 103.180 88.322 75.949 69.047 65.010 58.824 57.324 54.931 55.703 52.753 55.386 51.762 51.065 49.036 48.455 48.363 47.012 48.864 46.233 46.042 45.587 45.063 44.699 44.252 43.233 44.843 43.097 , 43.744 43.729 42.669 43.223 42.761 43.188 42.212 42.931 42.275 42.993 42.449 42.397 41.749 42.571 42.115 41.078 41.413 40.993 41.423 40.994
empty-file, 9846, 2020-10-07T10:10:04+0200, 674d375, 2020-10-07T11:27:28+0200, 1677.932 37.281 17.263 13.225 11.825 11.990 11.061 10.759 10.191 9.912 9.574 9.376 8.829 8.781 8.484 8.643 8.322 8.325 8.313 8.266 8.164 8.112 7.981 7.926 7.921 7.880 7.884 7.771 7.669 7.682 , 7.772 7.828 7.637 7.596 7.588 7.623 7.608 7.626 7.620 7.854 7.606 7.593 7.660 7.635 7.582 7.821 7.614 7.563 7.678 7.342
