dotty, 3497, 2017-11-17T15:22:39Z, bddc39a, 32525.565, Fri Nov 17 16:55:20 CET 2017, 81173.381 40993.471 35162.601 34499.123 34173.556 34443.550 33365.726 33206.041 33137.066 34295.486 32857.568 33331.128 33278.628 33139.074 33553.179 32983.790 33109.876 32702.768 33604.240 32587.710 32528.796 32479.319 33418.376 32504.293 32470.926 32504.157 33394.799 32530.577 32469.614 32577.358 , 33311.420 32491.806 32484.878 32605.580 33274.425 32438.826 32485.763 32527.110 33388.754 32398.067 32446.459 32524.020 33304.237 32521.883 32463.610 32709.922 33384.449 32548.007 32460.439 32563.877
tests/scala-library, 3497, 2017-11-17T15:22:39Z, bddc39a, 5549.3715, Fri Nov 17 17:00:54 CET 2017, 25618.685 12476.314 7437.360 6941.590 6337.824 6120.649 6036.179 5971.143 5979.056 5891.368 5942.218 5833.187 5955.473 5717.650 5698.069 5778.169 5961.026 5688.874 5674.588 6225.265 5645.691 5715.181 5769.050 5633.264 5583.957 5588.088 5554.381 5559.392 5593.217 5627.836 , 6090.505 5647.930 5675.412 5659.995 5583.485 5628.805 5551.301 5508.915 5510.759 5531.834 5519.797 5708.768 5545.689 5603.470 5508.689 5496.628 5541.929 5572.267 5547.442 5501.635
tests/implicit_cache.scala, 3497, 2017-11-17T15:22:39Z, bddc39a, 106.809, Fri Nov 17 17:02:05 CET 2017, 2837.622 623.211 525.741 414.181 264.308 254.151 209.228 158.423 151.139 136.027 144.018 131.377 128.799 129.292 124.469 118.989 119.386 116.322 114.614 118.235 112.278 117.224 114.851 112.629 111.306 113.932 120.806 109.641 114.136 108.392 , 110.086 113.538 119.367 114.600 110.708 107.504 104.237 114.673 113.825 107.808 104.492 106.105 104.561 102.761 106.114 103.785 111.642 104.299 103.661 103.795
tests/implicit-scope-loop.scala, 3497, 2017-11-17T15:22:39Z, bddc39a, 111.1355, Fri Nov 17 17:03:16 CET 2017, 3025.075 542.843 419.502 345.152 299.446 269.488 204.642 164.126 152.178 168.326 139.010 133.518 130.505 128.215 130.227 124.713 135.628 124.439 120.601 121.452 120.433 120.268 122.194 125.617 115.127 119.171 116.194 115.353 117.721 114.642 , 116.224 114.241 112.045 113.569 118.593 133.631 111.659 122.456 114.136 109.986 113.572 108.541 110.236 110.070 110.190 107.991 110.612 107.122 110.387 105.479
tests/i1535.scala, 3497, 2017-11-17T15:22:39Z, bddc39a, 134.6605, Fri Nov 17 17:04:28 CET 2017, 3414.560 1078.560 637.960 486.561 404.033 300.004 246.686 209.993 192.868 176.550 233.626 174.801 154.952 156.488 151.358 153.056 173.244 146.794 146.384 148.166 145.032 142.428 144.035 142.909 140.364 143.086 138.622 143.534 140.614 135.978 , 134.012 137.683 157.426 135.309 136.220 131.309 136.957 147.528 152.194 130.473 146.787 130.784 131.594 129.036 145.930 150.838 130.964 128.007 131.809 127.201
tests/i1687.scala, 3497, 2017-11-17T15:22:39Z, bddc39a, 87.0565, Fri Nov 17 17:05:38 CET 2017, 2745.310 536.108 370.147 309.517 259.003 204.379 145.135 121.442 111.735 100.042 101.771 103.659 104.223 98.691 96.571 95.862 94.237 92.675 93.657 91.615 93.627 89.557 92.086 91.280 88.951 91.243 88.956 89.075 89.214 93.613 , 87.226 98.641 88.296 87.494 87.326 86.588 90.607 85.923 91.656 87.060 87.053 85.493 86.738 85.089 89.102 85.226 86.270 84.125 83.395 92.732
tests/Vector.scala, 3497, 2017-11-17T15:22:39Z, bddc39a, 566.5395, Fri Nov 17 17:09:26 CET 2017, 7691.405 2888.516 2289.213 1384.699 1247.821 1137.610 1274.294 1046.223 864.119 770.545 746.031 694.026 678.506 882.933 657.307 656.055 635.741 625.308 608.847 602.369 7105.560 2846.250 1759.894 1524.084 1645.931 1464.052 1131.970 1357.396 1042.997 818.895 734.560 712.699 702.129 684.194 656.287 639.269 664.288 659.664 694.016 635.240 7576.927 2515.974 2383.449 1452.094 1852.666 1530.192 1053.404 916.963 1087.782 851.039 701.348 686.669 683.636 658.299 641.993 634.610 677.694 637.509 626.369 640.402 , 629.667 583.374 602.561 598.163 574.504 579.757 566.646 566.433 557.799 554.295 543.546 603.772 546.226 541.311 545.326 551.007 542.804 564.766 549.765 529.390 529.888 535.871 551.668 575.994 523.590 579.171 543.344 525.268 520.503 525.054 605.143 584.133 591.648 595.315 573.233 577.977 567.079 576.106 589.366 596.182 559.905 611.057 600.876 591.520 550.853 571.855 585.195 569.998 586.107 558.742 551.008 573.848 556.821 631.250 547.148 545.557 565.090 539.385 538.420 536.494 606.882 606.132 590.485 592.079 609.408 584.278 577.506 577.233 560.833 567.398 555.769 568.218 559.812 555.127 548.070 620.255 551.720 577.135 557.936 563.678 579.682 604.413 647.884 532.417 544.050 533.315 554.431 550.542 617.429 538.967
tests/empty-class.scala, 3497, 2017-11-17T15:22:39Z, bddc39a, 74.4445, Fri Nov 17 17:10:37 CET 2017, 2528.548 530.481 278.797 213.675 187.490 194.956 140.137 115.399 97.235 83.824 85.689 85.766 81.504 82.389 81.228 78.616 78.867 78.426 77.049 78.694 77.438 81.676 75.080 76.522 76.648 76.147 74.893 75.866 74.735 75.591 , 79.067 74.521 76.878 73.718 78.361 74.649 81.039 78.935 76.207 74.146 74.200 73.676 74.368 91.054 72.891 73.929 72.849 73.924 72.542 74.642
tests/empty-object.scala, 3497, 2017-11-17T15:22:39Z, bddc39a, 74.068, Fri Nov 17 17:11:46 CET 2017, 2746.724 398.477 251.700 201.408 180.425 167.021 178.975 147.962 96.166 84.320 88.280 79.797 80.928 81.390 83.501 80.541 79.705 79.453 77.394 79.169 76.486 78.158 76.033 76.530 75.880 75.525 76.312 76.783 75.994 78.058 , 75.544 74.456 76.597 86.696 75.201 73.388 75.343 74.074 74.827 73.102 74.203 73.013 74.062 77.981 73.225 71.866 73.716 71.819 72.527 72.057
tests/empty-file.scala, 3497, 2017-11-17T15:22:39Z, bddc39a, 57.6835, Fri Nov 17 17:12:55 CET 2017, 1929.376 287.250 238.632 205.220 181.101 137.371 84.643 73.216 66.401 64.768 62.285 69.055 60.622 61.575 60.057 60.965 60.497 59.014 60.118 58.936 62.325 61.436 59.182 58.967 57.624 59.230 66.895 64.132 57.627 58.269 , 57.153 59.541 60.307 57.781 59.919 57.438 58.265 56.937 58.985 59.040 56.712 57.586 56.920 57.451 59.299 57.445 58.879 57.132 56.936 58.356
tests/patmatexhaust.scala, 3497, 2017-11-17T15:22:39Z, bddc39a, 300.326, Fri Nov 17 17:17:04 CET 2017, 5209.790 1816.167 1312.279 1365.558 1114.040 1058.144 916.867 908.481 691.201 786.932 695.151 480.787 454.903 439.601 427.523 537.214 386.950 383.258 368.289 364.733 5231.369 2022.145 1300.325 1170.091 1030.832 1075.795 883.932 764.943 733.395 755.479 708.936 657.734 559.246 498.106 574.432 399.056 442.717 373.337 352.740 343.074 5295.225 1990.524 1347.468 1270.609 1185.070 1027.391 864.332 788.858 719.683 627.955 635.416 533.948 549.949 521.952 442.042 376.213 381.559 423.161 339.125 331.781 , 351.313 348.767 342.255 348.829 343.558 407.054 324.248 330.282 321.975 384.604 339.416 340.254 399.660 321.870 312.741 324.205 300.465 309.337 300.187 300.631 312.686 300.613 299.594 317.070 298.897 316.996 298.262 291.666 293.809 361.489 289.185 336.087 300.782 304.201 310.917 283.897 327.437 317.791 282.959 290.393 351.481 385.867 331.493 338.809 334.655 320.365 319.933 368.451 325.234 328.457 320.555 302.223 304.860 305.476 298.372 301.919 303.547 293.216 295.956 299.646 291.479 301.589 298.932 291.942 287.585 288.472 282.389 281.232 299.137 281.095 277.266 284.995 276.880 277.912 281.073 278.024 278.252 285.986 275.794 287.949 335.563 330.903 316.530 326.266 310.661 314.275 318.060 365.910 308.709 312.384 312.800 295.229 298.557 298.574 308.346 293.441 298.802 288.984 318.983 287.980 288.770 293.928 286.988 281.003 290.049 279.809 283.546 295.641 278.161 275.851 283.526 297.092 277.372 278.323 274.103 273.021 278.748 275.308 272.783 272.634
tests/exhaustivity-I.scala, 3497, 2017-11-17T15:22:39Z, bddc39a, 179.198, Fri Nov 17 17:20:54 CET 2017, 4084.673 1392.190 1342.957 917.709 704.536 570.531 453.407 485.411 404.949 314.583 278.338 282.250 257.202 244.318 226.247 222.682 237.283 240.983 205.896 212.963 3969.484 1586.117 1201.944 1003.018 881.664 743.879 641.744 560.263 521.440 467.476 386.276 392.309 363.545 276.716 296.386 226.496 288.866 263.881 203.250 209.971 4046.325 1586.508 1132.096 740.940 705.639 650.777 573.041 403.191 350.457 303.208 296.964 267.541 269.029 284.978 234.217 226.136 206.922 208.703 200.833 209.837 , 196.906 194.100 194.526 187.607 186.814 186.356 187.310 187.871 183.026 179.638 181.867 182.782 179.517 180.699 179.060 199.749 190.005 203.338 223.453 178.072 174.828 178.024 172.705 171.637 175.205 169.894 176.156 167.801 167.930 170.048 170.074 170.436 169.995 168.096 169.043 171.194 166.512 168.164 166.493 168.042 220.207 201.565 205.106 192.656 194.125 192.542 188.524 189.098 209.755 198.356 206.343 187.105 182.712 183.800 179.336 178.234 182.985 178.086 188.403 184.097 176.750 181.482 178.484 195.466 194.902 194.490 205.262 172.644 170.889 173.616 169.792 169.092 174.627 167.888 189.885 170.254 166.761 168.185 166.749 167.696 212.682 191.074 203.343 188.076 188.841 187.698 185.321 189.564 183.604 178.393 187.335 183.176 179.706 180.102 182.373 177.532 187.633 182.005 181.444 176.605 174.157 174.727 174.107 171.272 176.075 169.598 196.927 171.455 167.774 169.811 170.024 169.430 168.457 165.953 168.969 166.406 167.890 174.026 165.241 166.816
tests/exhaustivity-S.scala, 3497, 2017-11-17T15:22:39Z, bddc39a, 288.351, Fri Nov 17 17:24:54 CET 2017, 3898.485 1273.447 794.206 569.051 534.305 479.626 423.080 397.957 336.538 422.368 352.813 315.178 309.377 301.825 296.542 293.091 293.774 291.598 290.142 288.397 4000.075 1722.481 1037.501 876.112 615.376 566.259 583.760 429.499 433.003 452.876 355.118 330.841 322.910 319.807 315.959 312.753 307.142 319.592 312.740 308.139 4362.212 1867.152 949.405 664.473 551.659 664.125 566.210 443.653 377.400 412.451 389.405 328.403 333.652 315.224 314.718 311.775 327.336 389.017 368.105 306.575 , 285.176 288.655 285.657 283.635 280.182 282.654 278.636 280.041 275.778 275.342 276.077 273.565 271.606 272.200 273.675 274.980 273.925 271.104 270.100 270.613 270.412 268.366 269.121 268.425 268.926 267.257 274.333 267.061 266.512 266.611 268.494 268.023 268.897 264.494 265.851 269.728 264.549 266.671 265.587 264.293 299.550 301.260 298.793 299.703 295.415 298.139 296.818 293.757 295.885 294.666 295.013 292.089 291.112 289.452 289.669 289.940 291.807 291.165 288.467 289.604 288.773 287.065 287.704 288.317 292.137 286.158 287.686 288.890 286.370 284.575 287.698 285.875 293.272 286.625 285.904 288.709 288.385 285.631 289.255 287.127 305.821 315.972 303.397 300.891 300.576 298.223 305.599 306.719 306.092 297.367 294.608 291.355 292.022 289.756 292.456 291.523 292.446 301.838 293.931 291.508 295.954 289.818 288.940 289.245 288.891 299.705 287.098 288.576 287.044 287.601 286.965 288.585 289.128 302.725 284.975 290.887 290.904 288.109 287.831 288.093
tests/exhaustivity-T.scala, 3497, 2017-11-17T15:22:39Z, bddc39a, 845.657, Fri Nov 17 17:30:17 CET 2017, 4798.587 1757.050 1253.619 1345.048 1318.860 1162.007 1130.473 1080.406 987.247 970.651 941.903 1001.279 894.113 961.457 882.279 884.157 928.473 869.495 846.042 840.802 4812.285 1977.423 1658.547 1345.574 1255.384 1101.242 1083.136 1043.488 1038.884 1094.041 1221.447 1095.707 963.993 1213.237 1034.663 1013.957 934.193 938.772 918.083 906.842 4911.448 1964.144 1558.816 1321.428 1619.155 1326.177 1192.958 1136.139 1195.308 1097.499 1006.542 966.667 928.493 909.400 901.356 906.802 884.529 877.873 870.580 869.679 , 840.619 854.827 835.786 834.322 829.790 871.946 830.201 829.942 824.045 823.725 827.022 821.580 830.226 828.614 851.990 839.720 822.882 818.030 819.400 814.332 828.832 816.879 817.535 817.408 811.636 814.834 828.855 814.005 811.484 812.409 811.170 839.042 820.681 816.165 807.611 819.900 810.329 818.037 818.794 819.948 921.989 945.608 902.534 932.832 889.423 891.538 887.459 885.448 888.179 882.852 878.029 885.510 950.146 910.054 880.011 876.007 876.524 872.987 879.091 875.233 871.985 870.909 871.213 870.830 880.373 868.933 866.919 872.604 873.339 866.510 868.081 871.619 867.433 862.452 873.696 890.444 870.879 895.394 861.852 860.935 864.266 863.653 876.786 888.055 878.699 865.217 858.320 849.021 848.317 847.179 845.517 844.302 877.365 860.748 854.091 847.345 842.038 921.705 838.760 841.352 841.210 839.293 838.377 845.797 840.479 837.231 831.551 831.789 836.333 837.323 833.933 833.653 831.912 838.074 833.104 832.391 876.872 838.107 835.921 833.291
tests/exhaustivity-V.scala, 3497, 2017-11-17T15:22:39Z, bddc39a, 1475.3925, Fri Nov 17 17:35:55 CET 2017, 5196.250 2779.807 2566.566 2711.870 2548.984 2210.311 2215.432 2175.806 2112.240 2297.924 2110.433 2114.629 2077.887 2051.964 2158.187 2018.605 2016.708 2035.215 2002.728 2040.195 5018.132 2421.669 1790.348 1686.874 1798.760 1677.262 1673.886 1632.696 1845.007 1723.171 1685.311 1621.090 1549.819 1520.013 1536.550 1526.035 1504.549 1519.991 1497.819 1494.998 5094.080 2255.061 2283.172 1804.014 1817.916 1765.033 1681.010 1741.176 1697.686 1649.750 1640.509 1871.684 1591.795 1563.918 1724.832 1576.532 1588.939 1690.801 1516.758 1523.763 , 2052.555 2017.994 2036.744 1975.900 1989.566 2030.007 1996.219 1989.009 1980.355 1991.760 1967.768 2005.202 2053.915 2004.903 2002.927 1986.359 1985.557 1975.969 1976.971 1986.823 1977.624 1983.062 1973.997 1962.786 2031.429 1963.480 2012.584 1993.146 1979.074 1984.280 1982.897 1972.587 1970.461 1968.414 2015.177 2273.997 2024.721 1964.262 1968.894 1977.633 1501.773 1498.449 1486.599 1502.155 1467.809 1485.110 1468.369 1474.798 1492.803 1466.466 1527.996 1531.748 1533.602 1474.371 1465.423 1474.087 1468.867 1465.572 1468.562 1466.427 1468.646 1454.390 1467.395 1459.512 1457.465 1481.549 1466.426 1469.598 1480.142 1452.498 1474.173 1458.086 1459.616 1461.246 1475.987 1474.504 1476.955 1474.723 1443.705 1455.977 1595.950 1503.061 1457.821 1469.411 1457.330 1469.742 1625.653 1454.339 1469.373 1711.802 1456.004 1451.180 1457.296 1526.420 1450.413 1463.706 1443.361 1449.245 1447.110 1447.677 1455.950 1443.780 1456.782 1444.558 1445.936 1457.180 1441.900 1511.979 1439.177 1450.552 1438.267 1466.566 1452.511 1440.342 1452.179 1609.830 1453.994 1458.737 1434.750 1446.285
tests/implicitNums.scala, 3497, 2017-11-17T15:22:39Z, bddc39a, 741.473, Fri Nov 17 17:37:33 CET 2017, 6741.760 2931.140 2156.680 1651.235 1766.857 1125.706 1019.729 922.107 1035.772 824.617 805.128 793.407 798.575 779.173 768.329 765.671 775.607 767.820 788.971 797.735 762.796 749.412 747.563 756.691 745.546 742.697 749.597 744.904 747.144 750.720 , 754.163 755.333 786.251 739.846 738.601 759.522 740.273 747.394 744.409 741.650 738.879 744.711 738.232 736.537 743.077 734.415 741.296 744.415 728.399 735.883
tests/scalapb, 3497, 2017-11-17T15:22:39Z, bddc39a, 7034.488, Fri Nov 17 17:44:36 CET 2017, 31145.597 16937.352 10431.738 8466.151 8357.054 7819.023 7587.287 7746.660 7547.295 7343.966 7425.842 7366.597 7154.140 7691.768 7224.869 7244.728 7149.924 7162.989 7083.395 7168.780 7170.330 7187.792 7236.029 7061.482 7047.128 7074.540 7105.039 7065.742 7079.102 7088.339 , 7125.481 7081.381 7043.662 7036.847 7065.812 6998.920 7027.312 7042.182 7024.995 7057.192 7058.323 6995.362 6995.724 6975.989 7015.357 7032.129 7091.513 7197.097 7027.369 7012.973
