dotty, 3122, 2017-11-20T20:14:48Z, 9ce9ea3, 34004.7295, Mon Nov 20 21:48:31 CET 2017, 78862.269 40754.095 37152.893 36621.001 35333.986 35936.153 34920.022 34988.158 34750.731 35992.107 34650.657 34644.911 34398.746 34538.762 35092.088 34683.467 34459.644 34446.378 35008.502 34186.326 34145.759 34119.552 34789.252 34173.924 33861.246 33860.082 34700.510 33802.186 34124.560 34122.225 , 34907.376 33996.160 34049.587 34008.611 34524.271 33875.622 33889.383 34028.374 34684.181 34000.848 33973.220 34028.305 34550.150 33956.786 33898.975 33935.376 34641.019 33978.749 33932.985 34071.229
tests/scala-library, 3122, 2017-11-20T20:14:48Z, 9ce9ea3, 5402.985, Mon Nov 20 21:53:55 CET 2017, 23820.182 10308.353 8059.288 8059.167 6658.281 6155.689 5989.903 6026.135 5858.377 5790.093 5792.580 5766.343 5668.075 5649.443 5651.218 5580.760 5579.062 5563.472 5614.955 5560.137 5553.274 5624.466 5750.424 5480.082 5479.659 5513.563 5484.922 5480.811 5476.608 5424.500 , 5725.225 5499.927 5497.231 5437.928 5414.359 5398.381 5390.264 5416.813 5419.016 5407.589 5391.127 5387.238 5522.051 5367.494 5465.305 5390.547 5375.326 5389.969 5361.247 5367.138
tests/implicit_cache.scala, 3122, 2017-11-20T20:14:48Z, 9ce9ea3, 108.583, Mon Nov 20 21:55:08 CET 2017, 2899.495 523.919 431.033 386.448 290.815 244.616 172.339 157.451 143.081 133.733 134.297 130.889 128.267 142.855 130.500 127.304 143.817 119.942 116.659 120.270 115.222 118.040 120.661 115.660 113.058 111.274 127.663 118.471 115.049 114.627 , 111.813 109.123 110.684 112.884 111.303 110.530 107.183 109.138 107.902 111.144 112.397 106.401 109.106 106.630 106.792 105.653 107.135 104.771 108.060 104.102
tests/implicit-scope-loop.scala, 3122, 2017-11-20T20:14:48Z, 9ce9ea3, 110.048, Mon Nov 20 21:56:20 CET 2017, 2940.844 704.636 538.889 428.046 282.916 254.367 239.796 187.728 174.770 158.910 141.303 133.314 132.556 129.718 127.451 127.982 125.131 128.673 119.610 134.532 118.955 117.525 119.293 116.875 119.124 117.178 118.085 117.687 113.905 116.163 , 118.510 113.762 110.140 113.086 110.476 118.492 122.220 122.399 113.832 108.749 115.021 107.725 109.330 108.173 109.956 107.892 108.250 107.324 106.573 107.288
tests/i1535.scala, 3122, 2017-11-20T20:14:48Z, 9ce9ea3, 133.6115, Mon Nov 20 21:57:32 CET 2017, 3332.840 1046.858 644.334 503.683 445.548 350.240 272.453 304.933 294.309 277.892 215.766 189.036 181.554 158.336 159.621 152.475 152.487 154.444 152.834 147.556 153.383 145.979 143.612 146.196 142.481 141.855 143.807 153.101 156.795 147.437 , 137.244 139.089 145.703 137.952 133.877 136.322 133.346 132.323 133.907 131.489 134.428 132.251 131.464 131.573 128.501 130.353 136.546 127.694 127.944 142.924
tests/i1687.scala, 3122, 2017-11-20T20:14:48Z, 9ce9ea3, 87.017, Mon Nov 20 21:58:43 CET 2017, 2637.309 457.174 300.093 340.340 283.418 188.094 164.009 152.317 107.966 103.933 101.074 102.471 102.133 100.870 96.379 93.674 95.465 93.125 93.958 92.822 93.837 91.896 96.771 90.131 94.775 90.688 89.449 90.068 89.991 89.651 , 87.853 89.125 86.494 88.259 87.157 87.683 88.796 87.399 86.907 85.878 87.127 86.348 87.457 84.919 86.682 104.373 86.139 84.641 86.135 86.053
tests/Vector.scala, 3122, 2017-11-20T20:14:48Z, 9ce9ea3, 564.195, Mon Nov 20 22:02:34 CET 2017, 6567.885 2104.927 2396.961 1469.244 1511.926 1380.690 944.579 1078.081 1129.566 934.752 806.181 863.528 1007.048 771.608 673.985 660.944 728.116 635.481 747.216 689.417 7626.841 2589.040 1812.709 1698.135 1488.071 1595.002 1154.350 1065.310 1001.139 994.879 1059.685 886.141 944.072 755.645 810.484 664.610 706.521 683.985 631.975 687.788 7019.080 3014.936 1795.042 1513.043 1832.984 1411.200 1523.523 1364.545 905.975 819.537 765.593 809.754 686.955 688.812 662.402 660.484 660.860 635.084 626.934 610.357 , 666.538 690.421 787.381 712.740 641.390 583.243 576.814 571.084 574.712 560.863 562.460 555.572 590.596 565.632 563.212 581.718 557.129 563.712 549.343 556.818 553.293 546.629 542.655 562.065 537.341 537.238 541.538 549.146 534.510 536.127 727.290 650.449 611.937 610.824 694.565 618.413 584.097 587.131 591.084 574.755 564.825 560.095 572.121 557.759 570.976 582.736 610.095 578.598 544.552 567.164 564.678 574.433 547.656 662.901 553.757 535.708 541.956 572.477 549.680 546.598 796.228 729.936 932.761 680.398 568.226 581.051 571.437 607.161 657.264 622.534 554.033 574.062 554.041 545.025 549.988 565.606 547.297 552.539 542.963 555.862 538.513 538.542 558.004 543.615 534.389 559.559 560.161 529.546 529.891 527.523
tests/empty-class.scala, 3122, 2017-11-20T20:14:48Z, 9ce9ea3, 73.753, Mon Nov 20 22:03:43 CET 2017, 2406.180 314.863 217.788 175.798 167.671 137.274 102.090 95.926 84.579 81.923 85.346 80.896 81.698 79.935 78.517 80.880 78.479 77.819 78.425 79.598 77.492 75.363 76.518 76.182 76.314 78.171 76.332 75.828 75.199 77.202 , 73.830 76.350 74.506 75.634 74.671 75.671 75.435 74.234 72.305 73.873 72.376 73.176 73.267 72.598 71.550 72.383 71.662 73.676 82.105 71.931
tests/empty-object.scala, 3122, 2017-11-20T20:14:48Z, 9ce9ea3, 73.4065, Mon Nov 20 22:04:52 CET 2017, 2395.227 354.672 293.883 264.494 209.072 146.983 147.329 131.067 92.453 88.730 85.249 82.555 82.319 79.852 80.736 81.779 77.530 78.961 76.607 78.010 79.380 100.247 78.919 77.293 77.042 78.185 75.639 77.394 77.788 77.034 , 74.517 75.423 74.130 75.630 74.213 74.205 72.544 74.372 72.217 73.698 72.658 73.027 72.210 74.663 72.151 73.013 71.991 73.680 71.527 73.133
tests/empty-file.scala, 3122, 2017-11-20T20:14:48Z, 9ce9ea3, 57.2795, Mon Nov 20 22:06:00 CET 2017, 1902.187 285.139 181.154 200.841 173.783 125.494 83.852 77.771 73.532 69.083 61.677 62.908 61.835 64.243 60.519 63.851 59.733 61.900 61.609 58.755 63.098 58.777 59.611 57.976 58.713 58.734 57.563 58.738 57.154 58.957 , 58.177 57.174 58.226 57.233 58.665 56.684 57.967 57.527 56.790 57.503 56.438 57.749 56.191 57.117 57.326 56.242 62.546 56.168 57.448 56.593
tests/patmatexhaust.scala, 3122, 2017-11-20T20:14:48Z, 9ce9ea3, 299.183, Mon Nov 20 22:10:07 CET 2017, 5337.633 1879.463 1617.149 1025.478 921.320 863.319 961.033 846.340 722.313 655.500 556.315 465.624 540.586 566.984 540.248 523.675 391.766 362.766 351.637 343.788 5168.320 2135.580 1676.306 1179.130 1147.887 1181.641 1069.883 963.587 618.263 672.786 624.880 578.064 520.303 429.717 457.144 524.904 528.019 385.525 359.626 353.090 5392.278 1932.089 1257.651 1436.633 1308.217 1021.345 899.698 746.843 626.749 768.415 690.763 504.235 501.561 532.861 538.342 531.150 495.783 538.222 430.713 341.456 , 340.903 352.280 337.084 354.786 341.438 315.873 315.336 319.023 315.490 308.311 307.739 304.084 300.876 305.837 296.459 299.021 300.344 295.472 295.953 301.929 289.708 291.320 299.402 292.771 291.637 295.648 286.948 291.024 292.852 287.069 282.944 289.555 280.673 282.823 285.599 277.160 276.526 290.379 279.158 275.439 353.790 350.033 344.086 338.972 362.869 357.250 429.728 378.632 326.418 395.501 350.848 381.397 321.837 324.729 307.276 308.839 297.879 297.220 312.538 300.239 305.736 299.738 294.494 299.783 298.473 301.285 296.952 311.979 287.509 290.225 304.884 285.637 282.954 300.546 281.898 283.245 286.437 278.802 278.084 283.077 356.844 434.052 335.362 330.371 417.669 349.040 318.104 325.855 324.626 317.385 310.707 305.945 299.345 301.501 307.434 295.011 292.666 299.482 292.905 289.286 295.292 288.468 287.129 300.657 290.641 287.268 292.419 284.480 296.853 290.225 291.859 279.128 288.671 337.256 282.634 279.988 277.987 274.736 280.249 298.871
