dotty, 3342, 2017-10-19T16:14:22Z, 5b618dd, 35420.291, Thu Oct 19 18:37:18 CEST 2017, 78202.471 41870.223 38101.779 37838.088 36815.008 36540.371 35752.470 35802.229 35842.526 36598.170 , 35331.330 35673.294 35766.582 36398.858 35322.477 35536.200 36568.705 36114.069 35058.544 35559.533 35269.027 35964.818 34941.758 35186.059 35410.203 35430.379 34861.495 35268.601 35336.790 35587.671
tests/scala-library, 3342, 2017-10-19T16:14:22Z, 5b618dd, 5939.2505, Thu Oct 19 18:40:49 CEST 2017, 21924.042 11577.541 9023.296 7882.479 7384.955 6879.021 6384.530 6535.131 6247.798 6136.618 , 6140.455 6353.316 6057.766 6005.715 5979.961 5977.947 5983.085 5931.983 5932.963 5926.502 5939.824 5938.677 5960.861 5988.089 5933.267 5905.254 5829.040 5882.222 5865.119 5866.924
tests/implicit_cache.scala, 3342, 2017-10-19T16:14:22Z, 5b618dd, 150.1105, Thu Oct 19 18:41:25 CEST 2017, 3032.873 606.687 471.253 363.873 277.307 232.323 260.860 203.846 168.242 161.073 , 161.784 156.749 155.267 157.576 151.301 154.799 150.509 150.710 150.509 146.323 149.712 142.721 147.354 141.291 144.555 142.048 141.880 138.479 154.775 143.370
tests/implicit-scope-loop.scala, 3342, 2017-10-19T16:14:22Z, 5b618dd, 154.607, Thu Oct 19 18:42:02 CEST 2017, 3032.104 692.123 579.790 428.415 318.351 230.891 189.326 179.815 176.267 171.410 , 178.035 170.268 161.786 159.630 156.154 160.793 151.332 151.636 146.046 146.519 149.382 143.719 156.912 141.160 144.209 140.386 180.547 205.597 153.060 160.523
tests/i1535.scala, 3342, 2017-10-19T16:14:22Z, 5b618dd, 188.606, Thu Oct 19 18:42:41 CEST 2017, 3527.241 1221.666 881.722 661.159 551.694 394.202 361.592 276.591 250.772 268.766 , 264.345 206.238 197.171 198.511 194.952 199.503 197.028 189.226 193.934 184.163 184.103 185.781 179.824 183.315 187.986 189.382 181.390 179.801 176.817 177.454
tests/i1687.scala, 3342, 2017-10-19T16:14:22Z, 5b618dd, 144.9065, Thu Oct 19 18:43:17 CEST 2017, 3076.919 698.604 609.882 517.767 292.833 219.027 187.564 173.712 171.939 159.230 , 159.538 155.056 157.865 161.829 160.995 185.505 169.217 149.651 144.011 143.830 144.816 141.279 144.997 141.046 145.632 143.699 143.253 143.786 138.848 140.880
tests/Vector.scala, 3342, 2017-10-19T16:14:22Z, 5b618dd, 624.942, Thu Oct 19 18:47:08 CEST 2017, 7369.979 2912.270 1841.240 1566.798 1422.677 1755.690 1064.123 971.407 914.622 836.037 828.615 807.835 847.486 710.533 714.430 694.272 684.783 716.800 697.537 672.884 6777.433 2948.070 1769.081 2077.911 1440.998 1638.896 1560.653 1015.755 939.912 902.741 828.153 1048.556 1117.425 1059.685 737.723 710.293 720.081 735.981 764.393 715.918 8069.935 3044.597 2476.024 1977.274 1910.688 1596.212 1547.102 1427.435 1180.399 1128.900 853.376 808.858 800.581 834.189 708.721 716.965 692.309 678.271 696.348 669.971 , 710.174 693.935 662.698 667.664 662.885 733.519 721.428 649.665 629.168 636.424 628.969 621.959 638.239 625.155 618.656 656.932 626.043 609.842 607.150 617.444 615.431 609.648 655.838 598.444 616.768 608.781 603.206 598.290 606.436 592.888 661.424 677.013 668.079 650.900 651.977 647.517 646.084 639.126 643.008 633.529 623.790 638.809 638.189 613.708 638.353 622.166 613.842 631.911 624.383 606.688 605.249 613.587 607.333 605.524 623.717 606.876 602.600 609.129 601.214 595.699 666.788 674.205 656.251 656.018 653.753 766.936 668.895 627.376 633.541 618.019 615.986 624.456 646.814 627.061 632.404 642.002 658.020 624.729 608.867 604.200 609.077 608.835 604.905 622.567 597.766 592.757 598.010 655.587 595.570 592.829
tests/empty-class.scala, 3342, 2017-10-19T16:14:22Z, 5b618dd, 112.358, Thu Oct 19 18:47:44 CEST 2017, 2717.029 604.525 457.570 372.793 285.603 217.169 160.711 138.067 126.361 119.372 , 119.532 116.596 119.067 114.104 114.714 114.291 113.630 111.774 114.704 112.775 111.941 110.422 112.880 109.258 110.209 109.834 111.389 109.640 111.185 107.529
tests/empty-object.scala, 3342, 2017-10-19T16:14:22Z, 5b618dd, 115.6075, Thu Oct 19 18:48:20 CEST 2017, 2716.576 430.656 306.407 263.410 215.229 229.533 150.245 130.639 121.031 119.841 , 117.222 118.429 116.878 117.348 114.796 116.999 113.479 115.502 115.991 112.710 128.255 119.698 115.713 116.004 113.097 111.580 110.658 109.071 110.723 107.979
tests/empty-file.scala, 3342, 2017-10-19T16:14:22Z, 5b618dd, 83.167, Thu Oct 19 18:48:54 CEST 2017, 2093.411 340.662 243.138 206.726 177.320 129.343 101.447 96.036 93.741 88.727 , 90.185 85.074 86.511 83.697 89.605 83.850 85.198 82.448 83.775 81.668 83.926 84.064 81.058 82.637 82.000 82.214 80.143 81.938 82.131 80.810
tests/patmatexhaust.scala, 3342, 2017-10-19T16:14:22Z, 5b618dd, 357.6155, Thu Oct 19 18:52:44 CEST 2017, 5212.497 1799.406 1431.464 1587.450 1376.055 1261.814 1087.381 850.788 849.550 637.369 749.309 660.635 512.880 485.493 537.871 504.752 436.835 439.891 432.627 414.320 5840.971 2285.196 1795.686 1514.863 1090.578 853.928 841.831 726.708 620.188 577.019 571.636 515.775 491.377 475.776 465.453 430.259 442.317 403.444 396.947 408.132 5416.383 1798.781 1819.954 1498.536 1243.496 1153.417 1107.432 727.664 773.759 597.139 653.212 585.349 581.083 516.170 500.595 470.716 454.033 441.876 424.807 410.863 , 405.165 425.428 412.058 403.107 396.773 391.282 385.459 387.098 375.552 369.332 383.363 367.738 367.175 366.670 357.079 358.293 395.664 366.470 349.650 359.787 350.924 349.397 354.396 417.057 385.973 350.750 344.407 344.835 341.975 355.976 352.108 355.533 349.474 341.173 337.204 342.777 376.841 371.992 344.695 329.994 386.948 385.643 390.746 385.686 421.581 399.965 368.718 368.346 375.600 364.122 360.644 361.602 350.411 407.981 365.947 359.327 353.994 357.171 364.088 347.034 345.266 354.696 345.279 360.751 349.185 345.487 345.543 392.163 344.821 338.192 352.317 337.889 336.886 345.804 341.973 333.414 342.291 336.893 331.034 333.405 420.601 402.862 393.847 396.801 527.423 422.467 450.433 421.456 375.306 396.517 379.523 366.358 366.464 364.878 358.060 363.679 359.018 354.002 353.351 358.660 347.549 348.661 371.229 352.815 350.871 350.512 341.019 340.494 340.901 365.611 341.044 339.204 348.315 337.875 335.853 349.748 336.816 334.610 340.862 333.810
