dotty, 3978, 2018-02-09T19:29:20Z, 19a14c5, 33648.7245, Fri Feb  9 21:03:39 CET 2018, 79029.409 42403.318 36403.314 35643.436 35996.717 35749.583 34662.155 34723.076 34479.661 35258.160 34161.554 34181.973 34239.323 35089.327 33952.577 34571.715 33966.587 34905.484 33859.874 33790.290 33745.636 34690.364 33639.794 33644.396 33674.011 34636.270 33659.119 33841.006 33652.411 34630.974 , 33601.436 33617.340 33518.853 34727.075 33702.494 33609.473 33710.983 34440.728 33592.431 33685.757 33742.310 34569.921 33586.803 33621.486 33644.234 34492.493 33606.184 33553.096 33653.215 34386.975
tests/scala-library, 3978, 2018-02-09T19:29:20Z, 19a14c5, 5397.116, Fri Feb  9 21:09:01 CET 2018, 23980.549 11277.712 8191.906 7003.208 6857.052 6111.134 5948.435 5811.855 5776.926 5777.031 5771.673 5718.712 5698.232 5645.503 5867.188 5605.023 5617.752 5548.366 5546.518 5538.463 5478.061 5575.838 5491.123 5492.398 5470.432 5682.155 5468.483 5442.816 5482.168 5776.887 , 5403.274 5432.734 5444.273 5401.255 5405.357 5415.641 5446.510 5386.755 5392.977 5428.729 5425.690 5370.673 5356.270 5348.055 5420.161 5378.536 5364.253 5363.941 5358.735 5328.189
opts/scala-library, 3978, 2018-02-09T19:29:20Z, 19a14c5, 5479.4015, Fri Feb  9 21:18:40 CET 2018, 24580.586 11255.287 7926.727 7117.079 6678.391 6242.159 6063.724 5949.984 6005.170 5790.004 5735.784 5748.116 5700.624 5694.172 5666.852 5718.960 5932.136 5585.050 5592.899 5591.629 5542.666 5812.227 5526.921 5525.216 5501.825 5504.794 5506.909 5532.275 5498.276 5526.203 , 5657.141 5610.681 5493.424 5475.785 5444.175 5431.588 5491.090 5490.367 5510.009 5471.564 5399.625 5447.195 5432.617 5444.462 5414.668 5455.466 5528.710 5483.113 5483.018 5483.390
tests/re2s, 3978, 2018-02-09T19:29:20Z, 19a14c5, 2674.129, Fri Feb  9 21:21:40 CET 2018, 15750.003 8676.465 5472.043 3825.608 3900.332 3518.717 3086.471 3013.048 3006.155 2933.349 2915.418 2824.577 2857.191 2877.232 2802.720 3130.229 3246.842 2884.757 2749.329 2746.136 2746.881 2741.464 3084.467 2706.909 2756.364 2804.458 2746.757 2797.373 2727.892 2757.604 , 2793.627 2720.581 2698.621 2672.984 2667.375 2689.038 2686.148 2684.489 2664.245 2646.255 2659.539 2663.324 2698.792 2675.274 2651.453 2642.341 2668.050 2679.058 2656.254 2700.004
opts/re2s, 3978, 2018-02-09T19:29:20Z, 19a14c5, 2786.177, Fri Feb  9 21:24:41 CET 2018, 14703.450 7009.366 4783.262 4258.469 4176.251 3420.382 3165.206 3446.805 3068.241 3260.164 2997.017 2959.438 2931.312 2919.279 2890.525 2886.742 2865.309 2856.621 2855.048 2820.252 2856.411 3187.920 2863.859 2835.646 2801.714 2808.700 3114.371 2846.338 2967.179 2802.737 , 2827.255 2809.681 2781.297 2770.015 2854.027 2924.011 2811.960 2805.346 2742.052 2791.057 2740.447 2791.176 2774.839 2750.245 2762.650 2734.871 2800.890 2770.252 2833.161 2773.131
tests/implicit_cache.scala, 3978, 2018-02-09T19:29:20Z, 19a14c5, 97.014, Fri Feb  9 21:25:52 CET 2018, 2890.454 537.100 466.002 383.811 288.458 226.137 205.449 161.360 156.441 145.587 121.366 116.134 116.068 113.341 112.112 112.771 108.786 116.962 109.423 115.670 103.848 109.536 101.931 101.758 106.533 105.928 108.864 99.755 101.257 102.084 , 118.844 101.704 98.207 103.918 98.468 100.111 117.844 106.384 97.001 95.118 97.027 94.283 95.814 94.193 108.898 94.548 94.781 94.208 92.407 93.775
opts/implicit_cache.scala, 3978, 2018-02-09T19:29:20Z, 19a14c5, 97.1855, Fri Feb  9 21:27:02 CET 2018, 2737.620 521.217 388.214 354.036 287.794 244.981 179.784 139.993 139.132 126.104 120.311 133.659 123.854 120.292 121.594 110.642 112.751 107.838 108.813 108.641 106.318 113.093 103.428 105.506 103.133 103.901 103.131 100.916 103.029 99.442 , 102.735 101.707 98.467 101.268 97.561 98.921 99.987 98.563 96.021 98.135 96.225 96.810 94.706 99.162 95.375 96.171 94.067 93.573 94.724 94.598
tests/implicit-scope-loop.scala, 3978, 2018-02-09T19:29:20Z, 19a14c5, 102.7605, Fri Feb  9 21:28:14 CET 2018, 2853.332 642.296 470.267 305.457 285.360 263.822 186.140 150.848 143.633 140.074 130.558 121.099 118.652 117.723 117.574 115.188 114.594 110.788 121.865 120.306 109.101 116.744 106.702 106.369 108.841 110.576 114.235 103.980 109.884 102.900 , 102.633 103.413 102.055 104.614 127.707 108.526 102.630 100.885 102.822 104.123 102.699 97.975 106.765 100.106 102.042 104.339 98.528 105.701 104.787 98.005
tests/i1535.scala, 3978, 2018-02-09T19:29:20Z, 19a14c5, 119.75, Fri Feb  9 21:29:27 CET 2018, 3281.058 752.345 649.644 507.345 342.016 257.662 221.145 242.715 251.110 177.857 162.813 185.730 151.233 152.574 145.140 144.006 140.371 138.997 137.577 136.242 155.605 134.240 135.432 146.498 143.631 129.917 124.946 125.119 127.017 123.057 , 124.301 138.974 122.754 118.969 119.079 120.227 119.261 119.873 119.627 116.129 115.287 120.121 139.396 134.421 119.885 119.990 113.977 118.723 114.792 116.574
tests/i1687.scala, 3978, 2018-02-09T19:29:20Z, 19a14c5, 68.226, Fri Feb  9 21:30:41 CET 2018, 2611.351 525.606 368.347 265.224 209.608 149.300 115.124 96.502 93.205 90.391 93.036 84.882 86.943 85.439 86.860 82.285 76.019 73.922 73.078 77.508 78.358 74.723 71.574 71.540 71.921 70.149 70.580 69.601 70.347 68.329 , 68.441 69.420 70.641 69.379 68.344 69.127 68.605 70.961 68.174 66.998 67.907 68.278 67.793 66.732 69.341 66.806 66.918 67.341 66.527 67.067
