dotty, 3234, 2017-10-03T21:42:46Z, c2f78da, 37791.3865, Wed Oct  4 00:06:51 CEST 2017, 85392.707 45938.388 40422.657 39354.070 39866.329 38127.525 38396.123 38158.059 39199.702 37656.611 , 37875.571 37920.745 38629.660 37535.724 37519.381 37994.554 38655.767 37498.315 37442.392 37855.302 38005.880 37092.053 37088.985 38342.830 37872.297 37152.787 37093.651 37727.471 38090.841 36905.108
tests/scala-library, 3234, 2017-10-03T21:42:46Z, c2f78da, 6505.541, Wed Oct  4 00:10:36 CEST 2017, 23569.955 10969.120 9676.646 7799.692 7339.411 7223.501 6852.772 6783.525 6716.154 6640.293 , 6624.996 6787.513 6534.681 6519.770 6578.759 6618.650 6535.888 6478.162 6526.928 6533.967 6491.312 6597.522 6380.193 6406.293 6456.393 6454.883 6386.917 6416.573 6424.483 6454.417
tests/implicit_cache.scala, 3234, 2017-10-03T21:42:46Z, c2f78da, 125.803, Wed Oct  4 00:11:13 CEST 2017, 3174.841 514.927 414.951 393.728 417.595 359.372 302.273 251.366 193.264 159.964 , 147.850 137.611 137.128 132.855 128.555 132.514 127.218 123.591 126.461 125.334 140.431 121.245 117.118 121.046 121.044 121.486 120.719 117.631 125.224 126.272
tests/implicit-scope-loop.scala, 3234, 2017-10-03T21:42:46Z, c2f78da, 135.8925, Wed Oct  4 00:11:50 CEST 2017, 2971.494 559.725 434.894 326.441 294.340 293.047 277.934 186.389 161.133 159.033 , 151.514 141.525 137.206 134.910 136.875 146.866 129.611 134.306 133.199 131.437 128.554 144.573 125.777 167.570 179.460 132.431 143.682 167.250 131.143 120.417
tests/i1535.scala, 3234, 2017-10-03T21:42:46Z, c2f78da, 164.673, Wed Oct  4 00:12:28 CEST 2017, 3378.381 742.653 547.885 468.166 392.979 386.654 334.806 308.877 236.676 230.790 , 184.239 173.251 170.335 169.540 168.047 164.964 164.382 162.855 167.434 168.150 169.225 167.050 160.352 153.500 156.739 153.045 150.955 151.719 159.282 152.556
tests/i1687.scala, 3234, 2017-10-03T21:42:46Z, c2f78da, 103.2595, Wed Oct  4 00:13:04 CEST 2017, 2874.968 435.744 343.626 288.573 242.855 211.771 234.005 150.951 183.814 129.465 , 117.631 107.662 111.631 110.415 113.020 109.377 103.445 104.127 103.067 103.074 136.942 111.853 100.155 97.844 98.956 97.256 96.908 97.977 95.696 98.251
tests/Vector.scala, 3234, 2017-10-03T21:42:46Z, c2f78da, 607.7615, Wed Oct  4 00:16:51 CEST 2017, 8441.362 2501.731 1896.858 2023.523 1422.456 1745.317 1551.955 1157.449 902.936 1002.937 853.531 722.819 729.575 676.345 674.700 672.052 662.729 780.656 688.628 637.646 7279.050 2322.100 1724.513 1929.134 1451.244 1611.452 1331.843 1053.713 1311.277 1184.257 1030.470 783.654 747.749 734.771 710.151 704.672 779.424 687.267 660.365 651.671 7994.681 2336.954 2121.594 1980.711 1380.222 1690.540 1308.951 958.115 1354.222 862.286 838.417 817.084 712.162 698.713 675.667 690.103 654.123 706.804 716.749 668.331 , 636.236 638.110 730.637 690.568 673.859 660.936 615.486 615.490 705.523 654.064 627.338 605.869 616.652 605.181 602.880 613.759 673.048 596.909 593.808 603.630 591.644 594.506 621.613 591.802 586.888 585.224 798.063 608.009 640.119 658.161 664.554 637.401 634.452 757.668 744.849 657.724 615.606 634.197 609.774 603.587 609.221 604.945 600.607 603.448 609.779 603.823 598.471 614.470 592.246 588.230 601.349 589.934 589.432 593.260 686.708 590.401 583.639 595.854 595.693 585.291 647.164 733.228 682.958 636.929 616.056 688.444 621.835 639.966 626.712 608.151 599.362 607.514 614.430 599.940 611.876 613.625 603.703 600.380 593.306 600.128 594.139 587.179 604.850 589.407 578.963 582.777 597.108 588.040 578.841 598.344
tests/empty-class.scala, 3234, 2017-10-03T21:42:46Z, c2f78da, 79.9695, Wed Oct  4 00:17:26 CEST 2017, 2504.034 345.407 325.329 256.662 178.080 193.441 115.591 135.891 95.290 85.897 , 85.556 82.684 83.665 80.978 81.098 81.843 79.313 77.456 84.018 80.626 87.711 77.568 76.354 77.083 76.523 78.030 74.952 95.862 74.791 77.107
tests/empty-object.scala, 3234, 2017-10-03T21:42:46Z, c2f78da, 79.344, Wed Oct  4 00:18:01 CEST 2017, 2400.459 363.785 228.410 195.642 176.057 159.229 122.414 102.277 94.330 89.489 , 87.229 83.164 85.666 81.233 82.416 80.602 80.199 79.662 79.764 78.119 78.887 76.966 77.966 77.134 80.629 77.586 77.978 75.942 79.026 76.599
tests/empty-file.scala, 3234, 2017-10-03T21:42:46Z, c2f78da, 62.8285, Wed Oct  4 00:18:35 CEST 2017, 2009.448 254.654 177.931 154.425 130.277 128.772 125.599 106.270 88.364 70.939 , 67.720 69.382 65.377 64.804 62.928 66.348 62.603 72.038 62.344 65.531 61.883 67.755 61.712 62.729 61.824 62.152 62.726 61.146 64.173 60.633
tests/patmatexhaust.scala, 3234, 2017-10-03T21:42:46Z, c2f78da, 325.742, Wed Oct  4 00:22:35 CEST 2017, 5325.440 1617.394 1315.129 1173.204 1047.856 1033.671 814.861 1058.599 907.521 834.465 757.833 568.621 628.396 577.218 469.170 442.874 409.629 403.135 403.249 385.849 5575.431 1750.316 1635.174 1425.050 1328.275 910.091 1008.907 817.124 669.575 556.717 563.132 542.038 542.413 501.731 488.724 631.721 508.548 540.756 414.123 440.401 5519.101 1845.395 1280.901 1081.855 1001.586 916.013 872.400 847.422 873.933 802.613 738.189 714.685 670.341 589.974 497.200 420.576 397.939 383.695 383.764 362.384 , 379.425 379.745 496.466 488.391 407.498 363.426 396.116 362.073 362.492 370.250 358.635 360.731 379.354 410.353 333.519 343.691 334.861 331.734 333.394 327.841 324.517 325.125 333.730 320.058 314.935 320.716 324.317 319.892 323.426 314.252 310.327 325.573 315.075 313.669 308.602 308.268 320.256 318.720 316.529 307.010 435.898 370.541 374.705 382.113 350.996 498.594 382.342 346.019 337.738 340.417 342.507 334.608 329.801 337.375 323.255 322.439 434.552 377.342 321.531 348.695 326.457 312.674 322.119 308.180 307.496 315.211 357.744 317.180 318.992 308.157 302.171 314.861 300.579 308.161 299.668 296.744 305.211 297.706 296.253 305.794 363.972 363.214 354.308 355.229 347.176 349.365 342.309 349.086 335.517 352.130 331.749 331.138 333.686 326.816 326.431 334.211 327.949 322.376 329.574 321.075 333.209 318.845 317.545 322.522 325.911 318.068 318.801 311.875 314.343 317.611 305.804 314.980 307.196 303.589 314.066 302.149 301.550 324.687 309.568 308.220
