dotty, 3272, 2017-10-06T00:56:49Z, eb2fdf2, 36707.5085, Fri Oct  6 03:20:31 CEST 2017, 84837.713 45476.658 39167.725 38486.330 38418.010 38214.438 37210.388 37141.566 36945.859 37353.148 , 37549.406 36811.803 36748.013 37200.539 37777.124 36970.242 36891.368 36667.004 37581.608 36350.915 36594.084 36579.657 37611.255 36412.916 36381.993 36453.673 37641.549 36123.045 36267.919 36471.757
tests/scala-library, 3272, 2017-10-06T00:56:49Z, eb2fdf2, 6110.529, Fri Oct  6 03:24:11 CEST 2017, 25698.973 13408.251 8936.625 7505.807 6930.756 6683.891 6561.478 6725.753 6584.453 6337.082 , 6394.121 6256.887 6202.720 6158.954 6191.695 6140.579 6122.755 6151.835 6160.489 6108.398 6072.135 6112.660 6098.420 6051.746 6103.331 6045.324 6076.125 6043.338 6098.997 6051.166
tests/implicit_cache.scala, 3272, 2017-10-06T00:56:49Z, eb2fdf2, 124.682, Fri Oct  6 03:24:47 CEST 2017, 3029.535 544.994 519.356 403.638 415.484 255.271 226.634 202.200 176.437 145.154 , 151.680 131.756 129.994 126.009 124.439 125.106 139.813 152.210 121.772 120.580 128.680 118.290 134.639 123.024 120.138 124.925 112.663 121.194 117.315 115.382
tests/implicit-scope-loop.scala, 3272, 2017-10-06T00:56:49Z, eb2fdf2, 124.5875, Fri Oct  6 03:25:23 CEST 2017, 2828.685 675.880 575.454 474.687 403.561 263.965 208.821 169.254 155.915 175.822 , 146.418 138.237 135.003 130.007 129.663 125.424 126.352 132.492 120.184 123.751 126.252 118.779 119.094 116.553 118.497 115.783 120.996 117.586 125.973 115.457
tests/i1535.scala, 3272, 2017-10-06T00:56:49Z, eb2fdf2, 154.226, Fri Oct  6 03:26:01 CEST 2017, 3309.672 867.048 534.363 516.486 449.829 345.500 313.274 228.982 279.539 257.628 , 178.129 191.495 169.092 170.494 156.700 154.527 150.195 153.925 156.555 160.817 159.937 178.003 145.767 146.660 143.239 143.232 142.165 139.614 137.459 141.090
tests/i1687.scala, 3272, 2017-10-06T00:56:49Z, eb2fdf2, 100.7835, Fri Oct  6 03:26:37 CEST 2017, 2711.884 445.569 336.160 294.631 273.743 306.116 191.600 144.481 125.332 168.168 , 114.243 106.376 107.222 108.129 106.417 103.767 101.862 103.533 101.944 101.277 98.614 100.290 97.086 98.284 97.400 95.212 96.702 95.541 95.191 95.828
tests/Vector.scala, 3272, 2017-10-06T00:56:49Z, eb2fdf2, 598.3185, Fri Oct  6 03:30:20 CEST 2017, 7103.695 2151.009 1864.035 1635.017 1873.401 1365.488 1379.455 1335.279 1417.247 1300.559 1028.807 822.423 766.002 753.367 722.992 701.565 706.227 678.800 681.328 653.234 7331.493 2612.826 2282.846 1886.755 1707.380 1253.516 1189.707 1023.948 899.958 1020.904 848.201 777.663 754.623 718.278 697.414 712.457 693.977 790.900 764.213 636.816 8023.397 2608.257 2302.405 2020.441 1666.823 1205.782 1137.113 1130.498 1344.849 1193.800 889.541 1054.915 781.631 726.120 682.252 675.756 719.993 658.859 646.612 679.039 , 695.032 632.532 633.717 808.091 756.023 685.627 793.315 627.126 661.114 596.663 609.434 608.321 592.330 589.906 609.617 593.836 612.016 605.906 586.205 584.059 580.510 606.793 591.050 580.552 593.941 573.280 571.630 573.057 586.720 597.979 632.318 653.981 789.643 649.299 620.275 666.184 627.933 612.910 631.962 596.770 621.609 627.836 606.510 595.274 595.356 598.658 599.919 586.417 597.099 581.818 582.032 592.446 597.019 673.113 600.258 577.462 573.727 581.560 657.320 578.861 715.948 662.292 755.608 639.378 625.848 616.662 629.168 635.837 612.245 610.362 593.601 603.185 601.222 587.232 595.160 587.854 594.640 592.285 592.413 597.266 578.168 575.925 591.260 581.855 586.505 571.829 582.339 574.011 608.008 574.436
tests/empty-class.scala, 3272, 2017-10-06T00:56:49Z, eb2fdf2, 78.4265, Fri Oct  6 03:30:55 CEST 2017, 2410.635 347.116 280.201 220.141 185.268 201.779 165.846 148.456 132.718 95.378 , 88.971 82.869 80.160 83.457 79.072 81.997 79.170 83.804 78.779 95.193 77.208 78.074 76.992 77.289 75.974 77.845 75.377 76.341 74.798 76.959
tests/empty-object.scala, 3272, 2017-10-06T00:56:49Z, eb2fdf2, 80.225, Fri Oct  6 03:31:29 CEST 2017, 2548.843 440.190 340.099 223.806 220.932 206.380 160.243 123.549 128.494 97.354 , 86.417 85.117 82.848 84.314 82.499 88.453 83.908 81.458 81.044 81.858 78.162 79.406 77.693 78.614 77.686 78.431 78.158 75.724 77.368 75.651
tests/empty-file.scala, 3272, 2017-10-06T00:56:49Z, eb2fdf2, 62.5405, Fri Oct  6 03:32:03 CEST 2017, 1975.466 260.403 257.655 218.833 134.710 120.014 97.108 84.830 103.273 86.748 , 66.454 63.763 64.216 63.981 62.406 64.237 61.688 63.431 61.629 66.851 62.081 65.180 60.744 62.675 61.189 59.935 61.384 59.831 63.586 59.969
tests/patmatexhaust.scala, 3272, 2017-10-06T00:56:49Z, eb2fdf2, 316.9395, Fri Oct  6 03:36:06 CEST 2017, 5474.782 1919.183 1552.408 1282.244 1080.022 811.750 896.379 922.605 823.344 795.451 753.825 534.374 510.665 562.401 434.394 429.552 409.769 402.300 428.484 388.764 5658.175 2060.422 1774.493 1221.595 1333.864 1195.586 806.404 757.197 789.330 807.698 595.224 571.820 516.554 483.617 523.944 574.002 447.934 375.302 367.024 352.781 5202.458 1635.222 1509.537 1618.473 1400.477 1226.418 879.354 877.970 861.329 788.040 694.233 622.286 588.938 422.420 430.996 522.914 477.825 394.779 398.848 376.640 , 380.127 371.021 371.657 419.583 430.474 391.092 365.036 370.988 336.683 342.766 341.320 333.499 334.679 329.139 326.267 325.539 315.432 316.226 319.237 315.729 311.426 313.512 306.748 310.669 314.307 303.940 311.792 308.340 306.819 320.454 306.240 304.252 308.889 302.009 372.203 318.667 300.119 301.918 302.420 297.643 361.984 349.622 356.069 344.637 347.121 347.782 341.751 338.324 333.736 343.069 332.531 326.925 327.006 323.110 321.129 320.528 317.136 314.921 320.523 310.999 322.215 311.144 311.831 315.586 311.421 304.960 313.975 302.670 302.892 321.030 302.152 309.871 301.395 300.343 308.030 295.892 294.582 307.141 298.199 297.908 374.406 370.000 378.515 372.429 373.075 363.582 353.805 350.808 343.035 355.159 336.964 341.762 330.806 327.554 329.492 331.141 321.592 317.605 318.388 317.381 312.820 313.990 307.077 312.655 315.924 309.315 311.234 306.058 305.195 316.743 305.227 303.035 311.463 299.759 308.658 297.717 295.379 297.975 296.013 293.331
